elapsed_sec,best_cost,improvement_pct
0.13,7724.2431,
0.25,7648.3112,
0.38,7632.6862,
0.5,7630.2686,
0.63,7659.4287,
0.79,7664.5867,
0.91,7693.1357,
1.04,7616.1589,
1.16,7595.8051,
1.3,7573.1275,
1.44,7556.8377,
1.55,7549.4987,
1.69,7564.0048,
1.82,7574.5939,
1.93,7572.6505,
2.03,7574.759,
2.15,7577.6881,
2.28,7577.6881,
2.4,7587.3115,
2.5,7604.5711,
2.61,7604.5711,
2.71,7620.5866,
2.86,7627.5251,
2.96,7630.2878,
3.09,7589.881,
3.21,7631.8608,
3.35,7604.4551,
3.47,7175.0884,
3.6,7115.849,
3.71,7156.0014,
3.81,7156.0014,
3.94,7158.419,
4.06,7201.7435,
4.19,7229.0706,
4.33,7242.8486,
4.44,7369.5559,
4.58,7194.187,
4.69,7122.1811,
4.8,7122.1811,
4.91,7130.0933,
5.03,7142.43,
5.18,7143.1752,
5.32,7185.155,
5.43,7244.2286,
5.54,7186.2173,
5.67,7181.2944,
5.79,7170.9646,
5.93,7173.3822,
6.07,7161.0455,
6.19,7232.4423,
6.29,7246.4835,
6.42,7161.0455,
6.55,7117.3714,
6.69,7157.5208,
6.79,7130.2065,
6.91,7183.7351,
7.02,7142.5432,
7.15,7200.5545,
7.25,7206.7286,
7.38,7142.5432,
7.53,7182.6956,
7.64,7185.1132,
7.76,7186.0749,
7.9,7228.0547,
8.02,7215.718,
8.14,7287.1148,
8.24,7193.4188,
8.39,7191.0012,
8.5,7191.0012,
8.6,7191.0012,
8.72,7191.7464,
8.82,7196.6693,
8.96,7154.6895,
9.06,7167.0262,
9.19,7167.0262,
9.3,7200.8189,
9.44,7169.4438,
9.57,7179.7736,
9.68,7254.772,
9.79,7391.2606,
9.94,7203.7901,
10.05,7166.0334,
10.19,7219.562,
10.33,7123.4634,
10.49,7145.8548,
10.6,7150.1905,
10.71,7150.1905,
10.81,7150.1905,
10.93,7221.5873,
11.07,7150.1905,
11.19,7162.5272,
11.3,7202.6796,
11.41,7236.4723,
11.51,7249.1669,
11.66,7173.4472,
11.79,7231.4585,
11.93,7173.4472,
12.06,7178.3701,
12.21,7203.0449,
12.33,7197.8869,
12.46,7166.0334,
12.59,7191.6753,
12.7,7154.0312,
12.81,7154.0312,
12.92,7191.0881,
13.04,7255.8384,
13.15,7250.0252,
13.26,7250.0252,
13.39,7252.4428,
13.5,7296.5125,
13.62,7474.9179,
13.74,7262.7726,
13.85,7220.0476,
13.96,7224.9705,
14.07,7254.0578,
14.19,7229.383,
14.32,7226.9654,
14.44,7216.6356,
14.57,7274.6469,
14.7,7281.5662,
14.82,7200.1212,
14.95,7242.101,
15.05,7232.0118,
15.16,7254.0255,
15.29,7186.7308,
15.43,7258.1276,
15.56,7186.7308,
15.69,7186.7308,
15.82,7203.9904,
15.95,7171.5952,
16.07,7161.6623,
16.19,7130.2872,
16.3,7188.2985,
16.42,7205.9439,
16.56,7130.2872,
16.69,7105.2031,
16.79,7132.1337,
16.92,7142.26,
17.03,7230.7133,
17.15,7182.4124,
17.27,7253.8092,
17.39,7182.4124,
17.5,7194.7491,
17.62,7197.1667,
17.74,7212.4194,
17.84,7207.9824,
17.96,7168.8915,
18.08,7209.3546,
18.2,7223.2962,
18.32,7165.2849,
18.42,7150.5306,
18.52,7183.1293,
18.63,7151.2758,
18.74,7136.7408,
18.87,7136.0231,
19.01,7178.0029,
19.13,7245.2976,
19.25,7178.0029,
19.39,7177.2577,
19.53,7179.6753,
19.66,7179.6753,
19.8,7137.6955,
19.93,7165.2849,
20.05,7209.3546,
20.15,7165.2849,
20.29,7165.2849,
20.42,7162.8673,
20.54,7166.4739,
20.65,7158.6896,
20.78,7167.8766,
20.9,7136.0231,
21.03,7178.0029,
21.15,7245.2976,
21.28,7178.0029,
21.4,7181.6095,
21.54,7178.0029,
21.65,7184.5982,
21.78,7225.142,
21.91,7193.2885,
22.04,7215.1671,
22.16,7161.6385,
22.29,7373.7838,
22.42,7198.65,
22.53,7223.6524,
22.66,7158.6621,
22.78,7195.5885,
22.88,7189.5944,
23.0,7190.3396,
23.12,7190.3396,
23.25,7182.9258,
23.37,7190.4981,
23.48,7190.4981,
23.59,7148.5183,
23.71,7148.5183,
23.83,7365.3341,
23.96,7153.5145,
