elapsed_sec,best_cost,improvement_pct
0.12,7724.2431,
0.22,7637.9814,
0.45,7674.666,
0.57,7697.3325,
0.67,7705.722,
0.77,7754.0954,
0.9,7765.5264,
1.0,7927.2826,
1.1,8001.539,
1.2,7989.0493,
1.31,7980.3777,
1.44,7969.5513,
1.54,7994.8301,
1.64,8008.7536,
1.74,8000.3004,
1.84,7694.4399,
1.95,7588.8254,
2.05,7588.8254,
2.17,7572.9409,
2.27,7574.4464,
2.38,7567.1059,
2.48,7564.1512,
2.58,7560.3825,
2.69,7294.3074,
2.79,7305.421,
2.89,7558.7305,
2.99,7559.27,
3.09,7514.5689,
3.2,7497.5582,
3.3,7527.3537,
3.4,7261.4054,
3.53,7757.3804,
3.64,7315.2024,
3.76,7333.9928,
3.9,7385.6133,
4.01,7356.0941,
4.11,7336.9628,
4.24,7365.4031,
4.34,7331.3366,
4.44,7305.0949,
4.55,7276.074,
4.65,7270.1017,
4.75,7306.57,
4.85,7322.7789,
4.95,7319.5275,
5.08,7589.0418,
5.18,7603.4922,
5.29,7343.5656,
5.4,7351.1929,
5.5,7358.9165,
5.6,7359.5734,
5.7,7359.5734,
5.8,7300.3094,
5.91,7276.8022,
6.01,7326.3803,
6.12,7276.6201,
6.22,7310.0751,
6.35,7313.0154,
6.45,7297.3402,
6.55,7298.9898,
6.66,7312.2115,
6.76,7316.5518,
6.86,7300.2596,
6.96,7300.5275,
7.06,7294.6742,
7.17,7580.4528,
7.28,7285.1638,
7.38,7586.2705,
7.48,7558.1375,
7.58,7574.9071,
7.68,7499.8004,
7.78,7540.3532,
7.88,7625.6618,
7.99,7617.3739,
8.09,7569.7785,
8.19,7640.1036,
8.29,7643.1412,
8.39,7628.9818,
8.5,7609.4051,
8.6,7612.8589,
8.7,7604.4806,
8.8,7599.9625,
8.93,7597.7872,
9.04,7615.1816,
9.14,7620.3914,
9.25,7625.8883,
9.35,7626.6649,
9.45,7627.5865,
9.56,7637.9167,
9.67,7580.545,
9.77,7618.8495,
9.87,7620.3009,
9.98,7604.5249,
10.08,7572.0506,
10.18,7559.4179,
10.3,7590.2502,
10.4,7617.5568,
10.5,7596.0212,
10.61,7478.6838,
10.76,7445.532,
10.86,7460.7163,
10.96,7458.5673,
11.06,7492.0887,
11.17,7512.9355,
11.27,7483.6955,
11.37,7483.6955,
11.48,7714.2547,
11.58,7742.6975,
11.71,7720.5862,
11.82,7755.1486,
11.92,7752.8426,
12.04,7737.1801,
12.14,7761.9448,
12.24,7734.6606,
12.37,7734.4682,
12.47,7725.4337,
12.57,7728.5422,
12.7,7800.0393,
12.8,7812.5375,
12.9,7808.5741,
13.0,7808.5741,
13.14,7808.5741,
13.24,7549.8052,
13.35,7538.9389,
13.45,7538.9389,
13.56,7538.9389,
13.66,7581.1565,
13.81,7628.3541,
13.91,7598.5723,
14.01,7560.2593,
14.12,7557.2404,
14.22,7390.9205,
14.32,7381.7386,
14.42,7375.261,
14.52,7369.9987,
14.62,7379.3929,
14.72,7380.3748,
14.85,7389.7973,
14.97,7389.7973,
15.08,7389.7973,
15.18,7380.0516,
15.3,7317.3247,
15.42,7321.7035,
15.52,7323.348,
15.63,7320.896,
15.74,7330.6882,
15.86,7322.3992,
15.97,7328.694,
16.07,7334.485,
16.18,7318.8871,
16.3,7326.7649,
16.4,7328.4379,
16.51,7589.0414,
16.61,7572.4883,
16.74,7596.5933,
16.85,7592.9066,
16.95,7589.7501,
17.05,7609.0212,
17.15,7609.0212,
17.26,7627.5407,
17.36,7648.3316,
17.46,7627.5938,
17.58,7633.5878,
17.69,7614.0522,
17.8,7615.3475,
17.9,7616.9348,
18.0,7571.9336,
18.1,7563.6943,
18.2,7564.0114,
18.31,7564.0114,
18.41,7571.432,
18.52,7540.7821,
18.62,7523.3424,
18.72,7526.9942,
18.84,7539.4627,
18.94,7523.7635,
19.05,7532.1507,
19.16,7568.2882,
19.26,7577.2921,
19.37,7570.8117,
19.47,7564.6073,
19.57,7575.7249,
19.69,7574.123,
19.79,7557.0057,
19.89,7565.5565,
19.99,7493.3137,
20.09,7478.6303,
20.22,7507.5363,
20.33,7508.796,
20.43,7509.8227,
20.56,7510.3103,
20.69,7509.6823,
20.81,7530.8255,
20.93,7525.7962,
21.05,7529.5436,
21.15,7511.3876,
21.29,7505.2916,
21.39,7505.2916,
21.51,7508.1321,
21.62,7514.2297,
21.73,7514.2619,
21.85,7519.2322,
21.95,7483.643,
22.07,7491.243,
22.17,7469.1695,
22.27,7473.365,
22.37,7479.5648,
22.48,7425.6114,
22.58,7425.6114,
22.68,7420.8046,
22.78,7454.7533,
22.89,7427.2392,
22.99,7418.9865,
23.11,7428.5588,
23.24,7484.6686,
23.37,7473.2987,
23.48,7473.2987,
23.58,7461.598,
23.68,7430.6943,
23.79,7153.4581,
23.89,7161.7783,
23.99,7215.3694,
24.09,7210.3383,
24.2,7219.8247,
24.39,6981.9143,
24.57,6982.6707,
24.67,6992.5776,
24.78,6992.5776,
24.88,7326.5388,
24.98,7327.822,
25.09,7335.4433,
25.19,7324.9548,
25.33,7624.6545,
25.47,7609.9827,
25.57,7617.0681,
25.67,7626.6939,
25.8,7639.6564,
25.9,7902.5675,
26.0,8415.8562,
26.1,8146.6892,
26.2,8119.2396,
26.3,7874.048,
26.4,7571.6929,
26.5,7653.656,
26.61,7574.411,
26.71,7582.2704,
26.82,7635.6617,
26.93,7662.7101,
27.03,7661.0479,
27.13,7634.7384,
27.24,7643.7794,
27.36,7665.6776,
27.48,7816.273,
27.58,7644.1959,
27.68,7589.3312,
27.78,7604.1649,
