elapsed_sec,best_cost,improvement_pct
0.1,14772.0725,
0.2,14772.0725,
0.31,14772.0725,
0.41,14767.8039,
0.51,14762.024,
0.61,14758.2417,
0.71,14754.664,
0.82,14752.5072,
0.92,14752.5072,
1.02,14752.5072,
1.13,14752.5072,
1.23,14752.5072,
1.33,14748.4477,
1.43,14745.1431,
1.54,14745.1431,
1.65,14730.5407,
1.75,14730.5407,
1.85,14727.0771,
1.95,14727.0771,
2.06,14727.0771,
2.16,14727.0771,
2.26,14727.0771,
2.37,14727.0771,
2.47,14727.0771,
2.57,14727.0771,
2.68,14727.0771,
2.79,14727.0771,
2.9,14727.0771,
3.01,14727.0771,
3.11,14727.0771,
3.21,14727.0771,
3.31,14727.0771,
3.41,14727.0771,
3.51,14727.0771,
3.61,14727.0771,
3.73,14727.0771,
3.83,14727.0771,
3.93,14727.0771,
4.03,14727.0771,
4.14,14727.0771,
4.26,14727.0771,
4.37,14727.0771,
4.49,14727.0771,
4.6,14727.0771,
4.7,14727.0771,
4.8,14727.0771,
4.91,14727.0771,
5.01,14727.0771,
5.11,14727.0771,
5.21,14727.0771,
5.31,14727.0771,
5.43,14727.0771,
5.55,14727.0771,
5.65,14727.0771,
5.77,14727.0771,
5.87,14727.0771,
5.97,14727.0771,
6.07,14727.0771,
6.18,14597.9926,
6.28,14597.9926,
6.39,14597.9926,
6.49,14597.9926,
6.59,14597.9926,
6.7,14597.9926,
6.8,14597.9926,
6.91,14597.9926,
7.01,14597.9926,
7.11,14597.9926,
7.21,14597.9926,
7.31,14597.9926,
7.42,14597.9926,
7.52,14597.9926,
7.62,14597.9926,
7.74,14597.9926,
7.84,14597.9926,
7.94,14597.9926,
8.04,14597.9926,
8.14,14597.9926,
8.24,14597.9926,
8.35,14597.9926,
8.46,14597.9926,
8.56,14597.9926,
8.67,14597.9926,
8.78,14597.9926,
8.88,14597.9926,
8.99,14597.9926,
9.09,14597.9926,
9.19,14597.9926,
9.3,14597.9926,
9.4,14597.9926,
9.5,14597.9926,
9.61,14597.9926,
9.72,14597.9926,
9.82,14597.9926,
9.93,14597.9926,
10.03,14597.9926,
10.14,14597.9926,
10.25,14597.9926,
10.35,14597.9926,
10.45,14597.9926,
10.55,14597.9926,
10.65,14597.9926,
10.76,14597.9926,
10.86,14597.9926,
10.97,14597.9926,
11.07,14597.9926,
11.17,14597.9926,
11.27,14597.9926,
11.38,14597.9926,
11.49,14597.9926,
11.59,14597.9926,
11.69,14597.9926,
11.79,14597.9926,
11.89,14597.9926,
11.99,14597.9926,
12.11,14597.9926,
12.22,14597.9926,
12.32,14597.9926,
12.44,14597.9926,
12.54,14597.9926,
12.64,14597.9926,
12.74,14597.9926,
12.85,14597.9926,
12.95,14597.9926,
13.06,14597.9926,
13.17,14597.9926,
13.28,14597.9926,
13.4,14597.9926,
13.5,14597.9926,
13.6,14597.9926,
13.7,14597.9926,
13.8,14597.9926,
13.9,14597.9926,
14.01,14597.9926,
14.11,14597.9926,
14.22,14597.9926,
14.32,14597.9926,
14.42,14597.9926,
14.52,14597.9926,
14.62,14597.9926,
14.72,14597.9926,
14.82,14597.9926,
14.93,14597.9926,
15.03,14597.9926,
15.13,14597.9926,
15.23,14597.9926,
15.34,14597.9926,
15.44,14597.9926,
15.54,14597.9926,
15.64,14597.9926,
15.74,14597.9926,
15.84,14597.9926,
15.94,14597.9926,
16.06,14597.9926,
16.16,14597.9926,
16.26,14597.9926,
16.36,14597.9926,
16.47,14597.9926,
16.57,14597.9926,
16.67,14597.9926,
16.77,14597.9926,
16.87,14597.9926,
16.98,14597.9926,
17.09,14597.9926,
17.19,14597.9926,
17.3,14597.9926,
17.4,14597.9926,
17.51,14597.9926,
17.61,14597.9926,
17.71,14597.9926,
17.82,14597.9926,
17.92,14597.9926,
18.03,14597.9926,
18.13,14597.9926,
18.24,14597.9926,
18.34,14597.9926,
18.44,14597.9926,
19.15,14597.9926,
19.25,14597.9926,
19.35,14597.9926,
19.45,14597.9926,
19.55,14597.9926,
19.65,14597.9926,
19.77,14597.9926,
19.87,14597.9926,
19.99,14597.9926,
20.09,14597.9926,
20.19,14597.9926,
20.29,14597.9926,
20.39,14597.9926,
20.49,14597.9926,
20.59,14597.9926,
20.69,14597.9926,
20.79,14597.9926,
20.9,14597.9926,
21.0,14597.9926,
21.1,14597.9926,
21.21,14597.9926,
21.31,14597.9926,
21.42,14597.9926,
21.53,14597.9926,
21.64,14597.9926,
21.74,14597.9926,
21.84,14597.9926,
21.95,14597.9926,
22.06,14597.9926,
22.16,14597.9926,
22.27,14597.9926,
22.37,14597.9926,
22.47,14597.9926,
22.57,14597.9926,
22.68,14597.9926,
22.78,14597.9926,
22.88,14597.9926,
22.98,14597.9926,
23.09,14597.9926,
23.19,14597.9926,
23.3,14597.9926,
23.41,14597.9926,
23.52,14597.9926,
23.62,14597.9926,
23.74,14597.9926,
23.85,14597.9926,
23.96,14597.9926,
24.06,14597.9926,
24.17,14597.9926,
24.28,14597.9926,
24.38,14597.9926,
24.49,14597.9926,
24.59,14597.9926,
24.69,14597.9926,
24.8,14597.9926,
24.9,14597.9926,
25.01,14597.9926,
25.11,14597.9926,
25.21,14597.9926,
25.32,14597.9926,
25.44,14597.9926,
25.54,14597.9926,
25.65,14597.9926,
25.75,14597.9926,
25.85,14597.9926,
25.95,14597.9926,
26.05,14597.9926,
26.16,14597.9926,
26.26,14597.9926,
26.36,14597.9926,
26.46,14597.9926,
26.56,14597.9926,
26.66,14597.9926,
26.77,14597.9926,
26.87,14597.9926,
26.99,14597.9926,
27.09,14597.9926,
27.2,14597.9926,
27.3,14597.9926,
27.4,14597.9926,
27.51,14597.9926,
27.62,14597.9926,
27.73,14597.9926,
27.84,14597.9926,
27.94,14597.9926,
28.05,14597.9926,
28.15,14597.9926,
28.25,14597.9926,
28.35,14597.9926,
28.45,14597.9926,
28.56,14597.9926,
28.66,14597.9926,
28.77,14597.9926,
28.88,14597.9926,
28.99,14597.9926,
29.1,14597.9926,
29.21,14597.9926,
29.32,14597.9926,
29.42,14597.9926,
29.52,14597.9926,
29.62,14597.9926,
29.73,14597.9926,
29.84,14597.9926,
29.95,14597.9926,
30.06,14597.9926,
30.17,14597.9926,
30.28,14597.9926,
30.39,14597.9926,
30.5,14597.9926,
30.61,14597.9926,
30.71,14597.9926,
30.81,14597.9926,
30.91,14597.9926,
31.02,14597.9926,
31.12,14597.9926,
31.22,14597.9926,
31.33,14597.9926,
31.45,14597.9926,
31.55,14597.9926,
31.66,14597.9926,
31.76,14597.9926,
31.86,14597.9926,
31.97,14597.9926,
32.07,14597.9926,
32.17,14597.9926,
32.27,14597.9926,
32.37,14597.9926,
32.47,14597.9926,
32.57,14597.9926,
32.68,14597.9926,
32.78,14597.9926,
32.88,14597.9926,
32.98,14597.9926,
33.1,14597.9926,
33.21,14597.9926,
33.31,14597.9926,
33.41,14597.9926,
33.52,14597.9926,
33.63,14597.9926,
33.73,14597.9926,
33.83,14597.9926,
33.93,14597.9926,
34.03,14597.9926,
34.13,14597.9926,
34.24,14597.9926,
34.34,14597.9926,
34.45,14597.9926,
34.55,14597.9926,
34.65,14597.9926,
34.75,14597.9926,
34.85,14597.9926,
34.96,14597.9926,
35.07,14597.9926,
35.17,14597.9926,
35.28,14597.9926,
35.38,14597.9926,
35.49,14597.9926,
35.59,14597.9926,
35.69,14597.9926,
35.79,14597.9926,
35.89,14597.9926,
35.99,14597.9926,
36.1,14597.9926,
36.2,14597.9926,
36.31,14597.9926,
36.41,14597.9926,
36.51,14597.9926,
36.61,14597.9926,
36.71,14597.9926,
36.81,14597.9926,
36.93,14597.9926,
37.04,14597.9926,
37.14,14597.9926,
37.25,14597.9926,
37.36,14597.9926,
37.46,14597.9926,
37.57,14597.9926,
37.67,14597.9926,
37.77,14597.9926,
37.88,14597.9926,
37.98,14597.9926,
38.08,14597.9926,
38.19,14597.9926,
38.29,14597.9926,
38.39,14597.9926,
38.5,14597.9926,
38.6,14597.9926,
38.71,14597.9926,
38.81,14597.9926,
38.91,14597.9926,
39.01,14597.9926,
39.12,14597.9926,
39.22,14597.9926,
39.32,14597.9926,
39.43,14597.9926,
39.53,14597.9926,
39.63,14597.9926,
39.73,14597.9926,
39.83,14597.9926,
39.93,14597.9926,
40.03,14597.9926,
40.13,14597.9926,
40.23,14597.9926,
40.33,14597.9926,
40.44,14597.9926,
40.54,14597.9926,
40.64,14597.9926,
40.76,14597.9926,
40.86,14597.9926,
40.97,14597.9926,
41.08,14597.9926,
41.18,14597.9926,
41.28,14597.9926,
