elapsed_sec,best_cost,improvement_pct
0.14,15217.9614,
0.27,15669.8373,
0.38,15664.0574,
0.51,15691.6676,
0.65,15691.6676,
0.75,15691.6676,
0.86,15236.062,
0.97,15245.2783,
1.08,15245.2783,
1.18,15011.5011,
1.28,15015.4443,
1.39,15015.4443,
1.51,15018.8012,
1.62,15047.7582,
1.74,15047.9459,
1.85,15047.9459,
1.96,15047.9459,
2.06,15024.2474,
2.2,15025.402,
2.31,15030.0949,
2.42,15030.0949,
2.54,15027.8497,
2.64,15062.2693,
2.74,15014.4156,
2.85,15014.4156,
2.95,15025.8066,
3.05,15043.0529,
3.16,15018.7405,
3.27,15010.8018,
3.37,14877.0919,
3.47,14866.8225,
3.58,14865.1565,
3.68,14866.4191,
3.78,14876.4337,
3.88,14880.1163,
3.98,14880.1163,
4.1,14880.1163,
4.2,14871.7025,
4.32,14871.7025,
4.43,14867.4528,
4.53,14737.8503,
4.64,14735.6917,
4.76,14745.0909,
4.86,14745.0909,
4.96,14744.9228,
5.07,14732.3012,
5.19,14732.3012,
5.29,14731.7072,
5.39,14725.7458,
5.49,14717.5559,
5.59,14717.5559,
5.7,14717.5559,
5.81,14709.9973,
5.94,14709.2092,
6.04,14711.1096,
6.16,14711.1096,
6.27,14710.5388,
6.38,14708.8708,
6.48,14708.8708,
6.6,14703.1059,
6.7,14703.1059,
6.8,14701.2055,
6.91,14701.2055,
7.04,14701.2055,
7.14,14701.2055,
7.25,14701.2055,
7.37,14701.2055,
7.5,14656.4644,
7.62,14627.7525,
7.73,14627.7525,
7.83,14627.7525,
7.94,14627.7525,
8.06,14627.7525,
8.17,14627.7525,
8.27,14627.7525,
8.38,14387.9964,
8.49,14387.9964,
8.61,14387.9964,
8.71,14387.9964,
8.82,14387.9964,
8.92,14387.9964,
9.04,14387.9964,
9.15,14387.9964,
9.28,14387.9964,
9.38,14387.9964,
9.48,14387.9964,
9.6,14387.9964,
9.7,14387.9964,
9.8,14387.9964,
9.9,14387.9964,
10.02,14387.9964,
10.12,14387.9964,
10.22,14387.9964,
10.34,14387.9964,
10.46,14387.9964,
10.56,14387.9964,
10.66,14387.9964,
10.78,14387.9964,
10.88,14387.9964,
