elapsed_sec,best_cost,improvement_pct
32.88,7886.5179,
32.98,7956.9775,
33.1,8024.4784,
33.21,8025.1193,
33.34,8032.0552,
33.45,8034.1364,
33.55,8034.1364,
33.7,8028.5786,
33.83,8022.0781,
33.93,8039.3977,
34.04,7974.6277,
34.18,8042.438,
34.28,8037.7729,
34.45,8025.1184,
34.58,8035.6917,
34.8,8023.0372,
34.91,8017.8046,
35.01,8063.4922,
35.13,8112.3504,
35.23,8112.3504,
35.34,8105.5465,
35.47,8120.2867,
35.62,8120.2867,
35.76,8122.4157,
35.86,8123.2075,
35.96,8135.5385,
36.06,8124.3455,
36.2,8132.435,
36.3,8132.435,
36.41,8128.9003,
36.52,8136.1658,
36.63,8134.7084,
36.73,8080.4062,
36.84,8080.4062,
36.95,8082.2397,
37.05,8088.363,
37.15,8076.401,
37.26,8055.7563,
37.37,8055.7563,
37.47,8055.2736,
37.58,8046.9421,
37.68,8046.9421,
37.79,8045.4787,
37.89,8045.4787,
38.0,8047.5599,
38.11,8047.5599,
38.26,8047.5599,
38.38,8058.1332,
38.5,8073.8309,
38.66,8074.9922,
38.81,8074.9922,
38.96,8074.9922,
39.06,8077.3103,
39.22,8068.5723,
39.32,8062.5325,
39.53,8060.4513,
39.65,8060.4513,
39.76,8060.4513,
39.86,8063.9408,
39.98,8070.0169,
40.09,8077.1391,
40.2,8057.9667,
40.3,8054.383,
40.42,8062.4493,
40.52,8062.4493,
40.65,8057.0951,
40.76,8052.5197,
40.86,8042.6855,
40.96,8045.6199,
41.06,8052.5006,
41.17,8052.5006,
41.27,8052.5006,
41.38,8050.8958,
41.5,8055.2666,
41.63,8055.2666,
41.75,8065.3439,
41.88,8063.0202,
41.98,8063.0202,
42.08,8060.891,
42.19,8071.1319,
42.29,8082.2459,
42.42,8089.4241,
42.54,8070.7753,
42.66,8070.7753,
42.77,8070.7753,
42.87,8073.1373,
42.97,8068.3119,
43.07,8068.3119,
43.19,8070.002,
43.29,8079.4925,
43.44,8076.1574,
43.57,8075.7916,
43.71,8071.1471,
43.82,8071.1471,
43.92,8076.1176,
44.02,8071.4525,
44.12,8071.4525,
44.22,8071.4525,
44.32,8070.4433,
44.44,8076.2013,
44.54,8076.2013,
44.66,8070.0242,
44.76,8065.1988,
44.86,8066.6996,
45.0,8066.9874,
45.12,8068.6399,
45.25,8065.6649,
45.36,8073.586,
45.47,8071.8959,
45.6,8075.1627,
45.71,8075.1627,
45.82,8068.4318,
45.94,8068.4318,
46.04,8069.4047,
46.15,8069.4047,
46.27,8069.4047,
46.39,8065.4067,
46.49,8066.599,
46.59,8061.1757,
46.7,7774.7444,
46.8,7755.6977,
46.9,7755.6977,
47.01,7735.8579,
47.12,7735.8579,
47.22,7735.8579,
47.34,7721.881,
47.47,7718.7556,
47.6,7719.1178,
47.71,7726.4105,
47.81,7721.7454,
47.91,7720.1105,
48.03,7721.7454,
48.13,7725.3784,
48.24,7725.0162,
48.38,7728.871,
48.49,7729.7087,
48.59,7728.871,
48.72,7724.2936,
48.83,7724.2936,
48.94,7729.5103,
49.04,7722.4467,
49.16,7722.4467,
49.28,7722.2433,
49.42,7722.2433,
49.55,7716.0546,
49.67,7716.0546,
49.77,7716.0546,
49.87,7716.0546,
50.02,7716.0546,
50.13,7716.0546,
50.23,7720.7197,
50.33,7720.7197,
50.45,7724.2029,
50.55,7724.2029,
50.71,7722.568,
50.82,7724.2029,
50.92,7724.2029,
51.02,7719.5378,
51.12,7719.5378,
51.22,7719.5378,
51.33,7719.5378,
51.45,7719.5378,
51.55,7719.5378,
51.65,7724.2029,
51.76,7724.2029,
51.86,7724.2029,
51.98,7724.2029,
52.1,7724.2029,
52.21,7719.5378,
52.31,7719.5378,
52.41,7719.5378,
52.55,7719.5378,
52.67,7720.4426,
52.78,7720.4426,
52.9,7722.0326,
53.02,7722.0326,
53.13,7722.0326,
53.25,7722.0326,
53.35,7722.0326,
53.46,7721.7037,
53.56,7717.5006,
53.68,7717.5006,
53.8,7719.3407,
53.92,7719.3407,
54.07,7718.5937,
54.19,7718.5937,
54.29,7718.3733,
54.41,7718.3733,
54.51,7716.9237,
54.61,7716.9237,
54.72,7716.3202,
54.82,7715.164,
54.97,7715.164,
55.07,7715.164,
55.19,7715.164,
55.3,7715.164,
55.42,7715.164,
55.53,7715.164,
55.64,7715.164,
55.76,7715.164,
55.87,7715.164,
56.01,7715.164,
56.12,7712.5934,
56.23,7712.5934,
56.33,7712.5934,
56.47,7712.5934,
56.58,7712.5934,
56.69,7712.8138,
56.79,7712.8138,
56.89,7713.6213,
57.01,7713.6213,
57.11,7709.4405,
57.22,7709.4405,
57.33,7709.4405,
57.46,7709.4405,
57.58,7709.4405,
57.68,7709.4405,
57.8,7709.4405,
57.91,7709.4405,
58.01,7709.4405,
58.13,7709.4405,
58.24,7709.4405,
58.38,7709.4405,
58.49,7709.4405,
58.62,7709.4405,
58.72,7709.4405,
58.85,7709.4405,
58.95,7709.4405,
59.07,7709.4405,
59.17,7709.4405,
59.27,7709.4405,
59.4,7709.4405,
59.51,7709.4405,
59.61,7706.5002,
59.71,7706.5002,
59.87,7706.5002,
59.98,7706.5002,
