elapsed_sec,best_cost,improvement_pct
0.17,7099.5792,
0.27,7203.2694,
0.4,7242.3246,
0.52,7281.4089,
0.63,7306.2646,
0.73,6925.3734,
0.84,7044.8863,
1.01,7127.8412,
1.13,7089.7708,
1.24,7067.8749,
1.34,7142.8282,
1.48,7067.8555,
1.58,7092.1862,
1.69,7119.9566,
1.8,7125.2701,
1.9,7054.4372,
2.0,7010.116,
2.1,6945.6576,
2.24,6946.4582,
2.35,7007.3683,
2.45,6983.889,
2.55,6957.2461,
2.66,6963.9038,
2.76,6971.2943,
2.86,6971.2943,
2.96,6960.8674,
3.07,6962.5522,
3.19,6968.7739,
3.29,6962.0727,
3.4,6953.3671,
3.53,6985.6741,
3.63,6964.7765,
3.74,6890.7813,
3.86,6888.1014,
3.96,6834.5465,
4.06,6928.346,
4.17,6752.5816,
4.29,6797.9402,
4.39,6853.1132,
4.5,6694.5298,
4.62,6693.5739,
4.73,6775.0041,
4.83,6542.198,
4.98,6545.4697,
5.1,6518.3665,
5.2,6517.9607,
5.36,6515.6226,
5.53,6515.6226,
5.64,6527.3065,
5.74,6539.2417,
5.87,6521.838,
5.97,6543.8897,
6.07,6543.3106,
6.17,6543.3106,
6.28,6545.6487,
6.44,6546.2278,
6.54,6535.8138,
6.65,6549.2601,
6.83,6548.5198,
6.93,6546.3012,
7.03,6541.4348,
7.13,6530.8724,
7.26,6527.8594,
7.42,6538.2734,
7.52,6533.9278,
7.62,6534.537,
7.72,6534.537,
7.83,6536.0815,
7.94,6539.4678,
8.05,6528.1768,
8.15,6515.8228,
8.27,6521.2759,
8.39,6525.0877,
8.51,6515.0991,
8.61,6529.2881,
8.71,6533.3747,
8.83,6541.7598,
8.96,6562.3944,
9.06,6545.4145,
9.16,6540.7099,
9.26,6530.6308,
9.36,6534.7062,
9.47,6548.932,
9.62,6544.0377,
9.76,6537.09,
9.87,6596.8385,
10.0,6543.1769,
10.13,6557.5007,
10.26,6549.961,
10.36,6557.9419,
10.48,6560.1383,
10.58,6535.9412,
10.68,6510.8885,
10.84,6509.9423,
10.94,6521.8783,
11.04,6596.9221,
11.15,6591.9571,
11.31,6534.5651,
11.44,6554.6568,
11.55,6539.9539,
11.68,6558.3814,
11.79,6534.0025,
11.92,6535.8084,
12.02,6531.9625,
12.13,6544.2983,
12.24,6554.1441,
12.34,6564.0249,
12.45,6518.9556,
12.56,6488.5862,
12.72,6435.1028,
12.84,6442.6511,
12.94,6425.8508,
13.09,6417.9675,
13.19,6434.3355,
13.29,6441.8989,
13.4,6428.2261,
13.51,6418.3855,
13.63,6430.2086,
13.73,6425.6772,
13.85,6422.4983,
13.95,6422.4983,
14.06,6458.4425,
14.16,6477.7956,
14.26,6479.392,
14.36,6473.1974,
14.47,6466.6128,
14.58,6473.8207,
14.68,6451.7913,
14.78,6485.7849,
14.92,6476.2525,
15.04,6472.2422,
15.15,6482.8026,
15.29,6476.7736,
15.42,6431.171,
15.52,6430.5687,
15.62,6430.4271,
15.76,6440.5225,
15.86,6434.046,
16.0,6430.8298,
16.11,6430.8298,
16.21,6488.606,
16.35,6483.6265,
16.45,6471.2676,
16.55,6460.3824,
16.66,6461.6292,
16.78,6469.2403,
16.9,6497.7208,
17.01,6498.8204,
17.12,6501.3292,
17.22,6511.5614,
17.32,6521.8545,
17.44,6512.1932,
17.55,6514.2353,
17.66,6520.3578,
17.8,6500.1153,
17.9,6505.2291,
18.03,6505.9018,
18.14,6511.7605,
18.3,6516.9862,
18.41,6517.445,
18.52,6523.3451,
18.63,6489.8473,
18.76,6503.8411,
18.91,6481.062,
19.07,6480.8979,
19.19,6473.1943,
19.3,6478.8461,
19.41,6484.4646,
19.52,6478.0212,
19.64,6471.98,
19.74,6477.5448,
19.84,6435.8639,
19.94,6401.1812,
20.05,6352.9608,
20.15,6375.8585,
20.27,6375.8585,
20.41,6357.1547,
20.51,6364.8252,
20.63,6444.7091,
20.73,6394.1092,
20.83,6373.9829,
20.95,6385.2213,
21.13,6395.6353,
21.24,6395.6353,
21.34,6357.1212,
21.44,6380.7765,
21.54,6357.1212,
21.64,6357.1212,
21.75,6351.3001,
21.89,6346.8227,
22.0,6343.6182,
22.11,6305.1142,
22.24,6320.3572,
22.4,6368.5776,
22.5,6320.3572,
22.61,6328.3018,
22.72,6321.8225,
22.85,6318.6087,
22.95,6320.0513,
23.05,6343.3398,
23.15,6330.0907,
23.25,6320.2594,
23.36,6318.0605,
23.47,6319.73,
23.58,6314.7505,
23.72,6350.9517,
23.87,6346.1607,
24.02,6409.6856,
24.12,6394.4419,
24.25,6395.6283,
24.41,6447.0508,
24.51,6357.1471,
24.65,6373.3737,
24.75,6379.7745,
24.85,6370.8993,
24.95,6331.5932,
25.06,6331.5932,
25.16,6331.5932,
25.27,6329.3943,
25.37,6335.6287,
25.48,6326.7535,
25.58,6318.3248,
25.71,6318.3248,
25.84,6332.9344,
25.95,6328.5504,
26.06,6331.3258,
26.16,6324.5611,
26.28,6320.6648,
26.38,6329.8762,
26.49,6329.8762,
26.63,6329.8762,
26.73,6329.8762,
26.83,6329.8762,
26.93,6329.8762,
27.07,6329.8762,
27.18,6323.1959,
27.32,6325.6288,
27.45,6332.4219,
27.61,6316.1953,
27.74,6316.1953,
27.84,6317.5734,
27.95,6317.5734,
28.05,6332.37,
28.15,6329.7319,
28.25,6329.7319,
28.35,6377.9523,
28.47,6329.7319,
28.57,6343.8163,
28.67,6349.3533,
28.77,6345.7911,
28.88,6345.7911,
28.99,6351.8201,
29.11,6335.9334,
29.22,6330.3964,
29.33,6352.16,
29.44,6352.16,
29.54,6335.9334,
29.65,6335.9334,
29.75,6335.9334,
29.88,6335.9334,
30.0,6339.7022,
30.1,6366.1299,
30.21,6366.1299,
30.31,6324.6191,
30.41,6349.2744,
30.56,6349.2744,
30.66,6354.272,
30.76,6340.6135,
30.86,6327.6658,
30.98,6327.6658,
31.09,6315.672,
31.2,6315.672,
31.32,6363.8924,
31.42,6363.8924,
31.53,6369.4736,
31.63,6325.7846,
31.76,6302.1293,
31.86,6318.5576,
31.96,6316.8881,
32.06,6327.3021,
32.21,6327.3021,
32.34,6323.0803,
32.44,6317.2677,
32.55,6308.2477,
32.66,6308.2477,
32.76,6308.2477,
32.86,6304.6027,
32.96,6308.0248,
33.13,6302.3237,
33.24,6318.5503,
33.37,6318.5503,
33.47,6318.5503,
33.61,6318.5503,
33.72,6318.5503,
33.85,6318.5503,
33.96,6318.9691,
34.08,6302.7425,
34.19,6318.699,
34.33,6318.699,
34.46,6312.8864,
34.64,6303.9777,
34.74,6303.9777,
34.84,6303.9777,
34.95,6303.9777,
35.06,6305.9656,
35.17,6309.9647,
35.27,6309.9647,
35.38,6303.3275,
35.49,6308.8645,
35.6,6308.8645,
35.76,6300.7141,
35.87,6306.5267,
35.99,6306.5267,
36.09,6303.8886,
36.21,6298.076,
36.36,6314.2889,
36.47,6314.2889,
36.57,6303.8749,
36.68,6309.0136,
36.8,6309.0136,
36.9,6303.964,
37.01,6309.501,
37.16,6311.7176,
37.3,6311.7176,
37.4,6301.3594,
37.51,6301.3594,
37.62,6301.3594,
37.78,6301.3594,
37.94,6301.5235,
38.06,6312.8788,
38.19,6312.8788,
38.29,6296.9921,
38.42,6301.5235,
38.52,6308.3885,
38.64,6305.0785,
38.75,6305.0785,
38.85,6305.0785,
38.95,6304.5408,
39.06,6297.6758,
39.16,6297.6758,
39.26,6297.6758,
39.41,6297.6758,
39.54,6293.1444,
39.64,6293.1444,
39.74,6298.957,
39.86,6305.3793,
40.02,6305.1914,
40.12,6299.3788,
40.28,6299.3788,
40.39,6299.3788,
40.49,6295.7399,
40.59,6297.3363,
40.7,6303.1489,
40.86,6303.1489,
40.96,6303.1489,
41.09,6304.9229,
41.19,6307.9534,
41.32,6307.9534,
41.43,6312.9088,
41.58,6315.9187,
41.68,6315.9187,
41.79,6298.4501,
41.9,6315.1597,
42.01,6301.7763,
42.12,6301.7763,
42.25,6301.7763,
42.36,6307.5889,
42.47,6303.5878,
42.57,6303.5878,
42.67,6307.5889,
42.81,6305.1063,
42.93,6305.1063,
43.07,6305.1063,
43.17,6307.527,
43.28,6307.527,
43.42,6307.527,
43.52,6307.527,
43.65,6307.527,
43.75,6301.6794,
43.9,6301.6794,
44.01,6306.0611,
44.12,6306.2901,
44.22,6303.3031,
44.32,6299.9512,
44.43,6301.5679,
44.53,6300.7041,
44.63,6300.7041,
44.73,6300.7041,
44.84,6300.7041,
44.94,6300.7041,
45.08,6300.8461,
45.2,6300.8461,
45.31,6300.8461,
45.41,6300.8461,
45.53,6297.8156,
45.68,6300.8461,
45.87,6300.8461,
45.99,6302.7252,
46.09,6299.6947,
46.21,6301.09,
46.32,6304.1205,
46.45,6297.8156,
46.55,6300.8461,
46.66,6297.8156,
46.76,6300.8461,
46.86,6306.5639,
47.03,6300.3476,
47.13,6300.3476,
47.24,6300.3476,
47.34,6288.9703,
47.44,6288.9703,
47.55,6293.8129,
47.66,6295.2073,
47.77,6295.2073,
47.88,6295.2073,
47.99,6295.2073,
48.09,6295.2073,
48.19,6295.2073,
48.3,6295.2073,
48.4,6295.2073,
48.5,6295.2073,
48.61,6295.2073,
48.71,6295.2073,
60.23,6288.9703,
