elapsed_sec,best_cost,improvement_pct
0.12,7548.361,
0.22,7668.4327,
0.32,7764.7604,
0.43,7170.7273,
0.53,7150.7244,
0.63,7175.2168,
0.73,7356.1568,
0.83,8105.4411,
0.93,7592.8523,
1.03,7386.3338,
1.13,7409.9315,
1.23,7473.8326,
1.33,7407.2478,
1.43,7424.4579,
1.53,7439.7252,
1.64,7387.2284,
1.74,7609.4126,
1.84,7592.0222,
1.94,7419.89,
2.04,7724.6558,
2.14,7634.7993,
2.24,7918.4839,
2.35,7887.7011,
2.45,7528.2844,
2.55,7847.3456,
2.65,7531.6389,
2.75,7619.9044,
2.85,7807.3115,
2.95,7465.4591,
3.05,7412.1244,
3.15,7459.3173,
3.25,7431.9612,
3.35,7087.8646,
3.45,7149.3623,
3.55,7206.3736,
3.66,7184.3833,
3.76,7225.9851,
3.86,7239.0865,
3.96,7238.4268,
4.06,7042.4048,
4.16,7074.8965,
4.27,6868.6472,
4.37,6862.1194,
4.47,6858.4666,
4.57,6860.5053,
4.67,6856.273,
4.77,6994.6935,
4.87,6940.2041,
4.97,6520.7369,
5.07,6526.5625,
5.17,6520.7369,
5.27,6576.3954,
5.38,6574.1284,
5.48,6574.1284,
5.58,6526.5625,
5.68,6526.5625,
5.78,6520.7369,
5.88,6526.5625,
5.98,6520.7369,
6.08,6526.5625,
7.35,6520.7369,
