elapsed_sec,best_cost,improvement_pct
0.1,10098.8301,
0.2,10026.8534,
0.31,10001.8601,
0.41,9530.8839,
0.52,9224.7914,
0.62,9212.9246,
0.72,9212.9246,
0.82,9212.9246,
0.92,9212.9246,
1.02,9212.9246,
1.12,9212.9246,
1.22,9212.9246,
1.32,9169.7604,
1.42,9166.2126,
1.52,9166.2126,
1.64,9940.3116,
1.74,9308.0353,
1.85,8835.2707,
1.95,8826.3653,
2.05,8799.8044,
2.16,8789.0408,
2.26,8766.6608,
2.36,8766.6608,
2.46,8766.6608,
2.56,8738.0968,
2.66,8738.0968,
2.76,8738.0968,
2.86,8738.0968,
2.96,8738.0968,
3.06,8738.0968,
3.16,8694.9326,
3.26,8694.9326,
3.36,8694.9326,
3.48,8862.1741,
3.58,8658.9805,
3.68,8630.0484,
3.78,8637.3712,
3.88,8637.3712,
3.98,8637.3712,
4.08,8637.3712,
4.19,8637.3712,
4.29,8637.3712,
4.39,8625.7301,
4.49,8625.7301,
4.59,8625.7301,
4.69,8625.7301,
4.79,8625.7301,
4.89,8625.7301,
5.09,10084.6639,
5.19,9639.9158,
5.29,9616.7421,
5.39,9621.8572,
5.5,9474.8718,
5.6,9464.0904,
5.7,9298.383,
5.8,9298.383,
5.9,9298.383,
6.0,9298.383,
6.1,9298.383,
6.2,9297.3703,
6.3,9297.3703,
6.4,9297.3703,
6.5,9297.3703,
6.6,9297.3703,
6.7,9297.3703,
6.84,9567.4879,
6.94,9574.8003,
7.04,9573.537,
7.14,9387.4894,
7.24,9347.7272,
7.34,9331.413,
7.45,9278.7567,
7.55,9275.0631,
7.65,9275.0631,
7.75,9275.0631,
7.85,9275.0631,
7.95,9275.0631,
8.06,9275.0631,
8.16,9275.0631,
8.26,9275.0631,
8.36,9275.0631,
8.51,9023.6381,
8.61,9064.4061,
8.72,9015.6019,
8.82,8995.5238,
8.92,8971.1581,
9.02,8967.8731,
9.12,8967.8731,
9.22,8969.438,
9.32,8967.8731,
9.42,8967.8731,
9.52,8967.8731,
9.62,8967.8731,
9.73,8967.8731,
9.83,8967.8731,
9.93,8967.8731,
10.03,8967.8731,
10.13,8967.8731,
10.31,10639.6682,
10.41,10717.3319,
10.51,10709.6846,
10.65,10683.1983,
10.75,10166.0392,
10.85,10133.9512,
10.95,10089.0187,
11.05,10051.6571,
11.15,9754.9212,
11.26,9717.8058,
11.36,9705.5474,
11.46,9705.5474,
11.56,9705.5474,
11.66,9604.0696,
11.76,9588.5427,
11.86,9588.5427,
11.96,9573.9347,
12.06,9543.9819,
12.16,9543.9819,
12.31,9544.8489,
12.41,9400.236,
12.51,9346.8751,
12.61,8925.1499,
12.71,8789.6144,
12.81,8789.5564,
12.91,8542.4295,
13.01,8542.4295,
13.11,8542.4295,
13.22,8542.4295,
13.32,8542.4295,
13.42,8542.4295,
13.52,8542.4295,
13.62,8542.4295,
13.72,8542.4295,
13.82,8542.4295,
13.95,9021.137,
14.05,8851.6314,
14.15,8844.328,
14.25,8855.4088,
14.35,8815.8368,
14.45,8803.8907,
14.55,8793.3027,
14.66,8793.3027,
14.76,8793.3027,
14.86,8793.3027,
14.96,8793.3027,
15.06,8793.3027,
15.17,8781.6616,
15.27,8766.1441,
15.37,8766.1441,
15.47,8766.1441,
15.57,8766.1441,
15.67,8766.1441,
15.77,8722.9799,
15.87,8722.9799,
16.04,9837.6279,
16.14,9739.7735,
16.24,9689.8739,
16.34,9672.9959,
16.44,9616.6642,
16.54,9614.6408,
16.64,9614.6408,
16.74,9600.9402,
16.84,9340.613,
16.94,9323.4848,
17.04,9323.4848,
17.14,9323.4848,
17.24,9323.4848,
17.35,9323.4848,
17.52,9180.8793,
17.63,8595.2591,
17.73,8630.1052,
17.83,8626.098,
17.93,8613.6233,
18.03,8558.4954,
18.13,8548.7019,
18.23,8548.7019,
18.33,8548.7019,
18.43,8548.7019,
18.53,8548.7019,
18.63,8548.7019,
18.73,8548.7019,
18.83,8548.7019,
18.93,8548.7019,
19.1,8641.9225,
19.2,8613.889,
19.3,8466.3464,
19.41,8466.3464,
19.51,8459.9753,
19.61,8433.2059,
19.71,8429.8141,
19.81,8418.5879,
19.91,8418.3687,
20.01,8200.0969,
20.11,8200.0969,
20.21,8200.0969,
20.33,8200.0969,
20.43,8200.0969,
20.53,8200.0969,
20.63,8200.0969,
20.73,8200.0969,
20.85,8748.7913,
20.95,8894.1578,
21.05,8954.2848,
21.15,8901.5925,
21.26,8643.4096,
21.36,8643.4096,
21.46,8636.7354,
21.56,8636.7354,
21.66,8636.7354,
21.76,8636.8464,
21.86,8636.8464,
21.96,8632.5115,
22.06,8632.5115,
22.16,8615.3171,
22.26,8615.3171,
22.36,8615.3171,
22.46,8615.3171,
22.57,8615.3171,
22.67,8615.3171,
22.78,8704.0174,
22.88,8193.4819,
22.98,8193.4819,
23.08,8181.9241,
23.18,8183.609,
23.28,8138.7599,
23.38,8138.7599,
23.48,8138.7599,
23.58,8138.1108,
23.68,8138.1108,
23.78,8093.8704,
23.88,8093.8704,
23.99,8093.8704,
24.09,8093.8704,
24.19,8093.8704,
24.29,8093.8704,
24.39,8093.8704,
24.5,8155.6796,
24.6,8166.3325,
24.7,8153.762,
24.8,8137.3451,
24.9,8137.8386,
25.0,8137.8386,
25.1,8137.8386,
25.2,8137.8386,
25.3,8137.8386,
25.4,8137.8386,
25.5,8137.8386,
25.6,8137.8386,
25.7,8137.8386,
25.8,8137.8386,
25.91,8137.8386,
26.11,9816.0784,
26.21,9818.0007,
26.31,9187.8421,
26.41,8949.0386,
26.51,8907.1696,
26.61,8904.9297,
26.71,8906.2258,
26.81,8902.3703,
26.91,8900.9388,
27.02,8900.6968,
27.12,8878.8737,
27.22,8877.1635,
27.32,8877.1635,
27.43,8877.1635,
27.53,8877.1635,
27.71,8877.1635,
27.82,8877.1635,
27.92,8877.1635,
28.07,8677.6082,
28.17,8607.4091,
28.27,8642.5027,
28.38,8615.9177,
28.48,8591.4639,
28.58,8588.7974,
28.68,8588.5118,
28.78,8586.1476,
28.88,8585.1356,
28.98,8585.1356,
29.08,8581.1008,
29.18,8581.1008,
29.28,8581.1008,
29.38,8581.1008,
29.48,8581.1008,
29.58,8569.4597,
29.77,9498.0296,
29.88,9523.7751,
29.98,9588.5066,
30.08,9559.0234,
30.18,9488.4624,
30.28,9475.5801,
30.38,9433.1646,
30.48,9407.4313,
30.58,9408.4449,
30.68,9403.4821,
30.78,9403.4821,
30.89,9403.4821,
30.99,9398.1816,
31.09,9388.0953,
31.19,9370.1066,
31.29,9370.1066,
31.39,9359.9041,
31.6,10466.9291,
31.7,10354.1182,
31.8,10076.6491,
31.9,9687.753,
32.0,9429.5241,
32.1,9415.5585,
32.21,9408.8777,
32.31,9274.6766,
32.41,9275.2424,
32.51,9275.2424,
32.61,9274.6766,
32.71,9274.6766,
32.82,9274.6766,
32.92,9274.6766,
33.02,9274.6766,
33.12,9274.6766,
33.22,9274.6766,
33.36,8733.6108,
33.46,8686.2538,
33.56,8225.1733,
33.66,8189.4298,
33.76,8194.8864,
33.86,8189.4298,
33.96,8188.4354,
34.06,8144.9342,
34.16,8144.9342,
34.26,8144.9342,
34.36,8144.2437,
34.46,8144.2437,
34.56,8144.2437,
34.66,8144.2437,
34.76,8144.2437,
34.86,8144.2437,
34.96,8144.2437,
35.1,9267.9669,
35.21,9356.5058,
35.31,9127.4983,
35.41,9076.0259,
35.51,9075.5036,
35.61,9065.2806,
35.71,9053.9776,
35.81,9031.3002,
35.91,9031.7073,
36.01,9029.9971,
36.11,9029.348,
36.24,9029.348,
36.34,9024.2441,
36.44,9024.2441,
36.54,9024.2441,
36.64,9024.2441,
36.74,9023.6208,
36.85,9023.6208,
37.05,9880.2733,
37.15,9920.8702,
37.25,9434.5246,
37.35,9416.3448,
37.45,9332.0789,
37.55,9306.7034,
37.65,9303.4884,
37.75,9295.8773,
37.85,9044.3573,
37.95,9040.8745,
38.05,9016.6079,
38.15,9016.6079,
38.26,9016.6079,
38.36,9016.6079,
38.46,9013.2309,
38.56,9009.7591,
38.69,9880.4541,
38.79,9732.9572,
38.9,9384.5399,
39.0,9330.0423,
39.1,9305.4657,
39.2,9281.6418,
39.3,9275.7184,
39.4,9275.7184,
39.5,9275.7184,
39.61,9224.0315,
39.71,9224.0315,
39.81,9224.0315,
39.91,9224.0315,
40.01,9224.0315,
40.12,9224.0315,
40.22,9223.3824,
40.32,9223.3824,
40.42,9223.3824,
40.52,9223.3824,
40.65,10368.6326,
40.75,9450.6333,
40.85,9189.1714,
40.96,9176.8276,
41.06,9130.0261,
41.16,9130.0261,
41.26,9120.9274,
41.36,9121.1694,
41.46,9117.7495,
41.56,9117.7495,
41.66,9117.7495,
41.76,9094.2865,
41.86,9094.2865,
41.97,9094.2865,
42.07,9094.2865,
42.17,9094.2865,
42.34,9599.2677,
42.44,9070.4587,
42.54,9093.9172,
42.64,9068.6724,
42.74,9088.6303,
42.84,9078.0562,
42.94,9067.0496,
43.09,9067.0496,
43.19,9055.7891,
43.3,9055.7891,
43.4,9044.148,
43.5,9044.148,
43.6,9044.148,
43.7,9030.9629,
43.8,9030.9629,
43.9,9020.175,
44.01,8975.9346,
44.11,8975.2855,
44.21,8975.2855,
44.39,11201.4647,
44.49,11089.0528,
44.59,10997.4736,
44.69,10924.4519,
44.8,10737.0962,
44.9,10685.1451,
45.0,10395.9567,
45.1,10345.902,
45.2,10166.1433,
45.3,10154.0275,
45.4,10150.69,
45.5,10150.69,
45.6,10141.0323,
45.7,10141.0323,
45.81,10141.0323,
45.91,10141.0323,
46.01,10129.0035,
46.11,10085.8393,
46.21,10085.8393,
46.31,10085.8393,
46.46,9688.8925,
46.56,9563.1507,
46.66,9266.3254,
46.76,9219.6439,
46.86,9183.3871,
46.96,9181.972,
47.06,9135.1149,
47.16,9135.1149,
47.27,9135.1149,
47.37,9121.4492,
47.47,9121.4492,
47.57,9121.4492,
47.67,9121.4492,
47.77,9121.4492,
47.87,9121.4492,
47.97,9121.4492,
48.18,9389.3528,
48.28,9163.1273,
48.38,9157.6442,
48.48,9137.3409,
48.59,9125.2644,
48.69,9126.0437,
48.93,9107.9281,
49.03,9107.9281,
49.14,9107.9281,
49.24,9107.9281,
49.34,9107.9281,
49.44,9085.4926,
49.54,9085.4926,
49.64,9076.4838,
49.75,9076.4838,
49.85,9076.4838,
49.95,9072.6019,
50.07,10111.2874,
50.17,9905.7579,
50.28,9692.29,
50.38,9598.218,
50.48,9347.5168,
50.58,9296.5068,
50.68,9296.5068,
50.78,9290.9142,
50.88,9290.9142,
50.98,9290.9142,
51.08,9290.9142,
51.18,9290.9142,
51.28,9290.9142,
51.38,9290.9142,
51.48,9273.9401,
51.59,9273.9401,
51.69,9273.9401,
51.84,9234.5271,
51.94,9224.0656,
52.04,9210.6266,
52.14,9229.6688,
52.24,9193.9918,
52.34,9199.6545,
52.45,9162.9517,
52.55,9154.1581,
52.65,9146.0031,
52.75,9144.8017,
52.85,9144.8017,
52.95,9144.8017,
53.06,9144.8017,
53.16,9143.0524,
53.26,9091.7074,
53.36,9091.7074,
53.46,9091.7074,
53.57,9091.7074,
53.67,9091.7074,
53.77,9091.7074,
53.95,10206.3612,
54.05,9716.56,
54.15,9580.0153,
54.25,9074.6548,
54.35,9059.868,
54.45,9051.3505,
54.56,9045.0544,
54.66,9045.0544,
54.76,9024.7549,
54.86,8877.5464,
54.96,8834.2484,
55.06,8811.1327,
55.16,8811.1327,
55.26,8811.1327,
55.36,8811.1327,
55.54,8811.1327,
55.64,8811.1327,
55.74,8811.1327,
55.9,10106.5194,
56.0,9778.3023,
56.1,9825.8465,
56.2,9487.8587,
56.3,9384.2978,
56.4,9388.2839,
56.51,9384.6459,
56.61,9385.295,
56.71,9343.9533,
56.81,9343.6052,
56.91,9343.6052,
57.01,9343.6052,
57.12,9343.6052,
57.22,9343.6052,
57.32,9343.6052,
57.42,9343.6052,
57.61,8462.2152,
57.71,8429.6844,
57.81,8418.0975,
57.92,8201.8525,
58.02,8202.9994,
58.12,8202.9994,
58.22,8204.7096,
58.32,8195.6372,
58.42,8195.6372,
58.52,8195.6372,
58.62,8195.6372,
58.72,8192.3349,
58.82,8192.3349,
58.92,8192.3349,
59.03,8192.3349,
59.13,8192.3349,
59.33,8594.2788,
59.43,8597.1161,
59.53,8587.6909,
59.63,8570.9916,
59.73,8564.4829,
59.83,8566.5739,
59.94,8559.8232,
60.04,8559.8232,
60.14,8559.8232,
60.27,8093.8704,
