elapsed_sec,best_cost,improvement_pct
0.1,9489.3834,
0.2,9521.5217,
0.31,9345.0048,
0.41,9295.9184,
0.51,9295.0938,
0.61,9363.4489,
0.71,9262.154,
0.81,9262.0392,
0.92,9285.372,
1.02,9273.0069,
1.13,9264.4178,
1.23,9239.0462,
1.34,9249.5834,
1.44,9264.5498,
1.54,9233.177,
1.65,9245.3134,
1.75,9239.5465,
1.86,9243.9056,
1.96,9234.4264,
2.06,9233.177,
2.16,9248.1503,
2.27,9247.889,
2.37,9245.683,
2.48,9234.3754,
2.58,9247.7347,
2.69,9243.6354,
2.8,9233.177,
2.9,9237.6453,
3.0,9255.4233,
3.11,9247.6698,
3.21,9248.2273,
3.31,9246.0235,
3.42,9233.785,
3.53,9244.044,
3.63,9234.6456,
3.73,9234.6456,
3.83,9235.4364,
3.94,9233.0382,
4.04,9217.7291,
4.14,9225.3618,
4.25,9226.8765,
4.35,9222.5158,
4.46,9213.3612,
4.56,9223.1002,
4.67,9233.4983,
4.78,9259.2622,
4.88,9240.6203,
4.99,9227.4802,
5.1,9227.4802,
5.2,9214.2115,
5.31,9223.9594,
5.42,9223.7593,
5.52,9227.3448,
5.63,9243.0308,
5.73,9240.1489,
5.84,9225.6164,
5.94,9233.6212,
6.05,9231.6706,
6.15,9228.476,
6.25,9229.0112,
6.35,9222.1351,
6.45,9231.331,
6.56,9226.6256,
6.66,9234.582,
6.77,9227.5506,
6.87,9236.4524,
6.98,9227.671,
7.09,9241.3719,
7.19,9227.5447,
7.3,9227.5447,
7.4,9227.0188,
7.51,9241.3871,
7.61,9227.7452,
7.72,9256.2675,
7.82,9243.0388,
7.93,9220.9324,
8.04,9230.6354,
8.14,9232.0836,
8.25,9221.8459,
8.36,9242.1896,
8.46,9255.1505,
8.56,9240.148,
8.67,9255.493,
8.77,9226.2959,
8.88,9241.0374,
8.98,9233.7166,
9.09,9228.0207,
9.2,9241.3871,
9.3,9250.2889,
9.41,9239.7629,
9.51,9243.8709,
9.62,9240.5916,
9.72,9242.2158,
9.82,9240.9664,
9.94,9232.125,
10.04,9222.0379,
10.14,9230.4535,
10.25,9252.3651,
10.35,9252.9105,
10.45,9218.8149,
10.56,9232.4178,
10.67,9255.2015,
10.77,9238.9595,
10.87,9213.0131,
10.98,9220.9324,
11.08,9238.6237,
11.19,9228.9602,
11.29,9231.7029,
11.4,9248.8028,
11.51,9226.6766,
11.61,9241.7571,
11.71,9247.5242,
11.81,9245.3136,
11.91,9242.133,
12.01,9230.8609,
12.12,9247.7472,
12.22,9248.7993,
12.33,9216.6521,
12.43,9223.3275,
12.54,9236.4603,
12.64,9217.6165,
12.75,9217.6165,
12.85,9226.4481,
12.96,9240.0449,
13.07,9232.4363,
13.17,9213.0131,
13.28,9217.1766,
13.38,9213.3612,
13.49,9227.9309,
13.59,9239.2289,
13.7,9228.4189,
13.8,9244.3814,
13.9,9239.016,
14.01,9227.4355,
14.12,9241.2989,
14.22,9228.1425,
14.33,9222.6303,
14.43,9243.2669,
14.54,9259.4438,
14.64,9224.6333,
14.75,9228.8197,
14.85,9214.2115,
14.95,9238.6558,
15.06,9220.9244,
15.17,9230.9477,
15.27,9223.4171,
15.38,9228.4906,
15.48,9229.7341,
15.59,9232.0954,
15.69,9226.4958,
15.79,9234.3268,
15.9,9233.7632,
16.01,9217.6165,
16.11,9229.386,
16.22,9223.9594,
16.32,9234.4071,
16.43,9247.1472,
16.54,9228.8947,
16.64,9234.967,
16.75,9227.3229,
16.86,9239.3422,
16.97,9258.1707,
17.09,9238.9842,
17.19,9241.4423,
17.3,9221.7224,
17.41,9232.2484,
17.51,9235.0557,
17.61,9235.0047,
17.72,9232.4178,
17.82,9224.6606,
17.93,9233.3271,
18.03,9239.2851,
18.13,9233.3744,
18.23,9240.7225,
18.34,9240.6738,
18.44,9225.9264,
18.54,9239.2928,
18.64,9246.4194,
18.75,9249.9611,
18.86,9245.0739,
18.96,9223.9179,
19.07,9217.6165,
19.17,9228.4906,
19.28,9227.2246,
19.39,9214.2625,
19.49,9241.8874,
19.6,9225.6404,
19.7,9234.4071,
19.81,9235.3341,
19.92,9227.4802,
20.02,9228.771,
20.13,9231.8741,
20.23,9222.1677,
20.34,9221.8656,
20.44,9228.3222,
20.55,9214.2625,
20.65,9228.6241,
20.76,9228.5072,
20.86,9232.2222,
20.97,9228.114,
21.08,9232.1093,
21.18,9254.8982,
21.29,9234.6546,
21.39,9234.8485,
21.5,9219.734,
21.6,9225.5346,
21.71,9221.7224,
21.81,9231.4922,
21.92,9221.5445,
22.02,9239.7811,
22.13,9221.787,
22.23,9220.473,
22.34,9226.2308,
22.44,9227.4802,
22.54,9236.3176,
22.65,9228.5664,
22.75,9223.7593,
22.86,9238.7955,
22.96,9232.2376,
23.07,9240.8019,
23.17,9244.2703,
23.27,9257.1955,
23.37,9222.386,
23.48,9223.4112,
23.58,9218.4852,
23.69,9223.0364,
23.79,9226.8439,
23.9,9239.639,
24.01,9230.1225,
24.11,9227.5506,
24.22,9223.9594,
24.33,9230.8793,
24.43,9232.5269,
24.54,9242.0677,
24.64,9252.5847,
24.75,9218.4852,
24.86,9223.2873,
