elapsed_sec,best_cost,improvement_pct
31.8,10372.4654,
31.9,10354.9972,
32.0,10407.1715,
32.21,10409.2749,
32.31,11053.1872,
32.41,10732.1551,
32.51,10754.1108,
32.61,10591.3648,
32.72,10746.2854,
32.82,10778.4061,
32.92,11021.283,
33.02,10737.7906,
33.12,10943.1073,
33.22,10939.6091,
33.33,10834.3289,
33.43,10580.8887,
33.53,10559.2084,
33.63,10356.9762,
33.73,10362.1695,
33.83,10365.6854,
33.94,10853.3498,
34.04,10745.348,
34.14,10465.4306,
34.24,10459.1405,
34.34,10461.3361,
34.44,10463.8067,
34.55,10329.3619,
34.65,10311.6225,
34.75,10674.9603,
34.85,10439.7456,
34.95,10456.3963,
35.05,10434.6684,
35.15,10609.6807,
35.26,10631.9456,
35.36,10461.3945,
35.46,10469.9754,
35.56,10427.9165,
35.66,10462.1578,
35.76,10440.7807,
35.86,10449.302,
35.97,10449.6068,
36.07,10045.9987,
36.17,10045.9987,
36.27,10083.4735,
36.37,10057.5755,
36.47,10057.5755,
36.57,10140.3961,
36.68,10043.7933,
36.78,10053.8865,
36.88,10048.0693,
36.98,10180.7297,
37.08,10152.7799,
37.18,10060.1319,
37.28,10063.9648,
37.38,10058.519,
37.49,10082.5003,
37.59,10107.7035,
37.69,10124.2658,
37.79,10069.7593,
37.89,10083.0738,
37.99,10055.9309,
38.09,10051.6141,
38.19,10084.6894,
38.3,10095.1887,
38.4,10047.794,
38.5,10141.4255,
38.6,10137.4847,
38.7,10045.1407,
38.82,10026.505,
38.92,10238.5885,
39.02,10309.3598,
39.12,10275.8236,
39.22,10210.4871,
39.32,10166.9384,
39.42,10155.0882,
39.52,10215.8393,
39.63,10265.9276,
39.73,9928.6745,
39.83,10136.4585,
39.93,10143.5584,
40.03,9967.3039,
40.13,10217.4916,
40.23,9931.9868,
40.33,9904.8762,
40.43,9951.5475,
40.54,9951.0445,
40.64,9975.5473,
40.74,9936.9619,
40.92,9931.6275,
41.03,9928.0123,
41.13,9918.2124,
41.23,9920.8834,
41.33,9930.1735,
41.43,9939.7096,
41.53,9912.7889,
41.63,9922.8001,
41.73,9927.3785,
41.83,9954.6941,
41.93,9954.6941,
42.03,10069.1469,
42.14,9936.9807,
42.24,9936.9807,
42.34,9921.6114,
42.44,9920.0165,
42.54,9930.9964,
42.64,9928.7031,
42.74,9921.4945,
42.84,9936.7201,
42.95,9914.386,
43.05,9909.5651,
43.15,9909.5651,
43.25,9900.6591,
43.35,9947.8619,
43.45,9898.8942,
43.55,9895.951,
43.65,10044.7067,
43.75,10037.7343,
43.85,10089.945,
43.95,10041.2541,
44.05,9928.016,
44.15,9908.5051,
44.26,9909.1116,
44.36,9917.5181,
44.46,9912.1115,
44.57,9901.4995,
44.67,9887.0176,
44.77,9895.2242,
44.87,9885.213,
44.97,9898.7045,
45.07,9895.2242,
45.17,9936.5462,
45.27,9969.4614,
45.37,9955.4806,
45.48,9954.8098,
45.58,9932.8809,
45.68,9941.0656,
45.78,9917.835,
45.88,9939.6664,
45.98,9945.2803,
46.08,9943.5674,
46.18,9936.9224,
46.28,9931.842,
46.38,9909.9309,
46.49,9913.6093,
46.59,9903.7941,
46.69,9888.4041,
46.79,9884.3622,
46.89,9878.8301,
46.99,9898.1213,
47.09,9690.9073,
47.19,9682.6426,
47.29,9692.3339,
47.39,9694.9795,
47.5,9689.5681,
47.6,9689.5681,
47.7,9689.5681,
47.8,9683.7632,
47.9,9683.7632,
48.01,9672.8418,
48.11,9672.8418,
48.21,9675.7445,
48.31,9675.7445,
48.41,9675.7445,
48.52,9675.7445,
48.62,9686.9855,
48.72,9685.3836,
48.83,9691.3518,
48.93,9671.5595,
49.03,9681.5707,
49.13,9673.9195,
49.23,9673.6209,
49.33,9674.7414,
49.44,9675.2444,
49.54,9672.3417,
49.64,9672.3417,
49.74,9700.4653,
49.84,9700.4653,
49.94,9703.368,
50.04,9695.3551,
50.14,9692.4921,
50.24,9692.4921,
50.34,9672.3523,
50.44,9672.3523,
50.6,9672.0731,
50.7,9672.0731,
50.81,9672.0731,
50.91,9672.0731,
51.01,9688.9627,
51.11,9678.0413,
51.21,9688.9627,
51.31,9688.9627,
51.41,9669.1704,
51.51,9658.5282,
51.61,9668.5394,
51.71,9668.5394,
51.81,9671.0348,
51.91,9656.3389,
52.02,9656.3389,
52.12,9656.8419,
52.22,9660.3222,
52.32,9655.7438,
52.42,9658.3806,
52.52,9661.4385,
52.62,9666.1821,
52.72,9666.6851,
52.82,9666.6851,
52.92,9665.084,
53.03,9661.5231,
53.13,9671.1936,
53.23,9668.9229,
53.33,9684.5165,
53.43,9682.3589,
53.53,9676.215,
53.63,9679.6953,
53.73,9663.0849,
53.84,9663.0849,
53.94,9667.4687,
54.04,9667.4687,
54.14,9667.4687,
54.24,9667.4687,
54.34,9682.5884,
54.44,9685.4732,
54.55,9676.4638,
54.65,9671.8854,
54.75,9670.1032,
54.85,9670.1032,
54.95,9675.1846,
55.05,9675.1846,
55.15,9670.6062,
55.25,9670.6062,
55.35,9667.7035,
55.46,9667.7035,
55.56,9667.7035,
55.66,9657.2825,
55.76,9658.3806,
55.86,9657.2825,
55.96,9656.7795,
56.06,9657.2825,
56.16,9657.3216,
56.27,9657.3216,
56.37,9655.7438,
56.47,9654.9616,
56.57,9666.9571,
56.67,9654.9616,
56.77,9664.9728,
56.88,9666.4564,
56.98,9664.9728,
57.08,9669.5512,
57.18,9664.9728,
57.3,9673.1586,
57.4,9676.053,
57.5,9676.54,
57.6,9679.0376,
57.7,9672.6657,
57.8,9663.2249,
57.9,9663.2249,
58.0,9663.2249,
58.1,9663.2249,
58.21,9660.3222,
58.31,9656.8419,
58.41,9666.6652,
58.51,9655.7438,
58.61,9656.8419,
58.71,9656.8419,
58.81,9656.8419,
58.91,9656.8419,
59.02,9655.7438,
59.12,9655.2408,
59.22,9654.9616,
59.38,9654.9616,
59.48,9656.4452,
59.59,9657.5433,
59.69,9657.5433,
59.79,9656.0597,
59.89,9667.5936,
59.99,9669.6823,
