elapsed_sec,best_cost,improvement_pct
0.1,10118.4671,
0.2,10350.2666,
0.3,11141.6774,
0.41,11272.3451,
0.51,11165.3955,
0.61,10773.9507,
0.71,10904.0846,
0.81,10712.7816,
0.91,10682.9569,
1.01,10648.528,
1.11,10945.6595,
1.22,11576.6737,
1.32,11695.3487,
1.42,10755.6131,
1.53,10937.0086,
1.63,11340.9882,
1.73,11087.9123,
1.83,10948.1296,
1.93,11195.6917,
2.03,10523.8425,
2.13,10488.5165,
2.25,11097.2789,
2.35,10790.0349,
2.46,11121.446,
2.56,11162.0893,
2.66,11060.9462,
2.76,11450.7313,
2.86,11444.8076,
2.97,11521.6008,
3.07,10729.4248,
3.17,10982.8794,
3.28,11416.3519,
3.38,11081.2881,
3.48,11352.3521,
3.58,10954.3334,
3.68,11322.7647,
3.79,11654.9617,
3.89,11145.0791,
3.99,11512.5361,
4.09,11524.1245,
4.19,11362.8143,
4.3,11539.8271,
4.4,11435.35,
4.62,11151.4541,
4.73,10774.9655,
4.83,10514.4139,
4.94,10643.9303,
5.04,10580.9015,
5.14,10811.8173,
5.24,11459.9805,
5.34,11052.6402,
5.45,11302.3844,
5.55,11193.3848,
5.65,11338.098,
5.75,11643.5519,
5.85,11284.867,
5.95,11066.1549,
6.06,11209.1791,
6.16,10890.5249,
6.26,11697.5978,
6.37,10967.6777,
6.47,10780.6599,
6.57,11388.622,
6.67,10783.8482,
6.77,11033.0621,
6.88,11270.0508,
6.98,11501.5816,
7.08,11450.1798,
7.19,11094.4081,
7.29,11057.0583,
7.39,11509.8848,
7.49,11120.8372,
7.59,11398.7182,
7.7,11025.658,
7.8,11475.8602,
7.9,11127.566,
8.0,10871.6479,
8.1,10866.3696,
8.2,10620.1853,
8.3,11120.2234,
8.41,10875.3647,
8.51,10800.3938,
8.61,11255.1658,
8.71,10623.5833,
8.81,11081.9034,
8.91,11119.331,
9.01,11115.5785,
9.11,11275.2181,
9.21,11105.0949,
9.31,10617.437,
9.43,10486.4754,
9.53,10521.4867,
9.63,10442.3422,
9.74,10443.8793,
9.84,10630.6414,
9.94,10664.2581,
10.05,10471.7568,
10.15,10381.1373,
10.25,10475.6265,
10.35,10463.2038,
10.45,10331.2874,
10.55,10425.9136,
10.66,10435.6828,
10.76,10593.298,
10.86,10380.0622,
10.96,10452.9813,
11.06,10500.3511,
11.17,11056.4413,
11.27,10848.5295,
11.37,10693.8286,
11.47,10695.0378,
11.57,10976.2518,
11.67,10809.2661,
11.77,11316.829,
11.88,10945.0138,
11.98,10909.5564,
12.08,10894.753,
12.18,10998.1624,
12.28,11001.7207,
12.39,10813.7688,
12.49,10956.0676,
12.59,10447.799,
12.76,10456.0102,
12.87,10776.6632,
12.97,10711.6287,
13.07,10869.1922,
13.17,10817.3395,
13.27,10861.1958,
13.37,10949.1375,
13.48,10542.7564,
13.58,10502.3004,
13.68,10652.8744,
13.78,10368.333,
13.88,10269.9894,
13.98,10159.6354,
14.08,10148.0903,
14.18,10309.8142,
14.29,10087.5642,
14.39,10591.9799,
14.49,10877.3598,
14.59,10636.2927,
14.69,10305.8554,
14.8,10326.181,
14.9,10364.3999,
15.0,10382.5015,
15.1,10358.7412,
15.2,10356.4823,
15.3,10377.5684,
15.4,10371.882,
15.5,10529.0743,
15.6,10497.5649,
15.7,10369.3537,
15.8,10628.4694,
15.9,10512.2515,
16.0,10316.7071,
16.11,10870.0287,
16.21,10512.1773,
16.31,10692.9774,
16.41,10567.045,
16.51,10508.1263,
16.61,10490.3784,
16.72,10509.8643,
16.82,10386.7168,
16.92,10378.1326,
17.02,10349.0247,
17.13,10257.5821,
17.23,10397.9714,
17.33,10303.6494,
17.43,10273.6233,
17.53,10338.9131,
17.64,10340.6119,
