elapsed_sec,best_cost,improvement_pct
0.1,8799.5258,
0.2,8496.7743,
0.3,8496.7743,
0.4,8496.7743,
0.5,8496.7743,
0.6,8496.7743,
0.7,8489.1723,
0.8,8489.1723,
0.9,8489.1723,
1.01,8489.1723,
1.11,8489.1723,
1.21,8489.1723,
1.31,8489.1723,
1.41,8489.1723,
1.51,8489.1723,
1.61,8489.1723,
1.71,8489.1723,
1.81,8489.1723,
1.91,8489.1723,
2.01,8489.1723,
2.11,8489.1723,
2.21,8489.1723,
2.31,8489.1723,
2.41,8489.1723,
2.51,8489.1723,
2.61,8489.1723,
2.71,8489.1723,
2.81,8489.1723,
2.91,8489.1723,
3.02,8489.1723,
3.12,8489.1723,
3.22,8489.1723,
3.32,8489.1723,
3.42,8489.1723,
3.52,8489.1723,
3.62,8489.1723,
3.72,8489.1723,
3.82,8489.1723,
3.92,8489.1723,
4.02,8489.1723,
4.12,8489.1723,
4.22,8489.1723,
4.33,8489.1723,
4.43,8489.1723,
4.53,8489.1723,
4.63,8489.1723,
4.73,8489.1723,
4.83,8489.1723,
4.93,8489.1723,
5.03,8489.1723,
5.13,8489.1723,
5.23,8489.1723,
5.33,8489.1723,
5.43,8489.1723,
5.53,8489.1723,
5.63,8489.1723,
5.73,8489.1723,
5.84,8489.1723,
5.94,8489.1723,
6.04,8489.1723,
6.14,8489.1723,
6.24,8489.1723,
6.34,8489.1723,
6.44,8489.1723,
6.54,8489.1723,
6.64,8489.1723,
6.74,8489.1723,
6.84,8489.1723,
6.94,8489.1723,
7.04,8489.1723,
7.14,8489.1723,
7.25,8489.1723,
7.35,8489.1723,
7.45,8489.1723,
7.55,8489.1723,
7.65,8489.1723,
7.75,8489.1723,
7.85,8489.1723,
7.95,8489.1723,
8.05,8489.1723,
8.15,8489.1723,
8.25,8489.1723,
8.35,8489.1723,
8.45,8489.1723,
8.56,8489.1723,
8.66,8489.1723,
8.76,8489.1723,
8.86,8489.1723,
8.96,8489.1723,
9.06,8489.1723,
9.16,8489.1723,
9.26,8489.1723,
9.36,8489.1723,
9.46,8489.1723,
9.56,8489.1723,
9.66,8489.1723,
9.76,8489.1723,
9.86,8489.1723,
9.96,8489.1723,
10.06,8489.1723,
10.17,8489.1723,
10.27,8489.1723,
10.37,8489.1723,
10.47,8489.1723,
10.57,8489.1723,
10.67,8489.1723,
10.77,8489.1723,
10.87,8489.1723,
10.97,8489.1723,
11.07,8489.1723,
11.17,8489.1723,
11.27,8489.1723,
11.37,8489.1723,
11.47,8489.1723,
11.57,8489.1723,
11.67,8489.1723,
11.77,8489.1723,
11.87,8489.1723,
11.97,8489.1723,
12.08,8489.1723,
12.18,8489.1723,
12.28,8489.1723,
12.38,8489.1723,
12.48,8489.1723,
12.58,8489.1723,
12.68,8489.1723,
12.78,8489.1723,
12.88,8489.1723,
12.98,8489.1723,
13.08,8489.1723,
13.18,8489.1723,
13.28,8489.1723,
13.38,8489.1723,
13.49,8489.1723,
13.59,8489.1723,
13.69,8489.1723,
13.79,8489.1723,
13.89,8489.1723,
13.99,8489.1723,
14.09,8489.1723,
14.19,8489.1723,
14.29,8489.1723,
14.39,8489.1723,
14.49,8489.1723,
14.59,8489.1723,
14.69,8489.1723,
14.8,8489.1723,
14.9,8489.1723,
15.0,8489.1723,
15.1,8489.1723,
15.2,8489.1723,
15.3,8489.1723,
15.4,8489.1723,
15.5,8489.1723,
15.6,8489.1723,
15.7,8489.1723,
15.8,8489.1723,
15.91,8489.1723,
16.01,8489.1723,
16.11,8489.1723,
16.21,8489.1723,
16.31,8489.1723,
16.41,8489.1723,
16.51,8489.1723,
16.61,8489.1723,
16.71,8489.1723,
16.81,8489.1723,
16.91,8489.1723,
17.01,8489.1723,
17.11,8489.1723,
17.21,8489.1723,
17.31,8489.1723,
17.41,8489.1723,
17.51,8489.1723,
17.61,8489.1723,
17.71,8489.1723,
17.81,8489.1723,
17.91,8489.1723,
18.01,8489.1723,
18.11,8489.1723,
18.21,8489.1723,
18.31,8489.1723,
18.42,8489.1723,
18.52,8489.1723,
18.62,8489.1723,
18.72,8489.1723,
18.82,8489.1723,
18.92,8489.1723,
19.02,8489.1723,
19.12,8489.1723,
19.22,8489.1723,
