elapsed_sec,best_cost,improvement_pct
0.11,9041.2635,
0.21,8737.9266,
0.31,8624.3643,
0.41,8438.5119,
0.51,8440.6162,
0.61,8434.8177,
0.71,8419.2879,
0.81,8419.3272,
0.91,8410.8063,
1.01,8410.5089,
1.12,8406.0784,
1.22,8401.9081,
1.32,8401.9081,
1.42,8401.9081,
1.52,8401.9081,
1.62,8401.9081,
1.72,8401.9081,
1.82,8401.9081,
1.93,8401.9081,
2.03,8401.9081,
2.13,8401.9081,
2.23,8401.9081,
2.33,8401.9081,
2.43,8401.9081,
2.61,8529.7545,
2.71,8591.7618,
2.81,8625.856,
2.91,8600.3629,
3.02,8594.488,
3.12,8600.9786,
3.22,8540.1027,
3.32,8542.5098,
3.42,8539.4509,
3.54,8525.2526,
3.64,8525.2526,
3.74,8524.2661,
3.84,8524.2661,
3.94,8524.2661,
4.04,8514.4915,
4.14,8514.4915,
4.25,8507.4137,
4.35,8507.4137,
4.45,8507.4137,
4.55,8507.4137,
4.65,8507.4137,
4.75,8507.4137,
4.85,8507.4137,
4.95,8507.4137,
5.05,8507.4137,
5.15,8507.4137,
5.33,8536.8207,
5.44,8547.8823,
5.54,8578.1206,
5.64,8585.6238,
5.74,8534.2408,
5.84,8523.3773,
5.94,8541.0668,
6.05,8530.5837,
6.15,8521.1554,
6.26,8506.9751,
6.36,8506.9751,
6.47,8499.9335,
6.57,8499.9335,
6.67,8493.3324,
6.78,8493.3324,
6.88,8493.3324,
6.98,8442.4981,
7.08,8442.5933,
7.18,8442.5933,
7.28,8442.5933,
7.38,8442.5933,
7.48,8442.5933,
7.58,8442.5933,
7.68,8442.5933,
7.78,8442.5933,
7.88,8442.5933,
7.98,8442.5933,
8.12,8634.5017,
8.23,8283.0385,
8.33,8154.176,
8.44,8208.7911,
8.54,8078.0642,
8.64,8087.6622,
8.74,8075.8932,
8.84,8065.2893,
8.94,8065.2893,
9.05,8055.3363,
9.15,8061.4651,
9.25,8051.5121,
9.35,8051.5121,
9.45,8051.5121,
9.56,8051.5121,
9.66,8051.5121,
9.76,8043.8729,
9.86,8043.8729,
9.96,8043.8729,
10.06,8043.8729,
10.16,8036.3318,
10.26,8036.3318,
10.36,8036.3318,
10.46,8036.3318,
10.56,8036.3318,
10.67,8036.3318,
10.77,8036.3318,
10.87,8036.3318,
10.97,8024.1848,
11.11,9062.9775,
11.21,8727.0989,
11.31,8776.3164,
11.41,8770.197,
11.52,8679.5133,
11.62,8549.1139,
11.72,8461.6376,
11.82,8462.3753,
11.92,8334.2027,
12.02,8322.7874,
12.12,8322.7874,
12.22,8322.7874,
12.32,8321.5256,
12.42,8321.5256,
12.52,8313.2206,
12.63,8313.2206,
12.73,8099.2799,
12.83,8099.2799,
12.94,8099.2799,
13.04,8099.2799,
13.14,8099.2799,
13.24,8099.2799,
13.34,8099.2799,
13.44,8099.2799,
13.54,8099.2799,
13.64,8099.2799,
13.79,8529.0507,
13.89,8615.5476,
13.99,8555.9787,
14.1,8172.5348,
14.2,8191.4464,
14.3,8208.5935,
14.4,8173.8732,
14.5,8161.9465,
14.6,8162.3807,
14.7,8147.4497,
14.8,8144.1217,
14.9,8144.9443,
15.0,8098.0886,
15.11,8062.2893,
15.21,8062.2538,
15.31,8062.2893,
15.41,8062.2893,
15.51,8060.6385,
15.61,8059.4907,
15.72,8059.4907,
15.82,8059.4907,
15.92,8059.4907,
16.02,8059.4907,
16.12,8059.4907,
16.22,8053.355,
16.32,8053.355,
16.42,8053.355,
16.52,8053.355,
16.65,9789.5581,
16.84,9773.9123,
16.94,9315.4663,
17.04,9212.6625,
17.14,9237.8402,
17.24,9212.8207,
17.35,9157.9483,
17.45,9157.9483,
17.55,9160.6853,
17.65,9155.5971,
17.75,9158.7614,
