elapsed_sec,best_cost,improvement_pct
0.1,8833.9519,
0.21,8566.3417,
0.32,8554.945,
0.43,8555.1717,
0.54,8561.8157,
0.64,8562.3656,
0.75,8567.9911,
0.87,8567.8521,
1.0,8561.3966,
1.12,8463.8987,
1.22,8468.358,
1.36,8469.0687,
1.47,8468.4264,
1.58,8462.2939,
1.68,8460.4005,
1.79,8468.1292,
1.9,8479.5802,
2.01,8474.7732,
2.11,8468.4704,
2.22,8471.9647,
2.33,8470.5124,
2.44,8476.4198,
2.54,8251.1058,
2.65,8268.4369,
2.75,8246.5615,
2.86,8190.3318,
2.97,8193.3763,
3.07,8186.5524,
3.18,8194.8472,
3.29,8205.064,
3.39,8189.6601,
3.5,8194.0161,
3.61,8199.5942,
3.72,8187.0889,
3.82,8200.5424,
3.92,8203.9748,
4.03,8185.2853,
4.14,8121.9948,
4.25,8123.6456,
4.35,8127.4937,
4.46,8127.4937,
4.57,8127.4937,
4.68,8123.4157,
4.78,8123.4157,
4.89,8123.6456,
5.0,8123.6456,
5.11,8123.6456,
5.22,8123.4157,
5.32,8123.4157,
5.43,8123.4157,
5.53,8121.9948,
5.64,8123.6456,
5.75,8123.6456,
5.85,8121.9948,
5.96,8123.4157,
6.06,8123.4157,
6.17,8123.4157,
6.28,8123.4157,
6.38,8121.9948,
6.49,8123.6456,
6.6,8123.6456,
6.7,8128.0933,
6.81,8128.0933,
6.92,8128.0933,
7.03,8132.1713,
7.14,8132.1713,
7.25,8132.1713,
7.36,8121.9948,
7.47,8121.9948,
7.58,8121.9948,
7.69,8121.9948,
7.8,8123.4157,
7.9,8128.0933,
8.01,8123.4157,
8.12,8123.4157,
8.23,8127.4937,
8.33,8132.1713,
8.44,8127.4937,
8.55,8123.4157,
8.65,8128.0933,
8.76,8123.4157,
8.87,8123.4157,
8.98,8123.4157,
9.08,8123.6456,
9.19,8123.6456,
9.29,8130.3429,
9.4,8121.9948,
9.5,8123.4157,
9.61,8123.4157,
9.71,8123.4157,
9.82,8123.6456,
9.92,8121.9948,
10.02,8123.6456,
10.12,8121.9948,
10.23,8121.9948,
10.34,8133.1575,
10.44,8147.6797,
