elapsed_sec,best_cost,improvement_pct
0.15,8165.9746,
0.25,8090.4608,
0.35,8026.6012,
0.45,8073.7026,
0.55,7996.0087,
0.65,8038.47,
0.75,8108.0903,
0.85,7855.5485,
0.95,7873.0676,
1.06,8264.5007,
1.16,8262.5237,
1.26,8253.8229,
1.36,8341.2847,
1.46,8464.4213,
1.56,8320.14,
1.66,8322.0724,
1.76,8413.7696,
1.86,8396.9595,
1.96,8307.3652,
2.06,8157.7932,
2.17,8431.6544,
2.27,7880.3439,
2.37,8097.8074,
2.47,7864.9027,
2.57,7859.7035,
2.67,7867.9042,
2.78,7866.7337,
2.88,7873.9963,
2.98,7877.4106,
3.08,7879.1767,
3.18,7872.5179,
3.28,7857.9779,
3.38,7878.675,
3.49,7878.675,
3.59,7874.1944,
3.69,7874.1944,
3.79,7871.2737,
3.89,7868.412,
3.99,7905.5064,
4.09,7885.3116,
4.19,7881.5,
4.29,7888.053,
4.39,7892.9652,
4.49,7891.009,
4.59,7889.2429,
4.7,7885.9206,
4.8,7884.6376,
4.9,7879.6023,
5.0,7878.2303,
5.1,7889.139,
5.2,7885.5758,
5.3,7861.373,
5.4,7858.5312,
5.5,7855.9029,
5.61,7852.1943,
5.71,7835.931,
5.81,7845.2863,
5.91,7858.8593,
6.01,7861.5496,
6.11,7858.8593,
6.21,7854.8414,
6.31,7855.5231,
6.41,7864.2667,
6.52,7914.9407,
6.62,7906.6854,
6.72,7919.5238,
6.82,8082.5569,
6.92,8091.641,
7.02,8127.3468,
7.12,7925.9592,
7.22,7887.2839,
7.37,7780.9593,
7.47,7781.0539,
7.57,7769.0811,
7.68,7798.0651,
7.78,7849.8382,
7.88,7840.96,
7.98,7841.1619,
8.08,7838.7619,
8.18,7844.9285,
8.28,7833.0145,
8.39,7827.7803,
8.49,7856.7203,
8.61,7880.4804,
8.71,7842.852,
8.81,7864.0592,
8.91,7844.9675,
9.01,7834.759,
9.12,7839.9932,
9.22,7831.2522,
9.32,7998.6052,
9.42,7838.7933,
9.52,7906.0329,
9.62,7913.3321,
9.72,7935.3692,
9.82,7912.6915,
9.92,7932.7872,
10.02,7918.1603,
10.13,7915.7822,
10.23,7899.7619,
10.33,7905.6337,
10.43,7897.9758,
10.54,7899.1162,
10.64,7885.4133,
10.74,7886.0627,
10.85,7893.2811,
10.95,7878.5352,
11.05,7875.8817,
11.15,7830.0492,
11.25,7911.8179,
11.35,8065.2664,
11.46,7845.6841,
11.56,7853.7798,
11.66,7854.5836,
11.76,7824.0197,
11.86,7854.3987,
11.96,7847.5338,
12.06,7864.5463,
12.16,7846.4973,
12.26,7846.4973,
12.36,7861.0604,
12.46,7866.4837,
12.57,7870.1763,
12.67,7862.5645,
12.77,7881.0781,
12.88,7590.3917,
12.98,7575.7672,
13.08,7585.4712,
13.18,7589.641,
13.28,7576.6356,
13.39,7590.0837,
13.49,7602.5127,
13.59,7580.07,
13.69,7574.9431,
13.79,7582.7845,
13.89,7571.2417,
13.99,7580.7393,
14.09,7637.9808,
14.19,7623.4617,
14.29,7599.8058,
14.53,7556.5022,
14.63,8296.2681,
14.73,8140.5372,
14.83,8141.6733,
14.93,8141.4367,
15.03,8146.4688,
15.13,7997.2802,
15.23,8025.5225,
15.33,8012.1459,
15.44,8001.369,
15.54,8454.3484,
15.64,8705.3731,
15.74,8281.2631,
15.84,8282.8271,
15.94,8468.9854,
16.04,8453.9105,
16.14,8084.4377,
16.25,8088.9112,
16.35,8100.2143,
16.45,8121.918,
16.55,8174.6111,
16.65,8200.5989,
16.75,8207.0224,
16.85,8210.7576,
16.95,8467.6255,
17.05,8189.1697,
17.16,8206.9822,
17.26,8251.3123,
17.36,8247.5845,
17.46,7996.5309,
17.56,8002.5907,
17.66,7991.0519,
17.76,8038.2775,
17.87,8068.0741,
17.97,7897.7495,
18.07,7938.6771,
18.17,7894.6992,
18.28,7878.7375,
18.38,7878.7375,
18.48,7878.7375,
18.58,7911.5313,
18.68,7934.2855,
18.78,7943.2652,
18.88,7943.2652,
18.98,7943.0702,
19.08,7944.4776,
19.19,7944.4776,
19.29,7944.6534,
19.39,7953.4553,
19.49,7944.6534,
19.59,7947.3496,
19.69,7939.7751,
19.79,7883.6747,
19.9,7897.9538,
20.0,7964.4219,
20.1,7945.2277,
20.2,7952.5976,
20.3,8028.9701,
20.4,7993.1673,
20.5,7983.1379,
20.6,7983.7605,
20.7,7710.6012,
20.8,7714.5952,
20.91,7719.8357,
21.01,7697.0939,
21.11,7635.2245,
21.21,7635.2245,
21.31,7641.616,
21.41,7643.1721,
21.51,7687.5655,
21.61,7674.7171,
21.71,7630.6143,
21.94,7556.5022,
