elapsed_sec,best_cost,improvement_pct
0.1,6897.4893,
0.2,6897.4893,
0.3,6897.4893,
0.4,6897.4893,
0.5,6897.4893,
0.6,6897.4893,
0.7,6897.4893,
0.81,6897.4893,
0.91,6897.4893,
1.01,6897.4893,
1.11,6897.4893,
1.21,6897.4893,
1.31,6897.4893,
1.41,6897.4893,
1.51,6897.4893,
1.61,6897.4893,
1.71,6897.4893,
1.81,6897.4893,
1.91,6897.4893,
2.01,6897.4893,
2.11,6897.4893,
2.21,6897.4893,
2.31,6897.4893,
2.41,6897.4893,
2.51,6897.4893,
2.61,6897.4893,
2.71,6897.4893,
2.81,6897.4893,
2.91,6897.4893,
3.02,6897.4893,
3.12,6897.4893,
3.22,6897.4893,
3.32,6897.4893,
3.42,6897.4893,
3.52,6897.4893,
3.62,6897.4893,
3.72,6897.4893,
3.82,6897.4893,
3.92,6897.4893,
4.02,6897.4893,
4.12,6897.4893,
4.22,6897.4893,
4.32,6897.4893,
4.42,6897.4893,
4.52,6897.4893,
4.62,6897.4893,
4.72,6897.4893,
4.82,6897.4893,
4.92,6897.4893,
5.02,6897.4893,
5.12,6897.4893,
5.23,6897.4893,
5.33,6897.4893,
5.43,6897.4893,
5.53,6897.4893,
5.63,6897.4893,
5.73,6897.4893,
5.83,6897.4893,
5.93,6897.4893,
6.03,6897.4893,
6.13,6897.4893,
6.23,6897.4893,
6.33,6897.4893,
6.43,6897.4893,
6.53,6897.4893,
6.64,6897.4893,
6.74,6897.4893,
6.84,6897.4893,
6.94,6897.4893,
7.04,6897.4893,
7.14,6897.4893,
7.24,6897.4893,
7.34,6897.4893,
7.44,6897.4893,
7.54,6897.4893,
7.64,6897.4893,
7.74,6897.4893,
7.84,6897.4893,
7.94,6897.4893,
8.04,6897.4893,
8.14,6897.4893,
8.24,6897.4893,
8.34,6897.4893,
8.44,6897.4893,
8.54,6897.4893,
8.64,6897.4893,
8.74,6897.4893,
8.84,6897.4893,
8.94,6897.4893,
9.04,6897.4893,
9.14,6897.4893,
9.24,6897.4893,
9.35,6897.4893,
9.45,6897.4893,
