elapsed_sec,best_cost,improvement_pct
0.1,7081.7362,
0.21,6825.4059,
0.31,7569.3327,
0.41,8041.9315,
0.51,7038.4383,
0.61,7391.4438,
0.71,7482.869,
0.81,7803.9245,
0.91,7306.6504,
1.01,6957.386,
1.12,6700.1641,
1.22,6894.4618,
1.33,6686.1355,
1.43,6779.9725,
1.53,7380.3474,
1.63,6805.3838,
1.74,6784.8513,
1.84,6757.4611,
1.94,6636.2975,
2.04,6675.4769,
2.14,6655.5726,
2.24,6740.9003,
2.34,6882.8205,
2.44,6850.6656,
2.54,6801.1169,
2.64,7250.2754,
2.74,6982.2195,
2.84,7134.8453,
2.94,7237.2678,
3.04,7278.4076,
3.14,7354.6223,
3.24,7385.3645,
3.34,7269.789,
3.45,7058.4287,
3.55,6798.925,
3.65,6612.4092,
3.75,6666.93,
3.85,6754.4369,
3.95,6765.7577,
4.05,6745.3206,
4.15,6799.949,
4.26,6842.8508,
4.36,6883.3994,
4.46,6551.2975,
4.56,6912.3233,
4.66,6750.0906,
4.76,6765.1318,
4.86,6942.0356,
4.96,6948.3679,
5.06,6691.5782,
5.16,6708.7031,
5.26,6847.4811,
5.36,6912.6374,
5.46,6943.9175,
5.57,7356.1553,
5.67,6646.8879,
5.77,6759.1622,
5.87,6783.9894,
5.97,6714.1483,
6.07,6754.8445,
6.17,6999.9167,
6.27,6613.222,
6.37,6765.804,
6.48,6915.2857,
6.58,6663.1035,
6.68,6956.5059,
6.78,6721.8764,
6.88,6515.4405,
6.98,6477.5879,
7.08,6356.8788,
7.19,6333.991,
7.29,6328.7996,
7.39,6376.442,
7.49,6327.4021,
7.59,6327.1347,
7.69,6344.0672,
7.8,6349.6259,
7.9,6352.204,
8.0,6344.7515,
8.1,6418.822,
8.21,6345.2026,
8.31,6414.5289,
8.41,6293.8256,
8.51,6370.2867,
8.61,6376.5779,
8.71,6472.1408,
8.81,6471.4743,
8.91,6161.6385,
9.01,6127.0166,
9.11,6029.2154,
9.21,6010.6257,
9.31,6021.792,
9.41,5998.4025,
9.52,6037.2545,
9.62,5997.9387,
9.72,5921.4756,
9.82,5931.3458,
9.92,5931.3458,
10.02,5931.3458,
10.12,6040.3619,
10.22,5931.4345,
10.32,5919.8876,
10.42,5915.6178,
10.52,5924.8518,
10.62,5992.6866,
10.72,6024.681,
10.83,5920.582,
10.93,5924.8518,
11.03,5996.9564,
11.13,5924.8518,
11.23,5927.2,
11.33,5948.312,
11.43,5957.1526,
11.53,6016.1468,
11.63,5942.057,
11.73,5942.057,
11.83,5942.1582,
11.93,6055.5249,
12.03,6047.9339,
12.14,6036.6768,
12.24,6035.4862,
12.34,6029.4977,
12.44,6011.2692,
12.55,6043.9997,
12.65,6001.4071,
12.75,6026.036,
12.85,6037.6727,
12.95,6026.7644,
13.05,6039.7021,
13.15,6043.9059,
13.26,6018.6143,
13.36,6016.2586,
13.46,6001.7153,
13.56,6011.2385,
13.66,6018.5133,
13.78,6019.1801,
13.88,6022.5227,
13.98,6036.1727,
14.09,6016.3794,
14.19,6044.7777,
14.29,6036.6355,
14.39,6019.6506,
14.49,6018.4911,
14.59,6032.9462,
14.69,6095.0315,
14.79,6029.0857,
14.9,6021.5477,
15.0,6037.5546,
15.1,6021.3587,
15.2,6028.1243,
15.3,5992.9649,
15.4,6018.149,
15.5,6020.8682,
15.6,6011.612,
15.7,6017.529,
15.8,6029.5535,
15.91,6019.5733,
16.01,6025.7454,
16.11,6030.9626,
16.21,6028.1209,
16.32,6044.8708,
16.42,6031.3505,
16.52,6022.9531,
16.62,6031.3243,
16.72,6047.1639,
16.82,6019.0614,
16.92,6014.2051,
17.02,6021.8071,
17.12,6029.4015,
17.23,6030.4539,
17.33,6037.6076,
17.43,6040.6607,
17.53,6021.4113,
17.63,6025.4966,
17.73,6029.7825,
17.83,6038.5943,
17.94,6039.2307,
18.04,6039.2307,
18.14,6052.7459,
18.24,6005.608,
18.35,6013.2206,
18.45,6032.0063,
18.55,6008.6118,
18.65,6003.973,
18.76,6025.7747,
18.87,6003.973,
18.97,6019.7255,
19.07,6044.7343,
19.17,6045.5319,
19.27,6030.6396,
19.38,6019.4325,
19.48,6023.9125,
19.58,6028.1914,
19.68,6042.9558,
19.78,6032.8848,
19.88,6049.2722,
19.98,6017.9435,
20.08,6016.7458,
20.19,6018.7639,
20.29,6014.6622,
20.39,5994.0269,
20.49,6015.5077,
20.59,6000.6406,
20.7,6023.7211,
20.8,5995.0986,
20.9,6003.1571,
21.0,5981.9123,
21.1,5990.0138,
21.2,5988.0313,
21.3,5996.1825,
21.4,5993.1161,
21.5,6003.7265,
21.6,6008.2739,
21.7,5992.4746,
21.8,5978.9112,
21.9,5977.2256,
22.01,5990.7522,
22.11,5972.2614,
22.21,5987.1333,
22.31,5983.0331,
22.41,6036.0328,
22.51,5985.2084,
22.61,5985.2084,
22.71,5996.3627,
22.81,5989.0316,
22.91,5990.3769,
23.02,5991.0168,
23.12,5991.0168,
23.22,5983.8631,
23.32,5995.0312,
23.42,5983.8631,
23.52,5983.8631,
23.62,5983.8631,
23.72,5997.202,
23.82,5997.202,
23.92,6017.7182,
24.02,6017.6617,
24.13,6016.4778,
24.23,6015.1325,
24.33,5913.0027,
24.43,5906.6218,
24.54,5906.6218,
24.64,5899.4681,
24.74,5951.4513,
24.84,5907.6385,
24.94,5899.4681,
25.04,5906.6218,
25.14,5903.8557,
25.24,5899.4681,
25.34,5910.9403,
25.44,5909.4399,
25.54,5911.2077,
25.64,5911.2077,
25.74,5911.2077,
25.85,5917.2194,
25.96,5909.049,
26.06,5909.049,
26.16,5918.2127,
26.26,5909.049,
26.36,5909.049,
26.46,5909.049,
26.56,5906.9395,
26.66,5906.9395,
26.76,5917.3112,
26.86,5911.3484,
26.96,5902.9619,
27.07,5902.9619,
27.17,5901.6698,
27.27,5901.6698,
27.37,5901.6698,
27.47,5901.6698,
27.57,5901.6698,
27.67,5901.6698,
27.77,5901.6698,
27.88,5905.269,
27.98,5903.983,
28.08,5904.3854,
28.18,5898.2275,
28.28,5898.2275,
28.38,5901.1225,
28.48,5893.5785,
28.58,5893.5785,
28.68,5893.5785,
28.78,5893.5785,
28.88,5893.5785,
28.98,5896.245,
29.08,5896.245,
29.18,5903.3987,
29.28,5900.7322,
29.38,5893.5785,
29.49,5893.5785,
29.59,5893.5785,
29.69,5893.5785,
29.79,5893.5785,
29.89,5905.7094,
29.99,5905.7094,
30.09,5912.7751,
30.19,5912.7751,
30.29,5909.8493,
30.39,5909.8493,
30.5,5909.8493,
30.6,5909.8493,
30.7,5909.8493,
30.81,5909.8493,
30.91,5910.458,
31.01,5897.0981,
31.12,5907.8727,
31.22,5907.8727,
31.32,5894.8093,
31.42,5894.8093,
31.52,5897.0981,
31.62,5914.4703,
31.72,5897.0981,
31.82,5897.0981,
31.92,5897.0981,
32.02,5897.0981,
32.13,5897.0981,
32.23,5897.0981,
32.33,5897.0981,
32.43,5897.0981,
32.54,5894.8093,
32.64,5894.8093,
32.74,5903.8481,
32.84,5905.8902,
32.95,5895.1156,
33.05,5895.1156,
33.15,5895.1156,
33.25,5906.7548,
33.35,5902.6596,
33.45,5906.7548,
33.55,5906.7548,
33.65,5903.829,
33.75,5903.829,
33.85,5903.829,
33.95,5908.0597,
34.06,5912.3378,
34.16,5898.3779,
34.26,5915.1529,
34.36,5895.1156,
34.46,5895.1156,
34.57,5895.1156,
34.67,5895.1156,
34.77,5895.1156,
34.87,5895.1156,
34.97,5895.1156,
35.07,5895.1156,
35.18,5895.1156,
35.28,5903.1741,
35.38,5895.1156,
35.48,5899.1101,
35.58,5913.8125,
35.68,5890.5748,
35.79,5890.5748,
35.89,5890.5748,
35.99,5890.5748,
36.09,5890.5748,
36.2,5890.5748,
36.3,5890.5748,
36.4,5890.5748,
36.5,5890.5748,
36.6,5898.1188,
36.7,5890.5748,
36.8,5890.5748,
36.9,5890.5748,
37.0,5890.5748,
37.1,5890.5748,
37.2,5890.5748,
37.3,5890.5748,
37.4,5890.5748,
37.5,5890.5748,
37.6,5890.5748,
37.71,5892.2912,
37.81,5899.4449,
37.91,5899.7338,
38.01,5899.7338,
38.11,5897.7285,
38.21,5905.4652,
38.31,5898.7152,
38.41,5894.097,
38.51,5903.5234,
38.61,5899.2655,
38.71,5899.2655,
38.81,5901.2507,
38.91,5894.097,
39.01,5894.097,
39.11,5894.097,
39.21,5894.097,
39.31,5894.097,
39.42,5894.097,
39.52,5894.097,
39.62,5894.097,
39.72,5894.097,
39.82,5898.0915,
39.92,5894.097,
40.02,5891.8082,
40.12,5891.8082,
40.22,5891.8082,
40.32,5891.8082,
40.42,5891.8082,
40.52,5898.9619,
40.62,5898.9619,
40.72,5891.8082,
40.83,5894.097,
40.93,5894.097,
41.03,5894.097,
41.13,5894.097,
41.23,5894.097,
41.33,5894.097,
41.43,5894.097,
