elapsed_sec,best_cost,improvement_pct
0.1,7868.8063,
0.2,7868.8063,
0.3,7868.8063,
0.4,7868.8063,
0.5,7868.8063,
0.6,7868.8063,
0.71,7868.8063,
0.81,7868.8063,
0.91,7868.8063,
1.01,7868.8063,
1.11,7868.8063,
1.21,7868.8063,
1.31,7868.8063,
1.41,7868.8063,
1.51,7868.8063,
1.61,7868.8063,
1.71,7868.8063,
1.81,7868.8063,
1.91,7868.8063,
2.01,7868.8063,
2.11,7868.8063,
2.21,7868.8063,
2.31,7868.8063,
2.41,7868.8063,
2.51,7868.8063,
2.61,7868.8063,
2.71,7868.8063,
2.81,7868.8063,
2.91,7868.8063,
3.01,7868.8063,
3.11,7868.8063,
3.21,7868.8063,
3.31,7868.8063,
3.41,7868.8063,
3.51,7868.8063,
3.61,7868.8063,
3.71,7868.8063,
3.82,7868.8063,
3.92,7868.8063,
4.02,7868.8063,
4.12,7868.8063,
4.22,7868.8063,
4.32,7868.8063,
4.42,7868.8063,
4.52,7868.8063,
4.62,7868.8063,
4.72,7868.8063,
4.82,7868.8063,
4.92,7868.8063,
5.02,7868.8063,
5.12,7868.8063,
5.22,7868.8063,
5.32,7868.8063,
5.42,7868.8063,
5.52,7868.8063,
5.62,7868.8063,
5.73,7868.8063,
5.83,7868.8063,
5.93,7868.8063,
6.03,7868.8063,
6.13,7868.8063,
6.23,7868.8063,
6.33,7868.8063,
6.43,7868.8063,
6.53,7868.8063,
6.63,7868.8063,
6.73,7868.8063,
6.83,7868.8063,
6.93,7868.8063,
7.03,7868.8063,
7.13,7868.8063,
7.23,7868.8063,
7.33,7868.8063,
7.43,7868.8063,
7.53,7868.8063,
7.63,7868.8063,
7.73,7868.8063,
7.83,7868.8063,
7.93,7868.8063,
8.04,7868.8063,
8.14,7868.8063,
8.24,7868.8063,
8.34,7868.8063,
8.44,7868.8063,
8.54,7868.8063,
8.64,7868.8063,
8.74,7868.8063,
8.84,7868.8063,
8.94,7868.8063,
9.04,7868.8063,
9.14,7868.8063,
9.24,7868.8063,
9.34,7868.8063,
9.44,7868.8063,
9.54,7868.8063,
9.64,7868.8063,
9.75,7868.8063,
9.85,7868.8063,
9.95,7868.8063,
10.05,7868.8063,
10.15,7868.8063,
10.25,7868.8063,
10.35,7868.8063,
10.45,7868.8063,
10.55,7868.8063,
10.65,7868.8063,
10.75,7868.8063,
10.85,7868.8063,
10.95,7868.8063,
11.05,7868.8063,
11.15,7868.8063,
11.25,7868.8063,
11.35,7868.8063,
11.45,7868.8063,
11.55,7868.8063,
11.65,7868.8063,
11.76,7868.8063,
11.86,7868.8063,
11.96,7868.8063,
12.06,7868.8063,
12.16,7868.8063,
12.26,7868.8063,
12.36,7868.8063,
12.46,7868.8063,
12.56,7868.8063,
12.66,7868.8063,
12.76,7868.8063,
12.86,7868.8063,
13.0,7868.8063,
13.1,7868.8063,
13.2,7868.8063,
13.3,7868.8063,
13.4,7868.8063,
13.5,7868.8063,
13.6,7868.8063,
13.7,7868.8063,
13.8,7868.8063,
13.9,7868.8063,
14.0,7868.8063,
14.1,7868.8063,
14.2,7868.8063,
14.3,7868.8063,
14.4,7868.8063,
14.5,7868.8063,
14.61,7868.8063,
14.71,7868.8063,
14.81,7868.8063,
14.91,7868.8063,
15.01,7868.8063,
15.11,7868.8063,
15.21,7868.8063,
15.31,7868.8063,
15.41,7868.8063,
15.51,7868.8063,
15.61,7868.8063,
15.71,7868.8063,
15.81,7868.8063,
15.91,7868.8063,
16.01,7868.8063,
16.11,7868.8063,
16.21,7868.8063,
16.31,7868.8063,
16.41,7868.8063,
16.51,7868.8063,
16.61,7868.8063,
16.71,7868.8063,
16.81,7868.8063,
16.91,7868.8063,
17.01,7868.8063,
17.11,7868.8063,
17.21,7868.8063,
17.31,7868.8063,
17.41,7868.8063,
17.52,7868.8063,
17.62,7868.8063,
17.72,7868.8063,
17.82,7868.8063,
17.92,7868.8063,
18.02,7868.8063,
18.12,7868.8063,
18.22,7868.8063,
18.32,7868.8063,
18.42,7868.8063,
18.52,7868.8063,
18.62,7868.8063,
18.72,7868.8063,
18.82,7868.8063,
18.92,7868.8063,
19.02,7868.8063,
19.13,7868.8063,
19.23,7868.8063,
19.33,7868.8063,
19.43,7868.8063,
19.53,7868.8063,
19.63,7868.8063,
19.73,7868.8063,
19.83,7868.8063,
19.93,7868.8063,
20.03,7868.8063,
20.13,7868.8063,
20.23,7868.8063,
20.33,7868.8063,
20.43,7868.8063,
20.53,7868.8063,
20.63,7868.8063,
20.73,7868.8063,
20.83,7868.8063,
20.93,7868.8063,
21.03,7868.8063,
21.13,7868.8063,
21.23,7868.8063,
21.33,7868.8063,
21.43,7868.8063,
21.53,7868.8063,
21.63,7868.8063,
21.73,7868.8063,
21.83,7868.8063,
21.93,7868.8063,
22.04,7868.8063,
22.14,7868.8063,
22.24,7868.8063,
22.34,7868.8063,
22.44,7868.8063,
22.54,7868.8063,
22.64,7868.8063,
22.74,7868.8063,
22.84,7868.8063,
22.94,7868.8063,
23.04,7868.8063,
23.14,7868.8063,
23.24,7868.8063,
23.34,7868.8063,
23.44,7868.8063,
23.54,7868.8063,
23.64,7868.8063,
23.74,7868.8063,
23.84,7868.8063,
23.94,7868.8063,
24.04,7868.8063,
24.14,7868.8063,
24.24,7868.8063,
24.34,7868.8063,
24.44,7868.8063,
24.54,7868.8063,
24.64,7868.8063,
24.74,7868.8063,
24.84,7868.8063,
24.94,7868.8063,
25.04,7868.8063,
25.15,7868.8063,
25.25,7868.8063,
25.35,7868.8063,
25.45,7868.8063,
25.55,7868.8063,
25.65,7868.8063,
25.75,7868.8063,
25.85,7868.8063,
25.95,7868.8063,
26.05,7868.8063,
26.15,7868.8063,
26.25,7868.8063,
26.35,7868.8063,
26.45,7868.8063,
26.55,7868.8063,
26.65,7868.8063,
26.75,7868.8063,
26.85,7868.8063,
26.95,7868.8063,
27.06,7868.8063,
27.16,7868.8063,
27.26,7868.8063,
27.36,7868.8063,
27.46,7868.8063,
27.56,7868.8063,
27.66,7868.8063,
27.76,7868.8063,
27.86,7868.8063,
27.96,7868.8063,
28.06,7868.8063,
28.16,7868.8063,
28.26,7868.8063,
28.36,7868.8063,
