elapsed_sec,best_cost,improvement_pct
0.1,8286.7973,
0.21,8343.087,
0.31,8608.7268,
0.41,8058.7756,
0.51,8134.3927,
0.62,7971.2597,
0.72,7837.1495,
0.82,7620.4092,
0.94,7582.9955,
1.04,7766.5678,
1.14,7639.4004,
1.24,7491.5375,
1.34,7261.7571,
1.44,7259.1779,
1.55,7368.0829,
1.65,7592.6508,
1.75,7396.4964,
1.86,7470.1236,
1.96,7104.72,
2.06,7049.1491,
2.16,7084.651,
2.26,7160.8671,
2.36,6850.8519,
2.46,6866.9488,
2.56,7215.5414,
2.66,7405.987,
2.76,6686.1468,
2.87,6941.0305,
2.97,7183.3737,
3.07,6799.5178,
3.17,6983.1259,
3.27,6916.5704,
3.37,7062.4304,
3.47,7009.0905,
3.57,6838.9897,
3.67,6632.1885,
3.77,6550.797,
3.87,6509.4332,
3.97,6565.3602,
4.07,6853.4625,
4.17,6583.2749,
4.28,6574.8348,
4.38,6545.4629,
4.48,6525.9285,
4.58,6582.892,
4.68,6508.9942,
4.78,6647.8982,
4.88,6551.3121,
4.98,6803.5759,
5.08,6678.6325,
5.18,6692.1613,
5.28,6525.1957,
5.38,6514.7748,
5.48,6611.4083,
5.58,6336.0966,
5.69,6329.2541,
5.79,6600.5311,
5.89,6519.8253,
5.99,6597.5617,
6.09,6595.0341,
6.19,6618.2887,
6.29,6320.8872,
6.39,6320.8872,
6.5,6320.8872,
6.61,6320.8872,
6.71,6601.4279,
6.81,6575.1661,
6.91,6320.8872,
7.01,6320.8872,
7.11,6283.2938,
7.21,6223.9364,
7.31,6545.1634,
7.41,6225.7099,
7.51,6277.1286,
7.61,6277.1286,
7.71,6275.8124,
7.82,6256.989,
7.92,6277.8087,
8.02,6213.1814,
8.12,6266.3736,
8.22,6586.5875,
8.32,6440.3391,
8.42,6266.3736,
8.52,6568.3191,
8.62,6523.2445,
8.72,6562.4007,
8.82,6775.3349,
8.93,6726.3119,
9.03,6781.274,
9.13,6827.6843,
9.23,6475.0224,
9.33,6542.2751,
9.44,6517.7755,
9.54,6442.918,
9.64,6437.0382,
9.74,6508.2005,
9.84,6508.8259,
9.94,6556.8115,
10.04,6488.1842,
10.15,6560.5178,
10.25,6545.9756,
10.35,6509.9105,
10.45,6537.6856,
10.55,6567.8958,
10.65,6591.8576,
10.75,6510.6723,
10.86,6564.6435,
10.96,6585.9087,
11.06,6576.5051,
11.16,6572.2316,
11.26,6575.406,
11.36,6561.3663,
11.46,6577.139,
11.56,6576.4358,
11.66,6591.4234,
11.76,6590.1629,
11.86,6572.3528,
11.97,6527.2154,
12.07,6819.7987,
12.17,6872.5477,
12.27,7123.4493,
12.37,6894.2614,
12.47,6638.0351,
12.57,6675.4923,
12.67,6496.8219,
12.77,6443.1323,
12.88,6429.2014,
12.98,6502.8466,
13.08,6487.9546,
13.18,6435.3413,
13.29,6464.7131,
13.4,6469.4331,
13.5,6474.5967,
13.6,6467.8275,
13.7,6470.1493,
13.8,6559.94,
13.9,6555.0916,
14.0,6548.0389,
14.1,6506.9756,
14.2,6596.8191,
14.3,6493.3254,
14.4,6484.7088,
14.5,6485.2582,
14.6,6489.1459,
14.7,6486.1498,
14.81,6520.3598,
14.91,6546.719,
15.01,6483.6401,
15.11,6553.7687,
15.21,6501.076,
15.31,6502.0644,
15.41,6487.7985,
15.51,6563.5306,
15.61,6506.0895,
15.71,6529.6137,
15.82,6557.1816,
15.92,6529.7765,
16.02,6529.8366,
16.12,6589.755,
16.22,6584.4443,
16.32,6546.6973,
16.42,6576.943,
16.52,6590.1229,
16.62,6631.697,
16.72,6845.3866,
16.83,6774.7761,
16.93,6581.9457,
17.03,6595.3687,
17.13,6587.3518,
17.23,6598.0169,
17.33,6539.6767,
17.43,6501.4797,
17.53,6508.0415,
17.63,6582.1715,
17.73,6631.245,
17.83,6531.1407,
17.93,6523.2133,
18.03,6539.9003,
18.14,6511.8256,
18.24,6587.2237,
18.34,6518.1528,
18.44,6545.6678,
18.54,6613.8661,
18.64,6488.8017,
18.74,6528.518,
18.84,6551.7409,
18.94,6583.2219,
19.04,6608.7158,
19.15,6605.2749,
19.25,6599.6222,
19.35,6601.9964,
19.45,6594.1956,
19.55,6588.6992,
19.65,6597.0234,
19.75,6586.488,
19.85,6586.9736,
19.95,6589.9748,
20.06,6588.8522,
20.16,6604.412,
20.26,6588.8522,
20.36,6548.0494,
20.46,6522.6957,
20.56,6488.8083,
20.66,6575.3166,
20.76,6491.5271,
20.86,6538.2366,
20.97,6546.6298,
21.07,6646.1769,
21.17,6545.5606,
21.27,6545.5261,
21.37,6565.9169,
21.47,6553.1762,
21.57,6483.7709,
21.67,6524.8548,
21.77,6523.6637,
21.87,6559.91,
21.97,6600.5886,
22.08,6546.0028,
22.18,6437.4417,
22.28,6460.0424,
22.38,6500.7449,
22.48,6541.4817,
22.58,6611.5189,
22.68,6500.7727,
22.78,6599.3253,
22.88,6533.3191,
22.98,6495.2464,
23.08,6457.8439,
23.18,6447.3444,
23.28,6476.7004,
23.39,6508.8144,
23.49,6512.5869,
23.59,6487.4735,
23.69,6466.1602,
23.79,6455.1715,
23.89,6493.7645,
23.99,6442.3466,
24.09,6481.5774,
24.19,6503.5205,
24.29,6564.2826,
24.39,6455.197,
24.5,6444.3651,
24.6,6489.9989,
24.72,6497.4339,
24.82,6497.4339,
24.92,6445.1269,
25.02,6476.0953,
25.12,6540.0784,
25.22,6635.9715,
25.32,6568.6168,
25.42,6550.8419,
25.52,6478.3264,
25.63,6534.9438,
25.73,6493.565,
25.83,6481.7026,
25.93,6502.4872,
26.03,6444.9233,
26.13,6439.8218,
26.23,6555.5,
26.33,6538.8102,
26.43,6432.6653,
26.53,6500.0117,
26.63,6517.4378,
26.73,6535.6982,
26.84,6493.432,
26.94,6604.0456,
27.04,6538.3583,
27.14,6547.3776,
27.24,6435.7892,
27.34,6457.3238,
27.44,6435.7892,
27.54,6528.2777,
27.64,6464.0543,
27.75,6463.8524,
27.85,6457.554,
27.95,6442.3171,
28.05,6452.143,
28.15,6440.2792,
28.25,6435.0408,
28.35,6435.0408,
28.45,6433.8707,
28.55,6470.3978,
28.65,6446.8612,
28.75,6433.8707,
28.86,6434.3082,
28.96,6425.3266,
29.06,6430.6084,
29.16,6434.2895,
29.26,6467.5921,
29.36,6434.3812,
29.46,6521.8261,
29.56,6426.6756,
29.66,6442.3319,
29.78,6492.182,
29.88,6490.4691,
29.98,6425.3266,
30.08,6448.9615,
30.18,6437.9029,
30.28,6431.5158,
30.39,6503.3209,
30.49,6472.8673,
30.59,6494.8889,
30.69,6465.5011,
30.79,6444.2165,
30.89,6539.5637,
30.99,6479.7609,
31.09,6472.147,
31.19,6482.4209,
31.29,6539.7762,
31.39,6445.453,
31.49,6443.9452,
31.59,6444.2605,
31.69,6454.7544,
31.79,6448.4512,
31.89,6530.8276,
32.0,6468.2868,
32.1,6436.8455,
32.2,6444.4594,
32.3,6532.3222,
32.4,6442.7832,
32.5,6442.7832,
32.6,6496.3387,
32.7,6472.96,
32.8,6470.2902,
32.9,6474.598,
33.0,6432.6713,
33.1,6436.2136,
33.2,6438.1739,
33.31,6432.8803,
