elapsed_sec,best_cost,improvement_pct
0.1,7803.2765,
0.2,7866.9614,
0.3,7550.7491,
0.4,7501.0491,
0.5,7581.6714,
0.6,7338.5718,
0.7,7646.1087,
0.8,7030.9938,
0.9,7142.9932,
1.01,7341.7562,
1.11,7296.5214,
1.21,7668.6557,
1.31,7337.8585,
1.42,7396.5908,
1.52,7336.3787,
1.62,7462.1148,
1.72,7635.3969,
1.82,7365.9296,
1.92,7451.5569,
2.02,7479.9481,
2.12,7553.4498,
2.22,7585.6369,
2.32,7846.4318,
2.42,7964.419,
2.52,7689.2101,
2.63,7394.3431,
2.73,7253.7371,
2.83,7297.5873,
2.93,7075.5621,
3.03,7417.843,
3.13,7293.829,
3.23,7278.8087,
3.34,7467.1002,
3.44,7549.6065,
3.54,7492.3638,
3.64,7417.6458,
3.74,7268.42,
3.84,7350.9801,
3.94,6895.7837,
4.04,6941.3562,
4.14,7414.2996,
4.24,7366.8863,
4.34,7117.6202,
4.44,7343.3433,
4.54,7092.4094,
4.65,7060.3295,
4.75,7414.767,
4.85,6797.5665,
4.95,6880.3299,
5.05,7089.4431,
5.15,7020.5821,
5.25,7001.9124,
5.35,7162.8261,
5.45,6997.6631,
5.55,6961.2112,
5.65,7123.5805,
5.75,7295.5992,
5.85,7855.6259,
5.96,7802.946,
6.06,7383.335,
6.16,7350.9018,
6.26,7557.5392,
6.36,7445.4115,
6.46,7583.4723,
6.56,7298.6288,
6.66,7672.3476,
6.76,7264.7104,
6.86,7563.2175,
6.96,7241.7557,
7.06,7217.3427,
7.16,7679.0965,
7.26,7460.8506,
7.36,7189.7735,
7.47,7068.7012,
7.57,7034.0175,
7.67,7080.2135,
7.77,7062.7058,
7.87,6875.3435,
7.97,7037.3166,
8.07,6863.8334,
8.17,7018.6075,
8.27,6937.7297,
8.37,7056.8824,
8.47,7021.1441,
8.57,7096.161,
8.67,7019.1686,
8.77,7110.7852,
8.87,7033.5664,
8.97,6900.921,
9.07,6707.3754,
9.18,6854.6234,
9.28,6993.7602,
9.38,7127.3501,
9.48,7051.4,
9.58,6997.8953,
9.68,6934.4779,
9.78,7005.4957,
9.88,6706.9522,
9.98,6811.7447,
10.08,6875.4138,
10.18,6720.1858,
10.28,6696.1537,
10.38,6771.1775,
10.48,6857.6925,
10.58,6863.7581,
10.68,6757.672,
10.78,6752.1845,
10.88,6749.5971,
10.98,7028.2503,
11.08,6817.1339,
11.19,6922.7109,
11.29,6923.4673,
11.4,6914.3519,
11.5,7021.2293,
11.6,7144.9244,
11.7,7117.2891,
11.8,7136.2943,
11.9,7118.7529,
12.0,6859.8757,
12.1,6755.2554,
12.2,6825.3359,
12.3,6809.9018,
12.4,6821.9034,
12.5,6800.2871,
12.6,6794.722,
12.71,6743.2801,
12.81,6661.8612,
12.91,6808.407,
13.01,6777.2003,
13.11,6766.2698,
13.21,6614.0185,
13.31,6577.3629,
13.42,6764.8899,
13.52,6709.7046,
13.62,6692.364,
13.72,6671.0206,
13.82,6799.9501,
13.92,6577.3629,
14.02,6577.3629,
14.12,6638.038,
14.22,6690.5003,
14.32,6544.0748,
14.42,6644.0964,
14.52,6635.8169,
14.62,6644.0964,
14.72,6646.9477,
14.82,6545.2293,
14.92,6627.8537,
15.03,6586.2092,
15.13,6682.7151,
15.23,6686.0594,
15.33,6681.096,
15.43,6684.6339,
15.53,6772.0005,
15.63,6752.0879,
15.73,6691.8844,
15.83,6725.5495,
15.93,6756.9856,
16.03,6722.9965,
16.13,6683.0192,
16.23,6759.0655,
16.34,6752.7885,
16.44,6718.948,
16.54,6682.0394,
16.64,6678.5144,
16.75,6684.3412,
16.85,6676.1595,
16.95,6725.613,
17.05,6719.8782,
17.15,6729.1428,
17.25,6677.5842,
17.35,6684.4655,
17.45,6682.8226,
17.55,6684.4655,
17.65,6691.7369,
17.75,6688.9207,
17.85,6724.9377,
17.96,6744.7214,
18.06,6719.8782,
18.16,6748.7075,
18.26,6731.9165,
18.36,6684.3412,
18.46,6676.1595,
18.57,6687.8662,
18.67,6682.6857,
18.77,6685.7303,
18.87,6756.1162,
18.97,6688.0466,
19.07,6736.5606,
19.17,6732.6678,
19.27,6729.0907,
19.37,6686.6341,
19.47,6683.799,
19.57,6751.1234,
19.67,6736.7823,
19.77,6738.4252,
19.88,6738.4252,
19.98,6685.4419,
20.08,6685.4419,
20.18,6685.24,
20.28,6689.755,
20.38,6695.2507,
20.48,6726.9808,
20.58,6690.0505,
20.68,6727.5776,
20.78,6686.2138,
20.88,6690.0505,
20.98,6758.7618,
21.08,6765.3983,
21.18,6686.0692,
21.29,6692.7909,
21.39,6692.7909,
21.49,6692.7909,
21.59,6692.2916,
21.69,6688.4166,
21.79,6687.8117,
21.89,6758.1177,
21.99,6717.5233,
22.09,6678.5144,
22.19,6751.6656,
22.29,6680.5761,
22.4,6683.5773,
22.5,6676.1595,
22.6,6684.3412,
22.7,6676.1595,
22.8,6676.1595,
22.9,6684.3412,
23.0,6689.567,
23.1,6676.1595,
23.2,6682.866,
23.31,6745.8388,
23.41,6751.0624,
23.51,6719.8782,
23.61,6752.9699,
23.71,6687.2778,
23.81,6728.6416,
23.91,6737.9062,
24.01,6683.2904,
24.12,6722.036,
24.22,6682.8021,
24.32,6678.9332,
24.42,6682.5869,
24.52,6689.2935,
24.62,6681.087,
24.72,6688.3455,
24.83,6680.6722,
24.93,6688.9529,
25.03,6685.8991,
25.13,6676.2283,
25.23,6721.9399,
25.33,6723.943,
25.43,6734.8007,
25.53,6722.1032,
25.63,6748.0638,
25.73,6687.2739,
25.84,6722.1032,
25.94,6690.8878,
26.04,6689.3309,
26.14,6678.9332,
26.24,6682.866,
26.34,6684.6394,
26.44,6684.3155,
26.54,6689.6393,
26.64,6691.295,
26.74,6691.295,
26.84,6691.295,
26.94,6691.295,
27.04,6690.9676,
27.14,6676.8556,
27.24,6763.8239,
27.34,6676.8556,
27.44,6737.6227,
27.55,6726.0032,
27.65,6689.3184,
27.75,6691.3402,
27.85,6689.6393,
27.95,6728.025,
28.05,6684.6394,
28.15,6682.3389,
28.25,6689.6569,
28.35,6684.3155,
28.45,6684.3155,
28.55,6723.943,
28.65,6741.7997,
28.75,6760.2642,
28.85,6736.2737,
28.95,6682.582,
29.05,6680.6722,
29.15,6733.6555,
29.26,6688.7918,
29.36,6688.7918,
29.46,6680.6722,
29.56,6680.6722,
29.66,6682.6857,
29.76,6677.5842,
29.86,6677.5842,
29.96,6694.144,
30.06,6680.6722,
30.16,6681.087,
30.26,6681.087,
30.37,6687.8662,
30.47,6677.5842,
30.57,6684.9959,
30.67,6685.7303,
30.77,6721.0483,
30.87,6688.0291,
30.97,6682.8226,
31.07,6737.4874,
31.18,6680.5761,
31.28,6682.5783,
