elapsed_sec,best_cost,improvement_pct
39.64,7732.3496,
39.74,7774.8737,
39.84,7289.8163,
39.94,7541.5898,
40.04,7254.3205,
40.14,7233.5964,
40.24,7274.6221,
40.35,7003.7012,
40.45,7317.518,
40.55,7151.733,
40.65,6842.6042,
40.75,6911.9387,
40.85,6966.4341,
40.95,6872.4413,
41.05,6861.5687,
41.16,6893.4072,
41.26,6884.0181,
41.36,7090.839,
41.46,6950.6995,
41.56,6888.6907,
41.67,6648.3989,
41.77,6647.5329,
41.88,6961.4678,
41.98,6919.9971,
42.08,7069.9336,
42.18,6722.7666,
42.28,6727.1433,
42.38,6761.2318,
42.48,6836.6342,
42.58,6733.6419,
42.68,6611.3118,
42.78,6619.294,
42.88,6633.2817,
42.98,6613.9682,
43.08,6529.3634,
43.19,6570.1605,
43.29,6524.005,
43.39,6520.106,
43.49,6492.2615,
43.59,6519.6359,
43.69,6507.3387,
43.79,6495.081,
43.89,6497.5855,
43.99,6567.5749,
44.09,6595.874,
44.19,6604.6402,
44.3,6538.2887,
44.4,6614.7614,
44.5,6661.0695,
44.6,6600.6352,
44.7,6572.9882,
44.8,6565.3432,
44.9,6607.161,
45.0,6646.6271,
45.1,6625.7573,
45.2,6626.3668,
45.3,6671.818,
45.4,6736.8365,
45.5,6679.2836,
45.6,6708.5756,
45.7,6702.0293,
45.81,6709.7657,
45.91,6707.3707,
46.09,6710.3558,
46.19,6711.0681,
46.3,6724.6933,
46.4,6581.627,
46.5,6475.2688,
46.6,6472.0425,
46.7,6489.6722,
46.8,6173.1162,
46.9,6177.7932,
47.0,6177.8203,
47.1,6182.7259,
47.2,6182.7259,
47.3,6182.7259,
47.4,6182.7259,
47.5,6182.7259,
47.6,6182.7259,
47.7,6176.6322,
47.8,6176.6322,
47.9,6176.6322,
48.0,6176.6322,
48.1,6182.7259,
48.2,6182.7259,
48.3,6182.7259,
48.4,6187.8628,
48.5,6193.1255,
48.6,6193.1255,
48.71,6193.1255,
48.81,6193.1255,
48.91,6193.1255,
49.01,6193.1255,
49.11,6188.2199,
49.21,6188.2199,
49.31,6188.2199,
49.41,6178.9012,
49.51,6178.9012,
49.61,6184.9949,
49.71,6184.9949,
49.81,6184.9949,
49.91,6184.9949,
50.01,6184.9949,
50.11,6178.9012,
50.22,6178.9012,
50.32,6178.9012,
50.42,6178.9012,
50.52,6178.9012,
50.62,6167.6305,
50.72,6167.6305,
50.82,6167.6305,
50.93,6167.6305,
51.03,6167.6305,
51.13,6167.6305,
51.23,6167.6305,
51.33,6167.6305,
51.43,6167.6305,
51.53,6167.6305,
51.63,6167.6305,
51.73,6167.6305,
51.83,6167.6305,
51.93,6167.6305,
52.03,6167.6305,
52.14,6167.6305,
52.24,6167.6305,
52.34,6167.6305,
52.44,6167.6305,
52.54,6167.6305,
52.64,6167.6305,
52.74,6167.6305,
52.84,6167.6305,
52.94,6167.6305,
53.04,6167.6305,
53.14,6167.6305,
53.24,6167.6305,
53.34,6167.6305,
53.44,6167.6305,
53.54,6167.6305,
53.64,6167.6305,
53.74,6167.6305,
53.84,6167.6305,
53.94,6167.6305,
54.04,6167.6305,
54.14,6167.6305,
54.24,6167.6305,
54.34,6167.6305,
54.44,6167.6305,
54.54,6167.6305,
54.64,6167.6305,
54.75,6167.6305,
54.85,6167.6305,
54.95,6167.6305,
55.05,6167.6305,
55.15,6167.6305,
55.25,6167.6305,
55.35,6167.6305,
55.45,6167.6305,
55.55,6167.6305,
55.65,6167.6305,
55.75,6167.6305,
55.85,6167.6305,
55.95,6178.9012,
56.05,6178.9012,
56.15,6178.9012,
56.26,6178.9012,
56.36,6178.9012,
56.46,6178.9012,
56.56,6178.9012,
56.66,6178.9012,
56.76,6178.9012,
56.86,6178.9012,
56.96,6178.9012,
57.06,6178.9012,
57.16,6178.9012,
57.26,6178.9012,
57.36,6178.9012,
57.46,6167.6305,
57.56,6167.6305,
57.66,6167.6305,
57.76,6167.6305,
57.86,6167.6305,
57.96,6167.6305,
58.06,6167.6305,
58.16,6167.6305,
58.26,6167.6305,
58.36,6167.6305,
58.46,6167.6305,
58.57,6167.6305,
58.67,6167.6305,
58.77,6167.6305,
58.87,6167.6305,
58.97,6167.6305,
59.07,6167.6305,
59.17,6167.6305,
59.27,6167.6305,
59.37,6167.6305,
59.47,6167.6305,
59.57,6167.6305,
59.67,6167.6305,
59.77,6167.6305,
59.87,6167.6305,
59.97,6167.6305,
