elapsed_sec,best_cost,improvement_pct
0.11,7689.9069,
0.21,7112.9987,
0.32,7089.3127,
0.42,7045.5748,
0.52,7035.8463,
0.62,7035.8463,
0.72,7035.8463,
0.82,7034.8692,
0.92,6854.6609,
1.02,6854.6609,
1.12,6854.6609,
1.23,6854.6609,
1.33,6854.6609,
1.43,6854.6609,
1.53,7220.4702,
1.63,7135.0502,
1.73,7127.0989,
1.83,7105.4983,
1.93,7102.1762,
2.04,7099.2535,
2.14,7099.2535,
2.24,7099.2535,
2.34,7099.2535,
2.44,7099.2535,
2.55,7099.2535,
2.65,7099.2535,
2.75,7099.2535,
2.94,8021.7491,
3.04,7319.2665,
3.14,7130.4395,
3.24,7075.4827,
3.34,7064.0829,
3.45,7064.0829,
3.55,7044.9174,
3.65,7045.4455,
3.75,7044.924,
3.85,7044.924,
3.95,7044.924,
4.05,7044.924,
4.15,7044.924,
4.25,7044.924,
4.35,7044.9174,
4.5,8169.3017,
4.6,7698.1468,
4.71,7659.5703,
4.81,7615.5262,
4.91,7365.2386,
5.01,7330.6504,
5.11,7140.4358,
5.21,7136.048,
5.32,7123.9395,
5.42,6891.5207,
5.52,6882.7063,
5.62,6882.7063,
5.72,6882.7063,
5.82,6882.7063,
6.02,7260.3379,
6.12,6813.244,
6.22,6823.4904,
6.32,6786.6722,
6.42,6747.6937,
6.52,6747.6937,
6.62,6747.6937,
6.73,6747.6937,
6.83,6745.3583,
6.93,6745.3583,
7.03,6745.3583,
7.13,6745.3583,
7.25,7396.1082,
7.35,7451.3939,
7.45,7404.3385,
7.55,7378.5641,
7.65,7211.374,
7.76,7170.7283,
7.86,7021.9273,
7.96,6936.5543,
8.06,6936.5543,
8.16,6936.5543,
8.26,6936.5543,
8.36,6936.5543,
8.46,6936.5543,
8.56,6936.5543,
8.67,7275.8803,
8.77,6738.107,
8.87,6702.207,
8.97,6702.207,
9.07,6702.207,
9.17,6687.1167,
9.27,6687.1167,
9.37,6687.1167,
9.47,6687.1167,
9.57,6687.1167,
9.67,6687.1167,
9.86,7158.4731,
9.96,7155.879,
10.06,7129.9272,
10.16,7120.9515,
10.26,7120.9515,
10.36,7120.9515,
10.47,7120.9515,
10.57,7120.9515,
10.67,7120.9515,
10.77,7120.9515,
10.87,7120.9515,
10.97,7120.9515,
11.07,7120.9515,
11.19,8242.1433,
11.29,7912.5666,
11.39,8027.4247,
11.49,7842.753,
11.6,7811.2604,
11.7,7785.9076,
11.8,7612.2445,
11.9,7612.2445,
12.0,7596.6594,
12.1,7596.6594,
12.2,7596.6594,
12.3,7596.6594,
12.4,7596.6594,
12.5,7596.1659,
12.6,7596.1659,
12.71,7563.5605,
12.81,7563.5605,
12.94,7542.6649,
13.04,7468.3364,
13.14,7428.8592,
13.24,7388.7796,
13.34,7390.1385,
13.44,7367.6266,
13.55,7363.2832,
13.65,7363.2591,
13.75,7363.2591,
13.85,7363.2591,
13.95,7363.2591,
14.09,7363.2591,
14.2,7363.2591,
14.3,7343.1435,
14.4,7340.4733,
14.57,7458.7773,
14.67,7619.8514,
14.77,7089.8981,
14.87,7030.8364,
14.97,6984.3144,
15.07,6984.3144,
15.18,6984.3144,
15.28,6984.3144,
15.38,6984.3144,
15.48,6984.3144,
15.58,6984.3144,
15.68,6984.3144,
15.78,6984.3144,
15.97,7711.3148,
16.08,7692.1365,
16.18,7464.141,
16.28,7447.1751,
16.38,7447.1751,
16.48,7447.1751,
16.58,7441.7757,
16.68,7441.7757,
16.78,7441.7757,
16.88,7403.371,
16.99,7372.3086,
17.09,7372.3086,
17.19,7351.9434,
17.29,7351.9434,
17.4,8404.385,
17.5,7963.2736,
17.6,7901.3778,
17.7,7893.148,
17.8,7857.3527,
17.9,7857.3527,
18.01,7857.3527,
18.11,7857.3527,
18.21,7857.3527,
18.31,7857.3527,
18.41,7851.2952,
18.51,7851.2952,
18.61,7851.2952,
18.71,7851.2952,
18.81,7832.9847,
18.99,7648.992,
19.09,7703.231,
19.19,7385.7787,
19.29,7370.2146,
19.39,7329.4805,
19.49,7288.5638,
19.59,7288.5638,
19.69,7288.5638,
19.79,7269.0649,
19.89,7269.0649,
19.99,7269.0649,
20.09,7269.0649,
20.25,8100.3929,
20.35,7930.2712,
20.45,7698.6066,
20.55,7696.0292,
20.65,7663.2838,
20.75,7083.3436,
20.85,6829.1816,
20.95,6811.3882,
21.05,6793.9709,
21.15,6784.9381,
21.25,6784.9381,
21.35,6784.9381,
21.45,6784.9381,
21.55,6784.9381,
21.65,6784.9381,
21.78,7306.2947,
21.88,7379.7045,
21.98,7398.156,
22.08,7363.446,
22.18,7362.9525,
22.28,7362.9525,
22.39,7337.5802,
22.49,7337.5802,
22.59,7337.5802,
22.69,7337.5802,
22.79,7309.0485,
22.89,7309.0485,
22.99,7309.0485,
23.09,7309.0485,
23.2,8619.4613,
23.31,8554.8483,
23.41,8375.4956,
23.51,8365.4318,
23.61,8376.1673,
23.71,8268.9376,
23.81,8268.9376,
23.91,8250.7029,
24.02,8250.7029,
24.12,8241.2532,
24.22,8241.2153,
24.32,8024.9246,
24.42,8024.9246,
24.52,8024.9246,
24.62,8024.438,
24.72,7987.7815,
24.9,7987.7815,
25.0,7987.7815,
25.1,7987.7815,
25.24,8654.1342,
25.34,8326.0161,
25.44,7785.4158,
25.54,7753.5244,
25.65,7556.7964,
25.75,7252.2288,
25.85,7247.8563,
25.95,7247.8563,
26.05,7240.9637,
26.15,7240.9637,
26.25,7240.9637,
26.36,7240.9637,
26.46,7240.9637,
26.56,7240.9637,
26.66,7238.9442,
26.76,7238.9442,
26.91,8305.9514,
27.02,8337.3506,
27.12,8301.002,
27.22,8238.066,
27.32,8021.0348,
27.42,7866.0584,
27.52,7854.9507,
27.63,7854.2888,
27.73,7832.4477,
27.83,7822.5143,
