elapsed_sec,best_cost,improvement_pct
0.1,10892.5071,
0.2,10892.5071,
0.3,10892.5071,
0.4,10886.83,
0.5,10886.83,
0.6,10886.83,
0.7,10886.83,
0.8,10886.83,
0.9,10886.83,
1.0,10882.7204,
1.11,10882.7204,
1.21,10882.7204,
1.31,10882.7204,
1.41,10882.7204,
1.51,10882.7204,
1.61,10882.7204,
1.71,10882.7204,
1.81,10882.7204,
1.91,10882.7204,
2.02,10882.7204,
2.12,10882.7204,
2.22,10882.7204,
2.32,10882.7204,
2.42,10882.7204,
2.52,10882.7204,
2.62,10882.7204,
2.72,10882.7204,
2.95,10882.7204,
3.05,10882.7204,
3.15,10882.7204,
3.26,10882.7204,
3.36,10882.7204,
3.46,10882.7204,
3.56,10882.7204,
3.66,10882.7204,
3.76,10882.7204,
3.86,10882.7204,
3.96,10882.7204,
4.06,10882.7204,
4.16,10882.7204,
4.26,10882.7204,
4.36,10882.7204,
4.46,10882.7204,
4.56,10882.7204,
4.66,10882.7204,
4.76,10882.7204,
4.86,10882.7204,
4.96,10882.7204,
5.06,10882.7204,
5.17,10882.7204,
5.27,10882.7204,
5.37,10882.7204,
5.47,10882.7204,
5.57,10882.7204,
5.67,10882.7204,
5.77,10882.7204,
5.87,10882.7204,
5.97,10882.7204,
6.07,10882.7204,
6.17,10882.7204,
6.27,10882.7204,
6.37,10882.7204,
6.47,10882.7204,
6.57,10882.7204,
6.67,10882.7204,
6.78,10882.7204,
6.88,10882.7204,
6.98,10882.7204,
7.08,10882.7204,
7.18,10882.7204,
7.28,10882.7204,
7.38,10882.7204,
7.48,10882.7204,
7.58,10882.7204,
7.68,10882.7204,
7.78,10882.7204,
7.93,10882.7204,
8.03,10882.7204,
8.13,10882.7204,
8.23,10882.7204,
8.33,10882.7204,
8.43,10882.7204,
8.53,10882.7204,
8.63,10882.7204,
8.74,10882.7204,
8.84,10882.7204,
8.94,10882.7204,
9.04,10882.7204,
9.14,10882.7204,
9.24,10882.7204,
9.34,10882.7204,
9.44,10882.7204,
9.54,10882.7204,
9.64,10882.7204,
9.74,10882.7204,
9.84,10882.7204,
9.94,10882.7204,
10.04,10882.7204,
10.14,10882.7204,
10.24,10882.7204,
10.34,10882.7204,
10.44,10882.7204,
10.54,10882.7204,
10.64,10882.7204,
10.75,10882.7204,
10.85,10882.7204,
10.95,10882.7204,
11.05,10882.7204,
11.15,10882.7204,
11.25,10882.7204,
11.35,10882.7204,
11.45,10882.7204,
11.55,10882.7204,
11.65,10882.7204,
11.75,10882.7204,
11.85,10882.7204,
11.95,10882.7204,
12.05,10882.7204,
12.15,10882.7204,
12.25,10882.7204,
12.36,10882.7204,
12.46,10882.7204,
12.56,10882.7204,
12.66,10882.7204,
12.76,10882.7204,
12.92,10882.7204,
13.03,10882.7204,
13.13,10882.7204,
13.23,10882.7204,
13.33,10882.7204,
13.43,10882.7204,
13.53,10882.7204,
13.63,10882.7204,
13.73,10882.7204,
13.83,10882.7204,
13.93,10882.7204,
14.03,10882.7204,
14.13,10882.7204,
14.23,10882.7204,
14.33,10882.7204,
14.43,10882.7204,
14.53,10882.7204,
14.63,10882.7204,
14.73,10882.7204,
14.83,10882.7204,
14.94,10882.7204,
15.04,10882.7204,
15.14,10882.7204,
15.24,10882.7204,
15.35,10882.7204,
15.45,10882.7204,
15.55,10882.7204,
15.65,10882.7204,
15.75,10882.7204,
15.85,10882.7204,
15.95,10882.7204,
16.05,10882.7204,
16.15,10882.7204,
16.25,10882.7204,
16.35,10882.7204,
16.45,10882.7204,
16.55,10882.7204,
16.66,10882.7204,
16.76,10882.7204,
16.86,10882.7204,
16.96,10882.7204,
17.06,10882.7204,
17.16,10882.7204,
17.26,10882.7204,
17.36,10882.7204,
17.46,10882.7204,
17.56,10882.7204,
17.66,10882.7204,
17.89,10882.7204,
17.99,10882.7204,
18.09,10882.7204,
18.2,10882.7204,
18.3,10882.7204,
18.4,10882.7204,
18.5,10882.7204,
18.6,10882.7204,
18.7,10882.7204,
18.8,10882.7204,
18.9,10882.7204,
19.0,10882.7204,
19.1,10882.7204,
19.21,10882.7204,
19.31,10882.7204,
19.41,10882.7204,
19.51,10882.7204,
19.61,10882.7204,
19.71,10882.7204,
19.81,10882.7204,
19.91,10882.7204,
20.01,10882.7204,
20.11,10882.7204,
20.21,10882.7204,
20.31,10882.7204,
20.41,10882.7204,
20.51,10882.7204,
20.61,10882.7204,
20.72,10882.7204,
20.82,10882.7204,
20.92,10882.7204,
21.02,10882.7204,
21.12,10882.7204,
21.22,10882.7204,
21.32,10882.7204,
21.42,10882.7204,
21.52,10882.7204,
21.62,10882.7204,
21.72,10882.7204,
21.82,10882.7204,
21.92,10882.7204,
22.02,10882.7204,
22.12,10882.7204,
22.22,10882.7204,
22.32,10882.7204,
22.42,10882.7204,
22.52,10882.7204,
22.62,10882.7204,
22.72,10882.7204,
22.87,10882.7204,
22.97,10882.7204,
23.08,10882.7204,
23.18,10882.7204,
23.28,10882.7204,
23.38,10882.7204,
23.48,10882.7204,
23.58,10882.7204,
23.68,10882.7204,
23.78,10882.7204,
23.88,10882.7204,
23.98,10882.7204,
24.08,10882.7204,
24.18,10882.7204,
24.28,10882.7204,
24.39,10882.7204,
24.49,10882.7204,
24.59,10882.7204,
24.69,10882.7204,
24.79,10882.7204,
24.89,10882.7204,
24.99,10882.7204,
25.09,10882.7204,
25.19,10882.7204,
25.29,10882.7204,
25.39,10882.7204,
25.49,10882.7204,
25.59,10882.7204,
25.69,10882.7204,
25.79,10882.7204,
25.89,10882.7204,
25.99,10882.7204,
26.09,10882.7204,
26.19,10882.7204,
26.29,10882.7204,
26.39,10882.7204,
26.49,10882.7204,
26.59,10882.7204,
26.7,10882.7204,
26.8,10882.7204,
26.9,10882.7204,
27.0,10882.7204,
27.11,10882.7204,
27.21,10882.7204,
27.31,10882.7204,
27.41,10882.7204,
27.51,10882.7204,
27.61,10882.7204,
27.72,10882.7204,
27.89,10882.7204,
27.99,10882.7204,
28.1,10882.7204,
28.2,10882.7204,
28.3,10882.7204,
28.4,10882.7204,
28.5,10882.7204,
28.6,10882.7204,
28.7,10882.7204,
28.8,10882.7204,
28.9,10882.7204,
29.0,10882.7204,
29.1,10882.7204,
29.2,10882.7204,
29.3,10882.7204,
29.4,10882.7204,
29.5,10882.7204,
29.61,10882.7204,
29.71,10882.7204,
29.81,10882.7204,
29.91,10882.7204,
30.01,10882.7204,
30.11,10882.7204,
30.21,10882.7204,
30.31,10882.7204,
30.41,10882.7204,
30.51,10882.7204,
30.61,10882.7204,
30.71,10882.7204,
30.82,10882.7204,
30.92,10882.7204,
31.02,10882.7204,
31.12,10882.7204,
31.22,10882.7204,
31.32,10882.7204,
31.42,10882.7204,
31.52,10882.7204,
31.62,10882.7204,
31.72,10882.7204,
31.82,10882.7204,
31.92,10882.7204,
32.02,10882.7204,
32.12,10882.7204,
32.22,10882.7204,
32.32,10882.7204,
32.42,10882.7204,
32.53,10882.7204,
32.63,10882.7204,
32.73,10882.7204,
32.89,10882.7204,
33.0,10882.7204,
33.1,10882.7204,
33.2,10882.7204,
33.3,10882.7204,
33.4,10882.7204,
33.5,10882.7204,
33.6,10882.7204,
33.7,10882.7204,
33.8,10882.7204,
33.9,10882.7204,
34.0,10882.7204,
34.1,10882.7204,
34.2,10882.7204,
34.31,10882.7204,
34.41,10882.7204,
34.51,10882.7204,
34.61,10882.7204,
34.71,10882.7204,
34.81,10882.7204,
34.91,10882.7204,
35.01,10882.7204,
35.11,10882.7204,
35.21,10882.7204,
35.32,10882.7204,
35.42,10882.7204,
35.52,10882.7204,
35.62,10882.7204,
35.72,10882.7204,
35.82,10882.7204,
35.92,10882.7204,
36.02,10882.7204,
36.12,10882.7204,
36.22,10882.7204,
36.32,10882.7204,
36.42,10882.7204,
36.52,10882.7204,
36.62,10882.7204,
36.73,10882.7204,
36.83,10882.7204,
36.93,10882.7204,
37.03,10882.7204,
37.13,10882.7204,
37.23,10882.7204,
37.33,10882.7204,
37.43,10882.7204,
37.53,10882.7204,
37.63,10882.7204,
37.81,10882.7204,
37.91,10882.7204,
38.01,10882.7204,
38.11,10882.7204,
38.21,10882.7204,
38.31,10882.7204,
38.41,10882.7204,
38.51,10882.7204,
38.61,10882.7204,
38.72,10882.7204,
38.82,10882.7204,
38.92,10882.7204,
39.02,10882.7204,
39.12,10882.7204,
39.22,10882.7204,
39.32,10882.7204,
39.42,10882.7204,
39.52,10882.7204,
39.62,10882.7204,
39.72,10882.7204,
39.82,10882.7204,
39.92,10882.7204,
40.02,10882.7204,
40.12,10882.7204,
40.22,10882.7204,
40.32,10882.7204,
40.42,10882.7204,
40.52,10882.7204,
40.63,10882.7204,
40.73,10882.7204,
40.83,10882.7204,
40.93,10882.7204,
41.03,10882.7204,
41.13,10882.7204,
41.23,10882.7204,
41.33,10882.7204,
41.43,10882.7204,
41.53,10882.7204,
41.63,10882.7204,
41.74,10882.7204,
41.84,10882.7204,
41.94,10882.7204,
42.04,10882.7204,
42.14,10882.7204,
42.24,10882.7204,
42.34,10882.7204,
42.44,10882.7204,
42.54,10882.7204,
42.77,10882.7204,
42.87,10882.7204,
42.97,10882.7204,
43.07,10882.7204,
43.18,10882.7204,
43.28,10882.7204,
43.38,10882.7204,
43.48,10882.7204,
43.58,10882.7204,
43.68,10882.7204,
43.78,10882.7204,
43.88,10882.7204,
43.98,10882.7204,
44.08,10882.7204,
44.18,10882.7204,
44.29,10882.7204,
44.39,10882.7204,
44.49,10882.7204,
44.59,10882.7204,
44.69,10882.7204,
44.79,10882.7204,
44.89,10882.7204,
44.99,10882.7204,
45.09,10882.7204,
45.19,10882.7204,
45.29,10882.7204,
45.39,10882.7204,
45.49,10882.7204,
45.59,10882.7204,
45.69,10882.7204,
45.79,10882.7204,
45.89,10882.7204,
46.0,10882.7204,
46.1,10882.7204,
46.2,10882.7204,
46.3,10882.7204,
46.4,10882.7204,
46.5,10882.7204,
46.6,10882.7204,
46.7,10882.7204,
46.8,10882.7204,
46.9,10882.7204,
47.0,10882.7204,
47.1,10882.7204,
47.2,10882.7204,
47.3,10882.7204,
47.41,10882.7204,
47.51,10882.7204,
47.73,10882.7204,
47.83,10882.7204,
47.93,10882.7204,
48.03,10882.7204,
48.13,10882.7204,
48.23,10882.7204,
48.33,10882.7204,
48.43,10882.7204,
48.53,10882.7204,
48.63,10882.7204,
48.73,10882.7204,
48.83,10882.7204,
48.93,10882.7204,
49.03,10882.7204,
49.13,10882.7204,
49.23,10882.7204,
49.33,10882.7204,
49.43,10882.7204,
49.53,10882.7204,
49.63,10882.7204,
49.74,10882.7204,
49.84,10882.7204,
49.94,10882.7204,
50.04,10882.7204,
50.14,10882.7204,
50.24,10882.7204,
50.34,10882.7204,
50.44,10882.7204,
50.54,10882.7204,
50.64,10882.7204,
50.74,10882.7204,
50.84,10882.7204,
50.94,10882.7204,
51.05,10882.7204,
51.15,10882.7204,
51.25,10882.7204,
51.35,10882.7204,
51.45,10882.7204,
51.55,10882.7204,
51.65,10882.7204,
51.75,10882.7204,
51.85,10882.7204,
51.95,10882.7204,
52.05,10882.7204,
52.15,10882.7204,
52.26,10882.7204,
52.49,10882.7204,
52.59,10882.7204,
52.69,10882.7204,
52.79,10882.7204,
52.89,10882.7204,
52.99,10882.7204,
53.09,10882.7204,
53.19,10882.7204,
53.29,10882.7204,
53.39,10882.7204,
53.49,10882.7204,
53.59,10882.7204,
53.69,10882.7204,
53.79,10882.7204,
53.89,10882.7204,
53.99,10882.7204,
54.09,10882.7204,
54.19,10882.7204,
54.3,10882.7204,
54.4,10882.7204,
54.5,10882.7204,
54.6,10882.7204,
54.7,10882.7204,
54.8,10882.7204,
54.9,10882.7204,
55.0,10882.7204,
55.1,10882.7204,
55.2,10882.7204,
55.3,10882.7204,
55.4,10882.7204,
55.5,10882.7204,
55.6,10882.7204,
55.7,10882.7204,
55.8,10882.7204,
55.9,10882.7204,
56.0,10882.7204,
56.1,10882.7204,
56.2,10882.7204,
56.3,10882.7204,
56.4,10882.7204,
56.5,10882.7204,
56.6,10882.7204,
56.7,10882.7204,
56.8,10882.7204,
56.9,10882.7204,
57.0,10882.7204,
57.11,10882.7204,
57.21,10882.7204,
57.43,10882.7204,
57.53,10882.7204,
57.63,10882.7204,
57.73,10882.7204,
57.83,10882.7204,
57.93,10882.7204,
58.03,10882.7204,
58.13,10882.7204,
58.23,10882.7204,
58.33,10882.7204,
60.0,10882.7204,
