elapsed_sec,best_cost,improvement_pct
0.13,10936.1475,
0.23,11020.1597,
0.33,11295.775,
0.52,11302.5581,
0.63,10913.8728,
0.73,10957.6939,
0.83,10914.9908,
0.93,10916.522,
1.03,10924.6013,
1.13,10951.6156,
1.23,10938.5338,
1.34,10845.6342,
1.44,10818.6236,
1.54,10840.3518,
1.64,10979.307,
1.74,10941.1533,
1.84,10996.233,
1.94,10965.429,
2.05,10970.6028,
2.16,10961.8131,
2.26,11276.0389,
2.36,11085.9723,
2.46,11135.136,
2.56,11311.4514,
2.66,11044.1811,
2.76,10985.9956,
2.86,10989.4971,
2.97,10984.4226,
3.07,11264.6813,
3.17,11064.8624,
3.27,10782.7714,
3.37,10658.3357,
3.47,10647.4046,
3.57,10617.6289,
3.67,10647.6103,
3.77,10715.9552,
3.88,10659.9507,
3.98,10629.3443,
4.08,10614.8714,
4.19,10622.4859,
4.29,10640.0091,
4.39,10678.5481,
4.49,10688.9903,
4.6,10701.3747,
4.7,10709.5645,
4.8,10742.7046,
4.9,10712.5039,
5.0,10713.2311,
5.1,10725.467,
5.2,10708.7434,
5.31,10670.0437,
5.41,10698.2941,
5.51,10723.1177,
5.61,10650.9546,
5.71,10649.2675,
5.81,10591.9275,
5.92,10559.4242,
6.02,10558.57,
6.12,10567.7623,
6.22,10567.7623,
6.34,10554.1748,
6.44,10533.556,
6.54,10647.457,
6.65,10586.3631,
6.75,10553.5478,
6.85,10575.0651,
6.95,10610.3299,
7.05,10517.8772,
7.15,10517.8772,
7.26,10522.5467,
7.37,10526.3216,
7.47,10551.9676,
7.57,10545.2743,
7.67,10538.467,
7.91,10961.8902,
8.01,10647.6206,
8.12,10648.9643,
8.22,10649.8519,
8.33,10905.1306,
8.43,10972.7545,
8.53,10962.6834,
8.63,11108.6159,
8.73,11037.8882,
8.83,11114.4475,
8.93,11081.9961,
9.03,11094.2421,
9.14,10878.2814,
9.24,10882.5891,
9.34,10891.7301,
9.44,10925.1567,
9.54,10908.2286,
9.64,10930.31,
9.74,11014.8701,
9.85,11042.5301,
9.95,11082.6485,
10.05,11061.9102,
10.15,11078.3793,
10.25,10984.9307,
10.35,10938.1602,
10.45,10728.0114,
10.65,10674.9071,
10.76,11102.5756,
10.86,10992.2867,
10.96,11024.5997,
11.06,11035.8776,
11.17,11005.8632,
11.27,10802.1564,
11.37,10720.7914,
11.47,10721.5724,
11.57,10761.3363,
11.67,10704.8437,
11.77,10996.7913,
11.87,10902.0524,
11.97,10658.8874,
12.08,10342.0936,
12.18,10391.6956,
12.28,10404.7531,
12.38,10413.9773,
12.48,10391.2394,
12.58,10395.1799,
12.68,10409.6383,
12.79,10452.8002,
12.89,10442.3568,
12.99,10442.3568,
13.09,10422.3161,
13.19,10410.9223,
13.3,10415.5468,
13.4,10413.9011,
13.5,10430.4514,
13.6,10410.4639,
13.7,10426.8493,
13.8,10445.4739,
13.91,10455.4595,
14.01,10447.8024,
14.11,10495.1665,
14.21,10425.5562,
14.32,10424.0561,
14.42,10413.6587,
14.53,10446.5916,
14.63,10448.9204,
14.73,10424.8504,
14.83,10511.2029,
14.93,10421.4199,
15.03,10419.8127,
15.13,10434.4099,
15.23,10468.9203,
15.34,10473.3406,
15.44,10476.5894,
15.55,10470.5553,
15.65,10469.4742,
15.75,10469.8195,
15.85,10463.0871,
15.95,10354.2987,
16.05,10332.1248,
16.15,10365.8514,
16.25,10383.8352,
16.36,10366.8295,
16.58,11283.6665,
16.68,11238.432,
16.78,11003.3937,
16.88,11249.1212,
16.98,10874.2005,
17.08,10372.5988,
17.18,10817.9362,
17.29,10837.0513,
17.39,10593.306,
17.49,11030.0601,
17.59,11288.5905,
17.69,11194.8787,
17.8,10644.9342,
17.9,10642.0886,
18.0,10671.5044,
18.11,10735.4017,
18.21,10990.646,
18.31,11044.0411,
18.41,10682.9848,
18.52,10676.3731,
18.62,10659.434,
18.72,10614.8192,
18.82,10603.3327,
18.92,10647.0647,
19.02,10616.9054,
19.12,10631.5381,
19.22,10720.4232,
19.32,10777.2412,
19.43,11008.1274,
19.53,10931.4473,
19.63,10961.7723,
19.82,10973.8531,
19.92,10920.212,
20.02,10833.5683,
20.13,10921.5835,
20.23,10889.427,
20.33,10879.8942,
20.43,10876.9986,
20.53,10841.3943,
20.63,10887.5045,
20.73,10569.695,
20.83,10553.976,
20.94,10553.803,
21.04,10543.4898,
21.14,10648.7812,
21.25,10678.906,
21.35,10596.4251,
21.45,10615.6098,
21.55,10625.0498,
21.65,10692.6507,
21.75,10645.098,
21.85,10340.6604,
21.96,10326.6412,
22.06,10357.108,
22.16,10315.1057,
22.26,10316.6398,
22.36,10366.4203,
22.46,10020.7615,
22.56,10022.5462,
22.66,10012.9551,
22.76,10017.0826,
22.86,10015.6913,
22.96,10026.9045,
23.06,10040.1284,
23.17,10042.3254,
23.28,10038.8457,
23.38,10100.0339,
23.48,10022.9741,
23.58,9995.3112,
23.68,9995.3112,
23.78,10001.6402,
23.88,10001.6402,
23.98,9999.0866,
24.08,9997.0401,
24.18,9978.5312,
24.28,9978.0292,
24.39,9982.4989,
26.05,9978.0292,
