elapsed_sec,best_cost,improvement_pct
0.23,9790.8711,
0.33,9643.4323,
0.43,9674.2274,
0.53,9678.3792,
0.63,9557.6615,
0.73,9338.8693,
0.83,9333.5579,
0.94,9325.8933,
1.04,9279.3822,
1.14,9285.9065,
1.24,9285.5901,
1.35,9287.8711,
1.45,9279.5616,
1.55,9278.3455,
1.65,9277.2806,
1.75,9277.2806,
1.85,9278.0663,
1.95,9277.2806,
2.05,9277.2806,
2.16,9277.2806,
2.26,9277.2806,
2.36,9277.2806,
2.46,9277.2806,
2.56,9277.2806,
2.66,9277.2806,
2.76,9273.3279,
2.87,9273.3279,
2.97,9273.3279,
3.07,9273.3279,
3.26,9460.0997,
3.36,9488.0074,
3.46,9488.9005,
3.56,9423.0229,
3.66,9287.6925,
3.77,9284.4881,
3.87,9285.0539,
3.97,9287.5472,
4.07,9282.1156,
4.18,9285.1084,
4.28,9282.4783,
4.38,9280.3206,
4.48,9280.3206,
4.58,9280.3206,
4.68,9280.3206,
4.78,9280.2968,
4.88,9279.5647,
4.98,9279.5647,
5.09,9279.5647,
5.19,9279.5647,
5.29,9279.5647,
5.39,9279.5647,
5.49,9279.5647,
5.63,10122.3252,
5.73,9701.5501,
5.84,9703.8276,
5.94,9716.564,
6.04,9744.6988,
6.14,9711.7087,
6.24,9702.7627,
6.34,9698.81,
6.44,9698.0243,
6.54,9698.81,
6.65,9698.0243,
6.75,9699.0892,
6.85,9697.7503,
6.95,9697.7503,
7.05,9696.2585,
7.15,9679.9393,
7.25,9679.9393,
7.36,9679.9393,
7.46,9679.9393,
7.56,9679.9393,
7.78,9679.9393,
7.88,9679.9393,
7.98,9679.9393,
8.16,10582.3947,
8.26,9851.6188,
8.36,9833.0085,
8.46,9740.8968,
8.57,9705.9184,
8.68,9618.0339,
8.78,9614.2122,
8.88,9622.3463,
8.98,9619.6026,
9.08,9620.2994,
9.19,9618.9965,
9.29,9615.6732,
9.39,9610.9511,
9.49,9594.6851,
9.59,9594.6657,
9.69,9594.6851,
9.79,9594.2355,
9.89,9594.2355,
9.99,9594.2355,
10.09,9594.2355,
10.19,9594.2355,
10.29,9593.0556,
10.4,9593.0556,
10.5,9593.0556,
10.6,9593.0556,
10.8,10799.3633,
10.9,10763.0586,
11.0,10759.7947,
11.1,10497.9811,
11.2,10421.2151,
11.31,10420.9726,
11.41,10421.4192,
11.51,10412.8688,
11.61,10418.3507,
11.71,10411.5033,
11.81,10398.9681,
11.91,10366.9912,
12.02,10367.7769,
12.12,10367.7769,
12.22,10367.7769,
12.32,10366.9912,
12.42,10366.9912,
12.52,10366.9912,
12.63,10366.9912,
12.73,10145.5622,
12.83,10145.5622,
12.93,10143.3098,
13.04,10143.3098,
13.14,10143.3098,
13.24,10143.3098,
13.34,10143.3098,
13.44,10143.3098,
13.54,10143.3098,
13.72,9877.7916,
13.82,9828.4684,
13.92,9834.5451,
14.03,9819.8096,
14.13,9801.2636,
14.24,9787.4488,
14.34,9776.6578,
14.44,9770.7396,
14.54,9766.7532,
14.64,9762.7939,
14.75,9759.0906,
14.85,9759.0906,
14.95,9757.9283,
15.05,9757.0196,
15.15,9740.9937,
15.26,9740.9937,
15.36,9676.9081,
15.46,9676.9081,
15.56,9676.9081,
15.67,9676.9081,
15.77,9676.9081,
15.87,9667.23,
15.97,9667.23,
16.07,9667.23,
16.17,9667.23,
16.27,9667.23,
16.39,9667.23,
16.49,9667.23,
16.72,9667.23,
16.82,9667.23,
16.94,9935.8924,
17.04,9871.2969,
17.14,9946.2248,
17.24,9890.5101,
17.34,9897.8869,
17.45,9862.2279,
17.55,9848.4973,
17.65,9857.7627,
17.75,9845.6347,
17.86,9597.0774,
17.96,9582.0505,
18.07,9566.7049,
18.17,9566.7049,
18.27,9566.7049,
18.37,9380.2457,
18.47,9379.1555,
18.57,9379.1555,
18.67,9379.1555,
18.77,9379.1555,
18.87,9379.1555,
18.98,9379.1555,
19.08,9379.1555,
19.18,9379.1555,
19.28,9379.1555,
19.38,9375.2028,
19.48,9375.2028,
19.58,9375.2028,
19.79,11310.9075,
19.89,11177.0866,
20.01,11091.9291,
20.11,11084.0189,
20.21,11032.8956,
20.32,11036.1944,
20.42,11029.1464,
20.52,11032.9407,
20.62,11002.912,
20.72,10996.3015,
20.83,10996.3015,
20.93,10999.8925,
21.03,10996.3015,
21.14,10992.0492,
21.24,10756.6564,
21.35,10751.4867,
21.45,10751.4867,
21.58,10745.4438,
21.68,10745.4438,
21.78,10745.4438,
21.9,10745.4438,
22.0,10745.4438,
22.11,10745.4438,
22.22,10745.4438,
22.32,10745.4438,
22.42,10745.4438,
22.52,10744.8785,
22.62,10744.8785,
22.73,10744.8785,
22.83,10744.8785,
22.93,10744.8785,
23.03,10739.2465,
23.31,10846.3435,
23.41,10771.3128,
23.51,10776.1524,
23.61,10807.692,
23.71,10429.7392,
23.82,9758.7005,
23.93,9709.5933,
24.04,9709.5933,
24.14,9709.3193,
24.24,9709.3193,
24.35,9680.7961,
24.45,9680.4155,
24.55,9680.4155,
24.65,9680.7961,
24.76,9680.4155,
24.86,9680.4155,
24.97,9680.4155,
25.07,9680.4155,
25.17,9666.7212,
25.27,9666.7212,
25.37,9666.7212,
25.47,9666.7212,
25.57,9666.7212,
25.67,9666.7212,
25.77,9666.7212,
25.94,10391.5666,
26.04,10345.1027,
26.14,10293.0748,
26.24,10277.703,
26.35,10221.6735,
26.45,10246.6741,
26.55,10235.4518,
26.66,10227.4153,
26.76,10224.5289,
26.86,10218.9392,
26.96,10224.1038,
27.06,10224.1038,
27.16,10221.0035,
27.26,10038.7063,
27.36,10034.1524,
27.46,10034.1524,
27.57,10034.1524,
27.67,10034.1524,
27.77,10034.1524,
27.87,9992.5195,
27.97,9992.5195,
28.07,9992.5195,
28.18,9992.5195,
28.28,9992.5195,
28.38,9992.5195,
28.49,9992.5195,
28.59,9992.5195,
28.69,9992.5195,
28.91,11802.766,
29.01,11077.2386,
29.11,10983.3104,
29.21,10384.4948,
29.31,9975.7847,
29.42,9994.2867,
29.52,9997.4893,
29.62,9984.264,
29.72,9979.0501,
29.82,9788.1661,
29.92,9784.9617,
30.02,9786.0266,
30.12,9784.9617,
30.22,9784.9617,
30.33,9784.9617,
30.43,9784.9617,
30.53,9750.8119,
30.63,9750.5702,
30.85,9562.5434,
30.95,9562.5434,
31.05,9562.5434,
31.15,9562.5434,
31.25,9562.5434,
31.35,9562.5434,
31.45,9562.5434,
31.55,9562.5434,
31.65,9562.5434,
31.86,10103.4599,
31.97,9967.1644,
32.07,9861.9125,
32.17,9873.1724,
32.27,9646.9949,
32.38,9638.3655,
32.48,9646.4649,
32.58,9638.4757,
32.68,9626.2178,
32.78,9626.8129,
32.88,9301.6684,
32.98,9301.6684,
33.09,9301.6684,
33.19,9300.0016,
33.29,9300.0016,
33.39,9299.2159,
33.5,9297.624,
33.6,9297.624,
33.7,9297.624,
33.8,9296.5873,
33.91,9296.5873,
34.01,9296.5873,
34.11,9296.5873,
34.21,9296.5873,
34.31,9296.5873,
34.41,9296.5873,
34.51,9296.5873,
34.66,11465.767,
34.76,11041.6873,
34.86,10800.8557,
34.97,10818.2121,
35.07,10654.4479,
35.18,10635.0673,
35.28,10610.21,
35.38,10607.9181,
35.48,10368.6007,
35.59,10368.6007,
35.69,10368.6007,
35.8,10362.4525,
35.9,10362.4525,
36.0,10362.4525,
36.1,10362.4525,
36.2,10362.4525,
36.31,10362.4525,
36.41,10362.4525,
36.51,10347.3221,
36.61,10345.4082,
36.71,10345.4082,
36.81,10345.4082,
36.91,10345.4082,
37.12,11641.1899,
37.22,11497.1976,
37.32,11340.5282,
37.42,11347.777,
37.53,11340.2627,
37.63,11330.0862,
37.73,11078.3529,
37.83,11052.5472,
37.93,11042.8357,
38.04,11026.8861,
38.14,10778.8798,
38.31,10778.8798,
38.41,10777.8619,
38.51,10777.106,
38.61,10776.8419,
38.72,10774.3089,
38.82,10774.3089,
38.92,10774.3089,
39.02,10774.3089,
39.12,10763.1123,
39.22,10763.1123,
39.32,10763.1123,
39.43,10763.1123,
39.53,10573.5415,
39.63,10573.5415,
39.81,10909.7461,
39.92,10131.9203,
40.02,10093.0239,
40.12,9778.2208,
40.23,9763.1128,
40.33,9765.3938,
