elapsed_sec,best_cost,improvement_pct
0.1,9562.061,
0.21,9567.5272,
0.33,9570.7316,
0.44,9572.8446,
0.55,9570.7904,
0.66,9602.1439,
0.76,9416.1705,
0.87,9642.2295,
0.98,9607.6281,
1.11,9605.5739,
1.23,9616.9786,
1.34,9418.5584,
1.46,9407.1537,
1.58,9412.4558,
1.69,9573.1426,
1.8,9567.586,
1.91,9415.6602,
2.03,9423.5748,
2.14,9596.8418,
2.26,9565.4883,
2.38,9596.4949,
2.51,9565.403,
2.61,9571.0194,
2.73,9563.3488,
2.84,9558.5565,
2.94,9563.3488,
3.06,9571.8177,
3.17,9578.9907,
3.28,9571.5648,
3.39,9423.8605,
3.49,9412.4558,
3.6,9455.7458,
3.71,9616.4326,
3.82,9627.789,
3.93,9642.3916,
4.05,9455.9079,
4.16,9412.6179,
4.27,9573.0502,
4.38,9567.586,
4.49,9569.6402,
4.59,9567.586,
4.7,9595.0023,
4.81,9609.0051,
4.93,9606.6388,
5.03,9606.6388,
5.15,9614.3094,
5.25,9617.2093,
5.36,9569.1943,
5.48,9563.3488,
5.58,9564.1131,
5.69,9571.0194,
5.79,9573.9193,
5.89,9474.0113,
6.01,9471.7515,
6.11,9471.7515,
6.22,9626.8817,
6.32,9626.8817,
6.42,9626.8817,
6.53,9626.8817,
6.63,9558.5565,
6.73,9403.4263,
6.84,9403.4263,
6.94,9403.4263,
7.06,9564.1131,
7.16,9561.4779,
7.29,9556.6856,
7.39,9556.6856,
7.49,9556.6856,
7.61,9562.2422,
7.73,9563.6174,
7.84,9568.9195,
7.95,9585.2387,
8.06,9568.9195,
8.16,9565.7151,
8.27,9539.4937,
8.37,9528.3312,
8.47,9530.2021,
8.58,9528.3312,
8.68,9532.2563,
8.78,9532.98,
8.88,9541.1993,
8.98,9529.9792,
9.1,9529.9792,
9.22,9529.9792,
9.32,9530.1433,
9.42,9546.4625,
9.52,9530.1433,
9.64,9530.1433,
9.76,9544.5465,
9.86,9529.9792,
9.98,9529.9792,
10.08,9536.3485,
10.2,9544.5465,
10.31,9546.4625,
10.42,9541.3058,
10.54,9552.0144,
10.64,9530.1433,
10.75,9529.9792,
10.85,9541.1417,
10.97,9551.8503,
11.08,9552.1943,
11.19,9529.9792,
11.3,9532.98,
11.4,9551.751,
11.53,9554.5096,
11.64,9549.4735,
11.74,9532.6973,
11.85,9530.8264,
11.95,9552.6975,
12.06,9530.8264,
12.16,9553.0415,
12.26,9530.8264,
12.37,9545.3937,
12.47,9530.8264,
12.57,9528.3312,
12.68,9532.2563,
12.78,9528.3312,
12.89,9533.8878,
12.99,9529.9792,
13.09,9541.1417,
