elapsed_sec,best_cost,improvement_pct
0.11,9242.8598,
0.26,9239.3327,
0.38,9235.612,
0.49,9073.296,
0.61,9216.0553,
0.72,9313.5995,
0.83,9320.7991,
0.93,9256.0018,
1.03,9250.045,
1.15,9252.5927,
1.26,9248.5139,
1.37,9249.6968,
1.48,9255.6055,
1.59,9245.3264,
1.7,9246.7425,
1.82,9085.6026,
1.92,9088.7055,
2.04,8910.9109,
2.15,9085.4111,
2.26,8915.9458,
2.36,8995.5528,
2.47,9159.546,
2.58,9169.577,
2.68,9002.1822,
2.79,9125.3511,
2.89,9141.7663,
2.99,8964.5518,
3.1,9008.7206,
3.2,9158.7876,
3.31,9120.7881,
3.42,9117.6896,
3.53,9118.4838,
3.64,9131.2783,
3.75,9117.918,
3.86,9127.5499,
3.97,8981.7812,
4.07,8966.312,
4.18,9132.0729,
4.28,9128.52,
4.39,9122.588,
4.49,8995.6204,
4.6,9122.588,
4.71,9121.6595,
4.82,9075.9529,
4.93,9202.9205,
5.04,9196.9885,
5.15,9116.8667,
5.26,9118.4586,
5.37,8957.748,
5.47,8950.6697,
5.57,9110.2177,
5.67,9109.7884,
5.78,9130.0874,
5.89,9036.8482,
5.99,9203.023,
6.1,9199.9712,
6.22,8995.5413,
6.33,8994.947,
6.44,9138.7047,
6.54,9121.463,
6.65,9128.8665,
6.77,8994.4575,
6.88,9199.0454,
6.98,9201.6951,
7.1,9213.0608,
7.21,9133.2237,
7.32,8941.7131,
7.43,8943.9729,
7.54,9130.1019,
7.65,8948.8364,
7.76,8972.7086,
7.87,9119.3907,
7.98,9119.6332,
8.09,8981.2073,
8.2,9152.7268,
8.32,9153.8611,
8.43,8980.5943,
8.53,9021.1364,
8.65,9160.0704,
8.76,9122.5414,
8.87,9108.8263,
8.98,9128.8114,
9.08,9120.7921,
9.18,9128.0999,
9.29,8928.3097,
9.39,9130.3016,
9.49,9132.1571,
9.6,9130.7688,
9.7,8965.9895,
9.81,8965.0201,
9.92,8961.5417,
10.03,8958.0883,
10.14,8923.917,
10.24,8937.8941,
10.35,8939.6236,
10.46,9266.7875,
10.57,9123.6052,
10.69,9123.7965,
10.81,9010.1558,
10.92,8927.5559,
11.02,8923.1228,
11.12,8928.2683,
11.23,8931.418,
11.34,8927.4653,
11.44,8929.3996,
11.55,8938.9797,
11.65,9026.8479,
11.75,9259.1856,
11.85,9033.5938,
11.96,8948.6842,
12.07,9145.6986,
12.18,8925.6448,
12.28,8922.6937,
12.39,8971.0677,
12.5,9210.1099,
12.61,8970.7937,
12.73,8922.3198,
12.84,8929.5493,
12.95,9106.1171,
13.06,8895.0313,
13.17,8944.1089,
13.28,8941.4552,
13.39,8950.6182,
13.49,8901.9085,
13.6,8888.6,
13.71,8933.4589,
13.82,8932.142,
13.93,8934.8944,
14.04,8915.0407,
14.14,8862.1286,
14.24,8858.8141,
14.35,8889.5449,
14.45,8889.5449,
14.56,9004.7829,
14.67,8855.9829,
14.78,8975.7603,
14.88,8908.8087,
14.99,8902.1399,
15.09,8956.8676,
15.2,8904.0523,
15.31,8910.7211,
15.41,8920.4591,
15.52,8910.4966,
15.63,8913.8199,
15.74,8870.5299,
15.85,8872.8325,
15.96,8947.0651,
16.08,8952.6764,
16.19,9073.3177,
16.31,9093.5897,
16.42,9154.9167,
16.52,8906.7252,
16.63,8911.8593,
16.73,8992.0033,
16.84,8993.7638,
16.96,9052.8272,
17.06,9048.3365,
17.16,9165.0153,
17.27,9028.1938,
17.38,8944.4479,
17.49,8896.123,
17.61,8976.8076,
17.72,9010.2422,
17.83,9013.4859,
17.94,9013.4859,
18.04,9013.4859,
18.15,8900.1923,
18.27,8902.055,
18.37,8948.3446,
18.48,8937.7899,
18.58,9022.9162,
18.69,9206.9064,
18.81,8959.5277,
18.92,8966.8918,
19.03,9099.2972,
19.14,8952.6789,
19.24,9017.9927,
19.35,9048.87,
19.46,9266.6602,
19.56,9101.7794,
19.68,8955.0613,
19.79,8916.4623,
19.9,8911.3,
20.0,9008.9329,
20.1,9003.2072,
20.21,9018.0479,
20.31,9021.7009,
20.41,8970.0378,
20.53,8979.0242,
20.64,9095.3491,
20.76,9004.7034,
20.86,8897.7799,
20.98,8854.4899,
21.09,8908.7958,
21.19,8952.2898,
21.29,9134.023,
21.4,9141.6846,
21.51,8948.4266,
21.62,8950.8001,
21.73,8988.1947,
21.84,8912.545,
21.95,8897.0713,
22.06,8918.4725,
22.16,8983.7965,
22.27,8988.1178,
22.37,8991.832,
22.48,8910.6438,
22.59,8912.5168,
22.7,8904.0855,
22.81,8899.0506,
22.92,8893.1186,
23.02,8939.9357,
23.13,8945.3999,
23.24,9138.2286,
23.35,8989.1114,
23.45,8907.3692,
23.56,8895.026,
23.67,8899.3473,
23.79,9024.1418,
23.9,8954.1562,
24.01,9233.8176,
24.11,9007.5312,
24.22,8907.5277,
24.33,8899.3274,
24.44,8942.7607,
24.55,8868.6878,
24.66,8861.3663,
24.77,8897.9346,
24.88,8933.1748,
24.99,8986.2253,
25.09,8948.2543,
25.2,9171.7004,
25.3,8890.2407,
25.41,8978.3811,
25.51,8973.9132,
25.62,9219.2848,
25.72,8986.8661,
25.82,8917.7738,
25.92,9004.4521,
26.03,9255.0677,
26.14,8910.3766,
26.25,8940.8585,
26.35,9046.11,
26.46,8965.2406,
26.57,8862.3233,
26.68,8860.1838,
26.79,8865.5137,
26.89,8908.8037,
27.0,8947.8382,
27.1,9023.4879,
27.21,8912.3228,
27.32,8870.7637,
27.42,8873.6529,
27.54,8855.5266,
27.65,8866.0813,
27.76,9045.9156,
27.88,8871.4154,
27.99,8879.8208,
28.09,8960.5369,
28.2,8902.5962,
28.3,8942.4819,
28.42,8904.5469,
28.52,8873.8073,
28.62,8863.4675,
28.73,8869.3688,
28.84,8924.6637,
28.94,8865.5006,
29.04,9179.0993,
29.14,8977.1786,
29.25,8972.6148,
29.36,9078.9855,
29.47,9123.2202,
29.58,8943.7574,
29.69,8900.3241,
29.8,8943.6141,
29.91,8947.4087,
30.01,9012.7602,
30.11,8994.2406,
30.22,9002.7873,
30.33,8959.3809,
30.43,8858.2695,
30.54,8946.7337,
30.65,9094.9449,
30.76,8850.5372,
30.87,8854.4899,
30.99,8942.6303,
31.1,8893.7221,
31.21,8893.7221,
31.31,8938.9641,
31.42,8987.4164,
31.54,9090.4928,
31.64,9135.5425,
31.75,8981.9155,
31.86,8965.5806,
31.96,8857.8132,
32.07,8930.9773,
32.19,8895.7842,
32.3,8892.4609,
32.4,8961.1398,
32.51,8870.3535,
32.62,8976.2119,
32.74,9015.7451,
32.85,9001.1649,
32.95,9001.9665,
33.06,8938.5965,
33.17,9131.0471,
33.28,8899.6541,
33.38,8900.0834,
33.48,8946.4325,
33.59,8914.0728,
33.71,9145.9812,
33.81,8981.5571,
33.92,8938.2671,
34.02,8941.4715,
34.14,8896.976,
34.24,8912.8497,
34.34,8909.3713,
