elapsed_sec,best_cost,improvement_pct
0.15,9845.8302,
0.25,9516.123,
0.35,9516.8401,
0.45,9555.4135,
0.55,9549.3638,
0.65,9554.828,
0.76,9596.9818,
0.86,10321.2604,
0.96,10147.1204,
1.06,10133.6108,
1.17,10099.9033,
1.27,10142.8418,
1.38,9883.7724,
1.48,9343.3399,
1.58,9156.3904,
1.68,9205.9769,
1.78,9291.279,
1.88,9554.7917,
1.98,9727.6584,
2.08,9472.5101,
2.19,9434.0164,
2.29,9429.0707,
2.39,9314.726,
2.49,9324.8451,
2.59,9342.9853,
2.7,9369.0918,
2.8,9432.1571,
3.03,9431.7838,
3.13,9415.609,
3.23,9366.8933,
3.33,9453.0249,
3.43,9479.997,
3.53,9434.6717,
3.63,9437.5796,
3.74,9374.6847,
3.84,9417.5657,
3.94,9386.569,
4.04,9167.3194,
4.14,9165.5583,
4.24,9150.0189,
4.35,9356.5531,
4.45,9301.9458,
4.55,9308.887,
4.65,9403.9644,
4.75,9360.8407,
4.85,9396.4887,
4.96,9422.7341,
5.06,9474.3935,
5.16,9088.6819,
5.26,9088.8162,
5.36,9030.0645,
5.46,9035.3199,
5.56,9030.9671,
5.66,9065.6962,
5.76,9048.9123,
5.86,9040.042,
5.97,9041.341,
6.07,9039.7481,
6.17,9022.5199,
6.27,9021.0877,
6.37,9024.2383,
6.47,9028.131,
6.57,9043.1144,
6.67,8943.0876,
6.83,9313.9136,
6.93,9414.3842,
7.03,9738.5099,
7.14,9346.9695,
7.24,9349.7411,
7.36,9368.2461,
7.46,9660.1582,
7.57,9348.1304,
7.67,9357.4988,
7.77,9449.9221,
7.87,9446.507,
7.97,9463.8868,
8.08,9115.43,
8.18,9097.0362,
8.28,9089.5216,
8.38,9072.9549,
8.48,9225.3831,
8.58,9239.7798,
8.68,9243.1861,
8.79,9213.4956,
8.89,9242.5505,
8.99,9246.3392,
9.09,9147.1753,
9.19,9131.6212,
9.29,9115.9984,
9.39,9395.3754,
9.49,9510.3162,
9.6,9513.9361,
9.7,9094.2433,
9.8,9084.3569,
9.91,9093.9932,
10.01,9041.8424,
10.12,9091.2675,
10.23,9081.0928,
10.33,9086.6268,
10.43,9105.0309,
10.53,9087.6285,
10.77,9051.2261,
10.88,9060.1036,
10.98,9050.2237,
11.08,9046.0193,
11.18,9060.6684,
11.28,9043.3023,
11.4,9044.8038,
11.5,9045.954,
11.6,9039.0098,
11.7,8913.5295,
11.8,8917.5664,
11.9,8916.3037,
12.01,8962.674,
12.11,8958.4418,
12.21,8972.0904,
12.31,8975.7363,
12.41,8997.4691,
12.51,8992.3898,
12.61,8991.7146,
12.72,8992.0457,
12.82,9004.0024,
12.92,8899.5009,
13.02,8903.9441,
13.12,8906.2738,
