elapsed_sec,best_cost,improvement_pct
32.49,3194.2641,
32.63,3194.2641,
32.77,3201.802,
32.88,3202.8138,
32.99,3178.1432,
33.1,3174.5689,
33.21,3176.7237,
33.31,3185.9014,
33.41,3179.6982,
33.54,3179.6982,
33.64,3176.7237,
33.75,3271.4069,
33.85,3271.4069,
33.96,3229.0495,
34.07,3268.2125,
34.19,3314.7565,
34.3,3314.7565,
34.43,3303.7864,
34.56,3308.5944,
34.66,3263.0837,
34.77,3305.9148,
34.94,3304.894,
35.08,3327.6018,
35.19,3338.8853,
35.3,3323.6596,
35.41,3309.7567,
35.53,3310.6621,
35.63,3348.2201,
35.76,3330.3689,
35.9,3330.3689,
36.0,3320.2654,
36.18,3236.5438,
36.31,3252.2016,
36.42,3254.8305,
36.52,3254.8305,
36.62,3255.0749,
36.72,3257.5581,
36.87,3223.5501,
36.99,3228.8201,
37.09,3226.0778,
37.23,3227.5347,
37.33,3225.3295,
37.43,3228.9038,
37.57,3250.9228,
37.68,3250.9228,
37.78,3250.9228,
37.91,3254.4134,
38.02,3254.4134,
38.12,3207.637,
38.25,3200.5101,
38.35,3214.6338,
38.48,3207.3664,
38.59,3210.1413,
38.72,3261.0368,
38.84,3220.7961,
38.94,3220.7961,
39.06,3225.8249,
39.16,3231.8989,
39.26,3161.1602,
39.38,3161.1602,
39.48,3150.3597,
39.59,3150.3597,
39.69,3150.3597,
39.8,3150.3597,
39.95,3150.3597,
40.05,3284.6693,
40.18,3284.6693,
40.32,3282.4317,
40.51,3283.9494,
40.62,3283.9494,
40.74,3276.3548,
40.84,3272.9719,
40.96,3286.34,
41.06,3286.34,
41.17,3281.7928,
41.39,3278.5924,
41.5,3282.9333,
41.61,3276.3548,
41.72,3276.3548,
41.82,3221.761,
41.96,3203.9245,
42.15,3191.4287,
42.25,3193.6429,
42.37,3193.6429,
42.47,3192.042,
42.58,3183.9698,
42.68,3227.9988,
42.82,3226.811,
42.95,3230.7655,
43.06,3230.7655,
43.16,3234.5586,
43.29,3234.5586,
43.42,3232.331,
43.54,3227.6434,
43.68,3189.9604,
43.79,3189.7059,
43.91,3197.6318,
44.02,3193.7524,
44.13,3197.2457,
44.26,3215.9153,
44.4,3220.6002,
44.54,3217.9452,
44.66,3217.9452,
44.76,3231.3477,
44.89,3207.0825,
45.03,3207.0825,
45.13,3191.9562,
45.24,3190.8268,
45.35,3188.5822,
45.48,3201.7783,
45.6,3205.6329,
45.71,3132.5378,
45.85,3132.5378,
45.99,3132.2959,
46.09,3126.7063,
46.2,3133.3266,
46.39,3131.974,
46.54,3131.974,
46.67,3128.8962,
46.79,3140.4527,
46.89,3131.8983,
46.99,3127.5507,
47.09,3127.5507,
47.19,3133.494,
47.3,3133.494,
47.42,3133.494,
47.52,3153.257,
47.68,3153.257,
47.84,3226.7753,
48.07,3235.97,
48.18,3227.6785,
48.34,3226.5211,
48.44,3217.8239,
48.56,3210.2114,
48.67,3210.2114,
48.77,3210.2114,
48.88,3197.8036,
48.99,3205.4252,
49.11,3205.4252,
49.25,3205.4252,
49.35,3203.749,
49.49,3218.1972,
49.64,3218.1972,
49.77,3205.0023,
49.88,3204.9282,
50.0,3235.0023,
50.12,3204.289,
50.22,3217.1767,
50.36,3217.1767,
50.47,3216.2648,
50.58,3216.2648,
50.7,3204.4892,
50.84,3218.3875,
50.98,3204.5825,
51.15,3210.7299,
51.26,3207.3089,
51.37,3140.5014,
51.5,3140.2136,
51.61,3128.8765,
51.73,3134.2628,
51.83,3134.2628,
51.95,3137.8013,
52.06,3137.8013,
52.19,3139.5328,
52.31,3139.5328,
52.44,3142.0805,
52.57,3138.4257,
52.67,3138.4787,
52.79,3133.2087,
52.92,3132.4997,
53.06,3133.6118,
53.19,3133.6118,
53.35,3138.5277,
53.48,3133.9926,
53.6,3133.9926,
53.71,3133.9926,
53.84,3142.9108,
53.98,3133.1984,
54.11,3133.1984,
54.21,3137.8965,
54.34,3216.165,
54.47,3135.7991,
54.58,3129.7985,
54.69,3130.8629,
54.82,3129.7985,
54.93,3155.4974,
55.05,3153.0877,
55.15,3150.9646,
55.25,3148.1037,
55.39,3182.7612,
55.53,3150.9646,
55.63,3150.9646,
55.76,3147.1396,
55.93,3147.1396,
56.14,3125.9063,
56.24,3127.1818,
56.43,3127.1818,
56.58,3129.7722,
56.7,3127.1924,
56.83,3124.602,
56.93,3123.4726,
57.03,3144.7059,
57.22,3160.3768,
57.34,3152.7206,
57.46,3153.5707,
57.6,3159.7286,
57.76,3154.5993,
57.87,3159.7286,
57.97,3154.5993,
58.11,3159.7504,
58.22,3151.9072,
58.37,3151.9072,
58.59,3151.9072,
58.7,3156.8844,
58.8,3142.9744,
58.92,3142.9744,
59.03,3142.9744,
59.16,3153.5444,
59.27,3130.8366,
59.38,3132.5944,
59.48,3131.53,
59.59,3127.0801,
59.85,3127.0801,
59.98,3134.0777,
