elapsed_sec,best_cost,improvement_pct
0.22,3145.9781,
0.33,3186.85,
0.43,3212.5518,
0.54,3212.5518,
0.68,3201.9501,
0.82,3215.379,
0.93,3136.2323,
1.03,3287.4737,
1.28,3292.6123,
1.41,3280.8952,
1.53,3279.9055,
1.64,3151.5756,
1.75,3158.9948,
1.88,3158.9948,
2.01,3154.8136,
2.11,3158.9948,
2.21,3223.9199,
2.31,3214.1835,
2.41,3220.7862,
2.53,3218.2733,
2.68,3209.1857,
2.79,3209.1857,
2.91,3209.0854,
3.07,3209.0854,
3.19,3274.0105,
3.31,3276.5676,
3.44,3211.6425,
3.55,3198.4749,
3.65,3198.4749,
3.81,3200.1244,
3.91,3205.569,
4.06,3106.9881,
4.18,3129.4387,
4.28,3162.3364,
4.4,3152.3398,
4.5,3155.1147,
4.61,3457.2567,
4.75,3443.1786,
4.88,3443.1786,
4.98,3451.2445,
5.08,3453.8995,
5.21,3434.7076,
5.31,3426.7304,
5.47,3429.3955,
5.62,3441.8595,
5.76,3416.1733,
5.99,3475.9286,
6.21,3469.2852,
6.32,3472.1124,
6.52,3422.5803,
6.62,3410.7861,
6.76,3529.6299,
6.87,3561.6223,
7.05,3566.7152,
7.17,3486.8057,
7.27,3530.622,
7.4,3533.8437,
7.5,3529.6299,
7.7,3588.4443,
7.83,3598.78,
7.96,3540.5747,
8.07,3531.394,
8.17,3592.5694,
8.27,3572.0346,
8.39,3569.0483,
8.59,3578.6242,
8.7,3579.0575,
8.81,3523.6168,
8.94,3552.33,
9.07,3552.33,
9.17,3543.7863,
9.28,3901.7135,
9.38,3802.5721,
9.51,3774.384,
9.61,3536.792,
9.72,3584.4084,
9.82,3590.9088,
9.96,3529.9286,
10.06,3531.0549,
10.17,3525.063,
10.31,3530.2739,
10.41,3603.688,
10.52,3518.7283,
10.63,3935.8921,
10.73,3935.611,
10.85,3631.9506,
10.96,3572.5426,
11.1,3870.1518,
11.24,3933.5266,
11.35,3936.5906,
11.46,3988.6026,
11.6,3916.6638,
11.7,3929.7918,
11.81,3927.415,
11.91,3927.415,
12.01,3909.5908,
12.13,3841.8104,
12.23,3843.825,
12.35,3829.7804,
12.47,3896.0815,
12.59,3902.9574,
12.7,3902.9574,
12.81,3920.949,
12.93,3924.5465,
13.12,3929.3519,
13.27,3929.3519,
13.38,3921.9587,
13.5,3912.0811,
13.63,3911.8699,
13.75,3903.0084,
13.85,3939.2399,
13.98,3941.711,
14.09,3965.5818,
14.23,3966.6072,
14.36,3946.1167,
14.48,3931.3661,
14.61,3643.133,
14.72,3634.3269,
14.83,3637.9899,
14.94,3642.4158,
15.06,3651.2367,
15.17,3626.0916,
15.29,3616.1669,
15.41,3615.1837,
15.51,3609.9109,
15.64,3619.3381,
15.74,3603.5886,
15.85,3612.0496,
15.95,3618.2061,
16.08,3607.9829,
16.23,3607.9829,
16.34,3301.6057,
16.46,3285.7725,
16.61,3303.8144,
16.74,3291.1452,
16.85,3300.0126,
16.95,3300.0126,
17.1,3300.0126,
17.22,3300.0126,
17.33,3297.8698,
17.44,3297.6186,
17.54,3297.6186,
17.64,3308.3707,
17.75,3305.595,
17.91,3311.3965,
18.02,3336.5214,
18.14,3344.4649,
18.29,3344.4649,
18.42,3344.4649,
18.53,3332.0035,
18.64,3335.056,
18.75,3323.695,
18.88,3319.3624,
19.02,3325.1279,
19.15,3349.9642,
19.25,3349.9642,
19.36,3335.5761,
19.47,3335.5761,
19.6,3345.3299,
19.74,3349.5471,
19.85,3343.7548,
19.96,3337.6082,
20.07,3327.3568,
20.17,3330.5174,
20.3,3329.7513,
20.42,3282.1798,
20.66,3278.1195,
20.81,3333.8567,
20.94,3340.3909,
21.11,3338.4102,
21.22,3338.4102,
21.34,3257.3759,
21.44,3266.4586,
21.54,3254.6761,
21.64,3255.7495,
21.77,3255.7495,
21.89,3261.898,
22.04,3255.6503,
22.17,3255.6503,
22.31,3255.6503,
22.42,3257.2512,
22.57,3324.9854,
22.69,3321.3589,
22.8,3321.3589,
22.93,3323.155,
23.03,3322.8064,
23.16,3322.8064,
23.29,3265.0478,
23.4,3265.0478,
23.57,3275.0444,
23.67,3329.5086,
23.78,3343.7715,
23.9,3349.1621,
24.01,3349.1621,
24.14,3341.9207,
24.25,3331.7908,
24.37,3331.7908,
24.47,3278.348,
24.61,3278.348,
24.72,3276.5382,
24.82,3276.5382,
24.92,3262.6933,
25.05,3262.6933,
25.15,3273.2949,
25.26,3273.2029,
25.36,3266.6243,
25.47,3284.2622,
25.6,3284.2622,
25.7,3285.333,
25.81,3288.2792,
25.94,3278.1508,
26.06,3269.6323,
26.2,3267.3947,
26.34,3273.9732,
26.44,3256.7309,
26.56,3283.5815,
26.69,3280.2692,
