elapsed_sec,best_cost,improvement_pct
0.11,3047.1343,
0.22,3047.1343,
0.32,3042.867,
0.42,3024.9917,
0.52,2987.799,
0.62,2987.799,
0.72,2987.799,
0.82,2987.799,
0.93,2987.799,
1.03,2987.799,
1.13,2987.799,
1.23,2987.799,
1.34,2987.799,
1.44,2987.799,
1.54,2987.799,
1.64,2987.799,
1.74,2987.799,
1.84,2987.799,
1.95,2987.799,
2.05,2987.799,
2.15,2987.799,
2.26,2987.799,
2.36,2987.799,
2.47,2987.799,
2.57,2987.799,
2.67,2987.799,
2.77,2987.799,
2.87,2987.799,
2.98,2987.799,
3.08,2987.799,
3.18,2987.799,
3.28,2987.799,
3.38,2987.799,
3.49,2987.799,
3.59,2987.799,
3.69,2987.799,
3.79,2987.799,
3.89,2987.799,
3.99,2987.799,
4.09,2987.799,
4.19,2987.799,
4.29,2987.799,
4.39,2987.799,
4.49,2987.799,
4.6,2987.799,
4.7,2987.799,
4.8,2987.799,
4.9,2987.799,
5.0,2987.799,
5.1,2987.799,
5.21,2987.799,
5.31,2987.799,
5.41,2987.799,
5.51,2987.799,
5.61,2987.799,
5.72,2987.799,
5.82,2987.799,
5.93,2987.799,
6.03,2987.799,
6.13,2987.799,
6.24,2987.799,
6.34,2987.799,
6.44,2987.799,
6.55,2987.799,
6.65,2987.799,
6.75,2987.799,
6.85,2987.799,
6.95,2987.799,
7.05,2987.799,
7.16,2987.799,
7.26,2987.799,
7.36,2987.799,
7.46,2987.799,
7.56,2987.799,
7.67,2987.799,
7.77,2987.799,
7.87,2987.799,
7.97,2987.799,
8.07,2987.799,
8.17,2987.799,
8.27,2987.799,
8.37,2987.799,
8.48,2987.799,
8.58,2987.799,
8.68,2987.799,
8.78,2987.799,
8.88,2987.799,
8.98,2987.799,
9.08,2987.799,
9.19,2987.799,
9.29,2987.799,
9.39,2987.799,
9.5,2987.799,
9.6,2987.799,
9.7,2987.799,
9.8,2987.799,
9.91,2987.799,
10.02,2987.799,
10.12,2987.799,
10.22,2987.799,
10.32,2987.799,
10.43,2987.799,
10.53,2987.799,
10.63,2987.799,
10.73,2987.799,
10.84,2987.799,
10.94,2987.799,
11.04,2987.799,
11.14,2987.799,
11.24,2987.799,
11.34,2987.799,
11.45,2987.799,
11.55,2987.799,
11.65,2987.799,
11.76,2987.799,
11.86,2987.799,
11.96,2987.799,
12.06,2987.799,
12.16,2987.799,
12.26,2987.799,
12.36,2987.799,
12.46,2987.799,
12.57,2987.799,
12.67,2987.799,
12.78,2987.799,
12.88,2987.799,
12.98,2987.799,
13.08,2987.799,
13.19,2987.799,
13.3,2987.799,
13.4,2987.799,
13.51,2987.799,
13.73,2987.799,
13.83,2987.799,
13.93,2987.799,
14.03,2987.799,
14.14,2987.799,
14.24,2987.799,
14.34,2987.799,
14.45,2987.799,
14.55,2987.799,
14.65,2987.799,
14.75,2987.799,
14.85,2987.799,
14.95,2987.799,
15.06,2987.799,
15.16,2987.799,
15.27,2987.799,
15.37,2987.799,
15.48,2987.799,
15.58,2987.799,
15.69,2987.799,
15.79,2987.799,
15.89,2987.799,
15.99,2987.799,
16.09,2987.799,
16.2,2987.799,
16.31,2987.799,
16.41,2987.799,
16.51,2987.799,
16.61,2987.799,
16.72,2987.799,
16.82,2987.799,
16.92,2987.799,
17.02,2987.799,
17.13,2987.799,
17.23,2987.799,
17.33,2987.799,
17.44,2987.799,
17.54,2987.799,
17.64,2987.799,
17.74,2987.799,
17.84,2987.799,
17.94,2987.799,
18.04,2987.799,
18.14,2987.799,
18.24,2987.799,
18.35,2987.799,
18.45,2987.799,
18.55,2987.799,
18.65,2987.799,
18.75,2987.799,
18.86,2987.799,
18.96,2987.799,
19.07,2987.799,
19.17,2987.799,
19.27,2987.799,
19.37,2987.799,
19.47,2987.799,
19.57,2987.799,
19.67,2987.799,
19.78,2987.799,
19.88,2987.799,
19.98,2987.799,
20.08,2987.799,
20.19,2987.799,
20.29,2987.799,
20.39,2987.799,
20.5,2987.799,
20.6,2987.799,
20.7,2987.799,
20.81,2987.799,
20.91,2987.799,
21.01,2987.799,
21.12,2987.799,
21.22,2987.799,
21.32,2987.799,
21.42,2987.799,
21.52,2987.799,
21.62,2987.799,
21.73,2987.799,
21.83,2987.799,
21.93,2987.799,
22.03,2987.799,
22.14,2987.799,
22.24,2987.799,
22.34,2987.799,
22.44,2987.799,
22.54,2987.799,
22.64,2987.799,
22.74,2987.799,
22.85,2987.799,
22.95,2987.799,
23.05,2987.799,
23.15,2987.799,
23.25,2987.799,
23.35,2987.799,
23.45,2987.799,
23.55,2987.799,
23.65,2987.799,
23.75,2987.799,
23.86,2987.799,
23.97,2987.799,
24.07,2987.799,
24.17,2987.799,
24.27,2987.799,
24.37,2987.799,
24.48,2987.799,
24.58,2987.799,
24.68,2987.799,
24.79,2987.799,
24.89,2987.799,
24.99,2987.799,
25.1,2987.799,
25.2,2987.799,
25.3,2987.799,
25.4,2987.799,
25.5,2987.799,
25.6,2987.799,
25.7,2987.799,
25.8,2987.799,
25.9,2987.799,
26.01,2987.799,
26.11,2987.799,
26.21,2987.799,
26.32,2987.799,
26.42,2987.799,
26.53,2987.799,
26.64,2987.799,
26.74,2987.799,
26.84,2987.799,
26.94,2987.799,
27.04,2987.799,
27.14,2987.799,
27.25,2987.799,
27.35,2987.799,
27.45,2987.799,
27.56,2987.799,
27.66,2987.799,
27.76,2987.799,
27.87,2987.799,
27.97,2987.799,
28.2,2987.799,
28.3,2987.799,
28.4,2987.799,
28.5,2987.799,
28.6,2987.799,
28.71,2987.799,
28.81,2987.799,
28.91,2987.799,
29.01,2987.799,
29.11,2987.799,
29.22,2987.799,
29.32,2987.799,
29.42,2987.799,
29.52,2987.799,
29.63,2987.799,
29.74,2987.799,
29.84,2987.799,
29.94,2987.799,
30.04,2987.799,
30.15,2987.799,
30.25,2987.799,
30.35,2987.799,
30.45,2987.799,
30.55,2987.799,
30.66,2987.799,
30.76,2987.799,
30.86,2987.799,
30.97,2987.799,
31.07,2987.799,
31.17,2987.799,
31.27,2987.799,
31.38,2987.799,
31.48,2987.799,
31.58,2987.799,
31.68,2987.799,
31.79,2987.799,
31.89,2987.799,
31.99,2987.799,
32.09,2987.799,
32.2,2987.799,
32.3,2987.799,
32.41,2987.799,
32.51,2987.799,
32.61,2987.799,
32.71,2987.799,
32.81,2987.799,
32.91,2987.799,
33.02,2987.799,
33.12,2987.799,
33.23,2987.799,
33.33,2987.799,
33.43,2987.799,
33.53,2987.799,
33.63,2987.799,
33.73,2987.799,
33.84,2987.799,
33.94,2987.799,
34.04,2987.799,
34.14,2987.799,
34.24,2987.799,
34.34,2987.799,
34.44,2987.799,
34.55,2987.799,
34.65,2987.799,
34.76,2987.799,
34.86,2987.799,
34.96,2987.799,
35.07,2987.799,
35.17,2987.799,
35.27,2987.799,
35.37,2987.799,
35.48,2987.799,
35.58,2987.799,
35.68,2987.799,
35.78,2987.799,
35.88,2987.799,
35.98,2987.799,
36.08,2987.799,
36.18,2987.799,
36.29,2987.799,
36.39,2987.799,
36.49,2987.799,
36.59,2987.799,
36.7,2987.799,
36.8,2987.799,
36.9,2987.799,
37.0,2987.799,
37.11,2987.799,
37.21,2987.799,
37.31,2987.799,
37.41,2987.799,
37.51,2987.799,
37.62,2987.799,
37.72,2987.799,
37.82,2987.799,
37.92,2987.799,
38.02,2987.799,
38.13,2987.799,
38.23,2987.799,
38.33,2987.799,
38.44,2987.799,
38.55,2987.799,
38.65,2987.799,
38.75,2987.799,
38.85,2987.799,
38.95,2987.799,
39.05,2987.799,
39.15,2987.799,
39.25,2987.799,
39.36,2987.799,
39.46,2987.799,
39.56,2987.799,
39.66,2987.799,
39.77,2987.799,
39.87,2987.799,
39.97,2987.799,
40.08,2987.799,
40.18,2987.799,
40.28,2987.799,
40.38,2987.799,
40.48,2987.799,
40.59,2987.799,
40.69,2987.799,
40.8,2987.799,
40.9,2987.799,
41.0,2987.799,
41.1,2987.799,
41.21,2987.799,
41.31,2987.799,
41.41,2987.799,
41.52,2987.799,
41.62,2987.799,
41.72,2987.799,
41.83,2987.799,
41.93,2987.799,
42.03,2987.799,
42.14,2987.799,
42.24,2987.799,
42.34,2987.799,
42.44,2987.799,
42.54,2987.799,
42.64,2987.799,
42.84,2987.799,
42.94,2987.799,
43.04,2987.799,
43.15,2987.799,
43.25,2987.799,
43.35,2987.799,
43.45,2987.799,
43.55,2987.799,
43.66,2987.799,
43.76,2987.799,
43.86,2987.799,
43.96,2987.799,
44.06,2987.799,
44.16,2987.799,
44.27,2987.799,
44.37,2987.799,
44.48,2987.799,
44.58,2987.799,
44.69,2987.799,
44.79,2987.799,
44.89,2987.799,
44.99,2987.799,
45.09,2987.799,
45.19,2987.799,
45.29,2987.799,
45.39,2987.799,
45.5,2987.799,
45.6,2987.799,
45.7,2987.799,
45.8,2987.799,
45.91,2987.799,
46.01,2987.799,
46.11,2987.799,
46.21,2987.799,
46.31,2987.799,
46.41,2987.799,
46.51,2987.799,
46.62,2987.799,
46.72,2987.799,
46.82,2987.799,
46.93,2987.799,
47.04,2987.799,
47.14,2987.799,
47.24,2987.799,
47.34,2987.799,
47.44,2987.799,
47.54,2987.799,
47.65,2987.799,
47.75,2987.799,
47.85,2987.799,
47.96,2987.799,
48.07,2987.799,
48.18,2987.799,
48.28,2987.799,
48.38,2987.799,
48.49,2987.799,
48.59,2987.799,
48.69,2987.799,
48.79,2987.799,
48.9,2987.799,
49.0,2987.799,
49.1,2987.799,
49.21,2987.799,
49.31,2987.799,
49.41,2987.799,
49.51,2987.799,
49.61,2987.799,
49.72,2987.799,
49.82,2987.799,
49.93,2987.799,
50.03,2987.799,
50.14,2987.799,
50.24,2987.799,
50.34,2987.799,
50.45,2987.799,
50.55,2987.799,
50.65,2987.799,
50.76,2987.799,
50.86,2987.799,
50.96,2987.799,
51.06,2987.799,
51.16,2987.799,
51.26,2987.799,
51.37,2987.799,
51.47,2987.799,
51.57,2987.799,
51.67,2987.799,
51.77,2987.799,
51.87,2987.799,
51.98,2987.799,
52.08,2987.799,
52.18,2987.799,
52.28,2987.799,
52.39,2987.799,
52.49,2987.799,
52.6,2987.799,
52.7,2987.799,
52.8,2987.799,
52.9,2987.799,
53.0,2987.799,
53.1,2987.799,
53.2,2987.799,
53.3,2987.799,
53.41,2987.799,
53.51,2987.799,
53.61,2987.799,
53.71,2987.799,
53.81,2987.799,
53.91,2987.799,
54.02,2987.799,
54.12,2987.799,
54.22,2987.799,
54.33,2987.799,
54.43,2987.799,
54.53,2987.799,
54.64,2987.799,
54.74,2987.799,
54.84,2987.799,
54.94,2987.799,
55.04,2987.799,
55.14,2987.799,
55.25,2987.799,
55.35,2987.799,
55.46,2987.799,
55.56,2987.799,
55.66,2987.799,
55.76,2987.799,
55.86,2987.799,
55.96,2987.799,
56.06,2987.799,
56.16,2987.799,
56.26,2987.799,
56.37,2987.799,
56.47,2987.799,
56.57,2987.799,
56.67,2987.799,
56.77,2987.799,
56.87,2987.799,
56.97,2987.799,
57.07,2987.799,
57.18,2987.799,
60.1,2987.799,
