elapsed_sec,best_cost,improvement_pct
0.11,3372.2072,
0.21,3495.1034,
0.32,3241.1042,
0.43,3201.5901,
0.53,3202.531,
0.63,3614.6919,
0.74,3878.9282,
0.84,3829.2763,
0.94,3931.005,
1.04,4020.1318,
1.16,3539.2488,
1.26,3586.2947,
1.37,3455.5214,
1.47,3516.8134,
1.58,3447.3031,
1.68,3458.196,
1.78,3557.7037,
1.89,3487.9961,
1.99,3685.031,
2.1,3723.0553,
2.21,3389.0056,
2.31,3495.7605,
2.42,3409.0891,
2.52,3380.3334,
2.64,3402.3133,
2.75,3533.5552,
2.87,3563.3976,
2.97,3550.3532,
3.07,3594.0464,
3.18,3454.539,
3.29,3347.2482,
3.39,3055.0372,
3.5,3055.0372,
3.62,3155.614,
3.73,3207.8017,
3.84,3224.1184,
3.94,3475.3513,
4.05,3471.5996,
4.15,3396.9285,
4.25,3411.5684,
4.39,3358.9681,
4.49,3370.3672,
4.59,3321.1394,
4.7,3346.0307,
4.81,3332.3206,
4.92,3368.6294,
5.03,3632.734,
5.14,3421.8759,
5.24,3600.189,
5.36,3657.9763,
5.47,3685.9468,
5.59,3664.0732,
5.69,3670.0125,
5.8,3576.8179,
5.91,3564.4363,
6.02,3342.6058,
6.13,3382.2338,
6.23,3341.4842,
6.35,3389.337,
6.46,3326.024,
6.56,3475.9909,
6.66,3140.7936,
6.76,3146.0179,
6.88,3403.0576,
6.99,3501.0091,
7.12,3302.2265,
7.22,3315.0257,
7.32,3704.23,
7.43,3347.67,
7.54,3630.8838,
7.65,3412.6505,
7.75,3418.7106,
7.86,3442.9272,
7.97,3433.448,
8.07,3517.1805,
8.17,3534.2823,
8.27,3425.1514,
8.37,3404.7938,
8.47,3391.7976,
8.57,3411.4264,
8.68,3379.0342,
8.79,3420.5265,
8.89,3773.2954,
8.99,3681.3608,
9.1,3458.3653,
9.2,3480.4632,
9.32,3470.0529,
9.42,3214.9484,
9.52,3213.9025,
9.62,3247.2394,
9.73,3248.3313,
9.83,3501.3568,
9.94,3467.1208,
10.05,3507.5629,
10.18,3514.4421,
10.28,3432.0813,
10.39,3180.4563,
10.49,3166.9107,
10.59,3258.7156,
10.72,3264.2619,
10.82,3297.67,
10.94,3244.2833,
11.04,3249.7965,
11.14,3250.399,
11.26,3287.2653,
11.36,3310.4923,
11.47,3166.9416,
11.58,3046.0932,
11.68,3050.0664,
11.78,3035.0308,
11.9,3031.1408,
12.01,3152.4485,
12.13,3072.7107,
12.24,3053.5458,
12.35,3024.6203,
12.46,3155.3511,
12.56,3184.8405,
12.67,3040.8202,
12.78,3036.1757,
12.89,3047.5747,
13.0,3011.4268,
13.1,2974.0328,
13.21,2974.0328,
13.31,3022.4368,
