elapsed_sec,best_cost,improvement_pct
0.14,3060.1348,
0.24,3077.5855,
0.35,3119.1363,
0.47,3206.4409,
0.59,3268.3331,
0.7,3262.6086,
0.8,3107.666,
0.91,3107.666,
1.01,3107.666,
1.12,3107.666,
1.23,3312.5048,
1.34,3326.217,
1.44,3156.9157,
1.55,3156.9157,
1.65,3156.9157,
1.76,3323.4159,
1.87,3347.4951,
1.98,3204.129,
2.1,3160.5919,
2.21,3160.5919,
2.32,3160.5919,
2.43,3113.5309,
2.54,3113.5309,
2.65,3113.5309,
2.77,3113.5309,
2.91,3113.5309,
3.04,3113.5309,
3.15,3293.0971,
3.27,3144.4759,
3.4,3132.1851,
3.5,3136.3091,
3.63,3136.3091,
3.75,3342.6985,
3.88,3184.2959,
4.01,3341.32,
4.13,3101.9152,
4.26,3101.9152,
4.38,3101.9152,
4.49,3098.7085,
4.62,3098.7085,
4.74,3098.7085,
4.86,3098.7085,
4.98,3195.1577,
5.1,3099.7447,
5.23,3099.7447,
5.35,3099.7447,
5.46,3099.7447,
5.59,3099.7447,
5.71,3236.534,
5.83,3102.4241,
5.95,3102.4241,
6.07,3102.4241,
6.18,3102.4241,
6.3,3144.1662,
6.41,3296.6426,
6.52,3193.1356,
6.64,3350.1597,
6.76,3373.0965,
6.88,3223.1498,
7.0,3094.2439,
7.12,3288.4034,
7.24,3088.4086,
7.36,3088.4086,
7.48,3088.4086,
7.6,3088.4086,
7.71,3239.0707,
7.83,3135.5637,
7.95,3116.245,
8.06,3312.2304,
8.18,3335.1672,
8.3,3106.3468,
8.42,3106.3468,
8.54,3106.3468,
8.66,3106.3468,
8.77,3155.6797,
8.89,3082.5282,
9.01,3234.4275,
9.13,3131.6121,
9.24,3148.0562,
9.36,3287.9446,
9.48,3101.4282,
9.6,3183.773,
9.71,3138.8835,
9.83,3262.1697,
9.95,3295.6382,
10.07,3134.5449,
10.18,3067.0006,
10.29,3002.2874,
10.39,3044.325,
10.5,3000.3314,
10.61,3000.3314,
10.71,3000.3314,
10.82,3076.8847,
10.93,3046.8705,
11.04,3091.76,
11.15,3001.3882,
11.26,3001.3882,
11.36,3048.1329,
11.47,2994.463,
11.58,2994.463,
11.68,2994.463,
11.79,2994.463,
11.9,2994.463,
12.01,3017.4227,
12.11,3017.4227,
12.23,3017.4227,
12.33,3017.4227,
12.44,3017.4227,
12.55,3025.8377,
12.66,3025.8377,
12.77,3025.8377,
12.87,3025.8377,
12.98,3025.8377,
13.08,3025.8377,
13.19,3004.1157,
13.29,3004.1157,
13.4,3087.2963,
13.5,3145.9138,
13.61,3234.7222,
13.73,3299.5388,
13.85,3152.798,
13.95,3197.6875,
14.07,3256.305,
14.18,3327.1243,
14.28,2996.1025,
14.39,2947.245,
14.49,2972.5119,
14.6,2909.1989,
14.71,2913.3229,
14.82,2913.3229,
14.92,2913.3229,
15.03,2921.5105,
15.14,2921.5105,
15.25,2943.1956,
15.37,2959.8016,
15.48,2964.2619,
15.59,2903.0697,
15.7,2923.8779,
15.81,2923.8779,
15.92,2923.8779,
16.03,2923.8779,
16.15,2923.8779,
16.27,2923.8779,
16.38,2958.5542,
16.49,2962.7175,
16.6,2938.7033,
16.71,2938.7033,
16.82,2943.7042,
16.93,2928.4902,
17.04,2928.4902,
17.14,2928.4902,
17.25,2928.4902,
17.35,2928.4902,
17.46,2908.091,
17.57,2915.7361,
17.68,2918.6643,
17.78,2922.6717,
17.88,2927.9217,
17.99,2890.1972,
18.09,2908.7149,
18.2,2925.3341,
18.31,2932.205,
18.42,2936.9096,
18.53,2906.9765,
18.64,2906.9765,
18.74,2928.9217,
18.85,2941.3708,
18.95,2949.1143,
19.06,2955.9503,
19.17,2966.2752,
19.27,2915.3617,
19.38,2917.6448,
19.49,2920.573,
19.6,2924.5804,
19.7,2929.8304,
19.81,2939.3759,
19.92,2912.9761,
20.02,2888.3255,
20.13,2888.3255,
20.24,2922.5902,
20.35,2913.9478,
20.45,2913.9478,
20.56,2913.9478,
20.67,2956.2882,
20.77,2909.1472,
20.88,2909.1472,
20.99,2941.6255,
21.1,2960.5147,
21.2,2901.3704,
21.31,2901.3704,
21.42,2901.3704,
21.52,2941.5365,
21.62,2945.0637,
21.73,2919.728,
21.83,2902.4315,
21.96,2892.1255,
22.08,2888.0015,
22.19,2888.0015,
22.3,2888.0015,
22.4,2888.0015,
22.51,2910.3743,
22.61,2914.7657,
22.72,2915.2993,
22.82,2908.4154,
22.93,2917.6695,
23.03,2865.3087,
23.14,2892.23,
23.25,2919.9956,
23.35,2925.4186,
23.46,2930.7434,
23.57,2938.0248,
23.68,2912.1059,
23.78,2913.7333,
23.89,2922.281,
24.0,2935.3797,
24.11,2940.7045,
24.21,2947.9859,
24.32,2948.4963,
24.42,2929.9567,
24.53,2953.0302,
24.63,2894.0015,
24.75,2925.7028,
24.87,2907.0653,
24.99,2908.6927,
25.1,2917.2404,
25.2,2920.378,
25.31,2938.0285,
25.42,2902.0243,
25.53,2902.0243,
25.63,2902.0243,
25.74,2902.0243,
25.84,2902.0243,
25.95,2904.7536,
26.05,2922.8979,
26.16,2922.8979,
26.27,2877.8323,
26.39,2907.9024,
26.49,2907.9024,
26.6,2907.9024,
26.71,2877.8323,
26.81,2907.9024,
26.92,2890.1972,
27.03,2890.1972,
27.13,2890.1972,
27.24,2890.1972,
27.34,2890.1972,
27.45,2920.893,
27.56,2928.4899,
27.66,2937.7473,
27.77,2947.2928,
27.88,2942.4379,
27.98,2905.6844,
28.08,2930.5177,
28.19,2945.9632,
28.29,2952.4736,
28.4,2914.7959,
28.5,2914.7959,
28.61,2939.541,
28.71,2939.541,
28.82,2939.541,
28.93,2939.541,
29.03,2939.541,
29.14,2907.7653,
29.24,2907.7653,
29.34,2907.7653,
29.45,2907.7653,
29.56,2907.7653,
29.66,2907.7653,
29.77,2931.9459,
29.87,2924.8607,
29.97,2924.8607,
30.08,2924.8607,
30.19,2924.8607,
30.29,2929.1784,
30.4,2946.7601,
30.5,2956.2901,
30.6,2968.3224,
30.71,2962.8913,
30.81,2904.584,
30.92,2904.584,
31.02,2904.584,
31.13,2904.584,
31.23,2904.584,
31.34,2904.584,
31.45,2934.1923,
31.55,2949.6378,
31.66,2956.1482,
31.76,2957.9577,
31.87,2962.7717,
31.97,2928.3672,
32.07,2919.4268,
32.2,2949.3996,
32.3,2955.91,
32.41,2961.8419,
32.51,2928.129,
32.62,2928.7687,
32.72,2928.7687,
32.82,2928.7687,
32.93,2928.7687,
33.03,2928.7687,
33.15,2928.7687,
33.25,2913.032,
33.38,2902.6118,
33.48,2902.6118,
33.59,2902.6118,
33.71,2904.1543,
33.81,2911.4783,
33.91,2973.5239,
34.01,2997.5155,
34.12,2953.3176,
34.23,3075.6471,
34.35,3164.9448,
34.45,3072.1607,
34.55,3096.1523,
34.66,3051.9544,
34.76,3205.8201,
34.88,3016.3832,
35.01,3079.6962,
35.11,3103.6878,
35.21,3059.4899,
35.32,3213.3556,
35.42,3009.5866,
35.53,3009.5866,
35.64,3009.5866,
35.74,3009.5866,
35.85,3009.5866,
35.96,2998.3685,
36.07,2998.3685,
36.17,2998.3685,
36.28,2998.3685,
36.39,2998.3685,
36.5,2998.3685,
36.61,3019.8899,
36.71,3082.2794,
