elapsed_sec,best_cost,improvement_pct
0.1,4993.1794,
0.2,4876.5162,
0.3,4861.836,
0.4,4809.2646,
0.5,4814.934,
0.6,4809.1823,
0.71,4738.8504,
0.81,4721.814,
0.91,4721.814,
1.01,4721.814,
1.11,4721.814,
1.21,4721.814,
1.31,4721.814,
1.41,4721.814,
1.52,4721.814,
1.62,4721.814,
1.77,5035.6093,
1.87,4783.43,
1.97,4689.5884,
2.07,4689.5884,
2.17,4667.7956,
2.28,4667.7956,
2.38,4667.7956,
2.48,4667.7956,
2.58,4666.5201,
2.68,4666.5201,
2.78,4666.5201,
2.88,4666.5201,
2.98,4666.5201,
3.1,4555.0296,
3.21,4597.9535,
3.31,4566.4258,
3.41,4564.7127,
3.51,4553.0186,
3.61,4553.0186,
3.72,4553.0186,
3.82,4553.0186,
3.92,4553.0186,
4.02,4553.0186,
4.12,4553.0186,
4.22,4553.0186,
4.33,4361.7091,
4.43,4366.7341,
4.53,4345.7924,
4.63,4345.7875,
4.73,4338.5745,
4.83,4333.8592,
4.94,4333.8592,
5.04,4333.8592,
5.14,4333.8592,
5.24,4333.8592,
5.34,4333.8592,
5.44,4333.1969,
5.54,4333.1969,
5.64,4333.1969,
5.75,4333.1969,
5.85,4333.1969,
5.95,4333.1969,
6.07,4351.675,
6.17,4342.0463,
6.27,4361.784,
6.37,4364.3719,
6.48,4357.9193,
6.59,4342.9793,
6.69,4337.1374,
6.79,4337.1374,
6.89,4337.1374,
6.99,4337.1374,
7.09,4337.1374,
7.19,4337.1374,
7.29,4337.1374,
7.39,4337.1374,
7.49,4337.1374,
7.59,4337.1374,
7.71,4927.8602,
7.83,4939.541,
7.93,4882.3325,
8.03,4824.8992,
8.13,4638.3779,
8.23,4323.2,
8.33,4323.2,
8.43,4321.7785,
8.53,4321.7785,
8.63,4321.7785,
8.73,4321.7785,
8.84,4321.7785,
8.94,4321.7785,
9.04,4321.7785,
9.14,4321.7785,
9.32,4286.8742,
9.42,4349.6198,
9.52,4337.0302,
9.62,4343.1728,
9.73,4332.0108,
9.83,4337.0302,
9.93,4337.0302,
10.03,4337.0302,
10.13,4331.7034,
10.23,4331.7034,
10.33,4331.7034,
10.43,4331.7034,
10.53,4331.7034,
10.63,4331.7034,
10.73,4331.7034,
10.83,4331.7034,
10.96,4999.8679,
11.06,5113.3656,
11.16,5071.5854,
11.26,5060.446,
11.36,5054.9767,
11.47,5052.3936,
11.57,5052.3936,
11.67,5052.3936,
11.77,5052.3936,
11.87,5052.3936,
11.97,5052.3936,
12.07,5052.3936,
12.17,5048.4464,
12.27,5048.4464,
12.46,4651.3208,
12.57,4326.197,
12.67,4270.6779,
12.77,4263.53,
12.87,4265.6158,
12.97,4265.6158,
13.07,4265.6158,
13.17,4265.6158,
13.27,4260.6346,
13.37,4260.6346,
13.47,4260.6346,
13.57,4260.6346,
13.68,4260.6346,
13.78,4260.6346,
13.88,4260.6346,
13.98,4260.6346,
14.08,4260.6346,
14.18,4260.6346,
14.35,4972.7312,
14.45,4735.533,
14.55,4726.7387,
14.65,4622.3262,
14.76,4607.4378,
14.86,4606.9145,
14.96,4614.074,
15.06,4613.9961,
15.16,4566.5077,
15.26,4565.9844,
15.37,4562.3525,
15.47,4562.3525,
15.6,4562.3525,
15.7,4562.3525,
15.8,4562.3525,
15.9,4562.3525,
16.0,4562.3525,
16.1,4562.3525,
16.2,4562.3525,
16.3,4562.3525,
16.46,5188.5573,
16.56,5145.9012,
16.66,5160.4549,
16.76,5149.6098,
16.87,5043.4081,
16.97,5042.6294,
17.14,5039.228,
17.24,5039.228,
17.34,5039.228,
17.44,5039.228,
17.55,5039.228,
17.65,5039.228,
17.75,5039.228,
17.85,5030.4327,
17.96,5030.4327,
18.06,4751.8011,
18.16,4751.8011,
18.27,4751.8011,
18.37,4751.8011,
18.47,4751.8011,
18.59,4751.8011,
18.75,4275.19,
18.85,4273.6105,
18.95,4275.19,
19.05,4279.1233,
19.15,4274.2796,
19.25,4275.818,
19.35,4273.3831,
19.45,4273.3831,
19.55,4273.3831,
19.65,4273.3831,
19.75,4273.3831,
19.85,4273.3831,
19.95,4273.3831,
20.05,4273.3831,
20.15,4273.3831,
20.25,4273.3831,
20.39,4798.5909,
20.49,4755.2426,
20.59,4784.643,
20.7,4696.0554,
20.8,4698.7753,
20.9,4668.2714,
21.0,4668.2714,
21.1,4668.2714,
21.22,4668.2714,
21.32,4668.2714,
21.42,4668.2714,
21.52,4668.2714,
21.62,4668.2714,
21.72,4668.2714,
21.87,4288.7682,
21.97,4367.1946,
22.07,4285.057,
22.17,4277.3039,
22.27,4270.5293,
22.37,4270.5293,
22.47,4270.5293,
22.58,4270.5293,
22.68,4270.5293,
22.78,4270.5293,
22.88,4270.5293,
22.98,4270.5293,
23.09,4270.5293,
23.19,4270.5293,
23.29,4270.5293,
23.39,4270.5293,
23.5,4270.5293,
23.62,5610.9671,
23.72,5662.7439,
23.82,5365.8101,
23.93,5329.4426,
24.03,5322.2376,
24.13,5320.0053,
24.23,5105.5058,
24.33,5105.5058,
24.43,5105.5058,
24.53,5105.5058,
24.63,5105.5058,
24.73,5105.5058,
24.83,5105.5058,
24.93,5105.5058,
25.03,5105.5058,
25.13,5105.5058,
25.24,5105.5058,
25.34,5105.5058,
25.46,5655.8187,
25.56,5257.2838,
25.66,4972.4376,
25.77,4935.809,
25.87,4941.5817,
25.97,4935.5634,
26.07,4931.8215,
26.17,4931.8215,
26.27,4931.8215,
26.37,4931.8215,
26.47,4931.8215,
26.57,4923.0262,
26.67,4923.0262,
26.77,4923.0262,
26.87,4923.0262,
26.97,4923.0262,
27.13,5384.9422,
27.23,4970.9624,
27.33,4988.0896,
27.43,4958.7433,
27.53,4931.7662,
27.63,4931.7662,
27.73,4932.1895,
27.83,4931.7662,
27.93,4931.7662,
28.03,4835.3026,
28.13,4835.3026,
28.23,4835.3026,
28.33,4835.3026,
28.44,4835.3026,
28.54,4835.3026,
28.7,5525.2527,
28.81,5571.5956,
28.91,5467.3645,
29.01,5454.9994,
29.11,5447.7521,
29.21,5410.595,
29.31,5408.9376,
29.41,5408.9376,
29.51,5409.0155,
29.62,5409.0155,
29.72,5408.9376,
29.82,5408.9376,
29.92,5408.9376,
30.02,5408.9376,
30.21,4791.6457,
30.31,4323.3859,
30.41,4324.3135,
30.51,4324.3135,
30.61,4324.3135,
30.71,4312.8069,
30.81,4312.2836,
30.91,4312.2836,
31.02,4312.2836,
31.12,4312.2836,
31.22,4312.2836,
31.32,4312.2836,
31.42,4312.2836,
31.52,4312.2836,
31.62,4312.2836,
31.72,4312.2836,
31.84,5260.2969,
31.94,4520.8004,
32.04,4531.8889,
32.14,4285.4431,
32.24,4285.3652,
32.34,4285.4431,
32.44,4285.3652,
32.54,4246.7113,
32.64,4246.6334,
32.74,4226.3764,
32.85,4226.3764,
32.95,4226.3764,
33.05,4226.3764,
33.15,4226.3764,
33.36,5299.5542,
33.46,5298.9012,
33.56,5210.025,
33.68,5213.6684,
33.78,5152.903,
33.88,5124.8521,
33.98,5122.8212,
34.08,5122.8212,
34.18,5122.8212,
34.28,5122.8212,
34.38,5122.8212,
34.48,5122.8212,
34.59,5122.8212,
34.73,4733.717,
34.83,4713.2536,
34.93,4669.2028,
35.03,4668.5626,
35.13,4668.5626,
35.23,4669.2028,
35.33,4667.9672,
35.43,4667.9672,
35.53,4667.8149,
35.63,4667.8149,
35.74,4664.0117,
35.84,4651.994,
35.94,4651.994,
36.13,4330.8482,
36.23,4262.5411,
36.34,4234.6178,
36.44,4223.7114,
36.54,4223.6335,
36.64,4223.6335,
36.74,4223.7114,
36.84,4223.6335,
36.94,4223.7114,
37.04,4223.6335,
37.14,4223.7114,
37.24,4223.6335,
37.34,4223.6335,
37.44,4223.6335,
37.55,4223.6335,
37.65,4223.6335,
37.79,4791.8809,
37.89,4713.3243,
37.99,4772.9992,
38.09,4748.0909,
38.19,4729.3122,
38.29,4729.6738,
38.39,4648.2973,
38.49,4637.9912,
38.59,4451.4405,
38.7,4443.0286,
38.8,4443.0286,
38.9,4443.0286,
39.0,4443.0286,
39.1,4443.0286,
39.2,4443.0286,
39.3,4443.0286,
39.4,4443.0286,
39.52,4323.7762,
39.62,4313.6091,
39.72,4227.236,
39.82,4218.161,
39.92,4218.161,
40.02,4218.161,
40.12,4218.161,
40.22,4218.161,
40.33,4218.161,
40.43,4218.161,
40.53,4218.161,
40.63,4218.161,
40.73,4218.161,
40.83,4218.161,
40.93,4218.161,
41.09,5448.5918,
41.19,5231.5691,
41.29,5116.2193,
41.39,5102.0704,
41.49,5103.7835,
41.59,5094.727,
41.69,5094.727,
41.79,5094.727,
41.89,5094.727,
42.0,5094.727,
42.1,5094.727,
42.2,5094.727,
42.3,5094.727,
42.41,4300.0712,
42.51,4274.2242,
42.61,4235.7631,
42.71,4218.0309,
42.81,4214.2456,
42.91,4214.7689,
43.01,4214.2456,
43.11,4214.2456,
43.21,4214.2456,
43.32,4214.2456,
43.42,4214.2456,
43.52,4214.2456,
43.62,4214.2456,
43.72,4214.2456,
43.82,4214.2456,
43.94,4688.1536,
44.04,4666.7188,
44.14,4638.7135,
44.24,4623.5282,
44.34,4632.4431,
44.44,4623.5282,
44.55,4623.5282,
44.65,4623.5282,
44.75,4623.5282,
44.85,4623.5282,
44.95,4623.5282,
45.05,4623.5282,
45.19,5010.217,
45.29,4775.0157,
45.39,4733.1874,
45.49,4651.16,
45.59,4642.0062,
45.7,4642.0062,
45.8,4615.2829,
45.9,4547.893,
46.0,4547.893,
46.1,4547.893,
46.21,4497.882,
46.31,4497.882,
46.41,4497.882,
46.51,4497.882,
46.61,4471.4276,
46.75,4873.2503,
46.85,4816.337,
46.95,4750.0194,
47.05,4750.0194,
47.15,4750.0194,
47.25,4750.0194,
47.35,4750.0194,
47.45,4744.214,
47.55,4742.2212,
47.65,4742.2212,
47.75,4742.2212,
47.85,4742.2212,
47.95,4742.2212,
48.05,4742.2212,
48.15,4742.2212,
48.25,4742.2212,
48.45,4713.9772,
48.55,4488.7304,
48.65,4440.2559,
48.75,4434.2023,
48.85,4434.2023,
48.95,4434.2023,
49.05,4434.2023,
49.15,4434.2023,
