elapsed_sec,best_cost,improvement_pct
0.1,4782.7909,
0.2,4568.0301,
0.3,4557.6923,
0.4,4540.3045,
0.5,4519.6084,
0.61,4450.28,
0.71,4450.28,
0.81,4450.28,
0.91,4450.28,
1.01,4450.28,
1.11,4450.28,
1.21,4444.4278,
1.31,4444.4278,
1.41,4444.4278,
1.56,5014.268,
1.66,5034.5092,
1.76,4754.2754,
1.86,4761.5113,
1.96,4725.2316,
2.06,4392.6264,
2.16,4365.0978,
2.27,4365.0978,
2.37,4361.8238,
2.47,4361.8238,
2.57,4361.8238,
2.67,4361.8238,
2.77,4361.8238,
2.87,4361.8238,
2.97,4361.8238,
3.07,4360.7283,
3.17,4360.7283,
3.28,4772.0334,
3.38,4337.0668,
3.48,4317.884,
3.58,4291.5827,
3.68,4291.5827,
3.78,4291.578,
3.89,4294.2688,
3.99,4281.9078,
4.09,4255.9223,
4.19,4255.9223,
4.29,4255.9223,
4.39,4255.9223,
4.49,4255.9223,
4.59,4255.9223,
4.69,4255.9223,
4.79,4255.9223,
4.97,5006.656,
5.07,4960.9473,
5.17,4915.8262,
5.27,4833.1709,
5.37,4820.7165,
5.47,4819.0697,
5.57,4808.9323,
5.68,4808.9323,
5.78,4808.9323,
5.88,4808.9323,
5.98,4808.9323,
6.08,4808.9323,
6.25,4588.0083,
6.35,4330.4539,
6.45,4335.9143,
6.55,4332.9125,
6.65,4312.2926,
6.75,4306.9658,
6.85,4306.9658,
6.95,4306.9101,
7.05,4269.469,
7.15,4269.4133,
7.25,4269.4133,
7.36,4269.4133,
7.46,4269.4133,
7.56,4269.4133,
7.66,4269.4133,
7.77,4560.9657,
7.87,4604.1217,
7.98,4489.5857,
8.08,4499.2671,
8.18,4501.5378,
8.28,4492.1868,
8.38,4489.5857,
8.48,4489.5857,
8.58,4489.5857,
8.68,4489.5857,
8.78,4489.5857,
8.88,4489.5857,
8.98,4489.5857,
9.08,4489.5857,
9.18,4351.3179,
9.28,4351.3179,
9.38,4351.3179,
9.55,5259.0086,
9.65,5140.3073,
9.75,5097.9643,
9.85,5101.3513,
9.95,5089.0793,
10.05,5090.9886,
10.15,5091.2411,
10.25,5071.263,
10.35,5069.8415,
10.46,5067.6695,
10.56,5064.9456,
10.66,5064.9456,
10.76,5064.9456,
10.86,5064.9456,
10.96,5064.9456,
11.09,5094.6138,
11.19,4912.7758,
11.29,4872.1859,
11.39,4857.9724,
11.49,4853.5481,
11.6,4850.2741,
11.7,4840.1901,
11.8,4840.1901,
11.9,4840.1901,
12.0,4836.8922,
12.1,4836.8922,
12.2,4836.8922,
12.3,4836.8922,
12.45,5152.2307,
12.55,4855.7552,
12.65,4841.3662,
12.75,4420.1239,
12.85,4405.9642,
12.95,4405.9642,
13.05,4405.9642,
13.15,4405.9642,
13.25,4402.6902,
13.35,4402.6902,
13.45,4402.6902,
13.55,4402.6902,
13.66,4402.6902,
13.76,4402.6902,
13.86,4402.6902,
14.0,5245.5377,
14.1,4764.9856,
14.2,4771.0587,
14.3,4772.7195,
14.4,4764.3344,
14.5,4758.9632,
14.6,4758.9632,
14.71,4709.6797,
14.81,4700.0166,
14.91,4700.0166,
15.01,4700.0166,
15.11,4700.0166,
15.21,4700.0166,
15.31,4700.0166,
15.41,4700.0166,
15.54,4931.9372,
15.64,4262.9623,
15.74,4262.6296,
15.85,4235.4337,
15.95,4235.101,
16.06,4235.4337,
16.16,4235.4337,
16.26,4235.101,
16.36,4235.101,
16.46,4235.101,
16.57,4235.101,
16.67,4235.101,
16.77,4235.101,
16.87,4235.101,
