elapsed_sec,best_cost,improvement_pct
0.1,3515.4072,
0.2,3300.2368,
0.3,3182.0739,
0.41,3523.1956,
0.51,3192.9436,
0.61,3517.7982,
0.71,3341.4341,
0.81,3262.3978,
0.91,3327.5651,
1.01,3217.3402,
1.11,2954.0778,
1.21,2959.5459,
1.31,2949.2882,
1.41,3241.9337,
1.51,3164.7266,
1.61,3229.5531,
1.71,2932.8148,
1.81,2938.6897,
1.91,2947.6266,
2.01,2938.285,
2.12,2944.3162,
2.22,2925.6233,
2.32,2931.4987,
2.42,2943.7257,
2.52,2935.5342,
2.62,2945.6517,
2.72,2917.6278,
2.82,2944.0488,
2.92,2929.7342,
3.02,2934.1437,
3.12,2943.479,
3.22,2939.3822,
3.32,2946.5381,
3.42,2934.6615,
3.52,2942.6539,
3.62,2930.9131,
3.72,2735.5704,
3.82,2758.5177,
3.93,2747.6829,
4.03,2757.0607,
4.13,2778.5201,
4.23,2832.413,
4.34,2842.3309,
4.44,2843.9425,
4.54,2847.1611,
4.64,2840.9892,
4.75,2913.4698,
4.85,2838.8935,
5.02,2749.0376,
5.12,2753.057,
5.22,2817.7307,
5.32,3012.8001,
5.43,3141.7195,
5.53,2963.5936,
5.63,2812.9723,
5.73,3062.8822,
5.84,2862.3711,
5.95,2812.2865,
6.05,3137.7161,
6.15,2827.404,
6.25,2822.6809,
6.35,2829.406,
6.45,2826.8545,
6.56,2809.4259,
6.66,2839.0692,
6.76,3073.0044,
6.86,3022.838,
6.96,3146.3037,
7.06,2975.3296,
7.17,2989.2409,
7.27,3079.6853,
7.37,3024.3031,
7.47,3076.4906,
7.57,2776.6579,
7.67,2702.0332,
7.77,2694.5169,
7.87,2718.3255,
7.97,2748.3863,
8.07,2758.8805,
8.17,2704.3877,
8.27,2834.0174,
8.37,2815.713,
8.47,2810.1343,
8.57,2814.0201,
8.67,2804.057,
8.78,2803.3999,
8.88,2809.529,
8.98,2811.2737,
9.08,2820.7263,
9.18,2815.3416,
9.28,2806.8034,
9.38,2804.057,
9.62,2664.9543,
