elapsed_sec,best_cost,improvement_pct
0.1,2579.2664,
0.2,2579.2664,
0.3,2579.2664,
0.4,2579.2664,
0.5,2579.2664,
0.6,2579.2664,
0.7,2579.2664,
0.8,2579.2664,
0.9,2579.2664,
1.0,2579.2664,
1.1,2579.2664,
1.2,2579.2664,
1.31,2579.2664,
1.41,2579.2664,
1.51,2579.2664,
1.61,2579.2664,
1.71,2579.2664,
1.81,2579.2664,
1.91,2579.2664,
2.01,2579.2664,
2.11,2579.2664,
2.21,2579.2664,
2.31,2579.2664,
2.41,2579.2664,
2.51,2579.2664,
2.61,2579.2664,
2.71,2579.2664,
2.81,2579.2664,
2.91,2579.2664,
3.01,2579.2664,
3.11,2579.2664,
3.21,2579.2664,
3.31,2579.2664,
3.41,2579.2664,
3.51,2579.2664,
3.61,2579.2664,
3.71,2579.2664,
3.81,2579.2664,
3.91,2579.2664,
4.01,2579.2664,
4.11,2579.2664,
4.21,2579.2664,
4.31,2579.2664,
4.41,2579.2664,
4.51,2579.2664,
4.61,2579.2664,
4.71,2579.2664,
4.81,2579.2664,
4.91,2579.2664,
5.01,2579.2664,
5.11,2579.2664,
5.21,2579.2664,
5.32,2579.2664,
5.42,2579.2664,
5.52,2579.2664,
5.62,2579.2664,
5.72,2579.2664,
5.82,2579.2664,
5.92,2579.2664,
6.02,2579.2664,
6.12,2579.2664,
6.22,2579.2664,
6.32,2579.2664,
6.42,2579.2664,
6.52,2579.2664,
6.62,2579.2664,
6.72,2579.2664,
6.82,2579.2664,
6.92,2579.2664,
7.02,2579.2664,
7.12,2579.2664,
7.22,2579.2664,
7.32,2579.2664,
7.42,2579.2664,
7.52,2579.2664,
7.62,2579.2664,
7.72,2579.2664,
7.82,2579.2664,
7.92,2579.2664,
8.03,2579.2664,
8.13,2579.2664,
8.23,2579.2664,
8.33,2579.2664,
8.43,2579.2664,
8.53,2579.2664,
8.63,2579.2664,
8.73,2579.2664,
8.83,2579.2664,
8.93,2579.2664,
9.03,2579.2664,
9.13,2579.2664,
9.23,2579.2664,
9.33,2579.2664,
9.43,2579.2664,
9.53,2579.2664,
9.63,2579.2664,
9.73,2579.2664,
9.83,2579.2664,
9.93,2579.2664,
10.03,2579.2664,
10.13,2579.2664,
10.23,2579.2664,
10.33,2579.2664,
10.43,2579.2664,
10.53,2579.2664,
10.63,2579.2664,
10.73,2579.2664,
10.83,2579.2664,
10.93,2579.2664,
11.03,2579.2664,
11.13,2579.2664,
11.24,2579.2664,
11.34,2579.2664,
11.44,2579.2664,
11.54,2579.2664,
11.64,2579.2664,
11.74,2579.2664,
11.84,2579.2664,
11.94,2579.2664,
12.04,2579.2664,
12.14,2579.2664,
12.24,2579.2664,
12.34,2579.2664,
12.44,2579.2664,
12.54,2579.2664,
12.64,2579.2664,
12.74,2579.2664,
12.84,2579.2664,
12.94,2579.2664,
13.04,2579.2664,
13.14,2579.2664,
13.24,2579.2664,
13.34,2579.2664,
13.44,2579.2664,
13.54,2579.2664,
13.64,2579.2664,
13.74,2579.2664,
13.84,2579.2664,
13.94,2579.2664,
14.04,2579.2664,
14.14,2579.2664,
14.24,2579.2664,
14.34,2579.2664,
14.44,2579.2664,
14.54,2579.2664,
14.64,2579.2664,
14.74,2579.2664,
14.85,2579.2664,
14.95,2579.2664,
15.05,2579.2664,
15.15,2579.2664,
15.25,2579.2664,
15.35,2579.2664,
15.45,2579.2664,
15.55,2579.2664,
15.65,2579.2664,
15.75,2579.2664,
15.85,2579.2664,
15.95,2579.2664,
16.05,2579.2664,
16.15,2579.2664,
16.25,2579.2664,
16.35,2579.2664,
16.45,2579.2664,
16.55,2579.2664,
16.65,2579.2664,
16.75,2579.2664,
16.85,2579.2664,
16.95,2579.2664,
17.05,2579.2664,
17.15,2579.2664,
17.25,2579.2664,
17.35,2579.2664,
17.45,2579.2664,
17.55,2579.2664,
17.65,2579.2664,
17.75,2579.2664,
17.85,2579.2664,
17.95,2579.2664,
18.05,2579.2664,
18.15,2579.2664,
18.25,2579.2664,
18.35,2579.2664,
18.45,2579.2664,
18.55,2579.2664,
18.65,2579.2664,
18.75,2579.2664,
18.85,2579.2664,
18.95,2579.2664,
19.06,2579.2664,
19.16,2579.2664,
19.26,2579.2664,
19.36,2579.2664,
19.46,2579.2664,
19.56,2579.2664,
19.66,2579.2664,
19.76,2579.2664,
19.86,2579.2664,
19.96,2579.2664,
20.06,2579.2664,
20.16,2579.2664,
20.26,2579.2664,
20.36,2579.2664,
20.46,2579.2664,
20.56,2579.2664,
20.66,2579.2664,
20.76,2579.2664,
20.86,2579.2664,
20.96,2579.2664,
21.06,2579.2664,
21.16,2579.2664,
21.26,2579.2664,
21.36,2579.2664,
21.46,2579.2664,
21.56,2579.2664,
21.66,2579.2664,
21.76,2579.2664,
21.86,2579.2664,
21.96,2579.2664,
22.06,2579.2664,
22.16,2579.2664,
22.26,2579.2664,
22.37,2579.2664,
22.47,2579.2664,
22.57,2579.2664,
22.67,2579.2664,
22.77,2579.2664,
22.87,2579.2664,
22.97,2579.2664,
23.07,2579.2664,
23.17,2579.2664,
23.27,2579.2664,
23.37,2579.2664,
23.47,2579.2664,
23.57,2579.2664,
23.67,2579.2664,
23.77,2579.2664,
23.87,2579.2664,
23.97,2579.2664,
24.07,2579.2664,
24.17,2579.2664,
24.27,2579.2664,
24.37,2579.2664,
24.47,2579.2664,
24.57,2579.2664,
24.67,2579.2664,
24.77,2579.2664,
24.87,2579.2664,
24.97,2579.2664,
25.07,2579.2664,
25.17,2579.2664,
25.27,2579.2664,
25.37,2579.2664,
25.47,2579.2664,
25.57,2579.2664,
25.67,2579.2664,
25.77,2579.2664,
25.87,2579.2664,
25.97,2579.2664,
26.07,2579.2664,
26.17,2579.2664,
26.27,2579.2664,
26.37,2579.2664,
26.47,2579.2664,
26.57,2579.2664,
26.67,2579.2664,
26.77,2579.2664,
26.87,2579.2664,
26.97,2579.2664,
27.08,2579.2664,
27.18,2579.2664,
27.28,2579.2664,
27.38,2579.2664,
27.48,2579.2664,
27.58,2579.2664,
27.68,2579.2664,
27.78,2579.2664,
27.88,2579.2664,
27.98,2579.2664,
28.08,2579.2664,
28.18,2579.2664,
28.28,2579.2664,
28.38,2579.2664,
28.48,2579.2664,
28.58,2579.2664,
28.68,2579.2664,
28.78,2579.2664,
28.88,2579.2664,
28.98,2579.2664,
29.08,2579.2664,
29.18,2579.2664,
29.28,2579.2664,
29.38,2579.2664,
29.48,2579.2664,
29.58,2579.2664,
29.68,2579.2664,
29.78,2579.2664,
29.88,2579.2664,
29.98,2579.2664,
30.08,2579.2664,
30.18,2579.2664,
30.28,2579.2664,
30.38,2579.2664,
30.48,2579.2664,
30.58,2579.2664,
30.68,2577.9406,
30.78,2577.9406,
30.88,2577.9406,
30.98,2575.5196,
31.08,2575.5196,
31.18,2575.5151,
31.29,2575.5151,
31.39,2575.5151,
31.49,2575.5151,
31.59,2575.5151,
31.69,2575.5151,
31.79,2575.5151,
31.89,2575.5151,
31.99,2575.5151,
32.09,2575.5151,
32.19,2575.5151,
32.29,2575.5151,
32.39,2575.5151,
32.49,2575.5151,
32.59,2575.5151,
32.69,2575.5151,
32.79,2575.5151,
32.89,2575.5151,
32.99,2575.5151,
33.09,2575.5151,
33.19,2575.5151,
33.29,2575.5151,
33.39,2575.5151,
33.49,2575.5151,
33.59,2575.5151,
33.69,2575.5151,
33.79,2575.5151,
33.89,2575.5151,
33.99,2575.5151,
34.09,2575.5151,
34.19,2575.5151,
34.29,2575.5151,
34.39,2575.5151,
34.5,2575.5151,
34.6,2575.5151,
34.7,2575.5151,
34.8,2575.5151,
34.9,2575.5151,
35.0,2575.5151,
35.1,2575.5151,
35.2,2575.5151,
35.3,2575.5151,
35.4,2575.5151,
35.5,2575.5151,
35.6,2575.5151,
35.7,2575.5151,
35.8,2575.5151,
35.9,2575.5151,
36.0,2575.5151,
36.1,2575.5151,
36.2,2575.5151,
36.3,2575.5151,
36.4,2575.5151,
36.5,2575.5151,
36.6,2575.5151,
36.7,2575.5151,
36.8,2575.5151,
36.9,2575.5151,
37.0,2575.5151,
37.1,2575.5151,
37.2,2575.5151,
37.3,2575.5151,
37.41,2575.5151,
37.51,2575.5151,
37.61,2575.5151,
37.71,2575.5151,
37.81,2575.5151,
37.91,2575.5151,
38.01,2575.5151,
38.11,2575.5151,
38.21,2575.5151,
38.31,2575.5151,
38.41,2575.5151,
38.51,2575.5151,
38.61,2575.5151,
38.71,2575.5151,
38.81,2575.5151,
38.91,2575.5151,
39.01,2575.5151,
39.11,2575.5151,
39.21,2575.5151,
39.31,2575.5151,
39.41,2575.5151,
39.51,2575.5151,
39.61,2575.5151,
39.71,2575.5151,
39.81,2575.5151,
39.91,2575.5151,
40.01,2575.5151,
40.11,2575.5151,
40.21,2575.5151,
40.31,2575.5151,
40.41,2575.5151,
40.51,2575.5151,
40.61,2575.5151,
40.71,2575.5151,
40.81,2575.5151,
40.91,2575.5151,
41.02,2575.5151,
41.12,2575.5151,
41.22,2575.5151,
41.32,2575.5151,
41.42,2575.5151,
41.52,2575.5151,
41.62,2575.5151,
41.72,2575.5151,
41.82,2575.5151,
41.92,2575.5151,
42.02,2575.5151,
42.12,2575.5151,
42.22,2575.5151,
42.32,2575.5151,
42.42,2575.5151,
42.52,2575.5151,
42.62,2575.5151,
42.72,2575.5151,
42.82,2575.5151,
42.92,2575.5151,
43.02,2575.5151,
43.12,2575.5151,
43.22,2575.5151,
43.32,2575.5151,
43.42,2575.5151,
43.52,2575.5151,
43.62,2575.5151,
43.72,2575.5151,
43.82,2575.5151,
43.92,2575.5151,
44.02,2575.5151,
44.12,2575.5151,
44.22,2575.5151,
44.33,2575.5151,
44.43,2575.5151,
44.53,2575.5151,
44.63,2575.5151,
44.73,2575.5151,
44.83,2575.5151,
44.93,2575.5151,
45.03,2575.5151,
45.13,2575.5151,
45.23,2575.5151,
45.33,2575.5151,
45.43,2575.5151,
45.53,2575.5151,
45.63,2575.5151,
45.73,2575.5151,
45.83,2575.5151,
45.93,2575.5151,
46.03,2575.5151,
46.13,2575.5151,
46.23,2575.5151,
46.33,2575.5151,
46.43,2575.5151,
46.53,2575.5151,
46.63,2575.5151,
46.73,2575.5151,
46.83,2575.5151,
46.93,2575.5151,
47.03,2575.5151,
47.13,2575.5151,
47.23,2575.5151,
47.33,2575.5151,
47.43,2575.5151,
47.53,2575.5151,
47.63,2575.5151,
47.73,2575.5151,
47.83,2575.5151,
47.94,2575.5151,
48.04,2575.5151,
48.14,2575.5151,
48.24,2575.5151,
48.34,2575.5151,
48.44,2575.5151,
48.54,2575.5151,
48.64,2575.5151,
48.74,2575.5151,
48.84,2575.5151,
48.94,2575.5151,
49.04,2575.5151,
49.14,2575.5151,
49.24,2575.5151,
49.34,2575.5151,
49.44,2575.5151,
49.54,2575.5151,
49.64,2575.5151,
49.74,2575.5151,
49.84,2575.5151,
49.94,2575.5151,
50.04,2575.5151,
50.14,2575.5151,
50.24,2575.5151,
50.34,2575.5151,
50.44,2575.5151,
50.54,2575.5151,
50.64,2575.5151,
50.74,2575.5151,
50.84,2575.5151,
50.94,2575.5151,
51.04,2575.5151,
51.14,2575.5151,
51.24,2575.5151,
51.34,2575.5151,
51.45,2575.5151,
51.55,2575.5151,
51.65,2575.5151,
51.75,2575.5151,
51.85,2575.5151,
51.95,2575.5151,
52.05,2575.5151,
52.15,2575.5151,
52.25,2575.5151,
52.35,2575.5151,
52.45,2575.5151,
52.55,2575.5151,
52.65,2575.5151,
52.75,2575.5151,
52.85,2575.5151,
52.95,2575.5151,
53.05,2575.5151,
53.15,2575.5151,
53.25,2575.5151,
53.35,2575.5151,
53.45,2575.5151,
53.55,2575.5151,
53.65,2575.5151,
53.75,2575.5151,
53.85,2575.5151,
