elapsed_sec,best_cost,improvement_pct
0.1,2433.4912,
0.2,2428.2787,
0.3,2506.8446,
0.4,2867.056,
0.5,2513.8163,
0.6,2763.9024,
0.7,2518.1127,
0.8,2752.098,
0.9,2147.2494,
1.01,2458.2799,
1.11,2339.5596,
1.21,2751.3615,
1.31,2510.2396,
1.41,2063.8695,
1.51,2061.4688,
1.61,2362.714,
1.71,2325.3794,
1.81,2414.7904,
1.91,2404.7675,
2.01,2564.6908,
2.12,2238.0448,
2.22,2726.1044,
2.32,3086.0124,
2.42,2791.823,
2.52,2374.7322,
2.62,2097.4238,
2.72,2099.5676,
2.82,2072.9502,
2.92,2082.2786,
3.02,2137.4927,
3.12,2086.3185,
3.22,2338.0628,
3.32,2379.5702,
3.42,2320.6149,
3.52,2819.2232,
3.62,2458.3154,
3.72,2500.5255,
3.82,2744.776,
3.92,2332.0881,
4.02,2375.8984,
4.12,2321.865,
4.22,2049.0298,
4.33,2034.9387,
4.43,2051.8241,
4.53,2041.8315,
4.63,2605.4741,
4.73,2594.2534,
4.83,2283.3035,
4.93,2366.2904,
5.03,1996.2773,
5.13,2250.0,
5.23,1966.1144,
5.33,2268.8265,
5.44,1994.0615,
5.54,2292.1781,
5.64,1982.5014,
5.74,2287.6854,
5.84,2450.9705,
5.94,2728.9942,
6.04,2918.1306,
6.14,2255.6644,
6.24,2318.6039,
6.34,2324.1767,
6.44,2303.6754,
6.54,2552.9653,
6.64,1987.2199,
6.74,1993.2886,
6.84,2335.1722,
6.95,1997.6042,
7.05,2003.3473,
7.15,1994.4176,
7.25,1962.6666,
7.35,2098.9613,
7.45,2098.4916,
7.55,2369.8459,
7.65,2112.2493,
7.75,2101.2202,
7.85,2285.5389,
7.95,2398.1569,
8.05,2371.4445,
8.15,2339.3189,
8.25,2093.0679,
8.35,2450.5217,
8.46,2368.4452,
8.56,2365.3479,
8.66,2344.8561,
8.76,2406.3549,
8.86,2079.0547,
8.97,2319.3035,
9.07,2701.8521,
