elapsed_sec,best_cost,improvement_pct
0.1,14871.6903,
0.2,15197.2777,
0.3,14759.4606,
0.4,15007.0265,
0.53,14995.7534,
0.66,15059.9034,
0.77,15081.3966,
0.87,14772.3874,
0.97,14878.6471,
1.08,14813.5676,
1.39,14813.5676,
1.49,14921.6162,
1.59,15051.5703,
1.69,15347.8825,
1.79,14604.9028,
1.89,14759.835,
2.0,14888.2242,
2.1,14436.6654,
2.2,14513.2448,
2.3,14147.8557,
2.41,14585.593,
2.51,14631.3211,
2.61,14552.275,
2.72,14504.8125,
2.82,14855.2932,
2.92,14762.4924,
3.02,14676.033,
3.12,14342.8582,
3.22,14172.3671,
3.32,14168.8679,
3.43,14364.0983,
3.53,13912.1115,
3.64,14005.3863,
3.74,14182.3476,
3.84,14174.7076,
3.95,14037.3408,
4.05,13949.3911,
4.15,14119.8698,
4.25,14312.6222,
4.35,14419.5562,
4.46,14623.5015,
4.57,14445.134,
4.67,14761.1443,
4.77,14445.4549,
4.87,14409.2523,
4.97,14588.6012,
5.07,14189.5235,
5.18,14235.7213,
5.28,14200.0737,
5.39,14167.0151,
5.49,14181.195,
5.6,14271.3807,
5.71,14528.3161,
5.81,14496.4047,
5.91,14220.4787,
6.01,14223.5868,
6.12,14253.2761,
6.22,14257.5289,
6.32,14299.589,
6.42,14531.2019,
6.53,14261.3209,
6.63,14095.786,
6.73,14327.2037,
6.83,14308.1217,
6.93,14102.0876,
7.03,14031.6609,
7.13,14089.4309,
7.24,14091.8198,
7.34,14314.2203,
7.44,14250.3733,
7.54,14349.8847,
7.64,13938.0327,
7.74,13908.8369,
7.84,13910.8814,
7.94,14071.0575,
8.04,13784.1208,
8.15,13791.1806,
8.27,13575.7627,
8.37,13594.7877,
8.47,13848.197,
8.58,13870.6399,
8.68,13869.0382,
8.78,13823.0309,
8.88,13649.8318,
8.98,13446.1909,
9.08,13460.3693,
9.18,13472.5236,
9.29,13450.7829,
9.39,13429.3504,
9.5,13424.4752,
9.6,13463.1332,
9.7,13364.1499,
9.8,13405.093,
9.9,13452.9709,
10.0,13401.334,
10.1,13451.7978,
10.2,13381.2805,
10.31,13438.1672,
10.41,13412.4253,
10.51,13354.3132,
10.61,13433.7895,
10.71,13419.575,
10.81,13383.9156,
10.92,13428.6011,
11.02,13428.218,
11.12,13453.206,
11.22,13452.1908,
11.33,13432.8044,
11.43,13432.8044,
11.65,13382.439,
11.75,13441.9241,
11.86,13890.4748,
11.96,13807.0635,
12.06,13668.6792,
12.17,13648.0898,
12.28,13626.2311,
12.39,13612.2129,
12.49,13616.1952,
12.59,13642.325,
12.7,13616.5633,
12.8,13515.2103,
12.91,13517.5796,
13.03,13552.4765,
13.13,13528.8908,
13.23,13526.7582,
13.33,13515.2825,
13.44,13245.6903,
13.54,13245.8483,
13.65,13283.9683,
13.75,13231.8243,
13.85,13291.9172,
13.95,13265.2259,
14.05,13252.9747,
14.16,13252.9747,
14.26,13238.9069,
14.36,13299.4353,
14.46,13286.6951,
14.56,13283.9997,
14.67,13310.966,
14.77,13193.5949,
14.87,13280.8916,
14.97,13192.2697,
15.07,13182.5025,
15.17,13241.7322,
15.27,13226.7133,
15.37,13261.0444,
15.47,13261.2454,
15.57,13277.1949,
15.68,13302.5725,
15.78,13323.0593,
15.88,13244.6457,
15.98,13210.1868,
16.09,13042.3585,
16.19,13037.1087,
16.29,13161.9531,
16.39,13104.5801,
16.49,13302.021,
16.59,13350.7771,
16.7,13302.1393,
16.8,13067.6205,
16.9,13167.7402,
17.01,13077.6842,
17.11,13170.2797,
17.21,13154.1477,
17.31,13050.5224,
17.41,13083.5084,
17.51,13161.4619,
17.61,13077.0429,
17.71,13092.0342,
17.81,13132.7745,
17.91,13090.9591,
18.02,13116.503,
18.12,13167.8039,
18.23,13138.1441,
18.33,13077.5028,
18.44,13115.0114,
18.54,13044.4756,
18.64,13067.9674,
18.74,13062.121,
18.85,13110.0237,
18.95,13089.5137,
19.05,13115.4161,
19.15,13106.9662,
19.25,13099.082,
19.36,13039.6747,
19.46,13069.2074,
19.56,13090.4942,
19.66,13145.3273,
19.76,13085.0747,
19.86,13033.4378,
19.96,13069.0857,
20.06,13085.7424,
20.17,13029.1202,
20.27,13070.3176,
20.38,13122.6496,
20.48,13113.3994,
20.58,13139.6136,
20.68,13047.4722,
20.78,13105.6378,
20.89,13126.8353,
20.99,13072.1198,
21.09,13115.7759,
21.19,13086.2615,
21.29,13123.9946,
21.39,13098.6272,
21.5,13088.0575,
21.6,13082.2724,
21.7,13104.8516,
21.81,13099.6018,
21.91,13049.1666,
22.01,13076.6926,
22.11,13027.1716,
22.22,13028.6566,
22.48,12999.6623,
22.59,13010.1657,
22.69,13032.4252,
22.79,13059.955,
22.9,13030.5776,
23.0,13069.7077,
23.1,13069.7077,
23.21,13067.7273,
23.32,13074.9254,
23.42,13056.5025,
23.52,13084.8397,
23.62,13078.8871,
23.73,13066.8987,
23.83,13063.1383,
23.93,13066.0082,
24.03,13050.618,
24.14,13086.4885,
24.24,13079.1776,
24.34,13085.1723,
24.44,13091.8463,
24.54,13135.196,
24.65,13035.6875,
24.75,12998.8964,
24.85,13047.3717,
24.95,13186.0235,
25.05,13128.9621,
25.15,13058.9062,
25.25,13108.3021,
25.35,12998.8964,
25.45,13017.6411,
25.55,13047.481,
25.66,13063.7913,
25.76,13075.1437,
25.86,13139.7195,
25.96,13079.4635,
26.06,13068.3235,
26.16,13097.996,
26.27,13036.7283,
26.38,13040.2286,
26.48,13095.9171,
26.59,13130.9734,
26.69,13106.2868,
26.8,13061.6601,
26.9,13166.8531,
27.0,13115.4807,
27.1,13113.2314,
27.21,13103.1981,
27.31,13048.6754,
27.41,13042.5298,
27.52,13041.4439,
27.62,13061.3822,
27.72,13059.4821,
27.82,13092.8565,
27.92,13059.1808,
28.03,13102.6049,
28.13,13090.5361,
28.23,13062.983,
28.34,13037.3193,
28.44,13095.2022,
28.54,13084.4186,
28.64,13179.6479,
28.74,13101.2033,
28.84,13058.3909,
28.94,13031.6131,
29.04,13033.9975,
29.14,13014.8761,
29.25,13059.604,
29.35,13038.0838,
29.45,13032.0526,
29.56,13046.4023,
29.66,13046.4023,
29.76,13097.1614,
29.86,13104.1607,
29.96,13023.4989,
30.06,13047.4166,
30.17,13063.6562,
30.27,13060.2499,
30.37,13029.9098,
30.47,13038.3941,
30.57,13076.0647,
30.68,13042.1167,
30.78,13131.9727,
30.89,13128.8888,
30.99,13134.355,
31.09,13088.029,
31.2,13108.7662,
31.3,13141.2672,
31.4,13094.0142,
31.5,13114.5242,
31.6,13069.6854,
31.7,13053.9322,
31.81,13033.6451,
31.91,13042.3447,
32.01,13087.9962,
32.11,13031.8423,
32.21,13080.051,
32.32,13081.4907,
32.42,13066.2432,
32.52,13052.0111,
32.62,13124.7581,
32.72,13051.7451,
32.82,13045.1712,
32.92,13008.1639,
33.02,12993.1359,
33.12,13000.9327,
