elapsed_sec,best_cost,improvement_pct
0.1,7299.5911,
0.2,7299.5911,
0.3,7299.5911,
0.4,7299.5911,
0.5,7299.5911,
0.61,7299.5911,
0.71,7299.5911,
0.81,7299.5911,
0.91,7299.5911,
1.01,7299.5911,
1.11,7299.5911,
1.21,7299.5911,
1.31,7299.5911,
1.41,7299.5911,
1.51,7299.5911,
1.61,7299.5911,
1.71,7299.5911,
1.81,7299.5911,
1.91,7299.5911,
2.01,7299.5911,
2.11,7299.5911,
2.21,7299.5911,
2.31,7299.5911,
2.41,7299.5911,
2.51,7299.5911,
2.61,7299.5911,
2.71,7299.5911,
2.81,7299.5911,
2.91,7299.5911,
3.01,7299.5911,
3.11,7299.5911,
3.21,7299.5911,
3.31,7299.5911,
3.42,7299.5911,
3.52,7299.5911,
3.62,7299.5911,
3.72,7299.5911,
3.82,7299.5911,
3.92,7299.5911,
4.02,7299.5911,
4.12,7299.5911,
4.22,7299.5911,
4.32,7299.5911,
4.42,7299.5911,
4.52,7299.5911,
4.62,7299.5911,
4.72,7299.5911,
4.82,7299.5911,
4.92,7299.5911,
5.02,7299.5911,
5.12,7299.5911,
5.22,7299.5911,
5.32,7299.5911,
5.42,7299.5911,
5.53,7299.5911,
5.63,7299.5911,
5.73,7299.5911,
5.83,7299.5911,
5.93,7299.5911,
6.03,7299.5911,
6.13,7299.5911,
6.23,7299.5911,
6.33,7299.5911,
6.43,7299.5911,
6.53,7299.5911,
6.63,7299.5911,
6.73,7299.5911,
6.83,7299.5911,
6.93,7299.5911,
7.03,7299.5911,
7.13,7299.5911,
7.23,7299.5911,
7.33,7299.5911,
7.43,7299.5911,
7.53,7299.5911,
7.63,7299.5911,
7.73,7299.5911,
7.83,7299.5911,
7.93,7299.5911,
8.03,7299.5911,
8.13,7299.5911,
8.23,7299.5911,
8.33,7299.5911,
8.43,7299.5911,
8.53,7299.5911,
8.63,7299.5911,
8.74,7299.5911,
8.84,7299.5911,
8.94,7299.5911,
9.04,7299.5911,
9.14,7299.5911,
9.24,7299.5911,
9.34,7299.5911,
9.44,7299.5911,
9.54,7299.5911,
9.64,7299.5911,
9.74,7299.5911,
9.84,7299.5911,
9.94,7299.5911,
10.04,7299.5911,
10.14,7299.5911,
10.24,7299.5911,
10.34,7299.5911,
10.44,7299.5911,
10.54,7299.5911,
10.64,7299.5911,
10.75,7299.5911,
10.85,7299.5911,
10.95,7299.5911,
11.05,7299.5911,
11.15,7299.5911,
11.25,7299.5911,
11.35,7299.5911,
11.45,7299.5911,
11.55,7299.5911,
11.65,7299.5911,
11.75,7299.5911,
11.85,7299.5911,
11.95,7299.5911,
12.05,7299.5911,
12.15,7299.5911,
12.25,7299.5911,
12.35,7299.5911,
12.45,7299.5911,
12.55,7299.5911,
12.65,7299.5911,
12.75,7299.5911,
12.85,7299.5911,
12.95,7299.5911,
13.05,7299.5911,
13.15,7299.5911,
13.25,7299.5911,
13.35,7299.5911,
13.45,7299.5911,
13.55,7299.5911,
13.65,7299.5911,
13.76,7299.5911,
13.86,7299.5911,
13.96,7299.5911,
14.06,7299.5911,
14.16,7299.5911,
14.26,7299.5911,
14.36,7299.5911,
14.46,7299.5911,
14.56,7299.5911,
14.66,7299.5911,
14.76,7299.5911,
14.86,7299.5911,
14.96,7299.5911,
15.06,7299.5911,
15.16,7299.5911,
15.26,7299.5911,
15.36,7299.5911,
15.46,7299.5911,
15.56,7299.5911,
15.66,7299.5911,
15.76,7299.5911,
15.86,7299.5911,
15.96,7299.5911,
16.06,7299.5911,
16.16,7299.5911,
16.26,7299.5911,
16.36,7299.5911,
16.46,7299.5911,
16.56,7299.5911,
16.66,7299.5911,
16.77,7299.5911,
16.87,7299.5911,
16.97,7299.5911,
17.07,7299.5911,
17.17,7299.5911,
17.27,7299.5911,
17.37,7299.5911,
17.47,7299.5911,
17.57,7299.5911,
17.67,7299.5911,
17.77,7299.5911,
17.87,7299.5911,
17.97,7299.5911,
18.07,7299.5911,
18.17,7299.5911,
18.27,7299.5911,
18.37,7299.5911,
18.47,7299.5911,
18.57,7299.5911,
18.67,7299.5911,
18.77,7299.5911,
18.87,7299.5911,
18.97,7299.5911,
19.07,7299.5911,
19.17,7299.5911,
19.27,7299.5911,
19.37,7299.5911,
19.47,7299.5911,
19.57,7299.5911,
19.68,7299.5911,
19.78,7299.5911,
19.88,7299.5911,
19.98,7299.5911,
20.08,7299.5911,
20.18,7299.5911,
20.28,7299.5911,
20.38,7299.5911,
20.48,7299.5911,
20.58,7299.5911,
20.68,7299.5911,
20.78,7299.5911,
20.88,7299.5911,
20.98,7299.5911,
21.08,7299.5911,
21.18,7299.5911,
21.28,7299.5911,
21.38,7299.5911,
21.48,7299.5911,
21.58,7299.5911,
21.68,7299.5911,
21.78,7299.5911,
21.88,7299.5911,
21.98,7299.5911,
22.08,7299.5911,
22.19,7299.5911,
22.29,7299.5911,
22.39,7299.5911,
22.49,7299.5911,
22.59,7299.5911,
22.69,7299.5911,
22.79,7299.5911,
22.89,7299.5911,
22.99,7299.5911,
23.09,7299.5911,
23.19,7299.5911,
23.29,7299.5911,
23.39,7299.5911,
23.49,7299.5911,
23.59,7299.5911,
23.69,7299.5911,
23.79,7299.5911,
23.89,7299.5911,
23.99,7299.5911,
24.09,7299.5911,
24.19,7299.5911,
24.29,7299.5911,
24.39,7299.5911,
24.49,7299.5911,
24.59,7299.5911,
24.69,7299.5911,
24.79,7299.5911,
24.89,7299.5911,
24.99,7299.5911,
25.09,7299.5911,
25.19,7299.5911,
25.29,7299.5911,
25.39,7299.5911,
25.49,7299.5911,
25.59,7299.5911,
25.69,7299.5911,
25.79,7299.5911,
25.89,7299.5911,
25.99,7299.5911,
26.1,7299.5911,
26.2,7299.5911,
26.3,7299.5911,
26.4,7299.5911,
26.5,7299.5911,
26.6,7299.5911,
26.7,7299.5911,
26.8,7299.5911,
26.9,7299.5911,
27.0,7299.5911,
27.1,7299.5911,
27.2,7299.5911,
27.3,7299.5911,
27.4,7299.5911,
27.5,7299.5911,
27.6,7299.5911,
27.7,7299.5911,
27.8,7299.5911,
27.9,7299.5911,
28.0,7299.5911,
28.1,7299.5911,
28.2,7299.5911,
28.3,7299.5911,
28.4,7299.5911,
28.5,7299.5911,
28.6,7299.5911,
28.7,7299.5911,
28.8,7299.5911,
28.9,7299.5911,
29.0,7299.5911,
29.11,7299.5911,
29.21,7299.5911,
29.31,7299.5911,
29.41,7299.5911,
29.51,7299.5911,
29.61,7299.5911,
29.71,7299.5911,
29.81,7299.5911,
29.91,7299.5911,
30.01,7299.5911,
30.11,7299.5911,
30.21,7299.5911,
30.31,7299.5911,
30.41,7299.5911,
30.51,7299.5911,
30.61,7299.5911,
30.71,7299.5911,
30.81,7299.5911,
30.91,7299.5911,
31.01,7299.5911,
31.11,7299.5911,
31.21,7299.5911,
31.31,7299.5911,
31.41,7299.5911,
31.51,7299.5911,
31.61,7299.5911,
31.71,7299.5911,
31.81,7299.5911,
31.91,7299.5911,
32.01,7299.5911,
32.11,7299.5911,
32.21,7299.5911,
32.32,7299.5911,
32.42,7299.5911,
32.52,7299.5911,
32.62,7299.5911,
32.72,7299.5911,
32.82,7299.5911,
32.92,7299.5911,
33.02,7299.5911,
33.12,7299.5911,
33.22,7299.5911,
33.32,7299.5911,
33.42,7299.5911,
33.52,7299.5911,
33.62,7299.5911,
33.72,7299.5911,
33.82,7299.5911,
33.92,7299.5911,
34.02,7299.5911,
34.12,7299.5911,
34.22,7299.5911,
34.32,7299.5911,
34.42,7299.5911,
34.52,7299.5911,
34.62,7299.5911,
34.72,7299.5911,
34.83,7299.5911,
34.93,7299.5911,
35.03,7299.5911,
35.13,7299.5911,
35.23,7299.5911,
35.33,7299.5911,
35.43,7299.5911,
35.53,7299.5911,
35.63,7299.5911,
