elapsed_sec,best_cost,improvement_pct
0.1,7710.0087,
0.2,7728.3779,
0.3,7797.4127,
0.4,7763.8935,
0.5,7793.0023,
0.61,7748.9735,
0.71,7749.4586,
0.81,7749.4586,
0.91,7748.0268,
1.01,7694.2407,
1.11,7678.3607,
1.21,7662.6173,
1.31,7662.6173,
1.41,7662.6173,
1.51,7662.6173,
1.61,7662.6173,
1.71,7662.6173,
1.81,7662.6173,
1.91,7662.6173,
2.11,8675.1575,
2.21,8550.146,
2.31,8439.3129,
2.41,8449.3615,
2.66,8449.3615,
2.76,8062.5985,
2.86,8051.0295,
2.96,8051.0295,
3.06,8047.3544,
3.16,8047.3544,
3.26,8047.3544,
3.36,8047.3544,
3.46,8047.3544,
3.56,8047.3544,
3.67,8047.3544,
3.77,8047.3544,
3.87,8047.3544,
3.97,8047.3544,
4.16,8357.3158,
4.26,8374.1917,
4.36,8384.4049,
4.47,8317.168,
4.57,8317.1692,
4.67,8271.609,
4.77,8270.0211,
4.87,8240.963,
4.97,8240.963,
5.08,8240.963,
5.18,8240.963,
5.28,8240.963,
5.38,8240.963,
5.48,8240.963,
5.58,8240.963,
5.68,8240.963,
5.78,8240.963,
5.88,8240.963,
6.08,8090.0903,
6.18,7827.662,
6.28,7754.3941,
6.38,7761.7928,
6.48,7737.6803,
6.58,7730.5209,
6.68,7711.9623,
6.78,7706.261,
6.89,7703.1741,
6.99,7703.1741,
7.09,7685.2798,
7.19,7685.2798,
7.29,7668.2375,
7.39,7668.2375,
7.49,7668.2375,
7.59,7668.2375,
7.7,7668.2375,
7.8,7668.2375,
7.95,8796.9229,
8.05,8625.0687,
8.15,8621.9314,
8.25,7951.8128,
8.35,7940.2081,
8.46,7940.2081,
8.56,7940.2081,
8.66,7940.2081,
8.76,7940.2081,
8.86,7940.2081,
8.97,7940.2081,
9.07,7931.9822,
9.17,7931.9822,
9.27,7931.9822,
9.37,7762.0304,
9.47,7759.6052,
9.57,7755.9669,
9.67,7752.8199,
9.81,8942.4241,
9.91,8864.2967,
10.01,8794.4757,
10.11,8586.7461,
10.21,8527.9848,
10.53,8503.2608,
10.63,8175.8358,
10.73,8173.2705,
10.83,8161.7681,
10.93,8163.2414,
11.03,8161.7681,
11.13,8161.7681,
11.23,8161.7681,
11.34,8161.7681,
11.44,8161.7681,
11.54,8161.7681,
11.64,8161.7681,
11.74,8161.7681,
11.84,8161.7681,
11.94,8161.7681,
12.05,8650.1044,
12.15,8536.1091,
12.25,8545.6185,
12.35,8533.4873,
12.45,8509.5673,
12.55,8509.5644,
12.65,8500.848,
12.75,8500.848,
12.85,8500.848,
12.95,8488.3189,
13.05,8488.3189,
13.15,8488.3189,
13.26,8488.3189,
13.36,8488.3189,
13.46,8488.3189,
13.56,8488.3189,
13.76,8399.1655,
13.86,7537.5618,
13.96,7245.3944,
14.06,7245.9215,
14.16,7246.6792,
14.26,7245.3944,
14.36,7245.3944,
14.46,7245.3944,
14.56,7245.3944,
14.66,7245.3944,
14.76,7245.3944,
14.87,7245.3944,
14.97,7245.3944,
15.07,7245.3944,
15.22,7752.819,
15.32,7659.2372,
15.42,7525.5109,
15.52,7520.1531,
15.63,7522.5679,
15.73,7521.7096,
15.83,7521.7096,
15.93,7520.1531,
16.03,7520.1531,
16.13,7519.7033,
16.23,7519.7033,
16.33,7519.7033,
16.43,7519.7033,
16.53,7519.7033,
16.63,7509.8632,
16.73,7509.8632,
16.9,7237.2408,
17.0,7250.3483,
17.11,7213.0906,
17.21,7199.8875,
17.31,7212.1947,
17.41,7195.3383,
17.51,7181.0516,
17.61,7181.0516,
17.71,7181.0516,
17.81,7181.0516,
17.91,7181.0516,
18.01,7181.0516,
18.11,7181.0516,
18.22,7181.0516,
18.32,7181.0516,
18.42,7181.0516,
18.56,8214.9732,
18.66,8184.1525,
18.76,8124.2224,
18.86,8063.3795,
18.96,8063.2063,
19.06,8059.0897,
19.17,8059.0897,
19.27,8059.0897,
19.37,8059.0897,
19.47,8059.0897,
19.57,8059.0897,
19.68,8059.0897,
19.78,8059.0897,
19.89,8059.0897,
19.99,8059.0897,
20.09,8059.0897,
20.28,8059.0897,
20.38,8059.0897,
20.48,8059.0897,
20.58,8049.6979,
20.78,8072.2368,
20.88,7713.0691,
20.98,7676.2426,
21.08,7650.4451,
21.19,7700.1878,
21.29,7719.4782,
21.39,7514.5044,
21.49,7528.0097,
21.59,7483.4465,
21.69,7252.86,
21.8,7244.7147,
21.91,7244.7147,
22.01,7244.7147,
22.11,7244.7147,
22.21,7244.7147,
22.31,7244.7147,
