elapsed_sec,best_cost,improvement_pct
0.1,8390.4891,
0.2,8517.7325,
0.3,7862.1093,
0.4,7871.1971,
0.5,7777.2239,
0.6,7746.7551,
0.7,7588.3186,
0.81,7830.8312,
0.91,7622.3932,
1.02,7331.2944,
1.12,7662.312,
1.22,7661.5141,
1.32,8325.8842,
1.42,7686.9063,
1.52,7404.9527,
1.62,7883.545,
1.72,7586.3965,
1.82,7663.9808,
1.93,7702.7723,
2.03,7537.1081,
2.13,8012.2308,
2.23,7636.8121,
2.33,7882.2648,
2.43,7509.9177,
2.53,7718.6721,
2.63,7523.8599,
2.73,7121.2997,
2.83,7459.1718,
2.93,7195.5034,
3.04,7527.5908,
3.14,7757.4638,
3.24,7410.2209,
3.34,7199.7805,
3.44,6756.3422,
3.54,6780.5679,
3.64,6798.4989,
3.74,6744.751,
3.85,7177.0377,
3.95,7116.6901,
4.05,7153.5233,
4.15,7143.5107,
4.25,7380.6036,
4.36,7202.1465,
4.46,7535.3711,
4.56,7530.4183,
4.66,7209.9013,
4.76,7209.0055,
4.86,7195.8367,
4.96,7524.0046,
5.06,7459.7213,
5.16,7417.6392,
5.27,7532.855,
5.37,7235.7785,
5.47,6962.9459,
5.57,6972.2312,
5.67,6977.7811,
5.77,6977.7231,
5.88,7202.1741,
5.98,7191.5652,
6.08,7369.7046,
6.18,7357.0817,
6.28,7484.7405,
6.38,7253.4896,
6.48,7260.2779,
6.58,7453.9243,
6.68,7185.5673,
6.78,7384.9731,
6.88,7144.5859,
6.98,7131.6873,
7.09,7457.8763,
7.19,7540.5604,
7.29,7525.6321,
7.39,7502.8724,
7.49,7426.6368,
7.59,6889.2092,
7.69,7184.7626,
7.79,7161.8225,
7.89,7101.8266,
7.99,7180.3055,
8.09,6928.0023,
8.19,6876.9843,
8.3,6873.0611,
8.4,6858.0039,
8.5,6857.1371,
8.6,7193.8517,
8.7,7302.9693,
8.81,7315.7354,
8.91,6946.6773,
9.01,7234.4527,
9.11,7272.6589,
9.21,7193.7311,
9.31,7563.8366,
9.41,7619.2719,
9.52,7612.4083,
9.62,7489.1814,
9.72,7304.7403,
9.82,7286.5755,
9.92,7238.6817,
10.02,7244.1088,
10.13,7240.2911,
10.23,7493.3387,
10.33,7460.783,
10.43,7594.7177,
10.53,7276.9881,
10.63,7286.4964,
10.74,7305.184,
10.84,7308.5868,
10.94,7304.4252,
11.04,7268.4219,
11.14,7290.5447,
11.24,7279.0643,
11.34,7279.7708,
11.44,7293.1369,
11.54,7001.6785,
11.65,7010.1226,
11.75,7398.3543,
11.85,7389.9034,
11.95,7336.4625,
12.05,7294.5726,
12.15,7331.4276,
12.25,7344.299,
12.35,7331.9695,
12.45,7194.9872,
12.56,7502.9003,
12.66,7132.0342,
12.76,7185.1177,
12.86,7210.691,
12.96,7089.3826,
13.06,6816.4646,
13.17,6763.6335,
13.27,6775.1175,
13.37,6806.3713,
13.47,6797.1794,
13.57,6859.9793,
13.67,6834.8591,
13.77,6807.5917,
13.88,6801.236,
13.98,6821.4834,
14.08,6821.4834,
14.18,6806.0233,
14.28,6816.9995,
14.39,6802.3482,
14.49,6805.7199,
14.59,6807.0046,
14.69,6841.3875,
14.79,6840.6909,
14.89,6855.0105,
14.99,6833.572,
15.09,6827.567,
15.19,6787.2966,
15.29,6784.9306,
15.4,6789.9072,
15.5,6784.2251,
15.6,6786.567,
15.7,6807.018,
15.8,6790.6296,
15.9,6796.2015,
16.0,6779.688,
16.1,6790.8531,
16.2,6777.5505,
16.3,6785.6958,
16.4,6775.1845,
16.5,6795.9808,
16.6,6790.441,
16.7,7085.9831,
16.81,7039.1173,
16.91,7036.1451,
17.01,7083.8853,
17.11,7068.225,
17.21,7060.6556,
17.31,7074.0471,
17.41,7094.2502,
17.51,7043.6224,
17.61,7056.4918,
17.71,7027.3527,
17.81,7020.8746,
17.91,6761.2699,
18.01,6753.0837,
18.11,6740.44,
18.21,6736.7463,
18.31,6712.2803,
18.42,6707.0307,
18.52,6684.3928,
18.62,6671.7944,
18.72,6678.7118,
18.82,6761.5842,
18.92,6784.8942,
19.02,6794.1802,
19.12,6793.038,
19.23,6771.8625,
19.33,6785.4214,
19.43,6780.3249,
19.53,6768.015,
19.64,6768.507,
19.74,6775.6314,
19.84,6798.5785,
19.95,6794.0032,
20.06,6731.7907,
20.16,6720.2799,
20.26,6721.303,
20.36,7073.1503,
20.46,6932.4059,
20.67,6925.4598,
20.77,6673.006,
20.87,6734.9203,
20.97,6664.9182,
21.07,6664.9085,
21.17,6698.2254,
21.27,6664.9085,
21.38,6656.4461,
21.48,6734.9406,
21.58,6759.5748,
21.68,6755.4,
21.78,6735.9749,
21.88,6758.0372,
21.98,6725.853,
22.08,6715.7029,
22.18,6710.9156,
22.28,6734.8325,
22.38,6722.7771,
22.48,6794.2051,
22.58,6820.7951,
22.69,6870.3408,
22.79,6819.2734,
22.89,6805.9854,
22.99,6798.9866,
23.09,6817.0493,
23.19,6798.6721,
23.29,6806.7194,
23.39,6832.1668,
23.49,6789.9041,
23.59,6776.9521,
23.7,6781.8302,
23.8,6731.2652,
23.9,6763.366,
24.0,6700.8878,
24.1,6748.0669,
24.2,6675.7888,
24.3,6670.401,
24.41,6752.3439,
24.51,6672.3748,
24.61,6773.3959,
24.71,6763.7814,
24.81,6713.4008,
24.91,6768.1513,
25.01,6751.4999,
25.11,6784.6879,
25.21,6716.1023,
25.31,6728.734,
25.41,6757.7682,
25.51,6758.4553,
25.61,6752.7868,
25.71,6758.9039,
25.81,6768.4565,
25.91,6751.4999,
26.01,6754.2908,
26.11,6802.7602,
26.21,6716.3336,
26.32,6721.9341,
26.42,6766.8542,
26.52,6721.9341,
26.62,6766.8542,
26.73,6765.421,
26.83,6721.9341,
26.93,6766.8542,
27.03,6716.3336,
27.13,6726.3842,
27.24,6767.5995,
27.34,6726.3842,
27.44,6756.307,
27.54,6758.9039,
27.64,6719.6523,
27.74,6713.9838,
27.84,6718.9652,
27.94,6762.4521,
28.04,6727.5665,
28.14,6721.898,
28.24,6721.334,
28.34,6715.9272,
28.44,6708.013,
28.54,6752.9331,
28.64,6708.013,
28.74,6754.2908,
28.84,6713.9838,
28.94,6713.711,
29.05,6755.4903,
29.15,6713.711,
29.25,6804.2314,
29.35,6761.3275,
29.45,6716.0608,
29.55,6726.4203,
29.65,6716.0608,
29.75,6758.9039,
29.85,6760.7445,
29.95,6713.711,
30.05,6708.013,
30.16,6718.9652,
30.26,6760.7379,
30.36,6755.3501,
30.46,6764.3067,
30.56,6761.3879,
30.66,6715.9272,
30.76,6713.711,
30.86,6713.711,
30.96,6715.9272,
31.06,6715.9272,
31.16,6724.0165,
31.26,6713.9838,
31.36,6769.3753,
31.46,6770.7803,
31.56,6713.4008,
31.67,6720.547,
31.77,6728.17,
31.87,6720.547,
31.97,6716.1023,
32.07,6708.013,
32.17,6726.3842,
32.27,6725.8419,
32.37,6726.4059,
32.47,6780.5734,
32.58,6803.1444,
32.68,6757.5631,
32.78,6714.8363,
32.88,6772.9745,
32.98,6714.2519,
33.08,6728.4329,
33.18,6751.4067,
33.28,6675.2867,
33.38,6675.2867,
33.48,6674.872,
33.58,6675.2867,
33.68,6754.5254,
33.78,6651.056,
33.88,6651.056,
33.98,6651.056,
34.09,6651.056,
34.19,6651.056,
34.29,6645.7299,
34.39,6645.7299,
34.49,6645.7299,
34.59,6645.7299,
34.69,6645.7299,
34.79,6651.056,
34.89,6645.7299,
34.99,6651.056,
35.09,6645.7299,
35.19,6651.056,
35.29,6645.7299,
35.39,6645.7299,
35.49,6645.7299,
35.59,6645.7299,
35.7,6713.5795,
35.8,6713.3707,
35.9,6712.3102,
36.0,6712.3102,
36.1,6712.3102,
36.2,6713.7835,
36.31,6713.7835,
36.41,6707.557,
36.52,6712.3102,
36.62,6724.9233,
36.72,6724.9233,
36.82,6717.6363,
36.92,6705.1544,
37.02,6714.7184,
37.13,6714.7184,
37.23,6714.7184,
37.33,6720.9738,
37.43,6720.9738,
37.53,6706.0837,
37.63,6706.0837,
37.73,6712.3102,
37.83,6712.3102,
37.93,6713.3707,
38.03,6706.0837,
38.14,6706.0837,
38.24,6706.0837,
38.34,6713.6276,
38.44,6706.0837,
38.54,6707.557,
38.64,6707.557,
38.74,6707.557,
38.84,6700.6433,
38.94,6698.644,
39.05,6700.1173,
39.15,6706.457,
39.25,6706.457,
39.35,6699.17,
39.45,6700.1173,
39.55,6699.17,
39.65,6698.644,
39.75,6698.644,
39.85,6699.17,
39.95,6700.6433,
40.05,6699.17,
40.15,6698.644,
40.26,6699.17,
40.36,6698.644,
40.46,6705.931,
40.57,6705.931,
40.67,6705.931,
40.77,6700.1173,
40.87,6700.1173,
40.97,6702.6884,
41.07,6702.6884,
41.17,6704.1617,
41.28,6704.1617,
41.38,6704.1617,
41.48,6709.9754,
41.58,6700.6433,
41.68,6700.1173,
41.78,6698.644,
41.88,6702.6884,
41.98,6704.1617,
42.08,6704.1617,
42.18,6699.17,
42.28,6702.6884,
42.38,6698.644,
42.48,6698.644,
42.58,6699.17,
42.68,6699.17,
42.78,6699.17,
42.88,6698.644,
43.0,6700.1173,
43.1,6700.6433,
43.2,6699.17,
43.31,6698.644,
43.41,6740.8487,
43.51,6740.8487,
43.61,6698.644,
43.71,6699.17,
43.81,6698.644,
43.92,6698.644,
44.02,6698.644,
44.12,6698.644,
44.22,6699.17,
44.32,6698.644,
44.42,6698.644,
44.52,6698.644,
44.62,6699.17,
44.72,6700.1173,
44.82,6698.644,
44.92,6699.17,
45.02,6705.931,
45.12,6700.1173,
45.22,6706.457,
45.33,6698.644,
45.43,6700.1173,
45.53,6699.17,
45.63,6698.644,
45.73,6698.644,
45.83,6700.1173,
45.93,6698.644,
46.03,6699.17,
46.13,6698.644,
46.23,6699.17,
46.33,6699.17,
46.43,6700.1173,
46.54,6699.17,
46.65,6704.1617,
46.75,6702.6884,
46.85,6702.6884,
46.95,6702.6884,
47.05,6698.644,
47.16,6698.644,
47.26,6698.644,
47.36,6700.6433,
47.46,6702.6884,
47.56,6698.644,
47.66,6702.6884,
47.76,6699.17,
47.86,6702.6884,
47.96,6699.17,
48.06,6698.644,
48.16,6700.1173,
48.26,6698.644,
48.36,6699.17,
48.47,6700.1173,
48.57,6700.1173,
48.67,6698.644,
48.77,6699.17,
48.87,6700.1173,
48.97,6699.17,
49.07,6698.644,
49.17,6699.17,
49.27,6702.6884,
49.37,6702.6884,
49.48,6702.6884,
49.58,6702.6884,
49.68,6702.6884,
49.78,6702.6884,
49.88,6704.1617,
49.98,6698.644,
50.08,6700.6433,
50.18,6699.17,
50.28,6702.6884,
50.38,6702.6884,
50.48,6702.6884,
50.59,6700.6433,
50.69,6700.1173,
50.79,6699.17,
50.89,6698.644,
50.99,6698.644,
51.09,6700.1173,
51.19,6700.1173,
51.29,6699.17,
51.39,6705.931,
51.5,6698.644,
51.6,6702.6884,
51.7,6704.1617,
51.8,6698.644,
51.9,6698.644,
52.0,6700.6433,
52.1,6700.1173,
52.2,6702.6884,
52.3,6700.6433,
52.4,6698.644,
52.51,6699.17,
52.61,6698.644,
52.71,6700.1173,
52.81,6698.644,
52.91,6698.644,
53.01,6700.1173,
53.11,6700.1173,
53.21,6699.17,
53.31,6704.1617,
53.42,6702.6884,
53.52,6700.6433,
53.62,6698.644,
53.73,6698.644,
53.84,6699.17,
53.94,6698.644,
54.04,6698.644,
54.14,6698.644,
54.24,6699.17,
54.34,6699.17,
54.44,6698.644,
54.54,6705.931,
54.65,6700.1173,
54.75,6699.17,
54.85,6699.17,
54.95,6699.17,
55.05,6699.17,
55.15,6698.644,
55.25,6699.17,
55.35,6700.1173,
55.45,6700.6433,
55.56,6700.6433,
55.66,6706.457,
55.76,6700.6433,
55.86,6700.1173,
55.96,6699.17,
56.07,6700.6433,
56.17,6700.6433,
56.27,6706.457,
56.37,6699.17,
56.47,6699.17,
56.57,6698.644,
56.67,6698.644,
56.77,6700.1173,
56.87,6698.644,
56.97,6698.644,
57.08,6700.6433,
57.18,6700.6433,
57.28,6700.6433,
57.38,6699.17,
57.48,6700.6433,
57.58,6699.17,
57.68,6698.644,
57.78,6700.1173,
57.88,6700.1173,
57.98,6700.1173,
58.08,6700.1173,
58.18,6702.6884,
58.28,6704.1617,
58.38,6700.1173,
58.48,6698.644,
