elapsed_sec,best_cost,improvement_pct
0.11,8200.3702,
0.21,8005.9711,
0.31,7450.8678,
0.42,7441.6992,
0.52,7442.4667,
0.62,7249.6392,
0.72,7685.7594,
0.82,7473.3078,
0.92,7459.405,
1.02,7617.3866,
1.12,7266.1432,
1.23,7273.6902,
1.33,7290.3609,
1.43,7174.2624,
1.53,7189.5525,
1.63,7242.5337,
1.74,7270.3524,
1.84,7271.292,
1.94,7336.3073,
2.04,7316.334,
2.14,7290.2155,
2.24,7179.5191,
2.34,7242.7222,
2.45,7282.3141,
2.55,7260.9407,
2.65,7553.4611,
2.75,7314.4433,
2.85,7313.857,
2.95,7294.4098,
3.05,7289.96,
3.15,7303.1405,
3.25,7263.4665,
3.36,7262.3873,
3.46,7309.9499,
3.56,7269.7119,
3.66,7615.5694,
3.76,7607.2151,
3.86,7611.6172,
3.97,7648.1358,
4.07,7288.0952,
4.17,7297.3386,
4.27,7304.7789,
4.37,7319.6388,
4.47,7302.0094,
4.57,7334.4715,
4.67,7041.5726,
4.77,7053.0819,
4.87,7057.8928,
4.97,7038.56,
5.08,7038.5258,
5.18,7043.0025,
5.28,7038.5154,
5.38,7036.884,
5.48,7067.215,
5.58,6999.222,
5.68,6982.5665,
5.78,6972.6623,
6.41,6972.6623,
