elapsed_sec,best_cost,improvement_pct
0.1,10893.7079,
0.2,10893.7079,
0.31,10893.7079,
0.41,10893.7079,
0.51,10893.7079,
0.61,10893.7079,
0.71,10893.7079,
0.81,10893.7079,
0.91,10893.7079,
1.01,10893.7079,
1.11,10893.7079,
1.21,10893.7079,
1.32,10893.7079,
1.42,10893.7079,
1.52,10893.7079,
1.62,10893.7079,
1.72,10893.7079,
1.82,10893.7079,
1.92,10893.7079,
2.02,10893.7079,
2.12,10893.7079,
2.22,10893.7079,
2.32,10893.7079,
2.42,10893.7079,
2.52,10893.7079,
2.62,10893.7079,
2.72,10893.7079,
2.82,10893.7079,
2.93,10893.7079,
3.03,10893.7079,
3.13,10893.7079,
3.23,10893.7079,
3.33,10893.7079,
3.43,10893.7079,
3.53,10893.7079,
3.63,10893.7079,
3.73,10893.7079,
3.83,10893.7079,
3.93,10893.7079,
4.03,10893.7079,
4.13,10893.7079,
4.23,10893.7079,
4.33,10893.7079,
4.43,10893.7079,
4.53,10893.7079,
4.63,10893.7079,
4.73,10893.7079,
4.83,10893.7079,
4.93,10893.7079,
5.03,10893.7079,
5.13,10893.7079,
5.23,10893.7079,
5.33,10893.7079,
5.43,10893.7079,
5.54,10893.7079,
5.64,10893.7079,
5.74,10893.7079,
5.84,10893.7079,
5.94,10893.7079,
6.04,10893.7079,
6.14,10893.7079,
6.24,10893.7079,
6.34,10893.7079,
6.44,10893.7079,
6.54,10893.7079,
6.64,10893.7079,
6.74,10893.7079,
6.84,10893.7079,
6.94,10893.7079,
7.08,10893.7079,
7.19,10893.7079,
7.29,10893.7079,
7.39,10893.7079,
7.49,10893.7079,
7.59,10893.7079,
7.69,10893.7079,
7.79,10893.7079,
7.89,10893.7079,
7.99,10893.7079,
8.09,10893.7079,
8.19,10893.7079,
8.29,10893.7079,
8.39,10893.7079,
8.49,10893.7079,
8.59,10893.7079,
8.69,10893.7079,
8.79,10893.7079,
8.9,10893.7079,
9.0,10893.7079,
9.1,10893.7079,
9.2,10893.7079,
9.3,10893.7079,
9.4,10893.7079,
9.5,10893.7079,
9.6,10893.7079,
9.7,10893.7079,
9.8,10893.7079,
9.9,10893.7079,
10.0,10893.7079,
10.1,10893.7079,
10.21,10893.7079,
10.31,10893.7079,
10.41,10893.7079,
10.51,10893.7079,
10.61,10893.7079,
10.71,10893.7079,
10.81,10893.7079,
10.91,10893.7079,
11.01,10893.7079,
11.11,10893.7079,
11.21,10893.7079,
11.31,10893.7079,
11.41,10893.7079,
11.51,10893.7079,
11.61,10893.7079,
11.72,10893.7079,
11.82,10893.7079,
11.92,10893.7079,
12.02,10893.7079,
12.12,10893.7079,
12.22,10893.7079,
12.32,10893.7079,
12.42,10893.7079,
12.53,10893.7079,
12.63,10893.7079,
12.73,10893.7079,
12.83,10893.7079,
12.93,10893.7079,
13.03,10893.7079,
13.13,10893.7079,
13.23,10893.7079,
13.33,10893.7079,
13.43,10893.7079,
13.53,10893.7079,
13.64,10893.7079,
13.74,10893.7079,
13.84,10893.7079,
13.94,10893.7079,
14.04,10893.7079,
14.14,10893.7079,
14.24,10893.7079,
14.35,10893.7079,
14.45,10893.7079,
14.55,10893.7079,
14.65,10893.7079,
14.75,10893.7079,
14.85,10893.7079,
14.95,10893.7079,
15.05,10893.7079,
15.15,10893.7079,
15.25,10893.7079,
15.35,10893.7079,
