elapsed_sec,best_cost,improvement_pct
32.65,10345.5528,
32.75,10826.1544,
32.85,10827.1374,
32.95,10720.0141,
33.06,10682.0354,
33.16,11054.561,
33.26,11003.8513,
33.36,10960.5514,
33.46,10856.5324,
33.57,10701.7083,
33.67,10648.5105,
33.77,10650.337,
33.87,10663.4577,
33.98,10643.5317,
34.08,10963.1373,
34.18,11335.133,
34.28,11096.2364,
34.39,11077.5235,
34.49,10490.4628,
34.59,10506.5124,
34.69,10508.6075,
34.79,10499.2751,
34.89,10221.1545,
35.0,10238.0275,
35.1,10226.4416,
35.2,10203.5546,
35.3,10240.1537,
35.41,10274.2283,
35.51,10242.8964,
35.61,10242.0195,
35.72,10243.7505,
35.82,10252.4589,
35.92,10435.5196,
36.02,9862.9305,
36.13,9884.6217,
36.23,9926.7014,
36.33,9888.8471,
36.43,9884.0133,
36.53,9889.0938,
36.63,9924.5866,
36.74,9929.9729,
36.84,9899.8173,
36.94,9944.6561,
37.04,9727.3283,
37.14,9737.4541,
37.24,9739.6266,
37.35,9744.2301,
37.45,9753.3596,
37.55,9919.7826,
37.65,9951.0777,
37.75,9991.9048,
37.86,9983.9422,
37.96,9781.5791,
38.06,9808.4533,
38.16,9504.3096,
38.26,9502.5595,
38.36,9518.4387,
38.47,9503.5762,
38.57,9492.2649,
38.67,9523.0275,
38.77,9499.2755,
38.87,9496.7721,
38.97,9483.9462,
39.07,9517.7861,
39.17,9534.172,
39.27,9520.7642,
39.37,9533.0495,
39.48,9541.0569,
39.59,9549.8763,
39.69,9570.4096,
39.79,9577.3342,
39.89,9583.7898,
39.99,9566.2328,
40.09,9562.3243,
40.19,9571.4735,
40.29,9517.53,
40.4,9498.4101,
40.5,9489.5115,
40.6,9497.5987,
40.7,9512.0726,
40.8,9568.0942,
40.9,9573.2982,
41.0,9572.2391,
41.11,9574.7802,
41.21,9575.4879,
41.31,9516.944,
41.41,9521.8658,
41.52,9520.1313,
41.62,9518.9226,
41.72,9525.3537,
41.82,9509.8822,
41.92,9516.7403,
42.02,9505.7768,
42.12,9510.2322,
42.22,9505.7768,
42.32,9528.1824,
42.42,9518.6197,
42.53,9516.4871,
42.63,9510.6111,
42.73,9521.005,
42.83,9519.4798,
42.93,9517.9245,
43.04,9513.6744,
43.14,9500.1635,
43.24,9507.0262,
43.34,9493.5618,
43.44,9495.4173,
43.54,9493.3695,
43.64,9515.9943,
43.74,9506.3524,
43.85,9509.4319,
43.95,9510.7447,
44.05,9510.6944,
44.15,9487.5164,
44.25,9520.0735,
44.35,9510.7693,
44.45,9504.4655,
44.55,9508.3093,
44.65,9513.8644,
44.75,9490.3294,
44.86,9499.985,
44.96,9504.8457,
45.06,9509.0056,
45.16,9518.4823,
45.27,9496.6443,
45.37,9517.7286,
45.47,9504.8256,
45.58,9503.2008,
45.68,9503.4502,
45.78,9508.966,
45.89,9497.7247,
46.0,9512.2706,
46.13,9532.9292,
46.23,9535.1988,
46.33,9512.7463,
46.44,9517.6681,
46.54,9501.9853,
46.64,9514.4453,
46.74,9507.9145,
46.84,9502.4421,
46.95,9508.5792,
47.05,9513.7832,
47.15,9502.792,
47.25,9502.792,
47.35,9557.659,
47.45,9532.8045,
47.55,9471.1329,
47.65,9467.1575,
47.75,9462.8873,
47.85,9484.1176,
47.95,9479.3694,
48.06,9477.682,
48.16,9461.2516,
48.26,9467.8401,
48.36,9455.3249,
48.46,9465.1892,
48.56,9469.099,
48.66,9250.2103,
48.77,9253.4373,
48.87,9231.9061,
48.97,9232.7423,
49.07,9247.7324,
49.17,9227.8205,
49.28,9235.1261,
49.39,9251.2861,
49.49,9247.7324,
49.59,9228.8796,
49.69,9221.6539,
49.8,9226.5757,
49.9,9247.109,
50.0,9239.3313,
50.1,9246.0764,
50.2,9251.3833,
50.3,9239.085,
50.4,9230.3241,
50.5,9231.6106,
50.61,9230.8868,
50.71,9226.5757,
50.81,9269.0253,
50.91,9250.9592,
51.01,9243.2104,
51.11,9240.707,
51.22,9233.8014,
51.32,9236.3048,
51.42,9236.3048,
51.52,9233.2562,
51.62,9245.4979,
51.73,9248.9493,
51.83,9233.3902,
51.93,9236.1937,
52.04,9224.1267,
52.14,9223.6128,
52.25,9224.1267,
52.35,9234.6174,
52.45,9236.1937,
52.55,9233.1302,
52.65,9237.809,
52.76,9250.1073,
52.86,9238.6512,
52.96,9243.9581,
53.06,9243.0975,
53.16,9246.3319,
53.26,9241.4101,
53.36,9240.1829,
53.47,9245.4898,
53.57,9250.0031,
53.67,9242.5523,
53.77,9238.6512,
53.88,9226.3529,
53.99,9222.0418,
54.1,9231.6598,
54.2,9229.2675,
54.3,9238.4606,
54.4,9236.6051,
54.5,9226.9636,
54.6,9235.0053,
54.7,9226.9636,
54.8,9235.9535,
54.9,9229.2675,
55.01,9231.6598,
55.11,9226.3529,
55.21,9227.5801,
55.31,9231.2747,
55.41,9233.6441,
55.51,9235.0053,
55.61,9226.3529,
55.72,9226.3529,
55.82,9231.2747,
55.92,9235.0053,
56.02,9239.7192,
56.12,9233.7781,
56.22,9239.085,
56.32,9239.085,
56.42,9245.428,
56.53,9226.3529,
56.63,9222.0418,
56.73,9234.3401,
56.83,9233.1302,
56.93,9226.3529,
57.03,9235.9535,
57.13,9235.9535,
57.23,9235.9535,
57.33,9226.9636,
57.43,9237.8681,
57.54,9236.1475,
57.64,9236.6927,
57.74,9229.467,
57.84,9229.467,
57.94,9229.467,
58.04,9234.1893,
58.14,9243.3787,
58.25,9246.2933,
58.35,9242.8307,
58.45,9229.2675,
58.55,9231.6598,
58.65,9228.7223,
58.75,9228.7223,
58.85,9228.7223,
58.95,9222.8121,
59.06,9227.5801,
59.16,9226.3529,
59.26,9236.6051,
59.36,9223.4404,
59.46,9221.5849,
59.56,9225.4051,
59.67,9226.6323,
59.77,9217.2738,
59.87,9217.2738,
59.97,9222.0418,
