elapsed_sec,best_cost,improvement_pct
0.11,11475.2043,
0.21,10963.5693,
0.31,10938.5343,
0.41,10825.289,
0.51,10797.0707,
0.61,10533.4016,
0.72,10473.9666,
0.82,10483.6691,
0.92,10467.2677,
1.02,10452.2836,
1.13,10447.287,
1.23,10448.973,
1.33,10454.1411,
1.44,10446.2452,
1.54,10434.3331,
1.64,10435.3811,
1.74,10428.2878,
1.84,10428.2878,
1.94,10428.2878,
2.04,10428.2878,
2.14,10428.2878,
2.25,10427.1325,
2.35,10427.1325,
2.45,10427.1325,
2.55,10427.1325,
2.65,10427.1325,
2.75,10425.8564,
2.85,10425.8564,
2.95,10425.8564,
3.05,10425.8564,
3.15,10425.8564,
3.26,10425.8564,
3.36,10254.0052,
3.46,10254.0052,
3.56,10254.0052,
3.66,10254.0052,
3.76,10254.0052,
3.86,10254.0052,
4.06,11188.9926,
4.16,10886.6338,
4.27,10766.7713,
4.38,10764.35,
4.48,10723.7399,
4.58,10711.0027,
4.68,10718.0219,
4.78,10720.1992,
4.88,10720.1992,
4.98,10502.244,
5.08,10502.9369,
5.19,10484.4829,
5.29,10483.9989,
5.39,10484.3161,
5.5,10243.2805,
5.6,10240.7771,
5.7,10240.7771,
5.8,10240.4599,
5.91,10240.4599,
6.01,10240.4599,
6.12,10240.9439,
6.22,10240.7771,
6.32,10240.7771,
6.42,10240.7771,
6.52,10240.7771,
6.62,10240.4599,
6.72,10240.4599,
6.82,10204.0711,
6.93,10204.0711,
7.03,10195.748,
7.13,10195.748,
7.23,10195.748,
7.33,10195.748,
7.43,10195.748,
7.53,10195.748,
7.63,10195.748,
7.73,10195.748,
7.83,10195.748,
7.93,10195.748,
8.03,10195.748,
8.15,10341.0172,
8.25,10617.923,
8.35,10575.4712,
8.45,10575.0064,
8.55,10286.6089,
8.66,9863.7086,
8.76,9852.1756,
8.87,9859.7075,
8.97,9854.8392,
9.07,9829.5991,
9.17,9846.4749,
9.27,9840.2571,
9.37,9850.9926,
9.47,9848.4892,
9.57,9840.9318,
9.67,9838.6763,
9.78,9835.0024,
9.89,9837.2579,
9.99,9834.0701,
10.09,9834.0701,
10.19,9834.0701,
10.29,9834.0701,
10.39,9834.0701,
10.5,9834.0701,
10.6,9833.5861,
10.7,9833.5861,
10.8,9833.5861,
10.9,9833.5861,
11.0,9833.5861,
11.11,9833.5861,
11.21,9833.5861,
11.31,9833.5861,
11.41,9833.5861,
11.58,9833.5861,
11.68,9833.5861,
11.78,9833.5861,
11.88,9833.5861,
11.98,9833.5861,
12.08,9833.5861,
12.22,10685.395,
12.32,10590.9697,
12.42,10482.072,
12.53,10584.4551,
12.63,10516.5731,
12.73,10484.3695,
12.83,10491.0099,
12.93,10473.9594,
13.03,10458.4649,
13.13,10454.4535,
13.24,10259.4353,
13.34,10247.6382,
13.44,10242.2146,
13.54,10242.4668,
13.64,10242.4668,
13.74,10242.4668,
13.84,10242.4668,
13.94,10242.4668,
14.04,10240.3468,
14.15,10238.6916,
14.25,10238.6916,
14.35,10238.6916,
14.45,10238.6916,
14.55,10238.6916,
14.65,10238.6916,
14.75,10238.6916,
14.86,10238.6916,
14.96,10238.6916,
15.06,10238.6916,
15.16,10193.4208,
15.26,10193.4208,
15.36,10193.1686,
15.46,10193.1686,
15.56,10193.1686,
15.66,10193.1686,
15.76,10193.1686,
15.95,10635.1911,
16.05,10578.9398,
16.15,10595.6461,
16.25,10604.1575,
16.35,10733.9394,
16.45,10716.0264,
16.55,10654.4929,
16.66,10570.9493,
16.76,10544.0509,
16.86,10535.1224,
16.97,10535.1224,
17.08,10535.1224,
17.19,10535.1224,
17.29,10535.1224,
17.39,10535.1224,
17.49,10537.8331,
17.59,10536.7438,
17.69,10536.7438,
17.8,10536.7438,
17.9,10536.7438,
18.0,10536.7438,
18.11,10536.7438,
18.21,10536.7438,
18.31,10536.7438,
18.41,10536.7438,
18.51,10529.0607,
18.61,10529.0607,
18.71,10529.0607,
18.81,10529.0607,
18.92,10529.0607,
19.02,10472.8554,
19.12,10472.8554,
19.22,10472.8554,
19.32,10472.8554,
19.42,10472.8554,
19.52,10472.8554,
19.62,10472.8554,
19.8,10773.4689,
19.9,10496.1769,
20.0,10498.1566,
20.1,10432.1559,
20.21,10414.3069,
20.31,10414.3069,
20.41,10431.4535,
20.52,10421.6238,
20.62,10394.8339,
20.72,10400.8999,
20.83,10407.2648,
20.93,10404.9095,
21.04,10397.5068,
21.14,10393.3003,
21.25,10377.8639,
21.35,10381.4681,
21.45,10373.4366,
21.55,10373.4366,
21.65,10373.4366,
21.75,10373.4366,
21.86,10373.4366,
21.96,10373.4366,
22.06,10371.809,
22.16,10324.6745,
22.26,10324.6745,
22.36,10324.6745,
22.48,10324.6745,
22.59,10324.6745,
22.69,10295.7743,
22.79,10295.7743,
22.89,10295.7743,
22.99,10295.7743,
23.09,10295.7743,
23.19,10295.7743,
23.3,10295.7743,
23.4,10295.7743,
23.53,11010.0309,
23.63,10433.696,
23.73,10500.5453,
23.84,10453.8912,
23.94,10408.8913,
24.05,10466.8992,
24.15,10083.3578,
24.25,9919.9729,
24.35,9918.4379,
24.46,9881.7195,
24.56,9863.9585,
24.66,9872.0531,
24.76,9870.8587,
24.86,9861.9965,
24.97,9855.5797,
25.07,9853.9549,
25.17,9853.0109,
25.27,9855.5797,
25.37,9855.1197,
25.47,9854.6357,
25.57,9853.0109,
25.67,9853.0109,
25.78,9853.0109,
25.88,9853.0109,
25.98,9852.3762,
26.08,9852.3762,
26.18,9852.3762,
26.29,9852.3762,
26.39,9852.3762,
26.49,9852.3762,
26.59,9852.3762,
26.69,9852.3762,
26.79,9852.3762,
26.89,9852.3762,
26.99,9852.3762,
27.19,9852.3762,
27.29,9852.3762,
27.39,9852.3762,
27.49,9852.3762,
27.67,10135.5027,
27.77,10178.3963,
27.87,10196.1878,
27.98,10176.0915,
28.08,10159.4653,
28.18,10168.1207,
28.28,10150.6804,
28.38,10148.8238,
28.48,10150.7478,
28.59,10131.7395,
28.69,10126.457,
28.8,10102.3126,
28.9,10099.596,
29.0,10099.3482,
29.1,10099.596,
29.2,10103.6677,
29.31,10079.7548,
29.41,10077.2514,
29.51,10077.2514,
29.61,10077.2514,
29.71,10056.8853,
29.81,10056.8853,
29.91,10052.2141,
30.02,10052.2141,
30.12,10052.2141,
30.23,10052.2141,
30.33,10052.2141,
30.43,10052.2141,
30.53,10052.2141,
30.63,10051.6894,
30.73,10051.6894,
30.83,10051.6894,
30.93,10051.6894,
31.03,10051.6894,
31.14,10051.6894,
31.24,10051.6894,
31.34,10051.6894,
31.44,10051.6894,
31.64,10759.2223,
31.74,10755.3141,
31.85,10759.6538,
31.95,10761.5675,
32.05,10761.1722,
32.16,10748.7182,
32.26,10749.9687,
32.36,10749.9687,
32.46,10704.6979,
32.56,10704.6979,
32.66,10698.3267,
32.76,10700.5822,
32.87,10700.5822,
32.97,10700.5822,
33.07,10698.158,
33.17,10701.0232,
33.27,10696.1549,
33.38,10696.1549,
33.48,10696.1549,
33.58,10696.1549,
33.68,10696.1549,
33.78,10685.2203,
33.88,10685.2203,
33.99,10685.2203,
34.09,10685.2203,
34.19,10685.2203,
34.29,10685.2203,
34.39,10685.2203,
34.49,10685.2203,
34.59,10685.2203,
34.69,10685.2203,
34.79,10685.2203,
34.89,10685.2203,
35.0,10685.2203,
35.1,10685.2203,
35.2,10685.2203,
35.3,10685.2203,
35.51,10859.0344,
35.61,10453.4418,
35.71,10439.9976,
35.81,10394.581,
35.91,10412.6391,
36.01,10413.174,
36.11,10338.4555,
36.21,10321.8569,
36.31,10279.3816,
36.41,10299.6074,
36.51,10302.3001,
36.61,10301.7207,
36.72,10270.7006,
36.83,10268.1972,
36.95,10268.1883,
37.05,10268.1883,
37.15,10268.1883,
37.25,10264.7883,
37.35,10263.2758,
37.45,10263.2758,
37.56,10259.7194,
37.66,10259.7194,
37.76,10259.6738,
37.86,10259.6738,
37.96,10248.8385,
38.06,10248.8385,
38.16,10248.6655,
38.27,10248.6655,
38.37,10248.6655,
38.47,10248.6655,
38.57,10248.6655,
38.68,10248.6655,
38.78,10248.6655,
38.88,10248.6655,
38.98,10248.6655,
39.08,10248.6655,
39.19,10248.6655,
39.29,10248.6655,
39.39,10248.6655,
39.49,10248.6655,
39.59,10248.6655,
39.81,11925.6642,
39.91,11646.9455,
40.02,11519.2803,
40.12,11053.9175,
40.22,11128.6935,
40.33,11089.6215,
40.43,10942.7721,
40.53,10756.0309,
40.63,10686.1383,
40.73,10722.4319,
40.84,10724.814,
40.94,10672.2206,
41.04,10663.8217,
41.14,10663.2226,
41.24,10654.5509,
41.34,10647.5942,
41.45,10647.5942,
41.55,10647.4592,
41.65,10646.2197,
41.76,10646.2197,
41.87,10646.2197,
41.98,10646.2197,
42.08,10646.2197,
42.18,10646.2197,
42.28,10646.2197,
42.38,10469.6571,
42.48,10442.2653,
42.58,10269.3355,
42.68,10269.3355,
42.78,10269.3355,
42.88,10269.3355,
42.98,10269.3355,
43.08,10269.3355,
43.18,10269.3355,
43.28,10269.3355,
43.38,10269.3355,
43.48,10269.3355,
43.59,10269.3355,
43.69,10269.3355,
43.79,10269.3355,
44.07,11014.2325,
44.17,10550.3148,
44.27,10488.3287,
44.37,10293.4916,
44.47,10306.6125,
44.57,10312.3853,
44.67,10352.8066,
44.77,10361.7583,
44.87,10346.8181,
44.98,10320.8311,
45.09,10324.7651,
45.19,10311.9885,
45.29,10317.7248,
45.39,10317.7248,
45.49,10316.7722,
45.61,10317.2562,
45.71,10317.2562,
45.81,10310.5827,
45.91,10310.5827,
46.01,10305.9406,
46.11,10304.3344,
46.21,10304.3344,
46.32,10304.3344,
46.42,10304.3344,
46.52,10304.3344,
46.63,10304.3344,
46.73,10304.3344,
46.83,10304.3344,
46.93,10304.3344,
47.03,10304.3344,
47.13,10304.3344,
47.23,10300.6605,
47.33,10300.6605,
47.43,10300.6605,
47.53,10300.6605,
47.63,10300.6605,
47.74,10300.6605,
47.84,10300.6605,
47.94,10300.6605,
48.04,10300.6605,
48.14,10300.6605,
48.24,10300.6605,
48.34,10300.6605,
48.51,11384.9669,
48.61,11039.447,
48.71,10942.9571,
48.81,10936.3566,
48.91,10645.8356,
49.01,10624.842,
49.12,10569.375,
49.22,10325.5651,
49.32,10319.6009,
49.42,10309.0146,
49.52,10303.9485,
49.63,10303.9485,
49.73,10303.9485,
49.83,10309.1369,
49.94,10317.4558,
50.04,10309.8344,
50.15,10309.0295,
50.25,10309.033,
50.35,10301.618,
50.46,10299.9355,
50.56,10297.0614,
50.66,10297.0614,
50.77,10297.0614,
50.87,10297.0614,
50.97,10297.0614,
51.07,10297.0614,
51.17,10297.0614,
51.27,10297.0614,
51.37,10297.0614,
51.48,10297.0614,
51.58,10297.0614,
51.68,10282.4381,
51.78,10282.447,
51.88,10282.447,
51.99,10280.5153,
52.09,10280.5153,
52.19,10280.5153,
52.29,10274.778,
52.46,11850.817,
52.56,11334.8233,
52.67,11190.5823,
52.77,11192.9431,
52.87,11001.0948,
52.97,11009.274,
53.07,10934.1635,
53.18,10974.0747,
53.28,10964.3282,
53.38,10890.505,
53.48,10886.2874,
53.58,10831.6328,
53.69,10832.1198,
53.79,10790.1376,
53.9,10788.2462,
54.0,10578.8979,
54.1,10558.8584,
54.21,10549.2891,
54.31,10399.0427,
54.41,10399.0427,
54.51,10402.4182,
54.61,10401.9096,
54.71,10402.4182,
54.81,10401.9248,
54.91,10401.9248,
55.01,10401.6257,
55.11,10354.175,
55.21,10353.6664,
55.31,10353.6664,
55.42,10353.6664,
55.52,10353.6664,
55.62,10351.1022,
55.73,10351.1022,
55.83,10351.1022,
55.93,10351.1022,
56.03,10351.0933,
56.13,10187.9681,
56.23,10179.8787,
56.33,10179.8787,
56.43,10179.8787,
56.53,10179.8787,
56.63,10179.8787,
56.73,10179.8787,
56.83,10179.8787,
60.01,9829.5902,
