elapsed_sec,best_cost,improvement_pct
0.11,11031.7176,
0.23,10748.7142,
0.34,10749.2314,
0.46,10613.8885,
0.57,10622.3528,
0.68,10662.5468,
0.79,10659.8667,
0.9,10666.3904,
1.02,10658.3848,
1.12,10654.3634,
1.24,10633.5025,
1.34,10639.2002,
1.44,10653.7767,
1.56,10642.9575,
1.67,10650.9048,
1.77,10636.5992,
1.88,10658.8379,
1.98,10645.1231,
2.08,10657.1743,
2.19,10660.9336,
2.3,10642.5543,
2.41,10691.6572,
2.52,10721.91,
2.63,10650.4503,
2.73,10663.3002,
2.84,10654.9973,
2.94,10658.6466,
3.05,10649.2433,
3.17,10663.6002,
3.28,10659.0866,
3.38,10651.6828,
3.49,10633.0956,
3.59,10631.6447,
3.69,10621.3986,
3.8,10658.1078,
3.92,10629.8323,
4.02,10634.9749,
4.13,10635.061,
4.24,10637.7972,
4.34,10644.1403,
4.44,10669.9145,
4.55,10734.7415,
4.65,10675.3433,
4.77,10673.2327,
4.87,10703.7409,
4.97,10698.3801,
5.09,10700.5852,
5.2,10716.8172,
5.3,10685.9887,
5.4,10716.0423,
5.51,10665.5949,
5.62,10656.9655,
5.72,10662.838,
5.82,10655.6035,
5.92,10650.8433,
6.03,10664.3714,
6.13,10653.1808,
6.23,10654.5652,
6.34,10676.0749,
6.45,10678.7445,
6.57,10689.9989,
6.68,10694.5382,
6.78,10708.151,
6.89,10692.5135,
7.0,10688.0354,
7.1,10677.078,
7.2,10693.3849,
7.31,10692.9484,
7.41,10716.4852,
7.51,10683.918,
7.61,10677.4517,
7.72,10667.7163,
7.82,10665.6898,
7.93,10669.6071,
8.03,10660.1411,
8.15,10658.2346,
8.25,10653.9678,
8.35,10645.2641,
8.46,10658.7306,
8.56,10667.1177,
8.66,10675.3623,
8.76,10705.3283,
8.86,10688.1666,
8.97,10669.8715,
9.07,10650.9514,
9.18,10643.7169,
9.29,10650.3238,
9.39,10705.3264,
9.49,10714.7364,
9.6,10697.5747,
9.7,10689.5351,
9.81,10685.4102,
9.91,10698.6157,
10.02,10672.2169,
10.13,10672.9661,
10.24,10679.9467,
10.34,10703.6921,
10.45,10709.1625,
10.55,10681.4509,
10.66,10670.2224,
10.77,10664.1268,
10.88,10671.3613,
10.99,10668.9746,
11.1,10682.1057,
11.2,10679.6687,
11.3,10690.4154,
11.41,10679.4752,
11.51,10683.0141,
11.62,10674.3504,
11.73,10668.342,
11.84,10676.3847,
11.95,10680.5865,
12.06,10732.2637,
12.17,10714.5848,
12.27,10714.5848,
12.39,10748.4708,
12.49,10677.5848,
12.6,10678.785,
12.7,10670.9003,
12.8,10699.7081,
12.9,10715.5588,
13.0,10722.3516,
13.11,10718.8277,
13.22,10702.5522,
13.33,10716.0333,
13.44,10685.2317,
13.55,10442.9263,
13.66,10446.0813,
13.76,10444.5968,
13.87,10452.4667,
13.98,10453.1479,
14.08,10462.7182,
14.18,10454.8483,
14.29,10456.1244,
14.39,10457.2664,
14.5,10462.7204,
14.61,10463.9965,
14.72,10453.0206,
14.82,10465.3403,
14.93,10473.7274,
15.04,10523.4481,
15.15,10488.0082,
15.26,10477.1339,
15.36,10469.8233,
15.47,10470.8502,
15.59,10454.9518,
15.7,10463.1847,
15.8,10467.3987,
15.91,10498.3871,
16.03,10464.5444,
16.14,10458.351,
16.24,10468.2836,
16.35,10467.5062,
16.45,10454.1144,
16.56,10444.2764,
16.67,10479.7097,
16.77,10487.6577,
16.88,10472.2826,
16.99,10465.3202,
17.1,10481.9213,
17.21,10454.3652,
17.32,10439.1949,
17.43,10471.214,
17.54,10461.4749,
17.64,10500.7286,
17.75,10506.0179,
17.87,10504.3182,
17.97,10510.3344,
18.08,10520.3656,
18.19,10484.709,
18.3,10535.5946,
18.41,10513.0034,
18.51,10527.5542,
18.62,10513.0108,
18.73,10507.1553,
18.83,10553.3054,
18.94,10513.1358,
19.05,10515.8054,
19.16,10525.7022,
19.27,10469.2526,
19.37,10469.2422,
19.48,10459.0287,
19.58,10471.1168,
19.69,10469.5266,
19.8,10475.7666,
19.91,10518.4778,
20.02,10472.777,
20.13,10462.2996,
20.23,10464.295,
20.34,10459.603,
20.45,10469.3356,
20.55,10468.183,
20.66,10464.1077,
20.76,10456.1043,
20.86,10506.6854,
20.97,10473.7399,
21.07,10496.4197,
21.18,10473.2508,
21.29,10451.4498,
21.39,10504.2267,
21.5,10492.0591,
21.62,10501.7223,
21.73,10506.722,
21.83,10474.3657,
21.94,10480.3367,
22.04,10468.0849,
22.15,10499.5669,
22.26,10453.206,
22.36,10457.6003,
22.47,10484.9611,
22.58,10487.6466,
22.68,10530.2553,
22.79,10471.8498,
22.89,10476.362,
23.0,10461.672,
23.11,10457.2741,
