elapsed_sec,best_cost,improvement_pct
0.11,11031.7176,
0.24,11038.5708,
0.34,11119.129,
0.44,11110.6176,
0.54,11171.6074,
0.64,11084.1971,
0.74,10832.9388,
0.84,10882.4092,
0.94,10896.9129,
1.04,10647.9229,
1.15,10633.3835,
1.25,10674.9773,
1.36,10659.478,
1.46,10663.6879,
1.56,10684.7548,
1.66,10559.3939,
1.77,10581.3913,
1.88,10835.3233,
1.98,10985.7834,
2.08,11053.5507,
2.18,10812.194,
2.28,10601.4737,
2.38,10600.0292,
2.48,10607.079,
2.59,10557.4084,
2.69,10519.839,
2.79,10401.4137,
2.89,10651.5437,
2.99,10267.634,
3.1,10369.6591,
3.2,10360.0445,
3.3,10329.3896,
3.4,10329.7025,
3.5,10319.7314,
3.61,10348.2608,
3.71,10329.2629,
3.81,10309.5549,
3.92,10468.8162,
4.02,10473.1256,
4.12,10463.0854,
4.22,10458.2262,
4.32,10470.6796,
4.43,10450.0362,
4.53,10450.0502,
4.63,10652.8574,
4.73,10377.9733,
4.83,10409.9577,
4.93,10372.1525,
5.03,10365.9877,
5.13,10347.7912,
5.23,10378.768,
5.34,10411.2873,
5.44,10415.4294,
5.54,10403.9595,
5.64,10425.8318,
5.74,10371.6736,
5.85,10196.0649,
5.95,10220.2979,
6.06,10171.7731,
6.16,10210.673,
6.27,10211.3891,
6.37,10211.3891,
6.47,10213.749,
6.57,10203.1383,
6.68,10247.6651,
6.78,10234.1488,
6.88,10398.2768,
6.98,10326.1239,
7.08,10402.5013,
7.18,10356.5356,
7.28,10315.3133,
7.38,10299.6857,
7.61,10301.7206,
7.71,10307.9453,
7.81,10313.037,
7.91,10146.6914,
8.01,10159.8131,
8.11,10260.7518,
8.22,10264.897,
8.32,10257.8292,
8.42,10269.5481,
8.52,10229.0173,
8.63,10228.4206,
8.73,10188.3294,
8.83,10182.2395,
8.93,10176.8686,
9.03,10227.2104,
9.13,10231.6795,
9.23,10195.04,
9.33,10191.8522,
9.43,10183.8528,
9.53,10180.5951,
9.64,10246.8627,
9.74,10216.117,
9.84,10169.1645,
9.94,10219.2122,
10.04,10212.6192,
10.14,10256.3713,
10.25,10241.1884,
10.36,9966.1005,
10.46,10025.1879,
10.56,9712.1837,
10.66,9713.4126,
10.76,9739.0669,
10.86,9725.0855,
10.96,9692.6696,
11.06,9668.6833,
11.17,9706.7115,
11.27,9745.9601,
11.37,9706.3139,
11.47,9701.6718,
11.58,9706.4134,
11.68,9658.4309,
11.9,9704.8896,
12.0,9694.89,
12.1,9689.6397,
12.2,10293.1143,
12.31,9693.0283,
12.41,9693.0103,
12.51,9674.6929,
12.61,9674.6929,
12.71,9686.1695,
12.81,9686.597,
12.91,9700.4044,
13.02,9692.5261,
13.12,9693.0418,
13.22,9685.3135,
13.32,9972.8411,
13.42,9954.6862,
13.52,9968.0359,
13.63,9982.1734,
13.73,9936.0896,
13.83,9952.0116,
13.93,9946.8473,
14.03,9958.8186,
14.13,9941.448,
14.23,9934.2522,
14.34,9978.3217,
14.44,9968.645,
14.54,9976.0162,
14.65,9997.5274,
14.75,10213.2293,
14.85,10195.0203,
14.95,10177.0282,
15.05,10170.8978,
15.16,10422.2701,
15.26,10407.2789,
15.36,10228.9874,
15.46,10215.2595,
15.57,10197.2929,
15.67,10234.4133,
15.78,10408.6113,
15.88,10589.2551,
15.99,10572.3621,
16.09,10378.8612,
16.19,10146.9482,
16.29,10200.8109,
16.39,9977.8015,
16.49,9994.5965,
16.59,9946.3255,
16.69,9954.0901,
16.8,9972.033,
16.9,9895.4865,
17.0,9907.0311,
17.1,9906.6544,
17.21,9901.1026,
17.31,9929.181,
17.41,9927.3783,
17.52,9952.5359,
17.62,9939.3304,
17.73,9960.1316,
17.83,9942.7561,
17.93,9957.8064,
18.03,9634.326,
18.13,9633.513,
18.23,9612.4809,
18.33,9621.8621,
18.43,9614.8304,
18.53,9660.6737,
18.63,9660.0012,
18.73,9911.0234,
18.84,9839.1998,
18.94,9850.325,
19.04,9887.6117,
19.14,9897.3536,
19.24,9894.2164,
19.34,9845.1155,
19.44,9852.617,
19.54,9898.8865,
19.64,9909.6365,
19.74,9981.1234,
19.84,9775.1953,
19.95,9735.342,
20.05,9747.2167,
20.15,9694.1383,
20.26,9696.1101,
20.36,9706.5677,
20.46,9693.5106,
20.57,9697.1484,
20.67,9684.3345,
20.77,9695.2333,
20.87,9683.436,
20.98,9677.7761,
21.08,9677.5008,
21.18,9681.4861,
21.29,9683.8055,
21.39,9634.3059,
21.5,9681.1998,
21.6,9630.3908,
21.7,9671.2473,
21.8,9667.3394,
21.92,9690.4624,
22.02,9742.2079,
22.12,9658.6038,
22.22,9649.4542,
22.32,9631.5895,
22.43,9632.2916,
22.53,9642.593,
22.65,9638.99,
22.75,9651.0388,
22.85,9754.1615,
22.95,9687.2605,
23.05,9699.5065,
23.16,9688.2407,
23.26,9737.6588,
23.36,9706.8027,
23.46,9703.7392,
23.56,9709.5357,
23.66,9593.3482,
23.77,9597.5491,
23.87,9616.3678,
23.97,9578.3019,
24.08,9572.0384,
24.18,9573.2796,
24.28,9573.9463,
24.38,9593.1221,
24.63,9578.0793,
24.73,9564.2912,
24.83,9632.6218,
24.94,9640.6492,
25.04,9628.3509,
25.14,9885.3852,
25.25,9846.0052,
25.35,9837.3256,
25.45,9837.3585,
25.56,9865.1619,
25.66,9869.804,
25.76,9882.0148,
25.86,9866.9283,
25.96,9841.3954,
26.06,9850.996,
26.17,9860.5846,
26.27,9843.3557,
26.37,10019.9628,
26.48,10066.0856,
26.58,10081.8397,
26.68,9900.3096,
26.78,9891.943,
26.88,9911.7114,
26.98,9919.4716,
27.08,9938.5212,
27.19,9927.3348,
27.29,9923.7192,
27.39,9949.5997,
27.49,9938.885,
27.59,10004.5146,
27.69,9995.5109,
27.79,10047.4188,
27.89,10007.4,
27.99,9981.9047,
28.1,9989.3546,
28.2,9962.783,
28.3,9963.8301,
28.4,9938.7117,
28.5,9903.8673,
28.61,9932.9983,
28.72,9944.3068,
28.82,9926.4398,
28.92,10270.0818,
29.02,9800.3107,
29.12,9817.0871,
29.22,9977.994,
29.32,9959.8692,
29.42,9993.4613,
29.52,9732.2179,
29.62,9750.3628,
29.72,10034.9411,
29.82,9885.1506,
29.93,10083.199,
30.03,9837.0015,
30.13,9834.4566,
30.23,9855.9555,
30.33,9858.0838,
30.43,9878.6878,
30.53,9855.7487,
30.64,9880.8465,
30.74,9880.6844,
30.84,9879.212,
30.94,9864.5174,
31.04,9894.6734,
31.15,9929.4754,
31.25,9932.4648,
31.35,10161.0385,
31.45,10104.7829,
31.55,10128.5788,
31.65,10142.8213,
31.76,10150.5326,
31.86,10133.3989,
31.96,10106.2117,
32.06,10128.3324,
32.17,10136.5736,
32.27,10119.4258,
32.37,10123.4212,
32.47,10160.8554,
32.57,10170.0368,
