elapsed_sec,best_cost,improvement_pct
0.18,15858.0959,
0.29,15839.7386,
0.4,15830.076,
0.55,15572.0861,
0.68,15333.8579,
0.8,15323.6029,
0.91,15084.6254,
1.03,15076.2229,
1.15,15073.9013,
1.27,15070.0417,
1.38,15070.4997,
1.5,15070.152,
1.61,15023.6091,
1.73,14952.7305,
1.86,14952.8777,
1.98,14953.2673,
2.1,14924.667,
2.22,14920.5504,
2.33,14545.9179,
2.46,14544.3087,
2.58,14544.3087,
2.7,14544.3087,
2.82,14544.3087,
2.94,14544.3087,
3.06,14544.3087,
3.18,14544.3087,
3.31,14549.5402,
3.43,14493.1037,
3.58,14493.1037,
3.75,14493.1037,
3.9,14493.3664,
4.03,14492.3476,
4.15,14492.8056,
4.28,14494.4693,
4.39,14491.9201,
4.51,14491.9201,
4.63,14491.9201,
4.75,14491.9201,
4.87,14491.9201,
5.0,14499.4816,
5.12,14486.2246,
5.25,14491.3423,
5.37,14468.4353,
5.49,14464.0928,
5.6,14465.7565,
5.72,14464.3207,
5.83,14464.4679,
5.95,14466.0474,
6.07,14463.7451,
6.19,14436.8388,
6.3,14433.1039,
6.42,14433.7596,
6.53,14433.7596,
6.65,14398.9502,
6.77,14398.9502,
6.89,14398.9502,
7.0,14398.9502,
7.12,14399.2217,
7.23,14406.8413,
7.35,14404.1808,
7.46,14410.9565,
7.58,14413.6805,
7.69,14415.766,
7.81,14424.0719,
7.93,14427.2717,
8.04,14427.2717,
8.16,14427.2717,
8.28,14427.2717,
8.4,14427.2717,
8.51,14427.2717,
8.63,14424.0719,
8.75,14420.8271,
8.87,14411.0401,
8.99,14412.2523,
9.1,14415.9053,
9.23,14415.9053,
9.34,14417.6873,
9.46,14420.8871,
9.58,14420.8871,
9.7,14420.8871,
9.82,14424.0952,
9.94,14418.5019,
10.06,14420.5052,
10.18,14421.0597,
10.3,14419.3756,
10.41,14413.4715,
10.52,14364.3069,
10.64,14361.6047,
10.75,14362.2933,
10.86,14357.4878,
10.98,14360.5082,
11.09,14368.3103,
11.19,14367.8513,
11.3,14369.8546,
11.41,14370.141,
11.53,14371.2819,
11.64,14371.3027,
11.75,14363.5006,
11.86,14360.6013,
11.97,14350.4279,
12.08,14350.4279,
12.19,14346.2516,
12.3,14304.8057,
12.4,14012.3666,
12.51,14020.7638,
12.62,14020.5067,
12.72,14020.5067,
12.83,14012.2932,
12.94,14016.3855,
13.05,14016.9588,
13.16,14011.6325,
13.26,14021.449,
13.37,14013.975,
13.48,13996.7269,
13.59,13996.7269,
13.69,14001.8742,
13.8,14004.5974,
13.91,14007.841,
14.02,14004.5974,
14.12,14004.5974,
14.23,14004.5974,
14.34,14006.5224,
14.44,14006.5224,
14.55,14006.5224,
14.66,14015.9691,
14.79,14023.1241,
14.93,14023.1241,
15.05,14018.2033,
15.19,14029.1284,
15.34,14019.375,
15.49,14027.3783,
15.6,14030.6024,
