elapsed_sec,best_cost,improvement_pct
0.2,6307.0565,
0.3,6346.2463,
0.41,6346.2463,
0.51,6339.9642,
0.61,6334.6387,
0.72,6344.1741,
0.82,6415.2399,
0.92,6415.2399,
1.03,6401.9155,
1.13,6436.4044,
1.23,6397.1188,
1.33,6395.4626,
1.44,6504.9223,
1.54,6559.2536,
1.64,7058.1948,
1.75,6623.5605,
1.85,6662.226,
1.95,6816.5823,
2.06,6520.3763,
2.16,6520.3763,
2.27,6525.7436,
2.37,6939.6134,
2.48,7241.2349,
2.58,7166.9992,
2.68,7128.2995,
2.78,7066.9979,
2.89,7066.9979,
3.0,7083.4217,
3.11,6776.9093,
3.22,6757.8985,
3.33,6699.2629,
3.43,6681.2671,
3.53,6683.3745,
3.63,6572.9328,
3.74,6504.2076,
3.84,6606.4685,
3.94,6604.6509,
4.04,6602.5657,
4.14,6729.929,
4.24,6702.5447,
4.36,6580.0781,
4.46,6537.1807,
4.56,6557.4362,
4.67,6579.2639,
4.78,6568.3163,
4.88,6644.7888,
4.98,6645.554,
5.09,6689.2456,
5.2,6632.1237,
5.3,6732.4489,
5.43,6742.5021,
5.54,6767.3315,
5.64,6769.7641,
5.74,6880.3611,
5.84,6718.0509,
5.95,6718.0509,
6.06,6572.0522,
6.16,7052.918,
6.26,6922.9042,
6.37,6922.9042,
6.47,6935.1967,
6.57,7009.0197,
6.67,6998.0432,
6.78,7000.6779,
6.88,7009.0449,
6.98,7019.0358,
7.09,7390.8504,
7.2,7383.4105,
7.3,7095.5418,
7.4,7084.9605,
7.51,7071.9213,
7.67,7071.16,
7.77,6849.3159,
7.87,6779.3742,
7.98,6814.1458,
8.08,6859.1552,
8.18,6853.8113,
8.29,6819.866,
8.39,6830.0102,
8.49,6835.1965,
8.6,6859.2332,
8.7,6802.1901,
8.81,6804.9049,
8.92,6800.3996,
9.02,6804.9049,
9.13,6802.1415,
9.23,6790.9577,
9.33,6790.4853,
9.43,6796.7708,
9.53,6796.7708,
9.64,6823.7499,
9.75,6782.2645,
9.85,6712.6629,
9.95,6701.3805,
10.06,6714.2207,
10.16,6757.4389,
10.27,6707.5942,
10.37,6698.2888,
10.48,6661.207,
10.59,6725.5031,
10.69,6722.4316,
10.79,6752.8814,
10.89,6753.6497,
11.0,6750.5332,
11.11,6750.5332,
11.21,6750.5332,
11.31,6750.5332,
11.42,6836.1303,
11.53,6836.1303,
11.63,6836.1303,
11.73,6800.842,
11.84,6803.1079,
11.94,6803.1079,
12.05,6795.4446,
12.15,6800.0592,
12.26,6800.0592,
12.36,6802.4367,
12.47,6797.0393,
12.58,6813.9289,
12.69,6813.9289,
12.79,6818.6275,
12.89,6841.3934,
13.0,6870.0821,
13.1,6874.7759,
13.21,6873.4064,
13.31,6873.4064,
13.41,6874.7759,
13.51,6882.6849,
13.61,6878.7425,
13.73,6883.4363,
13.83,6886.9715,
13.94,6884.0017,
14.04,6885.0546,
14.15,6934.6186,
14.25,6882.0848,
14.35,6889.167,
14.45,6890.5054,
14.56,6875.9804,
14.67,6870.336,
14.78,6873.3649,
14.88,6882.6818,
14.98,6861.3209,
15.08,6859.1476,
15.19,6851.6511,
15.3,6851.6511,
15.4,6851.6511,
15.51,6866.2931,
15.61,6854.5902,
15.71,6826.0373,
15.82,6845.2467,
15.92,6807.0016,
16.02,6854.0571,
16.12,6791.0714,
16.22,6803.6559,
16.33,6802.4702,
16.43,6803.7931,
16.54,6783.1762,
16.64,6783.1762,
16.76,6772.8426,
16.87,6772.8426,
17.0,6779.7379,
17.1,6785.2139,
17.21,6778.9396,
17.31,6778.9396,
17.42,6783.4445,
17.55,6770.4078,
17.65,6772.5086,
17.76,6766.3065,
17.87,6778.3628,
17.98,6780.8691,
18.09,6811.3433,
18.2,6839.3554,
18.31,6914.13,
18.52,6914.13,
18.62,6991.3567,
18.73,7022.5376,
18.83,6951.0144,
18.94,6924.5992,
19.04,6918.3983,
19.15,6922.5139,
19.25,6918.245,
19.35,6917.992,
19.45,6919.9032,
19.55,6906.3947,
19.66,6952.4969,
19.77,7047.1857,
19.87,7010.4736,
19.97,6958.1892,
20.08,7020.99,
20.18,7016.412,
20.3,6921.2056,
20.4,7008.3398,
20.5,7015.6422,
20.6,6952.6641,
20.71,6948.8395,
20.81,6956.9301,
20.92,6956.9301,
21.02,6959.2487,
21.12,6947.2035,
21.22,6994.9832,
21.32,6977.2952,
21.43,6958.6086,
21.53,6958.6086,
21.66,6958.6086,
21.77,6975.1124,
21.87,6703.1559,
22.0,6690.6226,
22.1,6728.9825,
22.2,6685.8903,
22.3,6673.0501,
22.4,6723.957,
22.55,6723.957,
22.66,6734.3409,
22.76,6735.2542,
22.87,6744.7876,
22.97,6922.7764,
23.07,6694.9668,
23.17,6688.2476,
23.27,6688.2476,
23.38,6706.6698,
23.48,6701.8111,
23.6,6701.8111,
23.7,6703.8149,
23.8,6678.9999,
23.91,6648.8889,
24.05,6648.8889,
24.15,6648.8889,
24.25,6655.1241,
24.36,6585.4622,
24.48,6597.3365,
24.59,6597.3365,
24.69,6608.8776,
24.79,6608.8776,
24.9,6557.3074,
25.02,6557.3074,
25.12,6557.3074,
25.22,6565.6883,
25.33,6563.4097,
25.44,6568.9324,
25.54,6568.9324,
25.64,6589.5312,
25.74,6609.1461,
25.88,6605.3366,
25.98,6664.203,
26.1,6662.7332,
26.2,6658.3013,
26.31,6670.5657,
26.41,6672.0055,
26.52,6679.8322,
26.62,6679.8322,
26.73,6659.3137,
26.83,6659.5568,
26.98,6659.5568,
27.09,6651.2483,
27.19,6651.2483,
27.32,6651.2483,
27.43,6651.2483,
27.53,6692.8767,
27.64,6677.499,
27.74,6677.499,
27.84,6677.499,
28.01,6677.499,
28.11,6639.9074,
28.22,6647.4664,
28.32,6641.2552,
28.44,6641.2552,
28.54,6641.2552,
28.64,6684.4007,
28.75,6668.3713,
28.86,6702.4282,
28.97,6702.4282,
29.07,6702.4282,
29.17,6702.4282,
29.28,6702.4282,
29.38,6702.4282,
29.49,6702.4282,
29.59,6668.3713,
29.71,6625.2258,
29.81,6625.2258,
29.91,6625.2258,
30.01,6625.2258,
30.12,6615.0028,
30.22,6615.0028,
30.32,6641.0728,
30.42,6634.7988,
30.53,6576.1717,
30.63,6579.0964,
30.74,6530.2646,
