elapsed_sec,best_cost,improvement_pct
0.1,5790.3107,
0.2,5787.1526,
0.3,5787.1526,
0.4,5778.2819,
0.5,5778.2819,
0.6,5778.2819,
0.71,5778.2819,
0.81,5778.2819,
0.91,5778.2819,
1.01,5778.2819,
1.11,5778.2819,
1.21,5778.2819,
1.31,5778.2819,
1.41,5778.2819,
1.51,5778.2819,
1.61,5778.2819,
1.71,5778.2819,
1.81,5778.2819,
1.91,5778.2819,
2.01,5778.2819,
2.11,5778.2819,
2.21,5778.2819,
2.31,5778.2819,
2.42,5778.2819,
2.52,5778.2819,
2.62,5778.2819,
2.72,5778.2819,
2.82,5778.2819,
2.92,5778.2819,
3.02,5778.2819,
3.12,5778.2819,
3.22,5778.2819,
3.32,5778.2819,
3.42,5778.2819,
3.52,5778.2819,
3.62,5778.2819,
3.72,5778.2819,
3.82,5778.2819,
3.92,5778.2819,
4.02,5778.2819,
4.12,5778.2819,
4.22,5778.2819,
4.32,5778.2819,
4.42,5778.2819,
4.53,5778.2819,
4.63,5778.2819,
4.73,5778.2819,
4.83,5778.2819,
4.93,5778.2819,
5.03,5778.2819,
5.13,5778.2819,
5.23,5778.2819,
5.33,5778.2819,
5.43,5778.2819,
5.53,5778.2819,
5.63,5778.2819,
5.74,5778.2819,
5.84,5778.2819,
5.94,5778.2819,
6.04,5778.2819,
6.14,5778.2819,
6.24,5778.2819,
6.34,5778.2819,
6.44,5778.2819,
6.54,5778.2819,
6.64,5778.2819,
6.74,5778.2819,
6.84,5778.2819,
6.95,5778.2819,
7.05,5778.2819,
7.15,5778.2819,
7.25,5778.2819,
7.35,5778.2819,
7.45,5778.2819,
7.55,5778.2819,
7.65,5778.2819,
7.75,5778.2819,
7.85,5778.2819,
7.95,5778.2819,
8.05,5778.2819,
8.15,5778.2819,
8.25,5778.2819,
8.35,5778.2819,
8.45,5778.2819,
8.55,5778.2819,
8.66,5778.2819,
8.76,5778.2819,
8.86,5778.2819,
8.96,5778.2819,
9.06,5778.2819,
9.16,5778.2819,
9.26,5778.2819,
9.36,5778.2819,
9.46,5778.2819,
9.57,5778.2819,
9.67,5778.2819,
9.77,5778.2819,
9.87,5778.2819,
9.97,5778.2819,
