elapsed_sec,best_cost,improvement_pct
31.78,5228.5845,
31.89,5201.6697,
31.99,5239.5841,
32.1,5212.1726,
32.2,5180.2314,
32.3,5141.6129,
32.4,5137.8278,
32.51,5139.7271,
32.62,5228.8067,
32.72,5142.8772,
32.85,5142.2744,
32.95,5142.2744,
33.05,5139.1243,
33.15,5140.7654,
33.25,5137.8278,
33.36,5142.8772,
33.46,5138.4306,
33.57,5220.2414,
33.67,5191.5453,
33.77,5185.5554,
33.88,5170.6137,
33.98,5207.6909,
34.08,5181.5622,
34.19,5223.8713,
34.3,5203.977,
34.4,5240.2003,
34.5,5194.6674,
34.6,5194.6674,
34.72,5216.7983,
34.82,5201.1225,
34.93,5200.3467,
35.03,5211.0295,
35.13,5198.0197,
35.25,5204.5761,
35.36,5208.6756,
35.49,5191.5065,
35.59,5192.6092,
35.7,5217.1897,
35.8,5187.9317,
35.91,5194.1102,
36.02,5215.7679,
36.12,5143.6324,
36.23,5172.3894,
36.35,5208.5167,
36.45,5172.3894,
36.55,5193.5974,
36.68,5183.1694,
36.78,5181.5035,
36.89,5204.5674,
37.0,5185.4336,
37.1,5185.4336,
37.22,5164.974,
37.33,5164.974,
37.43,5172.3894,
37.53,5187.3536,
37.63,5183.1364,
37.73,5206.0315,
37.83,5189.8455,
37.95,5192.6395,
38.05,5184.2955,
38.15,5184.2955,
38.27,5184.5844,
38.37,5183.0099,
38.47,5184.2975,
38.58,5184.2975,
38.68,5184.2975,
38.79,5183.0099,
38.9,5185.9386,
39.01,5184.5844,
39.12,5181.5949,
39.23,5183.1364,
39.33,5183.1364,
39.43,5193.5974,
39.54,5125.321,
39.64,5125.321,
39.74,5125.321,
39.85,5125.321,
39.96,5125.321,
40.06,5125.321,
40.16,5125.321,
40.26,5125.321,
40.36,5125.321,
40.46,5125.321,
40.57,5125.321,
40.67,5126.3542,
40.77,5126.3542,
40.88,5126.3542,
40.98,5126.3542,
41.08,5126.3542,
41.19,5126.3542,
41.29,5126.3542,
41.39,5126.3542,
41.51,5126.3542,
41.62,5126.3542,
41.73,5126.3542,
41.83,5126.3542,
41.93,5126.3542,
42.03,5126.3542,
42.13,5126.3542,
42.23,5126.3542,
42.33,5126.3542,
42.45,5126.3542,
42.55,5126.3542,
42.65,5126.3542,
42.75,5126.3542,
42.87,5126.3542,
42.97,5126.3542,
43.07,5126.3542,
43.17,5125.321,
43.28,5125.321,
43.38,5125.321,
43.5,5125.321,
43.61,5125.321,
43.71,5125.321,
43.82,5125.321,
43.92,5125.321,
44.02,5125.321,
44.13,5125.321,
44.24,5125.321,
44.35,5125.321,
44.46,5125.321,
44.56,5125.321,
44.66,5125.321,
44.76,5125.321,
44.86,5125.321,
44.96,5125.321,
45.06,5125.321,
45.18,5125.321,
45.28,5125.321,
45.38,5125.321,
45.48,5125.321,
45.58,5125.321,
45.68,5125.321,
45.78,5125.321,
45.88,5125.321,
45.98,5125.321,
46.09,5125.321,
46.2,5125.321,
46.32,5125.321,
46.42,5125.321,
46.53,5125.321,
46.63,5125.321,
46.75,5125.321,
46.86,5125.321,
46.97,5125.321,
47.07,5125.321,
47.17,5125.321,
47.27,5125.321,
47.37,5125.321,
47.48,5125.321,
47.59,5125.321,
47.71,5125.321,
47.81,5125.321,
47.91,5125.321,
48.01,5125.321,
48.11,5125.321,
48.21,5125.321,
48.32,5125.321,
48.42,5125.321,
48.52,5125.321,
48.63,5118.0396,
48.73,5000.1934,
48.84,5000.1934,
48.95,5000.1934,
49.05,5000.1934,
49.16,5000.1934,
49.26,5000.1934,
49.36,5000.1934,
49.46,5000.1934,
49.56,5000.1934,
49.66,5000.1934,
49.76,5000.1934,
49.87,4989.5585,
49.97,4989.5585,
50.08,4989.5585,
50.18,4989.5585,
50.29,4989.5585,
50.39,4989.5585,
50.5,4989.5585,
50.6,4989.5585,
50.7,4989.5585,
50.8,4989.5585,
50.9,4989.5585,
51.0,4989.5585,
51.1,4989.5585,
51.2,4989.5585,
51.3,4989.5585,
51.4,4989.5585,
51.5,4989.5585,
51.6,4989.5585,
51.71,4989.5585,
51.81,4989.5585,
51.91,4989.5585,
52.01,4989.5585,
52.11,4989.5585,
52.21,4989.5585,
52.32,4989.5585,
52.42,4989.5585,
52.52,4989.5585,
52.62,4989.5585,
52.72,4989.5585,
52.82,4989.5585,
52.92,4989.5585,
53.03,4989.5585,
53.13,4989.5585,
53.24,4989.5585,
53.34,4989.5585,
53.44,4989.5585,
53.54,4989.5585,
53.64,4989.5585,
53.75,4989.5585,
53.85,4989.5585,
53.95,4989.5585,
54.05,4989.5585,
54.15,4989.5585,
54.25,4989.5585,
54.37,4989.5585,
54.47,4989.5585,
54.58,4989.5585,
54.68,4989.5585,
54.78,4989.5585,
54.89,4989.5585,
54.99,4989.5585,
55.09,4989.5585,
55.2,4989.5585,
55.3,4989.5585,
55.4,4989.5585,
55.51,4989.5585,
55.61,4989.5585,
55.71,4989.5585,
55.82,4989.5585,
55.92,4989.5585,
56.02,4989.5585,
56.13,4989.5585,
56.23,4989.5585,
56.33,4989.5585,
56.43,4989.5585,
56.54,4989.5585,
56.64,4989.5585,
56.74,4989.5585,
56.84,4989.5585,
56.95,4989.5585,
57.05,4989.5585,
57.16,4989.5585,
57.26,4989.5585,
57.37,4989.5585,
57.47,4989.5585,
57.57,4989.5585,
57.67,4989.5585,
57.77,4989.5585,
57.87,4989.5585,
57.97,4989.5585,
58.09,4989.5585,
58.19,4989.5585,
58.29,4989.5585,
58.39,4989.5585,
58.49,4989.5585,
58.59,4989.5585,
58.69,4989.5585,
58.79,4989.5585,
58.9,4989.5585,
59.0,4989.5585,
59.1,4989.5585,
59.2,4989.5585,
59.3,4989.5585,
59.4,4989.5585,
59.51,4989.5585,
59.61,4989.5585,
59.72,4989.5585,
59.82,4989.5585,
59.92,4989.5585,
