elapsed_sec,best_cost,improvement_pct
0.1,5511.7119,
0.2,6037.7138,
0.3,6306.5698,
0.4,5779.2626,
0.5,5807.7446,
0.61,6326.8246,
0.71,6128.6941,
0.81,6259.8863,
0.92,6624.9589,
1.02,6477.6184,
1.12,6472.8591,
1.22,6365.8659,
1.32,6425.0394,
1.43,6401.1894,
1.53,6346.5126,
1.63,6375.4933,
1.73,5799.1657,
1.83,5837.6115,
1.94,5835.3042,
2.06,5929.6252,
2.17,6340.3858,
2.27,6341.1991,
2.37,6210.5832,
2.47,6318.3258,
2.57,6514.9749,
2.67,6451.1276,
2.78,6426.2547,
2.88,6395.3341,
2.99,6258.1669,
3.09,6243.0974,
3.19,6854.3592,
3.29,6565.7701,
3.39,7620.9144,
3.49,7382.4906,
3.59,6748.1365,
3.69,7088.3104,
3.79,7128.2932,
3.89,7040.5514,
3.99,6790.4523,
4.1,7544.1965,
4.21,7263.9417,
4.31,7222.212,
4.42,6774.6776,
4.52,6522.8106,
4.62,7313.6719,
4.74,6853.3855,
4.86,6849.5137,
4.97,6933.3465,
5.07,6872.2094,
5.17,6868.2958,
5.27,6853.0379,
5.37,7133.1628,
5.47,7153.7554,
5.59,6354.9819,
5.69,6144.9348,
5.79,6062.553,
5.89,6007.5249,
6.01,6044.4796,
6.13,6055.0806,
6.23,6054.0517,
6.34,6406.7555,
6.46,6094.1835,
6.56,6032.093,
6.66,6284.9161,
6.76,6221.1765,
6.86,7002.7106,
6.96,7026.0561,
7.11,6683.1845,
7.23,6398.1376,
7.33,6428.4945,
7.44,6348.783,
7.55,6634.4718,
7.65,6315.7142,
7.76,6874.4691,
7.86,6590.8717,
7.96,6278.6076,
8.06,6411.4635,
8.16,6292.3288,
8.27,6316.929,
8.37,6287.1636,
8.47,6278.1977,
8.57,6561.2251,
8.67,6534.4268,
8.77,6304.1182,
8.87,6147.6686,
8.97,6189.2878,
9.07,6214.3113,
9.18,6260.4994,
9.28,6261.9384,
9.39,5885.8379,
9.49,5847.6583,
9.59,5925.7127,
9.69,5903.6371,
9.8,5945.8682,
9.93,5793.0465,
10.03,6151.483,
10.13,6065.4485,
10.23,6130.1652,
10.36,6008.0705,
10.46,5839.5246,
10.56,5960.0666,
10.67,5916.6624,
10.77,5757.4767,
10.87,5851.4957,
10.97,5997.9461,
11.07,6295.113,
11.17,6167.5878,
11.29,5941.9571,
11.39,5955.8411,
11.51,5973.0095,
11.61,5938.5366,
11.72,6018.3676,
11.82,5855.2432,
11.92,6160.0361,
12.02,6322.3377,
12.12,6066.4369,
12.22,5731.421,
12.32,5746.8202,
12.42,5755.1284,
12.52,6067.6905,
12.62,5707.7081,
12.72,5761.8098,
12.82,5800.539,
12.92,5807.862,
13.03,6155.3321,
13.14,6185.757,
13.24,6149.0484,
13.34,6090.5523,
13.44,6341.1866,
13.54,6517.3778,
13.64,6007.6968,
13.75,6200.2902,
13.85,6395.4721,
13.97,6198.6033,
14.07,5913.6242,
14.17,6146.9892,
14.27,5901.5361,
14.38,5835.7202,
14.48,5924.5343,
14.58,6218.7759,
14.68,6205.5515,
14.78,6165.7448,
14.91,6110.6689,
15.01,6407.561,
15.12,5786.265,
15.22,5760.3073,
15.32,5710.7114,
15.44,5774.8297,
15.55,5723.2315,
15.66,5836.7773,
15.76,6131.1689,
15.86,6013.0506,
15.96,5922.4289,
16.07,5925.5379,
16.18,5978.6934,
16.28,5988.6049,
16.38,6011.9951,
16.48,6437.6984,
16.58,6605.2131,
16.69,6330.9864,
16.79,6340.614,
16.89,6345.7077,
16.99,5980.5941,
17.1,6017.1363,
17.2,5931.1391,
17.3,6124.6012,
17.4,6078.8696,
17.5,5776.5175,
17.61,5767.2813,
17.71,5831.4639,
17.81,5826.5244,
17.92,5764.5488,
18.02,5775.0221,
18.12,5735.8498,
18.22,5757.6543,
18.32,5755.0306,
18.43,5781.415,
18.56,5821.9987,
18.66,6196.3567,
18.76,6273.4556,
18.86,5874.7207,
18.97,6416.6633,
19.07,5909.4438,
19.17,5778.6757,
19.27,5798.8195,
19.37,5861.1643,
19.49,6476.0029,
19.59,6264.8179,
19.69,5913.8596,
19.79,5990.611,
19.89,6011.4731,
19.99,6003.1766,
20.1,5987.4235,
20.2,5981.7917,
20.3,6297.7167,
20.4,5965.5218,
20.5,5949.3596,
20.6,5975.0782,
20.73,5934.705,
20.83,6210.0871,
20.93,6346.0328,
21.03,6631.8614,
21.13,6294.1454,
21.23,5913.7994,
21.34,5921.2493,
21.44,6336.911,
21.54,6237.8372,
21.64,6213.0886,
21.74,6154.1306,
21.85,6161.573,
21.95,6168.6168,
22.05,6126.523,
22.16,5990.8187,
22.26,6047.2513,
