elapsed_sec,best_cost,improvement_pct
0.11,5497.7183,
0.21,5486.8146,
0.34,5478.1212,
0.46,5480.5459,
0.57,5484.4792,
0.68,5478.2935,
0.79,5502.7762,
0.91,5502.7762,
1.02,5496.2334,
1.12,5493.2808,
1.23,5483.862,
1.34,5482.8813,
1.45,5486.8146,
1.56,5488.4945,
1.67,5373.2664,
1.79,5352.5215,
1.91,5352.0875,
2.04,5352.2686,
2.14,5352.2686,
2.26,5352.2686,
2.38,5352.0875,
2.51,5352.2686,
2.63,5355.5017,
2.73,5362.0072,
2.85,5352.0963,
2.97,5352.2127,
3.1,5354.521,
3.22,5352.2686,
3.33,5352.2686,
3.45,5352.0963,
3.57,5352.0875,
3.69,5352.2686,
3.81,5362.0072,
3.93,5352.5215,
4.03,5352.0875,
4.13,5354.3958,
4.26,5352.2686,
4.38,5352.0963,
4.5,5361.1663,
4.62,5352.0875,
4.74,5352.2686,
4.84,5352.2686,
4.96,5352.0963,
5.08,5356.266,
5.2,5352.2598,
5.32,5355.5017,
5.42,5352.0963,
5.54,5354.2235,
5.66,5352.0875,
5.78,5352.0963,
5.9,5352.2686,
6.02,5352.0963,
6.14,5354.2235,
6.26,5354.2235,
6.38,5358.4543,
6.5,5352.5215,
6.61,5356.266,
6.73,5354.3199,
6.86,5353.9627,
6.98,5359.4509,
7.08,5359.4509,
7.2,5366.1945,
7.32,5353.9627,
7.44,5354.4922,
7.57,5356.3516,
7.67,5356.4559,
7.77,5367.2809,
7.87,5354.4922,
8.0,5354.3199,
8.12,5355.9264,
8.22,5356.4559,
8.34,5356.4559,
8.46,5356.2476,
8.58,5356.0753,
8.7,5399.5648,
8.82,5452.2736,
8.92,5399.7371,
9.04,5394.2783,
9.17,5394.2783,
9.29,5299.4323,
9.39,5292.7273,
9.49,5296.6708,
9.6,5246.6294,
9.7,5246.2042,
9.82,5292.7273,
9.93,5296.6708,
10.03,5246.6294,
10.14,5321.8154,
10.26,5401.2897,
10.38,5401.462,
10.49,5401.1703,
10.61,5394.6056,
10.72,5397.4078,
10.84,5403.6051,
10.96,5404.0303,
11.07,5403.6051,
11.19,5453.8994,
11.31,5398.0002,
11.42,5402.9107,
11.54,5448.3279,
11.65,5402.9107,
11.76,5398.0002,
11.88,5397.4755,
12.0,5396.6821,
12.12,5397.6109,
12.22,5395.8194,
12.33,5395.8194,
12.43,5388.3654,
12.56,5388.23,
12.68,5394.6263,
12.8,5388.23,
12.92,5395.684,
13.04,5388.3654,
13.16,5395.3677,
13.28,5398.8499,
13.4,5415.6924,
13.51,5403.3359,
13.63,5402.9107,
13.74,5398.0002,
13.85,5465.553,
13.96,5433.1933,
14.08,5422.7899,
14.19,5468.3323,
14.3,5395.757,
14.42,5388.3654,
14.54,5394.7617,
14.66,5395.8194,
14.78,5395.3677,
14.91,5388.3654,
15.01,5388.7906,
15.13,5386.9531,
15.26,5386.9531,
15.38,5389.2702,
15.5,5389.2702,
15.62,5390.9673,
15.74,5398.3295,
15.86,5390.9673,
15.97,5436.5097,
16.09,5390.9673,
16.2,5267.6188,
16.31,5267.7172,
16.41,5274.7195,
16.52,5267.7911,
16.63,5267.6188,
16.73,5269.4882,
16.84,5279.2268,
16.94,5269.4882,
17.06,5269.4882,
17.18,5272.2544,
17.29,5330.4374,
17.4,5344.0847,
17.52,5293.6181,
17.62,5417.522,
17.74,5376.3967,
17.86,5367.1183,
17.96,5367.1183,
18.08,5393.7469,
18.2,5398.3914,
18.31,5407.5715,
18.43,5401.3471,
18.55,5400.176,
18.67,5390.193,
18.77,5390.193,
18.87,5385.3206,
19.0,5397.1324,
19.12,5352.3384,
19.23,5360.9615,
19.34,5352.3743,
19.45,5405.8433,
19.57,5352.3743,
19.68,5387.2735,
19.8,5386.6037,
19.91,5388.4729,
20.01,5387.8031,
20.13,5393.7739,
20.24,5386.072,
20.36,5386.3884,
20.48,5385.6468,
20.6,5387.8318,
20.72,5387.3789,
20.84,5385.6468,
20.97,5388.5783,
21.09,5393.2793,
21.21,5388.6316,
21.32,5387.89,
21.44,5389.6221,
21.56,5379.5031,
21.68,5379.5031,
21.8,5379.9283,
21.92,5380.0843,
22.02,5380.0843,
22.14,5380.0843,
22.27,5381.7463,
22.38,5388.2731,
22.5,5382.3275,
22.62,5381.7463,
22.74,5421.2057,
22.84,5419.3877,
22.94,5424.7037,
23.05,5422.6678,
23.15,5424.9081,
23.25,5418.8886,
23.36,5418.9625,
23.46,5382.3275,
23.58,5390.6196,
23.7,5382.3275,
23.82,5382.3275,
23.94,5422.4268,
24.05,5381.7463,
24.18,5379.5031,
24.3,5388.3764,
24.42,5380.0843,
24.55,5383.6963,
24.67,5383.6963,
24.78,5385.9395,
24.9,5386.3647,
25.02,5388.2731,
25.14,5381.7463,
25.25,5381.2837,
25.37,5380.0843,
25.49,5379.5031,
25.61,5385.4811,
25.73,5383.749,
25.84,5387.3424,
25.96,5382.6947,
26.07,5420.7574,
26.19,5390.4839,
26.31,5387.1325,
26.42,5389.649,
26.53,5387.1325,
26.65,5393.4549,
26.77,5397.5273,
26.87,5387.0173,
26.98,5386.666,
27.09,5395.6479,
27.19,5386.5921,
27.3,5365.0561,
27.42,5364.4571,
27.53,5364.531,
27.65,5364.531,
27.77,5371.9111,
27.89,5364.4571,
28.01,5358.666,
28.12,5366.12,
28.24,5358.7399,
28.35,5360.437,
28.46,5370.017,
28.57,5401.2026,
28.68,5689.9916,
28.79,5395.3592,
28.9,5395.3592,
29.0,5401.7555,
29.13,5402.4055,
29.23,5402.4055,
29.33,5394.9515,
29.43,5394.9515,
29.55,5399.8901,
29.67,5407.7355,
29.79,5409.0609,
29.91,5410.1047,
30.03,5448.2417,
30.15,5410.1047,
30.27,5451.7389,
30.4,5408.7002,
30.5,5420.6322,
30.62,5407.9859,
30.74,5355.1846,
30.86,5405.4789,
30.98,5408.4111,
31.1,5396.8379,
31.23,5400.5032,
31.34,5438.6402,
31.46,5400.5032,
31.58,5400.9561,
31.7,5403.4607,
31.82,5395.2963,
31.94,5394.7652,
32.06,5439.5717,
32.18,5394.7652,
32.28,5394.7652,
32.4,5395.2963,
32.52,5368.079,
32.63,5414.4927,
32.75,5368.079,
32.86,5406.216,
32.97,5520.9737,
33.09,5409.0195,
33.21,5449.1188,
33.33,5409.0195,
33.45,5452.509,
33.55,5422.3222,
33.66,5431.9489,
33.76,5439.2828,
33.86,5514.6758,
33.97,5520.9902,
34.08,5431.087,
34.18,5410.3124,
34.3,5406.4666,
34.42,5406.6176,
34.54,5402.3169,
34.65,5402.3169,
34.77,5442.8368,
34.87,5408.9599,
34.99,5413.4761,
35.11,5405.0051,
35.23,5405.0051,
35.35,5445.1044,
35.45,5406.1402,
35.57,5407.3402,
