elapsed_sec,best_cost,improvement_pct
0.1,7131.4677,
0.2,7127.4754,
0.3,7127.4754,
0.4,7106.206,
0.5,7106.206,
0.6,7106.206,
0.71,7106.206,
0.81,7106.206,
0.91,7096.3594,
1.01,7096.3594,
1.11,7096.3594,
1.21,7096.3594,
1.31,7096.3594,
1.41,7096.3594,
1.51,7096.3594,
1.61,7096.3594,
1.71,7096.3594,
1.81,7096.3594,
1.91,7096.3594,
2.01,7096.3594,
2.11,7096.3594,
2.21,7096.3594,
2.31,7096.3594,
2.41,7096.3594,
2.52,7096.3594,
2.62,7096.3594,
2.72,7096.3594,
2.82,7096.3594,
2.92,7096.3594,
3.02,7096.3594,
3.12,7096.3594,
3.22,7096.3594,
3.32,7096.3594,
3.42,7096.3594,
3.52,7096.3594,
3.62,7096.3594,
3.73,7096.3594,
3.83,7096.3594,
3.93,7096.3594,
4.03,7096.3594,
4.13,7096.3594,
4.23,7096.3594,
4.33,7096.3594,
4.43,7096.3594,
4.53,7096.3594,
4.63,7096.3594,
4.73,7096.3594,
4.83,7096.3594,
4.93,7096.3594,
5.03,7096.3594,
5.13,7096.3594,
5.23,7096.3594,
5.33,7096.3594,
5.43,7096.3594,
5.53,7096.3594,
5.63,7096.3594,
5.73,7096.3594,
5.83,7096.3594,
5.93,7096.3594,
6.03,7096.3594,
6.13,7096.3594,
6.23,7096.3594,
6.33,7096.3594,
6.43,7096.3594,
6.53,7096.3594,
6.63,7096.3594,
6.73,7096.3594,
6.83,7096.3594,
6.93,7096.3594,
7.03,7096.3594,
7.13,7096.3594,
7.23,7096.3594,
7.33,7096.3594,
7.44,7096.3594,
7.54,7096.3594,
7.64,7096.3594,
7.74,7096.3594,
7.84,7096.3594,
7.94,7096.3594,
8.04,7096.3594,
8.14,7096.3594,
8.24,7096.3594,
8.34,7096.3594,
8.44,7096.3594,
8.54,7096.3594,
8.64,7096.3594,
8.74,7096.3594,
8.84,7096.3594,
8.94,7096.3594,
9.04,7096.3594,
9.14,7096.3594,
9.25,7096.3594,
9.35,7096.3594,
9.45,7096.3594,
9.55,7096.3594,
9.65,7096.3594,
9.75,7096.3594,
9.85,7096.3594,
9.95,7096.3594,
10.05,7096.3594,
10.15,7096.3594,
10.25,7096.3594,
10.35,7096.3594,
10.45,7096.3594,
10.55,7096.3594,
10.65,7096.3594,
10.75,7096.3594,
10.85,7096.3594,
10.95,7096.3594,
11.05,7096.3594,
11.15,7096.3594,
11.25,7096.3594,
11.36,7096.3594,
11.46,7096.3594,
11.56,7096.3594,
11.66,7096.3594,
11.76,7096.3594,
11.86,7096.3594,
11.96,7096.3594,
12.06,7096.3594,
12.16,7096.3594,
12.26,7096.3594,
12.36,7096.3594,
12.46,7096.3594,
12.56,7096.3594,
12.66,7096.3594,
12.76,7096.3594,
12.86,7096.3594,
12.96,7096.3594,
13.06,7096.3594,
13.16,7096.3594,
13.26,7096.3594,
13.36,7096.3594,
13.46,7096.3594,
13.56,7096.3594,
13.66,7096.3594,
13.76,7096.3594,
13.87,7096.3594,
13.97,7096.3594,
14.07,7096.3594,
14.17,7096.3594,
14.27,7096.3594,
14.37,7096.3594,
14.47,7096.3594,
14.57,7096.3594,
14.67,7096.3594,
14.77,7096.3594,
14.87,7096.3594,
14.97,7096.3594,
15.07,7096.3594,
15.17,7096.3594,
15.27,7096.3594,
15.37,7096.3594,
15.48,7096.3594,
15.58,7096.3594,
15.68,7096.3594,
15.78,7096.3594,
15.88,7096.3594,
15.98,7096.3594,
16.08,7096.3594,
16.18,7096.3594,
16.28,7096.3594,
16.38,7096.3594,
16.48,7096.3594,
16.58,7096.3594,
16.68,7096.3594,
16.79,7096.3594,
16.89,7096.3594,
16.99,7096.3594,
17.09,7096.3594,
17.19,7096.3594,
17.29,7096.3594,
17.39,7096.3594,
17.49,7096.3594,
17.59,7096.3594,
17.69,7096.3594,
17.79,7096.3594,
17.89,7096.3594,
17.99,7096.3594,
18.09,7096.3594,
18.19,7096.3594,
18.29,7096.3594,
18.4,7096.3594,
18.5,7096.3594,
18.6,7096.3594,
18.7,7096.3594,
18.85,7096.3594,
18.95,7096.3594,
19.05,7096.3594,
19.15,7096.3594,
19.25,7096.3594,
19.35,7096.3594,
19.45,7096.3594,
19.55,7096.3594,
19.65,7096.3594,
19.75,7096.3594,
19.85,7096.3594,
19.95,7096.3594,
20.05,7096.3594,
20.15,7096.3594,
20.25,7096.3594,
20.35,7096.3594,
20.45,7096.3594,
20.56,7096.3594,
20.66,7096.3594,
20.76,7096.3594,
20.86,7096.3594,
20.96,7096.3594,
21.06,7096.3594,
21.16,7096.3594,
21.26,7096.3594,
21.36,7096.3594,
21.46,7096.3594,
21.56,7096.3594,
21.66,7096.3594,
21.76,7096.3594,
21.86,7096.3594,
21.96,7096.3594,
22.06,7096.3594,
22.17,7096.3594,
22.27,7096.3594,
22.37,7096.3594,
22.47,7096.3594,
22.57,7096.3594,
22.67,7096.3594,
22.77,7096.3594,
22.87,7096.3594,
22.97,7096.3594,
23.07,7096.3594,
23.17,7096.3594,
23.27,7096.3594,
23.37,7096.3594,
23.47,7096.3594,
23.57,7096.3594,
23.67,7096.3594,
23.77,7096.3594,
23.88,7096.3594,
