elapsed_sec,best_cost,improvement_pct
0.1,7405.6984,
0.2,7429.0236,
0.31,7468.114,
0.41,7476.3159,
0.51,7071.0184,
0.61,7063.1679,
0.72,7073.5889,
0.82,7067.4599,
0.92,7067.4599,
1.02,7067.1019,
1.12,7033.7524,
1.23,7025.3508,
1.33,6964.7077,
1.43,6927.1363,
1.53,6927.1363,
1.76,6927.1363,
1.86,6927.1363,
1.96,6927.1363,
2.06,6927.1363,
2.16,6927.1363,
2.27,6927.1363,
2.37,6927.1363,
2.54,8834.4348,
2.64,8237.7053,
2.74,7921.7175,
2.85,7925.6813,
2.95,7770.4116,
3.05,7770.4116,
3.15,7770.4116,
3.25,7584.6932,
3.35,7586.8463,
3.45,7585.7941,
3.55,7582.5081,
3.66,7577.1247,
3.76,7543.9115,
3.86,7543.9115,
3.96,7542.4971,
4.06,7542.4971,
4.16,7542.4971,
4.27,7542.4971,
4.37,7542.4971,
4.47,7538.0286,
4.57,7538.0286,
4.77,9035.4447,
4.87,8511.1929,
4.98,8720.1552,
5.08,8430.5149,
5.19,8312.3906,
5.29,8296.9988,
5.39,8286.8502,
5.49,8286.8502,
5.59,8286.8502,
5.69,8286.8502,
5.8,8286.8502,
5.9,8286.8502,
6.01,8286.8502,
6.11,8286.8502,
6.21,8286.8502,
6.31,8286.8502,
6.41,8285.8988,
6.51,8285.8988,
6.62,8285.8988,
6.73,8285.8988,
6.83,8285.8988,
6.93,8285.8988,
7.03,8279.5947,
7.13,8236.3047,
7.23,8236.3047,
7.33,8236.3047,
7.43,8236.3047,
7.56,7354.0477,
7.66,7339.6173,
7.76,7307.154,
7.86,7307.154,
7.96,7307.154,
8.06,7307.154,
8.16,7304.6791,
8.26,7292.6321,
8.37,7291.6103,
8.47,7291.6103,
8.57,7288.13,
8.67,7262.8381,
8.77,7262.4266,
8.87,7259.5786,
8.97,7117.0464,
9.16,7117.0464,
9.26,7117.0464,
9.36,7117.0464,
9.52,7637.511,
9.62,7644.9948,
9.72,7634.2842,
9.82,7658.031,
9.92,7657.348,
10.03,7602.5426,
10.13,7605.3598,
10.23,7605.3598,
10.33,7602.7521,
10.43,7602.7521,
10.54,7595.7527,
10.64,7595.7527,
10.74,7595.7527,
10.84,7592.557,
10.95,7592.557,
11.05,7592.557,
11.15,7592.557,
11.25,7592.557,
11.35,7589.9123,
11.46,7589.9123,
11.56,7589.9123,
11.66,7589.9123,
11.76,7589.9123,
11.86,7589.9123,
12.05,7421.4122,
12.16,7305.451,
12.26,7315.8938,
12.36,7255.1374,
12.46,7255.1374,
12.57,7226.5098,
12.67,7226.0984,
12.77,7225.9128,
12.87,7221.201,
12.97,7211.6553,
13.07,7211.6553,
13.17,7211.6553,
13.27,7211.6553,
13.37,7211.6553,
13.48,7208.1114,
13.58,7208.1114,
13.69,7208.1114,
13.79,7208.1114,
13.89,7208.1114,
13.99,7208.1114,
14.09,7208.1114,
14.19,7208.1114,
14.29,7194.5561,
14.39,7194.5561,
14.49,7194.5561,
14.6,7194.5561,
14.74,7538.0552,
14.84,7524.0089,
14.94,7514.6813,
15.04,7484.2453,
15.14,7491.6007,
15.24,7523.2641,
15.34,7511.7129,
15.45,7511.7129,
15.55,7511.7129,
15.65,7511.7129,
15.75,7511.7129,
15.86,7511.7129,
15.96,7507.167,
16.06,7503.3191,
16.16,7503.3191,
16.38,7503.3191,
16.48,7494.6899,
16.59,7462.9511,
16.7,7451.3999,
16.8,7451.3999,
16.9,7451.3999,
17.0,7451.3999,
17.11,7446.2637,
17.21,7446.2637,
17.33,8045.4492,
17.44,7870.201,
17.54,7864.0947,
17.64,7859.3072,
17.74,7860.1121,
17.84,7876.0742,
17.95,7869.8886,
18.05,7869.8886,
18.15,7869.8554,
18.25,7863.7784,
18.35,7863.7784,
18.46,7863.7452,
18.56,7863.7452,
18.66,7863.7784,
18.76,7855.5957,
18.86,7855.5957,
18.96,7855.6289,
19.06,7855.5957,
19.17,7855.5957,
19.27,7855.5957,
19.37,7813.9495,
19.47,7813.9495,
19.57,7813.9495,
19.68,7813.9495,
19.78,7813.9495,
19.88,7804.2059,
20.05,9708.9525,
20.15,9701.8675,
20.25,9697.8882,
20.35,9702.5272,
20.45,9704.7046,
20.55,9519.7387,
20.65,9512.4896,
20.76,9331.361,
20.87,9326.6492,
20.97,9326.6492,
21.07,9325.7335,
21.17,9323.1405,
21.27,9323.1405,
21.37,9323.1405,
21.48,9319.6318,
21.59,9308.7429,
21.69,9308.7429,
21.79,9308.7429,
21.89,9295.8827,
21.99,9294.4629,
22.09,9294.4629,
22.22,8215.706,
22.32,8308.5696,
22.42,8193.9566,
22.52,8125.1584,
22.63,8138.3876,
22.73,8130.2696,
22.83,7980.1515,
22.93,7944.0666,
23.03,7941.4116,
23.13,7938.439,
23.23,7938.439,
23.33,7938.439,
23.44,7936.135,
23.54,7936.135,
23.64,7936.135,
23.74,7936.135,
23.84,7936.135,
23.95,7935.434,
24.05,7935.434,
24.15,7935.434,
24.25,7935.434,
24.35,7935.434,
24.45,7884.9442,
24.55,7884.9442,
24.65,7878.2146,
24.75,7878.2146,
24.93,7878.2146,
25.03,7878.2146,
25.13,7872.237,
25.26,9525.076,
25.36,9236.4685,
25.46,9068.2371,
25.56,9110.7542,
25.66,9117.9925,
25.77,9104.1924,
25.87,9088.8441,
25.98,8867.4853,
26.08,8867.4853,
26.18,8866.4223,
26.29,8866.4223,
26.39,8866.4223,
26.5,8862.0465,
26.6,8862.0465,
26.7,8862.0465,
26.8,8862.0465,
26.9,8853.4784,
27.0,8812.7622,
27.11,8812.7622,
27.21,8812.7622,
27.31,8645.5625,
27.41,8645.5625,
27.59,8312.7741,
27.7,8322.9415,
27.8,8018.0185,
27.9,8030.0871,
28.01,8012.5422,
28.11,7968.7542,
28.21,7966.1442,
28.31,7962.1468,
28.41,7962.2981,
28.51,7962.1468,
28.61,7957.1508,
28.71,7957.3021,
28.81,7957.3201,
28.92,7957.1508,
29.02,7957.1688,
29.12,7957.1688,
29.22,7957.1508,
29.32,7957.1508,
29.42,7957.1508,
29.52,7957.1508,
29.62,7957.1508,
29.72,7957.1508,
29.93,9191.5323,
30.04,8686.4429,
30.14,8680.1417,
30.24,8643.8632,
30.34,8631.1593,
30.44,8606.9696,
30.54,8604.8978,
30.64,8609.2884,
30.74,8429.803,
30.85,8417.7495,
30.95,8417.7495,
31.05,8417.7495,
31.16,8417.7495,
31.26,8415.7652,
31.36,8415.7652,
31.46,8406.8837,
31.56,8406.8837,
31.66,8406.8837,
31.76,8406.8837,
31.86,8273.5734,
31.98,9504.5676,
32.08,9347.453,
32.18,9304.163,
32.28,9305.7531,
32.4,9296.6991,
32.5,9186.2883,
32.64,9186.2883,
32.75,9174.3679,
32.85,9174.3679,
32.95,9178.7544,
33.05,9173.8711,
33.16,9177.0704,
33.26,9176.5736,
33.36,9177.4793,
33.46,9179.3994,
33.57,9178.9026,
33.68,9178.9026,
33.79,9178.9026,
33.89,9178.9026,
33.99,9178.9026,
34.09,9178.9026,
34.19,9178.9026,
34.31,9135.6126,
34.41,9088.9206,
34.52,9088.0149,
34.62,9088.0149,
34.73,9088.0149,
34.83,9088.0149,
34.94,9088.0149,
35.04,9088.0149,
35.14,9088.0149,
35.24,9088.0149,
35.34,9088.0149,
35.44,9088.0149,
35.55,9088.0149,
