elapsed_sec,best_cost,improvement_pct
0.11,7107.2574,
0.23,6961.9153,
0.34,6948.7393,
0.46,6948.7393,
0.59,6934.5707,
0.71,6938.6326,
0.83,6938.6385,
0.95,6939.3985,
1.07,6939.8955,
1.19,6934.3291,
1.32,6938.5421,
1.44,6935.1278,
1.56,6935.1278,
1.69,6935.1278,
1.81,6935.1278,
1.93,6939.6769,
2.05,6940.3919,
2.18,6940.2959,
2.3,6941.0596,
2.42,6941.0596,
2.54,6940.434,
2.67,6941.0596,
2.79,6940.434,
2.91,6941.0596,
3.04,6939.5537,
3.16,6939.5537,
3.29,6939.5537,
3.42,6938.8782,
3.54,6938.9281,
3.64,6944.0617,
3.76,6940.3841,
3.89,6938.9281,
4.01,6944.0617,
4.14,6944.0617,
4.27,6939.4473,
4.39,6939.1697,
4.51,6941.0596,
4.63,6938.8782,
4.76,6938.9281,
4.89,6944.0617,
5.01,6944.0617,
5.13,6939.1198,
5.26,6939.5932,
5.39,6938.8782,
5.51,6941.0596,
5.63,6940.1228,
5.76,6944.0617,
5.88,6944.0617,
6.01,6938.9281,
6.13,6939.5932,
6.25,6939.5932,
6.37,6941.0596,
6.5,6939.7953,
6.62,6944.0617,
6.75,6944.0617,
6.87,6938.9281,
6.99,6939.4473,
7.12,6939.5932,
7.24,6941.0596,
7.36,6934.3291,
7.49,6934.3291,
7.61,6934.3291,
7.73,6934.3291,
7.85,6934.3291,
7.98,6934.3291,
8.1,6934.3291,
8.23,6934.3291,
8.35,6934.3291,
8.48,6934.3291,
8.6,6934.5707,
8.73,6934.3291,
8.85,6934.3291,
8.98,6934.3291,
9.1,6934.3291,
9.22,6934.3291,
9.34,6934.3291,
9.46,6934.3291,
9.59,6934.3291,
9.71,6934.3291,
9.83,6934.3291,
9.96,6934.5707,
10.08,6934.3291,
10.2,6934.3291,
10.33,6934.3291,
10.45,6934.3291,
10.57,6934.3291,
10.7,6934.3291,
10.82,6934.3291,
10.95,6934.3291,
11.07,6934.3291,
11.2,6934.3291,
11.33,6934.5707,
11.45,6934.3291,
11.57,6934.3291,
11.7,6934.3291,
11.82,6934.3291,
11.95,6934.3291,
12.07,6934.3291,
12.19,6934.3291,
12.31,6934.3291,
12.44,6934.3291,
12.56,6934.3291,
12.68,6934.5707,
12.8,6934.3291,
12.93,6934.3291,
13.06,6934.3291,
13.18,6934.3291,
13.31,6934.3291,
13.44,6934.3291,
13.56,6934.3291,
13.69,6934.3291,
13.81,6934.3291,
13.94,6934.3291,
14.06,6934.5707,
14.18,6934.3291,
14.31,6934.3291,
14.43,6934.3291,
14.56,6934.3291,
14.69,6934.3291,
14.81,6934.3291,
14.94,6934.3291,
15.06,6934.3291,
15.19,6934.3291,
15.31,6934.3291,
15.44,6934.5707,
15.57,6934.3291,
15.69,6934.3291,
15.82,6934.3291,
15.95,6934.3291,
16.07,6934.3291,
16.21,6934.3291,
16.34,6934.3291,
16.46,6934.3291,
16.58,6934.3291,
16.71,6934.3291,
16.83,6934.5707,
16.96,6934.3291,
17.09,6934.3291,
17.21,6934.3291,
17.33,6934.3291,
17.46,6934.3291,
17.58,6914.8654,
17.71,6914.8654,
17.84,6914.8654,
17.96,6914.8654,
18.09,6914.8654,
18.22,6916.3713,
18.36,6914.8654,
18.48,6914.8654,
18.61,6914.8654,
18.71,6925.9841,
18.85,6915.107,
18.97,6915.107,
19.1,6923.8884,
19.23,6924.681,
19.36,6915.4345,
19.49,6926.8195,
19.61,6914.8654,
19.74,6922.0705,
19.86,6919.1748,
19.99,6920.4318,
20.12,6925.9841,
20.25,6915.107,
20.38,6915.107,
20.51,6923.8884,
20.64,6924.681,
20.77,6915.4345,
20.9,6926.8195,
21.0,6916.3713,
21.13,6914.8654,
21.26,6914.8654,
21.39,6914.8654,
21.51,6914.8654,
21.64,6914.8654,
21.77,6916.3713,
21.9,6914.8654,
22.03,6914.8654,
22.16,6914.8654,
22.28,6914.8654,
22.39,6915.107,
