elapsed_sec,best_cost,improvement_pct
0.12,5812.2133,
0.23,5828.173,
0.33,5817.5207,
0.43,5826.461,
0.53,5491.015,
0.64,5494.0188,
0.74,5494.0188,
0.84,5494.0188,
0.95,5491.015,
1.05,5491.957,
1.15,5535.4842,
1.26,5544.6483,
1.36,5544.6483,
1.46,5537.3596,
1.56,5537.2159,
1.67,5537.6968,
1.78,5539.2234,
1.88,5538.6064,
1.99,5539.2234,
2.09,5540.7006,
2.19,5542.8743,
2.31,5535.4945,
2.41,5535.4945,
2.51,5534.384,
2.62,5534.384,
2.72,5535.6807,
2.82,5535.6807,
2.92,5541.4037,
3.02,5541.4037,
3.12,5543.351,
3.23,5543.351,
3.33,5543.4947,
3.43,5543.4947,
3.53,5534.3306,
3.63,5534.3306,
3.73,5534.1869,
3.84,5534.1869,
3.94,5534.3306,
4.04,5534.3306,
4.15,5534.1869,
4.25,5534.1869,
4.35,5534.1869,
4.45,5534.1869,
4.55,5534.1869,
4.65,5534.1869,
4.75,5534.1869,
4.86,5534.3306,
4.96,5534.3306,
5.06,5534.3306,
5.17,5534.1869,
5.28,5534.1869,
5.39,5534.3306,
5.49,5534.1869,
5.59,5534.1869,
5.69,5534.1869,
5.81,5534.1869,
5.91,5534.1869,
6.01,5534.1869,
6.11,5534.1869,
6.23,5534.1869,
6.33,5534.1869,
6.44,5534.1869,
6.54,5534.1869,
6.64,5534.1869,
6.75,5534.1869,
6.86,5534.1869,
6.96,5534.1869,
7.06,5534.1869,
7.21,5534.1869,
7.31,5534.1869,
7.41,5534.1869,
7.51,5534.1869,
7.61,5534.1869,
7.72,5534.1869,
7.82,5534.1869,
7.93,5534.1869,
8.03,5534.1869,
8.13,5534.1869,
8.23,5534.1869,
8.36,5534.1869,
8.46,5534.1869,
8.56,5534.1869,
8.67,5534.1869,
8.77,5534.1869,
8.87,5534.1869,
9.0,5534.1869,
9.1,5534.1869,
9.2,5534.1869,
9.31,5534.1869,
9.48,6354.5299,
9.58,6353.7319,
9.69,6315.5306,
9.8,6349.4209,
9.9,6355.5303,
10.0,6351.186,
10.1,6310.5425,
10.2,6310.5425,
10.31,6321.0128,
10.41,5933.9214,
10.51,5933.9214,
10.61,5919.4017,
10.73,5921.3773,
10.83,5916.8122,
10.93,5921.0858,
11.03,5921.6518,
11.14,5921.6518,
11.24,5912.033,
11.34,5918.302,
11.45,5918.302,
11.55,5918.302,
11.65,5918.302,
11.76,5870.534,
11.86,5870.534,
11.96,5870.534,
12.07,5870.534,
12.17,5870.534,
12.27,5870.534,
12.37,5870.534,
12.47,5876.803,
12.58,5870.2188,
12.69,5870.2188,
12.79,5871.0168,
12.91,5871.0168,
13.02,5871.0168,
13.12,5871.0168,
13.22,5871.0168,
13.32,5576.8172,
13.42,5577.1328,
