elapsed_sec,best_cost,improvement_pct
0.1,6273.455,
0.2,6052.4646,
0.3,6032.0767,
0.41,5760.6876,
0.51,5838.7478,
0.64,5835.8955,
0.75,5832.3868,
0.86,6165.6802,
0.96,5831.0764,
1.06,5832.7992,
1.16,5928.261,
1.26,6365.4605,
1.36,6364.8672,
1.47,6414.1875,
1.57,6421.26,
1.67,6372.5951,
1.77,6823.3694,
1.88,6393.5055,
1.98,5607.4796,
2.09,5615.4251,
2.2,5995.9419,
2.3,5995.9419,
2.4,6112.874,
2.5,6094.0544,
2.61,5732.545,
2.71,5681.1396,
2.81,5678.2166,
2.93,6052.4707,
3.04,6096.0508,
3.14,6096.0508,
3.24,5873.367,
3.35,5979.1356,
3.45,5988.544,
3.55,6258.1391,
3.66,6224.2798,
3.77,6290.7375,
3.87,6311.9037,
3.98,6233.0447,
4.08,6048.4586,
4.18,6167.7573,
4.28,6087.7773,
4.39,6164.7531,
4.49,5938.0823,
4.59,5881.8225,
4.69,6275.4309,
4.79,5914.4694,
4.89,5867.9777,
4.99,5906.7708,
5.09,5905.1776,
5.2,5904.9797,
5.31,5826.5748,
5.41,5835.1689,
5.51,5835.1689,
5.62,5838.6073,
5.72,5838.6073,
5.82,5837.0446,
5.92,5935.9791,
6.02,6141.6668,
6.14,5840.1985,
6.24,5839.1924,
6.34,5798.1255,
6.45,5763.8394,
6.55,5751.5234,
6.65,6066.0466,
6.75,6047.7476,
6.85,6023.2447,
6.96,6069.6372,
7.09,6069.0542,
7.19,6069.096,
7.31,6264.0258,
7.43,6039.0021,
7.53,6043.0801,
7.64,6043.0801,
7.74,6064.9794,
7.84,6057.429,
7.97,6051.4743,
8.07,6042.2488,
8.17,6068.6841,
8.29,6047.6638,
8.41,5863.8797,
8.52,5877.8813,
8.62,5897.5616,
8.74,5909.5202,
8.85,6261.2316,
8.96,6248.7292,
9.06,6250.2111,
9.16,6093.6393,
9.27,6141.0606,
9.37,6139.0188,
9.47,6105.313,
9.57,5975.6955,
9.71,6024.1022,
9.81,5986.6228,
9.91,5964.6632,
10.02,5947.7411,
10.13,5981.7013,
10.23,6010.4507,
10.33,5983.4942,
10.43,6012.2194,
10.53,6013.0794,
10.64,6021.2033,
10.74,6029.878,
10.84,5995.7396,
10.95,6014.6342,
11.05,6017.6326,
11.16,6012.3594,
11.27,6047.5749,
11.37,6096.0005,
11.47,6015.1693,
11.57,6002.2144,
11.67,6004.5312,
11.79,6013.1076,
11.89,6350.7416,
12.0,6281.7651,
12.1,6307.3106,
12.2,6247.8695,
12.3,6245.8798,
12.41,6236.016,
12.53,5602.106,
12.64,5562.5617,
12.75,5548.5203,
12.86,5527.452,
12.96,5482.7374,
13.07,5494.6349,
13.17,5481.5391,
13.28,5876.1935,
13.38,5899.8781,
13.49,5876.2528,
13.59,5909.6026,
13.7,5969.94,
13.8,5955.8876,
13.9,5943.4161,
14.03,5809.3677,
14.13,5924.9777,
14.23,5941.9652,
14.33,5884.9959,
14.43,5872.7486,
14.53,5827.4018,
14.63,5841.7299,
14.74,5919.2418,
14.85,5884.7165,
14.95,5926.6664,
15.05,5907.2728,
15.15,5885.7506,
15.25,5912.2784,
15.36,5820.0507,
15.46,5798.6316,
15.57,5768.8025,
15.67,5830.746,
15.77,5867.2778,
15.88,5886.6982,
15.98,5836.9932,
16.08,5870.6764,
16.18,5828.6919,
16.28,5922.7548,
16.38,5921.78,
16.48,5820.9543,
16.59,5776.6828,
16.69,5779.6231,
16.8,5781.884,
16.9,5777.8232,
17.02,5490.6456,
17.13,5479.598,
17.23,5457.9518,
17.33,5466.2236,
17.43,5475.7615,
17.53,5485.8815,
17.63,5466.2653,
17.75,5476.3629,
17.85,5504.1725,
17.95,5545.3737,
18.07,5557.1957,
18.2,5559.2633,
18.3,5550.1653,
18.4,5503.2163,
18.5,5510.8725,
18.6,5491.8175,
18.71,5482.887,
18.82,5491.2727,
18.92,5545.0161,
19.03,5642.7452,
19.13,5538.1494,
19.23,5543.4142,
19.33,5546.9631,
19.44,5634.0477,
19.54,5644.0829,
19.65,5650.0068,
19.78,5621.2023,
19.88,5617.7674,
19.99,5517.401,
20.09,5517.167,
20.19,5521.4831,
20.3,5519.9352,
20.4,5481.3947,
20.5,5480.0029,
20.6,5480.5116,
20.7,5515.789,
20.8,5521.8363,
20.9,5512.7335,
21.01,5550.0027,
21.12,5530.5751,
21.22,5532.5932,
21.33,5520.6474,
21.43,5464.4985,
21.53,5449.6651,
21.64,5459.3228,
21.75,5465.4504,
21.85,5317.9143,
21.95,5342.0693,
22.05,5341.8484,
22.16,5394.3132,
22.27,5404.3075,
22.37,5408.9377,
22.47,5417.6651,
22.57,5415.7934,
22.68,5404.6833,
22.78,5400.202,
22.89,5400.202,
22.99,5364.2367,
23.09,5458.9498,
23.2,5442.5805,
23.31,5445.5455,
23.41,5447.4543,
23.52,5478.8876,
23.62,5483.3928,
23.73,5441.774,
23.83,5467.6108,
23.94,5507.5611,
24.04,5444.1109,
24.15,5540.8594,
24.25,5509.0952,
24.35,5494.4887,
24.46,5510.2979,
24.56,5464.9652,
24.66,5446.8709,
24.77,5455.4313,
24.87,5446.7347,
24.98,5435.5263,
25.09,5435.5263,
25.19,5480.1739,
25.29,5479.3124,
25.4,5510.1208,
25.5,5497.1527,
25.6,5521.6635,
25.7,5525.9289,
25.81,5525.9289,
25.91,5532.3291,
26.01,5543.1922,
26.11,5546.4477,
26.22,5488.8499,
26.32,5487.993,
26.42,5583.3461,
26.53,5592.2557,
26.63,5578.8675,
26.74,5520.2032,
26.84,5410.4373,
26.94,5420.4301,
27.05,5407.8856,
27.15,5465.2216,
27.25,5455.5947,
27.35,5445.1758,
27.46,5491.2467,
27.57,5447.6098,
27.67,5447.2267,
27.78,5437.301,
27.88,5436.1483,
27.98,5445.6131,
28.09,5444.5348,
28.19,5428.5127,
28.29,5427.5248,
28.4,5436.2004,
28.51,5435.5762,
28.61,5441.5331,
28.72,5431.0802,
28.82,5385.9587,
28.92,5449.4612,
29.03,5463.7766,
29.14,5473.6725,
29.25,5463.2238,
29.37,5454.1602,
29.47,5453.3987,
29.57,5457.9739,
29.67,5455.0709,
29.78,5466.1431,
29.88,5425.1331,
29.98,5425.1331,
30.08,5419.6583,
30.18,5449.997,
30.29,5449.997,
30.4,5452.453,
30.51,5461.9169,
30.61,5454.896,
30.72,5508.8735,
30.83,5461.3234,
30.95,5412.6475,
31.05,5418.3029,
31.15,5411.1465,
31.26,5402.7196,
31.36,5392.1985,
31.47,5408.3118,
31.57,5425.3105,
31.68,5420.663,
31.78,5421.6522,
31.89,5398.1317,
31.99,5398.1317,
32.09,5412.7416,
32.19,5399.1605,
32.29,5413.2264,
32.42,5423.2175,
32.52,5428.7539,
32.63,5428.7539,
32.74,5421.9398,
32.84,5375.4545,
32.94,5379.3368,
33.06,5363.9328,
33.17,5378.7651,
33.27,5437.5576,
33.38,5430.2706,
33.48,5439.2036,
33.58,5438.2473,
33.69,5497.5124,
33.79,5494.5291,
33.89,5483.8539,
34.0,5439.7102,
34.1,5435.6416,
34.2,5435.6416,
34.31,5421.9986,
34.42,5423.0134,
34.52,5423.6045,
34.63,5429.8255,
34.74,5430.1408,
34.85,5368.4668,
34.95,5349.9564,
35.05,5345.6171,
35.17,5345.6171,
35.27,5330.1686,
35.37,5325.8334,
35.47,5322.5243,
35.57,5344.3438,
35.69,5336.0268,
35.8,5342.4803,
35.9,5343.4732,
36.01,5331.7329,
36.11,5326.7959,
36.22,5326.7959,
36.32,5351.7602,
36.43,5349.4411,
36.55,5349.4411,
36.65,5360.6944,
36.75,5376.6742,
36.85,5366.4653,
36.97,5353.254,
37.08,5362.3439,
37.18,5408.8218,
37.3,5414.5524,
37.4,5405.1861,
37.5,5407.7639,
37.6,5403.87,
37.71,5385.3596,
37.82,5376.8954,
37.92,5376.8954,
38.02,5388.6357,
38.12,5384.9069,
38.22,5384.9069,
38.33,5384.0257,
38.44,5382.4964,
38.54,5372.4488,
38.64,5373.8951,
38.74,5372.4488,
38.85,5372.4488,
38.95,5376.5631,
39.06,5370.586,
39.17,5369.8575,
39.28,5378.0829,
39.38,5377.4269,
39.48,5377.4269,
39.59,5374.0933,
39.69,5384.3043,
39.79,5388.322,
39.89,5388.322,
40.0,5388.322,
40.1,5364.8997,
40.2,5364.8997,
40.31,5374.1815,
40.41,5374.1815,
40.52,5374.1815,
40.62,5374.1815,
40.72,5369.2652,
40.82,5369.2652,
40.92,5369.2652,
41.02,5364.8997,
41.12,5366.8971,
41.23,5414.3092,
41.33,5414.3092,
41.44,5423.1913,
41.54,5420.0427,
41.66,5420.0427,
41.77,5420.0427,
41.95,5455.1534,
42.07,5455.1534,
42.2,5452.8652,
42.3,5450.2323,
42.4,5448.2237,
42.5,5467.5283,
42.62,5464.916,
42.72,5454.1959,
42.82,5386.4487,
43.4,5386.4487,
43.5,5388.3029,
43.6,5388.6423,
43.73,5388.6423,
43.83,5388.6423,
43.93,5389.9285,
44.03,5367.2561,
44.15,5367.2561,
44.25,5367.2561,
44.35,5367.2561,
44.46,5369.8672,
44.57,5369.8672,
44.67,5369.8672,
44.77,5369.2834,
44.88,5369.2834,
44.98,5369.2834,
45.09,5369.2834,
45.19,5358.5532,
45.29,5355.2441,
45.4,5355.2441,
45.5,5341.3143,
45.6,5341.3143,
45.7,5341.3143,
45.81,5340.0117,
45.91,5349.9552,
46.02,5323.8485,
46.12,5336.6451,
46.24,5327.1576,
46.34,5327.1576,
46.44,5336.6451,
46.56,5338.8979,
46.66,5337.6967,
46.77,5337.6967,
46.87,5335.5246,
46.97,5335.5246,
47.08,5327.9537,
47.19,5349.7732,
47.29,5345.5895,
47.39,5345.5895,
47.49,5334.9683,
47.59,5347.144,
47.7,5333.8501,
47.81,5333.8501,
47.91,5331.0577,
48.02,5331.0577,
48.12,5331.0577,
48.23,5352.8772,
48.34,5356.0181,
48.44,5356.3531,
48.55,5363.0683,
48.65,5363.65,
48.75,5326.651,
48.86,5326.651,
48.96,5317.8051,
49.07,5315.9736,
49.17,5316.7538,
49.27,5316.7538,
49.37,5316.7538,
49.48,5313.0057,
49.58,5311.0083,
49.69,5322.8095,
49.8,5312.2255,
49.92,5311.5903,
50.02,5311.5903,
50.13,5305.1546,
50.23,5254.2829,
50.33,5235.5707,
50.44,5235.5707,
50.54,5233.9824,
50.67,5233.9824,
50.78,5235.5707,
50.88,5235.5707,
50.99,5235.5707,
51.09,5235.5707,
51.19,5230.9583,
51.29,5235.5707,
51.4,5235.5707,
51.5,5235.5707,
51.6,5233.9824,
51.7,5230.9583,
51.81,5230.9583,
51.91,5230.9583,
52.02,5230.9583,
52.12,5230.9583,
52.23,5230.9583,
52.34,5230.9583,
52.46,5221.0968,
52.56,5221.0968,
52.66,5221.6356,
52.76,4999.1735,
52.87,4999.1735,
52.97,4999.1735,
53.07,4999.1735,
53.17,4999.1735,
53.28,4999.1735,
53.39,4999.1735,
53.5,5010.3369,
53.6,5010.3369,
53.7,4964.04,
53.81,4964.04,
53.91,4964.5788,
54.02,4964.5788,
54.12,4964.5788,
54.24,4964.5788,
54.35,4964.5788,
54.45,4979.2094,
54.56,4979.2094,
54.67,4979.2094,
54.78,4964.04,
54.88,4964.04,
55.0,4964.04,
55.1,4964.04,
55.21,4964.04,
55.31,4964.04,
55.41,4964.04,
55.51,4964.04,
55.61,4979.2094,
55.72,4964.5788,
55.82,4964.5788,
55.93,4964.5788,
56.03,4964.5788,
56.14,4964.5788,
56.24,4964.5788,
56.35,4964.04,
56.45,4964.04,
56.55,4964.04,
56.65,4974.7702,
56.75,4974.7702,
56.86,4974.7702,
56.97,4974.7702,
57.08,4974.7702,
57.18,4974.7702,
57.28,4974.7702,
57.38,4974.7702,
57.5,4974.7702,
57.6,4974.7702,
57.7,4974.7702,
57.81,4964.04,
57.91,4964.04,
58.01,4964.04,
58.11,4964.5788,
58.22,4964.5788,
58.32,4964.5788,
58.43,4964.5788,
58.53,4964.5788,
58.63,4963.904,
58.73,4963.904,
58.84,4967.109,
58.94,4967.109,
59.06,4963.904,
59.16,4978.5346,
59.27,4978.5346,
59.37,4978.5346,
59.47,4978.5346,
59.58,4963.3652,
59.69,4965.9014,
59.79,4965.9014,
60.09,4963.3652,
