elapsed_sec,best_cost,improvement_pct
0.23,5839.1299,
0.33,5839.1299,
0.43,5918.4522,
0.53,5991.8327,
0.63,5975.0716,
0.73,5973.3522,
0.84,5969.9707,
0.95,5981.6914,
1.05,5993.3487,
1.17,6055.6563,
1.27,6080.1654,
1.37,6067.7093,
1.47,6113.5237,
1.58,5793.2407,
1.68,5800.3407,
1.78,5786.241,
1.89,5804.3541,
1.99,6179.8397,
2.1,6192.5147,
2.2,6182.8015,
2.3,6159.3464,
2.41,6122.5521,
2.55,6429.0561,
2.66,6416.461,
2.77,6414.8104,
2.88,6427.2263,
2.98,6439.5931,
3.08,6799.0647,
3.18,6785.7728,
3.29,6582.3051,
3.39,6532.721,
3.49,6617.6656,
3.6,6617.2107,
3.72,6631.5434,
3.82,6609.6987,
3.94,6665.7419,
4.05,6670.4888,
4.15,6699.5187,
4.27,6613.3367,
4.38,6247.0006,
4.49,6252.3499,
4.59,6253.3537,
4.69,6267.9075,
4.81,6317.1637,
4.92,6290.6351,
5.03,6290.6351,
5.13,6281.7352,
5.24,5958.7161,
5.35,5896.7008,
5.45,5884.783,
5.55,5875.3351,
5.65,5809.8522,
5.76,5748.2638,
5.86,5737.023,
5.99,5725.764,
6.1,5792.8447,
6.2,5787.8133,
6.3,5778.1797,
6.43,5776.7641,
6.54,5777.8965,
6.64,5759.2956,
6.76,5769.62,
6.87,6052.2483,
6.97,5982.8343,
7.08,6021.8653,
7.19,5982.9736,
7.29,5976.2329,
7.4,5974.376,
7.51,6050.9465,
7.61,6052.3,
7.71,5693.7969,
7.81,5693.7969,
7.92,5714.2951,
8.02,5690.845,
8.12,5685.8427,
8.22,5668.561,
8.33,5664.997,
8.45,5669.6145,
8.55,5715.8336,
8.65,5677.1483,
8.75,5687.2063,
8.86,5694.8535,
8.97,5677.9078,
9.07,5694.8084,
9.17,6066.3629,
9.28,6067.2669,
9.38,6070.4582,
9.48,6067.2573,
9.61,6070.8113,
9.71,6061.99,
9.83,5678.3413,
9.93,5686.6593,
10.03,5695.3352,
10.13,5691.4891,
10.23,5683.8362,
10.34,5676.2968,
10.44,5669.275,
10.54,5679.5271,
10.65,5669.275,
10.75,5680.641,
10.86,5670.3889,
10.99,5664.0671,
11.1,5664.0503,
11.2,5663.9066,
11.31,5688.9176,
11.41,5664.0503,
11.51,5392.58,
11.61,5395.3232,
11.72,5348.7391,
11.82,5347.0694,
11.92,5336.7468,
12.02,5280.8596,
12.13,5293.918,
12.23,5293.918,
12.33,5299.6939,
12.43,5312.0077,
12.53,5312.0077,
12.64,5307.9761,
12.74,5294.8905,
12.85,5308.4514,
12.96,5323.9359,
13.06,5320.1266,
13.16,5297.3065,
13.27,5297.3065,
13.37,5272.138,
13.48,5270.4191,
13.58,5274.1402,
13.68,5274.1402,
13.79,5328.7925,
13.89,5326.1187,
14.0,5325.3182,
14.11,5331.8731,
14.21,5327.531,
14.34,5342.8051,
14.44,5337.3952,
14.55,5342.9445,
14.65,5342.9445,
14.75,5325.5493,
14.86,5314.2518,
14.96,5314.2518,
15.09,5642.1717,
15.2,5586.172,
15.3,5596.4777,
