elapsed_sec,best_cost,improvement_pct
0.1,3621.148,
0.2,3621.148,
0.3,3621.148,
0.4,3621.148,
0.5,3621.148,
0.6,3621.148,
0.7,3621.148,
0.8,3621.148,
0.9,3621.148,
1.0,3621.148,
1.1,3621.148,
1.2,3621.148,
1.3,3621.148,
1.4,3621.148,
1.5,3621.148,
1.6,3621.148,
1.71,3621.148,
1.81,3621.148,
1.91,3621.148,
2.01,3621.148,
2.11,3621.148,
2.21,3621.148,
2.31,3621.148,
2.41,3621.148,
2.51,3621.148,
2.61,3621.148,
2.71,3621.148,
2.81,3621.148,
2.91,3621.148,
3.01,3621.148,
3.11,3621.148,
3.21,3621.148,
3.31,3621.148,
3.41,3621.148,
3.51,3621.148,
3.61,3621.148,
3.71,3621.148,
3.81,3621.148,
3.91,3621.148,
4.01,3621.148,
4.11,3621.148,
4.21,3621.148,
4.31,3621.148,
4.41,3621.148,
4.51,3621.148,
4.61,3621.148,
4.71,3621.148,
4.81,3621.148,
4.91,3621.148,
5.01,3621.148,
5.11,3621.148,
5.21,3621.148,
5.31,3621.148,
5.41,3621.148,
5.51,3621.148,
5.61,3621.148,
5.72,3621.148,
5.82,3621.148,
5.92,3621.148,
6.02,3621.148,
6.12,3621.148,
6.22,3621.148,
6.32,3621.148,
6.42,3621.148,
6.52,3621.148,
6.62,3621.148,
6.72,3621.148,
6.82,3621.148,
6.92,3621.148,
7.02,3621.148,
7.12,3621.148,
7.22,3621.148,
7.32,3621.148,
7.42,3621.148,
7.52,3621.148,
7.62,3621.148,
7.72,3621.148,
7.82,3621.148,
7.92,3621.148,
8.03,3621.148,
8.13,3621.148,
8.23,3621.148,
8.33,3621.148,
8.43,3621.148,
8.53,3621.148,
8.63,3621.148,
8.73,3621.148,
8.83,3621.148,
8.93,3621.148,
9.03,3621.148,
9.13,3621.148,
9.23,3621.148,
9.33,3621.148,
9.43,3621.148,
9.53,3621.148,
9.63,3621.148,
9.73,3621.148,
9.83,3621.148,
9.93,3621.148,
10.03,3621.148,
10.13,3621.148,
10.23,3621.148,
10.33,3621.148,
10.43,3621.148,
10.53,3621.148,
10.63,3621.148,
10.73,3621.148,
10.83,3621.148,
10.93,3621.148,
11.04,3621.148,
11.14,3621.148,
11.24,3621.148,
11.34,3621.148,
11.44,3621.148,
11.54,3621.148,
11.64,3621.148,
11.74,3621.148,
11.84,3621.148,
11.94,3621.148,
12.04,3621.148,
12.14,3621.148,
12.24,3621.148,
12.34,3621.148,
12.44,3621.148,
12.54,3621.148,
12.64,3621.148,
12.74,3621.148,
12.84,3621.148,
12.94,3621.148,
13.04,3621.148,
13.14,3621.148,
13.24,3621.148,
13.34,3621.148,
13.44,3621.148,
13.54,3621.148,
13.64,3621.148,
13.74,3621.148,
13.84,3621.148,
13.94,3621.148,
14.05,3621.148,
14.15,3621.148,
14.25,3621.148,
14.35,3621.148,
14.45,3621.148,
14.55,3621.148,
14.65,3621.148,
14.75,3621.148,
14.85,3621.148,
14.95,3621.148,
15.05,3621.148,
15.15,3621.148,
15.25,3621.148,
15.35,3621.148,
15.45,3621.148,
15.55,3621.148,
15.65,3621.148,
15.75,3621.148,
15.85,3621.148,
15.95,3621.148,
16.05,3621.148,
16.15,3621.148,
16.25,3621.148,
16.35,3621.148,
16.45,3621.148,
16.55,3621.148,
16.65,3621.148,
16.75,3621.148,
16.85,3621.148,
16.95,3621.148,
17.05,3621.148,
17.15,3621.148,
17.25,3621.148,
17.35,3621.148,
17.45,3621.148,
17.55,3621.148,
17.65,3621.148,
17.75,3621.148,
17.85,3621.148,
17.95,3621.148,
18.05,3621.148,
18.15,3621.148,
18.25,3621.148,
18.35,3621.148,
18.45,3621.148,
18.55,3621.148,
18.65,3621.148,
18.75,3621.148,
18.85,3621.148,
18.95,3621.148,
19.05,3621.148,
19.15,3621.148,
19.25,3621.148,
19.35,3621.148,
19.45,3621.148,
19.55,3621.148,
19.66,3621.148,
19.76,3621.148,
19.86,3621.148,
19.96,3621.148,
20.06,3621.148,
20.16,3621.148,
20.26,3621.148,
20.36,3621.148,
20.46,3621.148,
20.56,3621.148,
20.66,3621.148,
20.76,3621.148,
20.86,3621.148,
20.96,3621.148,
21.06,3621.148,
21.16,3621.148,
21.26,3621.148,
21.36,3621.148,
21.46,3621.148,
21.56,3621.148,
21.66,3621.148,
21.76,3621.148,
21.86,3621.148,
21.96,3621.148,
22.06,3621.148,
22.16,3621.148,
22.26,3621.148,
22.36,3621.148,
22.46,3621.148,
22.56,3621.148,
22.66,3621.148,
22.76,3621.148,
22.86,3621.148,
22.96,3621.148,
23.06,3621.148,
23.16,3621.148,
23.26,3621.148,
23.36,3621.148,
23.46,3621.148,
23.56,3621.148,
23.66,3621.148,
23.77,3621.148,
23.87,3621.148,
23.97,3621.148,
24.07,3621.148,
24.17,3621.148,
24.27,3621.148,
24.37,3621.148,
24.47,3621.148,
24.57,3621.148,
24.67,3621.148,
24.77,3621.148,
24.87,3621.148,
24.97,3621.148,
