elapsed_sec,best_cost,improvement_pct
0.1,16141.6967,
0.2,15787.6254,
0.3,15016.304,
0.4,14280.858,
0.5,14791.2337,
0.61,14259.0958,
0.71,13969.0438,
0.82,13561.9778,
0.92,14105.8847,
1.02,14133.8447,
1.12,13980.7018,
1.22,14017.5487,
1.32,14031.131,
1.42,14032.1515,
1.52,13879.6845,
1.63,13715.5079,
1.73,13601.9443,
1.83,13819.0121,
1.93,13583.9257,
2.03,13498.3384,
2.13,13432.8195,
2.23,13556.3158,
2.42,13576.3199,
2.52,13737.1093,
2.62,13246.6156,
2.72,13164.0632,
2.83,13132.1487,
2.93,12984.0519,
3.03,12820.2638,
3.13,12628.5388,
3.24,12698.1451,
3.34,12880.9536,
3.44,12982.0246,
3.54,13091.1181,
3.65,12640.307,
3.75,12688.5576,
3.85,12700.838,
3.95,12697.1576,
4.05,12792.1689,
4.15,12614.4815,
4.26,12572.6449,
4.36,12900.3952,
4.46,12916.7061,
4.56,13156.4396,
4.66,13033.4869,
4.76,12797.9494,
4.87,12820.0522,
4.97,12825.6087,
5.07,12680.9024,
5.17,12728.65,
5.28,12706.4536,
5.38,12617.5756,
5.48,12693.1405,
5.59,12698.3376,
5.69,12735.2993,
5.79,12759.7984,
5.89,12795.134,
5.99,12792.4155,
6.09,12674.7682,
6.19,12828.9143,
6.29,12953.3039,
6.4,12689.9906,
6.5,12803.4665,
6.6,12836.5162,
6.7,12845.8194,
6.8,12754.8702,
6.9,12811.9999,
7.0,12798.7796,
7.11,12691.0572,
7.21,12790.8659,
7.31,12781.0257,
7.41,12720.1452,
7.51,12665.0876,
7.61,12729.6545,
7.71,12697.5796,
7.82,12760.6188,
7.92,12777.4333,
8.02,12773.6066,
8.12,13044.0219,
8.22,12837.1678,
8.33,12711.7647,
8.43,12745.7414,
8.53,12762.2721,
8.63,12702.2194,
8.73,12769.8143,
8.83,12842.0278,
8.93,12734.599,
9.03,12779.7776,
9.13,12740.1074,
9.23,12689.0449,
9.33,12655.1017,
9.43,12697.7746,
9.53,12838.6563,
9.64,12902.8286,
9.74,12675.2438,
9.84,12534.7293,
9.94,12575.0027,
10.04,12501.4973,
10.14,12601.2353,
10.25,12662.4201,
10.35,12580.0459,
10.46,12555.5732,
10.56,12558.501,
10.66,12270.0075,
10.76,12252.5575,
10.86,12232.2851,
11.03,12242.333,
11.13,12252.9115,
11.23,12224.0822,
11.34,12263.3497,
11.44,12173.3437,
11.54,12185.6079,
11.64,12263.0446,
11.74,12353.2721,
11.85,12243.1744,
11.95,12221.5481,
12.05,12321.8077,
12.15,12619.7106,
12.25,12183.6837,
12.35,12190.6004,
12.45,12286.7042,
12.55,12161.168,
12.65,12141.511,
12.75,12109.868,
12.86,12117.9203,
12.96,12093.3358,
13.06,12104.7089,
13.16,12202.4636,
13.26,12123.6388,
13.36,12145.7081,
13.46,12142.5306,
13.56,12162.973,
13.66,12107.6706,
13.76,12207.0411,
13.87,12189.5898,
13.97,12206.551,
14.07,12183.1896,
14.17,12208.3671,
14.27,12209.9105,
14.38,12214.7128,
14.48,12242.9633,
14.58,12358.3015,
14.68,12339.9146,
14.78,12178.8136,
14.88,12203.1497,
14.98,12207.4922,
15.09,12177.0824,
15.19,12204.9006,
15.29,12209.3601,
15.39,12140.7835,
15.49,12218.0882,
15.59,12178.9773,
15.69,12144.2768,
15.8,12169.2027,
15.9,12185.7561,
16.0,12194.4138,
16.1,12169.3367,
16.2,12125.099,
16.3,12108.5519,
16.41,12124.8764,
16.51,12162.7152,
16.61,12188.9009,
16.72,12233.2223,
16.82,12104.6798,
16.92,12077.7282,
17.02,12071.7935,
17.12,12094.7805,
17.22,12091.4952,
17.33,12146.7232,
17.43,12154.8927,
17.53,12111.6343,
17.63,12108.2555,
17.73,12202.9038,
17.83,12198.1491,
17.93,12125.1795,
18.03,12202.2494,
18.13,12161.0344,
18.23,12157.5922,
18.33,12152.3607,
18.43,12192.3384,
18.53,12179.0516,
18.63,12158.4506,
18.73,12168.5428,
18.83,12171.7477,
19.01,12158.5034,
19.11,12126.8397,
19.21,12130.9378,
19.31,12048.5551,
19.42,12046.2446,
19.52,12090.8512,
19.62,12090.8512,
19.72,12072.3533,
19.82,12063.6107,
19.92,12047.7383,
20.02,12058.8683,
20.12,12056.852,
20.22,12055.9902,
20.32,12056.2979,
20.42,12065.8091,
20.52,12127.2431,
20.62,12134.8366,
20.72,12065.7921,
20.82,12094.9488,
20.93,12095.1227,
21.03,12086.5798,
21.13,12095.7023,
21.23,12099.1508,
21.33,12097.3603,
21.43,12063.1932,
21.53,12044.7572,
21.63,12037.3812,
21.73,12046.0449,
21.84,12061.3868,
21.94,12160.3254,
22.04,12116.0734,
22.14,12053.5724,
22.24,12056.8868,
22.34,12066.8295,
22.44,12061.2439,
22.54,12061.2439,
22.64,12051.8235,
