elapsed_sec,best_cost,improvement_pct
0.12,15791.6408,
0.22,15299.815,
0.32,15303.2977,
0.43,15228.0751,
0.54,15228.1565,
0.64,14946.8599,
0.74,14953.5388,
0.85,14961.6712,
0.96,14963.0494,
1.06,14970.1068,
1.17,14968.8176,
1.27,14962.2477,
1.38,14958.4279,
1.49,14518.5588,
1.59,14524.4683,
1.69,14515.9643,
1.81,14513.4495,
1.91,14505.6639,
2.02,14520.3942,
2.12,14524.4466,
2.22,14526.8112,
2.32,14523.6414,
2.43,14527.1146,
2.54,14523.1796,
2.64,14516.8827,
2.74,14516.8827,
2.85,14523.4411,
2.97,14521.5035,
3.07,14516.0874,
3.17,14516.0874,
3.27,14513.6511,
3.37,14519.5606,
3.47,14511.5035,
3.57,14523.8425,
3.69,14530.1005,
3.81,14535.1104,
3.93,14515.6164,
4.03,14519.9288,
4.15,14512.1524,
4.26,14518.0144,
4.36,14514.7982,
4.46,14513.2137,
4.57,14510.3808,
4.68,14516.6777,
4.79,14526.1722,
4.89,14516.6777,
4.99,14520.1643,
5.11,14506.9076,
5.21,14514.033,
5.32,14517.5685,
5.42,14512.1524,
5.52,14520.1102,
5.64,14518.7954,
5.74,14512.3087,
5.86,14514.9991,
5.96,14505.6639,
6.06,14518.4648,
6.17,14520.4943,
6.27,14521.7835,
6.37,14524.8382,
6.49,14518.0619,
6.59,14515.6256,
6.7,14519.938,
6.81,14511.5035,
6.91,14505.594,
7.03,14520.2202,
7.14,14530.2287,
7.25,14533.5024,
7.35,14541.8992,
7.45,14543.8737,
7.55,14530.9123,
7.67,14517.7183,
7.78,14520.5512,
7.88,14510.1799,
7.98,14507.8135,
8.08,14512.8712,
8.18,14503.2242,
8.29,14493.0506,
8.39,14488.6491,
8.5,14492.9615,
8.6,14495.8478,
8.7,14498.9025,
8.81,14511.6392,
8.91,14506.8132,
9.02,14496.4447,
9.12,14496.7194,
9.22,14496.4447,
9.33,14490.1478,
9.43,14493.3893,
9.54,14497.363,
9.64,14493.0506,
9.74,14498.9126,
9.84,14502.7707,
9.95,14510.1191,
10.05,14502.7707,
10.15,14499.9378,
10.25,14503.8728,
10.35,14494.4898,
10.46,14490.1478,
10.56,14493.3176,
10.66,14490.1478,
10.77,14496.4447,
10.87,14499.2584,
10.98,14498.0007,
11.08,14494.946,
11.19,14495.8478,
11.29,14498.6807,
11.39,14500.4541,
11.5,14503.3492,
11.6,14500.1794,
11.71,14498.8902,
11.81,14492.9807,
11.92,14495.6388,
12.02,14494.7023,
12.12,14490.2177,
12.23,14494.5301,
12.33,14503.863,
12.43,14502.0508,
12.53,14499.6163,
12.64,14496.4447,
12.75,14490.1478,
12.85,14496.0573,
12.96,14494.5586,
13.06,14495.8478,
13.16,14496.1225,
13.27,14501.7354,
13.38,14501.8505,
13.48,14494.9552,
13.58,14497.2931,
13.69,14492.9807,
13.79,14492.9807,
13.89,14502.4752,
14.0,14492.9807,
14.1,14495.7944,
14.21,14491.482,
14.31,14491.8207,
14.41,14488.6491,
14.52,14494.946,
14.62,14504.4826,
14.72,14507.5186,
14.82,14500.1702,
14.93,14497.3465,
15.03,14495.177,
15.13,14494.9552,
15.24,14499.4398,
15.34,14498.125,
15.45,14497.3915,
15.55,14499.7294,
15.66,14498.5886,
15.76,14493.8733,
15.87,14493.8733,
15.97,14493.8733,
16.08,14493.8733,
16.19,14498.3579,
16.29,14491.8189,
16.4,14491.7567,
16.51,14495.7944,
16.61,14493.3877,
16.72,14500.7361,
16.82,14494.9552,
16.93,14492.1223,
17.04,14492.1223,
17.15,14496.0573,
17.26,14505.1989,
17.37,14508.2167,
17.47,14507.9949,
17.57,14512.4795,
17.67,14507.9949,
17.78,14501.0709,
17.88,14494.5367,
17.99,14491.482,
18.09,14495.9666,
18.2,14491.482,
18.3,14498.6807,
18.41,14501.8523,
18.51,14497.7535,
18.62,14497.3465,
18.72,14506.841,
18.83,14496.0573,
18.93,14490.1478,
19.03,14494.6324,
19.14,14488.6491,
19.24,14497.344,
19.35,14498.8304,
19.46,14491.482,
19.57,14497.3915,
19.67,14504.3063,
19.79,14496.8607,
19.9,14493.6909,
20.0,14499.5529,
20.1,14493.6909,
20.21,14499.7828,
20.32,14495.8478,
20.43,14498.6807,
20.53,14506.0291,
20.63,14506.2731,
20.73,14497.5328,
20.83,14501.4678,
20.94,14500.643,
21.04,14504.753,
21.14,14501.7448,
21.24,14496.2685,
21.35,14497.8582,
21.47,14501.9201,
21.57,14498.9119,
21.67,14499.1014,
21.77,14503.1844,
21.87,14499.0744,
21.99,14497.5328,
22.09,14494.6999,
22.21,14501.8502,
22.31,14497.7402,
22.42,14497.7402,
22.52,14496.1986,
22.63,14496.1986,
22.73,14496.2896,
22.83,14496.2415,
22.93,14496.2896,
23.05,14494.6999,
23.17,14496.2415,
23.29,14501.4657,
23.4,14501.5138,
23.5,14503.0957,
23.6,14501.4657,
23.71,14505.7781,
23.81,14499.9241,
23.91,14494.6999,
24.03,14503.1844,
24.15,14500.1762,
24.26,14497.5328,
24.36,14497.5328,
24.46,14494.6999,
24.58,14501.4657,
24.69,14499.9241,
24.81,14502.5675,
24.92,14499.9241,
25.04,14497.7402,
25.14,14498.842,
25.24,14496.1986,
25.35,14496.1986,
25.46,14497.7883,
25.56,14497.7402,
25.66,14498.6349,
25.77,14494.6999,
25.88,14503.1844,
25.98,14497.8075,
26.08,14503.1844,
26.18,14497.5328,
26.28,14494.6999,
26.38,14496.2415,
26.49,14497.3433,
26.59,14499.9241,
26.7,14502.757,
26.8,14504.2986,
26.9,14502.757,
27.0,14504.2986,
27.1,14505.4004,
27.21,14505.5757,
27.32,14498.6349,
27.43,14497.3433,
27.53,14494.6999,
27.65,14503.1844,
27.75,14503.3948,
27.87,14500.1762,
27.97,14503.0575,
28.07,14502.2031,
28.19,14502.1081,
28.29,14501.3314,
28.39,14499.7417,
28.5,14502.9133,
28.6,14499.7846,
28.7,14498.243,
28.8,14499.7846,
28.91,14500.8864,
29.01,14494.6999,
29.11,14504.0141,
29.21,14505.5557,
29.33,14504.0141,
29.44,14504.0141,
29.54,14500.3515,
29.65,14496.2415,
29.77,14494.6999,
29.87,14497.8715,
29.97,14498.6349,
30.07,14504.2888,
30.17,14506.6575,
