elapsed_sec,best_cost,improvement_pct
0.11,6759.1849,
0.21,6871.0764,
0.31,6981.5752,
0.41,7048.0584,
0.52,7252.9957,
0.63,6734.869,
0.73,6577.5473,
0.83,6350.4344,
0.93,6226.4072,
1.04,6225.7418,
1.14,6207.8061,
1.25,6193.1241,
1.35,6200.3339,
1.45,6206.9128,
1.55,6198.2212,
1.66,6198.0584,
1.76,6198.0584,
1.86,6198.0584,
1.96,6198.0584,
2.06,6198.0584,
2.16,6179.7784,
2.26,6179.7784,
2.37,6181.2257,
2.47,6181.2257,
2.57,6181.2257,
2.68,6180.91,
2.78,6180.91,
2.88,6179.4627,
2.98,6179.4627,
3.08,6179.4627,
3.19,6177.434,
3.29,6177.434,
3.39,6177.434,
3.49,6177.434,
3.59,6177.434,
3.7,6177.2712,
3.8,6177.2712,
3.92,6177.2712,
4.02,6177.2712,
4.12,6177.2712,
4.22,6177.2712,
4.32,6177.2712,
4.43,6177.2712,
4.54,6177.2712,
4.64,6177.2712,
4.74,6177.2712,
4.84,6177.2712,
4.94,6168.9295,
5.04,6168.9295,
5.14,6168.9295,
5.25,6168.9295,
5.36,6168.9295,
5.46,6168.9295,
5.56,6168.9295,
5.66,6168.9295,
5.76,6168.9295,
5.87,6168.9295,
5.97,6168.9295,
6.07,6168.9295,
6.21,6322.1276,
6.31,6275.4589,
6.42,6347.5161,
6.52,6392.3373,
6.63,6357.0542,
6.73,6321.7933,
6.83,6316.6839,
6.95,6373.7945,
7.06,6402.503,
7.16,6402.3315,
7.26,6403.9944,
7.36,6280.6342,
7.46,6279.7987,
7.57,6282.397,
7.67,6291.301,
7.77,6284.9725,
7.88,6279.8798,
7.98,6282.1661,
8.08,6254.498,
8.19,6239.944,
8.3,6205.4324,
8.4,6203.2745,
8.5,6205.4324,
8.6,6205.4324,
8.7,6203.2745,
8.8,6203.2745,
8.9,6205.4324,
9.0,6205.4324,
9.11,6203.2745,
9.21,6203.2745,
9.31,6203.2745,
9.41,6203.2745,
9.51,6203.2745,
9.61,6203.2745,
9.71,6203.2745,
9.81,6203.2745,
9.91,6203.2745,
10.02,6203.2745,
10.12,6203.2745,
10.22,6203.2745,
10.32,6203.2745,
10.42,6203.2745,
10.52,6203.2745,
10.62,6201.9653,
10.73,6201.9653,
10.84,6201.9653,
10.94,6201.9653,
11.04,6201.9653,
11.14,6201.9653,
11.24,6201.9653,
11.34,6201.9653,
11.44,6201.9653,
11.55,6201.9653,
11.66,6201.9653,
11.76,6201.9653,
11.86,6201.9653,
11.96,6201.9653,
12.19,7175.3813,
12.3,7183.5204,
12.41,7133.1541,
12.52,7132.3202,
12.62,7123.9105,
12.72,6709.4173,
12.83,6725.3629,
12.93,6771.75,
13.03,6745.5149,
13.13,6626.12,
13.23,6628.6419,
13.33,6604.573,
13.43,6614.2834,
13.53,6603.4984,
13.63,6603.9076,
13.74,6604.573,
13.84,6605.3549,
13.94,6604.9457,
14.04,6599.1111,
14.14,6589.7779,
14.26,6589.7779,
14.36,6589.7779,
14.47,6588.7398,
14.57,6588.7398,
14.67,6588.7398,
14.77,6588.7398,
14.88,6588.7398,
14.99,6588.7398,
15.09,6588.7398,
15.19,6588.7398,
15.29,6588.7398,
15.4,6582.7943,
15.5,6582.7943,
15.6,6582.7943,
15.7,6582.7943,
15.81,6573.8977,
15.91,6573.8977,
16.01,6573.8977,
16.12,6573.8977,
16.22,6573.8977,
16.32,6573.8977,
16.42,6573.8977,
16.52,6573.8977,
16.62,6573.8977,
16.72,6573.8977,
16.83,6573.8977,
16.93,6573.8977,
17.03,6573.8977,
17.14,6573.8977,
17.24,6573.8977,
17.34,6573.8977,
17.44,6573.8977,
17.65,6206.3208,
17.75,6364.9891,
17.85,6442.019,
17.95,6382.448,
18.06,6387.6184,
18.17,6384.0322,
18.27,6343.9014,
18.37,6357.8231,
18.47,6328.8859,
18.57,6234.0392,
18.67,6252.1173,
18.77,6236.0828,
18.88,6237.1799,
18.98,6234.8089,
19.08,6242.5961,
19.19,6222.7435,
19.3,6224.0673,
19.4,6226.7484,
19.5,6227.9544,
19.6,6223.9557,
19.7,6219.7018,
19.81,6182.3537,
19.91,6182.3537,
20.01,6182.3537,
20.12,6182.3537,
20.22,6180.6278,
20.32,6180.6278,
20.42,6177.815,
20.52,6177.815,
20.62,6177.815,
20.72,6177.815,
20.82,6177.815,
20.92,6177.815,
21.03,6177.815,
21.13,6177.815,
21.23,6177.815,
21.33,6156.1431,
21.44,6156.1431,
21.54,6156.1431,
21.64,6156.1431,
21.74,6156.1431,
21.84,6156.1431,
21.94,6156.1431,
22.04,6156.1431,
22.14,6156.1431,
22.24,6156.1431,
22.35,6156.1431,
22.45,6156.1431,
22.58,6156.1431,
22.69,6156.1431,
22.8,6156.1431,
22.91,6156.1431,
23.01,6156.1431,
23.11,6156.1431,
23.21,6156.1431,
23.31,6156.1431,
23.41,6156.1431,
23.51,6156.1431,
23.62,6156.1431,
23.83,6983.8071,
23.94,6931.4152,
24.04,6967.0612,
24.14,6956.8484,
24.25,6696.0413,
24.35,6752.1763,
24.45,6688.0484,
24.56,6687.6435,
24.66,6682.7417,
24.76,6663.5316,
24.86,6685.3188,
24.96,6683.1039,
25.06,6669.848,
25.16,6671.7653,
25.26,6638.6976,
25.37,6637.3815,
25.48,6634.9797,
25.59,6634.9797,
25.69,6640.3051,
25.79,6641.0241,
25.89,6641.0241,
26.0,6641.0241,
26.11,6631.3741,
26.21,6624.8384,
26.31,6625.2476,
26.41,6621.9389,
26.52,6617.0227,
26.62,6609.5507,
26.73,6609.5507,
26.83,6609.5507,
26.93,6609.5507,
27.03,6609.5507,
27.13,6609.5507,
27.24,6609.5507,
27.34,6609.5507,
27.44,6609.5507,
27.54,6609.5507,
27.64,6609.5507,
27.75,6609.5507,
27.85,6609.5507,
27.95,6609.5507,
28.06,6609.5507,
28.17,6609.5507,
28.28,6609.5507,
28.38,6609.5507,
28.48,6609.5507,
28.58,6609.5507,
28.68,6609.5507,
28.79,6609.5507,
28.89,6609.5507,
28.99,6609.5507,
29.09,6609.5507,
29.19,6609.5507,
29.3,6609.5507,
29.4,6609.5507,
29.5,6609.5507,
29.6,6609.5507,
29.7,6609.5507,
29.87,7170.4406,
29.97,7251.1706,
30.07,7331.5533,
30.18,7260.3554,
30.28,7321.6747,
30.38,7335.5799,
30.48,7310.8988,
30.58,7281.244,
30.68,7139.842,
30.78,7133.8863,
30.89,7125.9763,
30.99,7118.4802,
31.1,7008.4479,
31.2,7005.3244,
31.31,7004.1504,
31.41,7018.2406,
31.51,7002.3086,
31.62,7001.025,
31.72,7001.025,
31.82,6994.0213,
31.93,6994.0213,
32.03,6993.0078,
32.13,6993.0078,
32.24,6993.3004,
32.34,6993.3004,
32.45,6993.3004,
32.55,6993.0078,
32.65,6993.0078,
32.75,6993.0078,
32.85,6988.9716,
32.95,6988.588,
33.05,6988.8613,
33.15,6988.588,
33.25,6982.629,
33.35,6696.2144,
33.45,6696.2144,
33.56,6696.2144,
33.67,6696.2144,
33.78,6696.2144,
33.88,6696.2144,
33.98,6696.2144,
34.09,6696.2144,
34.2,6696.2144,
34.3,6696.2144,
34.4,6696.2144,
34.5,6696.2144,
34.61,6696.2144,
34.71,6696.2144,
34.81,6696.2144,
34.91,6696.2144,
35.01,6696.2144,
35.12,6696.2144,
35.22,6696.2144,
35.32,6696.2144,
35.42,6696.2144,
35.52,6696.2144,
35.62,6696.2144,
35.72,6696.2144,
35.85,7624.9331,
35.96,7242.3412,
36.06,7235.6685,
36.16,6756.4065,
36.26,6786.6386,
36.37,6782.9363,
36.47,6676.3048,
36.57,6692.3748,
36.67,6705.0005,
36.94,6692.1209,
37.04,6698.1546,
37.14,6599.715,
37.24,6614.6412,
37.34,6531.9695,
37.45,6531.9695,
37.55,6516.193,
37.65,6495.6444,
37.75,6495.6444,
37.86,6487.1877,
37.96,6487.1877,
38.07,6487.1877,
38.18,6492.1039,
38.28,6491.6947,
38.38,6487.1877,
38.48,6487.1877,
38.59,6487.1877,
38.69,6487.1877,
38.79,6487.1877,
38.89,6487.1877,
38.99,6487.1877,
39.09,6487.1877,
39.19,6487.1877,
39.29,6487.1877,
39.39,6487.1877,
39.5,6487.1877,
39.6,6487.1877,
39.7,6487.1877,
39.8,6487.1877,
39.9,6487.1877,
40.0,6487.1877,
40.11,6487.1877,
40.21,6487.1877,
40.31,6487.1877,
40.41,6487.1877,
40.51,6487.1877,
40.61,6487.1877,
40.71,6487.1877,
40.81,6487.1877,
40.91,6487.1877,
41.01,6487.1877,
41.11,6487.1877,
41.22,6487.1877,
41.32,6487.1877,
41.42,6487.1877,
41.53,6487.1877,
41.69,7955.4866,
41.79,7445.2153,
41.89,7414.6206,
42.0,6985.8091,
42.1,6958.3128,
42.21,6960.7004,
42.31,6945.0931,
42.42,6512.7281,
42.52,6597.0265,
42.62,6584.8877,
42.72,6576.3672,
42.82,6550.9743,
42.92,6552.594,
43.02,6551.8455,
43.12,6556.4365,
43.23,6556.6092,
43.33,6492.7686,
43.43,6477.9936,
43.54,6477.5844,
43.64,6434.7385,
43.74,6423.0896,
43.85,6416.3366,
43.95,6416.3366,
44.05,6414.6857,
44.16,6414.6857,
44.26,6414.9879,
44.36,6414.5787,
44.46,6414.5787,
44.56,6414.5787,
44.66,6414.5787,
44.76,6414.9879,
44.87,6414.5787,
44.97,6414.5787,
45.08,6414.5787,
45.18,6414.5787,
45.28,6414.5787,
45.38,6414.5787,
45.48,6414.5787,
45.58,6414.5787,
45.69,6414.5787,
45.79,6414.5787,
45.9,6414.5787,
46.0,6414.5787,
46.1,6414.5787,
46.21,6414.5787,
46.31,6414.5787,
46.41,6414.5787,
46.51,6414.5787,
46.61,6414.5787,
46.71,6414.5787,
46.81,6414.5787,
46.91,6414.5787,
47.01,6414.5787,
47.11,6414.5787,
47.31,6779.5637,
47.41,6779.2893,
47.51,6759.5359,
47.62,6701.1568,
47.72,6694.0042,
47.83,6746.8976,
47.93,6728.307,
48.03,6592.8344,
48.14,6593.3537,
48.24,6560.0917,
48.35,6522.8904,
48.45,6498.1842,
48.56,6502.4012,
48.66,6498.2131,
48.76,6492.9835,
48.86,6498.0439,
48.97,6451.6521,
49.07,6440.3304,
49.17,6446.3934,
49.27,6449.2205,
49.37,6441.9242,
49.47,6396.5437,
49.58,6396.5437,
49.68,6396.5437,
49.78,6396.5437,
49.88,6386.9408,
49.98,6367.2059,
50.08,6352.9747,
50.18,6350.6185,
50.3,6350.6185,
50.41,6350.6399,
50.51,6350.6399,
50.61,6350.6399,
50.73,6350.6399,
50.83,6350.6399,
50.93,6350.6185,
51.04,6350.6185,
51.15,6350.6185,
51.25,6350.6399,
51.35,6350.6185,
51.46,6342.4347,
51.56,6342.4347,
51.66,6342.4347,
51.76,6342.4347,
51.87,6342.4347,
51.97,6342.4561,
52.07,6331.0949,
52.17,6331.0949,
52.27,6327.894,
52.37,6327.894,
52.48,6314.5158,
52.58,6314.5158,
52.68,6314.5158,
52.78,6305.9198,
52.89,6305.9198,
52.99,6305.9198,
53.1,6305.9198,
53.21,6305.9198,
53.42,6798.326,
53.52,6660.1624,
53.62,6766.9549,
53.72,6754.7364,
53.82,6809.6137,
53.92,6780.8094,
54.03,6788.3147,
54.13,6793.4902,
54.23,6668.5946,
54.34,6662.8315,
54.44,6615.3661,
54.54,6604.8148,
